6.1.1	Prajapati was this (universe).
7.6.47	By this I have overcome all my enemies and all my rivals.
7.6.48	He becomes better and better than he who hates him, and worse and worse than he who hates us, he who knows this and worships Agni.
7.6.49	O Agni, lord of light!
7.6.50	Salutations to your light!
7.6.51	Bestow light on me!
7.6.52	Having pacified all lights, he bestows light on himself.
7.6.53	O Dweller in the Bright Abode, may you attain the other shore safely.
7.6.54	"May the one who is beyond the Vasus grant you welfare."
7.6.55	Night is Citravasu, and day is Arvavasu.
7.6.56	This is indeed the union of day and night.
7.6.57	One who knows this does not suffer from night or day.
7.6.58	The Agni and the sun are indeed the two breaks in the sacrifice.
7.6.59	These are the same as the ones in the section on breaking. The Lord knows the past and the future. He who knows this, he knows.
7.7.1	"The waters are firm."
7.7.2	Because these are waters.
7.7.3	"The greatness is firm."
7.7.4	Because this is greatness.
7.7.5	"The energy is firm."
7.7.6	These are energy.
7.7.7	"The prosperity is firm."
7.7.8	This is prosperity.
7.7.9-17	"May you enjoy yourselves in Revati." Revati is cattle. Cattle are what is between the fires. We are enjoying them in our own cattle-pen. In this womb." This is indeed their womb. In this cattle-pen." This is their cattle-pen. "This is your kinsman. Do not go away from here."
7.7.18	The cattle approach him as if they were near.
7.7.19	They do not stray away, he who knowing thus approaches Agni.
7.7.20	He indeed approaches this world from this world, he who approaches Agni.
7.7.21	"He says, "You are water."
7.7.22	Cattle are water, cattle are the atmosphere.
7.7.23	He indeed stands firm in cattle.
7.7.24	Cattle are afraid of the gods,
7.7.25	This is the only one of the gods who approaches Agni.
7.7.26	They are the lords of him, the trembling one.
7.7.27	"You are the one who is united, of universal form."
7.7.28	These are the names of the cow.
7.7.29	The cow is united, of the universal form.
7.7.30	He takes them.
7.7.31	For non-trembling.
7.7.32	"You who are united, of universal for."
7.7.33	For by form after form she is united.
7.7.34	"May we enter the prosperity of the clan, with cattle, with nourishment of wealth."
7.7.35	For it is by these that she enters and enters into the clan.
7.7.36	"May your wealth be established in me; may I nourish you with a thousandfold nourishment."
7.7.37	He thus bestows a thousandfold prosperity.
7.7.38	They strike the calf away.
7.7.39	Cattle are with their calves.
7.7.40	For the protection of the animals.
7.7.41	Animals become more numerous for him.
7.7.42	Seven bricks are laid in the fire-altar, belonging to the relatives.
7.7.43	They are the seven village-belonging ones for that world.
7.7.44	They are to be laid here: a cow, a horse, a sheep, a goat, an ass, a mule, and a man.
7.7.45	When they strike a cow,
7.7.46	He puts them down in the same place.
7.7.47	He makes it of cow-dung.
7.8.1	"He sees all creatures, saying, "I see all creatures."
7.8.2	He obtains all creatures.
7.8.3	"The creatures of Ida and Manu," he says."
7.8.4	For the creatures of Ida and of Manu are the creatures of Ida.
7.8.5	All domestic and wild animals meet together at night.
7.8.6-11	Therefore, those few animals that are seen at night appear to be many. They are the lords of this world. The Yajus that is recited here establishes them in this world. Agni is born first in this world. He who has kindled the fire destroys his animals that are born.
7.8.12	"O Agni, come to us from heaven to heaven."
7.8.13	He pacifies him who is being born.
7.8.14	"We come to you, O Agni, with our minds, bearing homage, with the two Doshas."
7.8.15	"We come with homage."
7.8.16	"The shining one, the guardian of sacrifices, the shining one of truth,
7.8.17	Growing in his own abode."
7.8.18	"Growing."
7.8.19	"Be to us, O Agni, like a father to his son, a good protector,
7.8.20	"May you protect us with your blessings."
7.8.21	(With) the Svästimatī (hymn).
7.8.22	"O Agni, you are our last resort."
7.8.23	This indeed was said by Divodasa, the son of Bhimasena, to Aruṇi.
7.8.24	"To which Agni, the householder, should the Udgātṛ offer the Garhapatya?"
7.8.25	He said this to him.
7.8.26	He said:
7.8.27	With these (verses) you should worship Agni. You are our last refuge, our protector, the most auspicious, the most friendly.
7.8.28	This is Agni's dear body, which is friendly.
7.8.29	He has approached him with his own dear body.
7.8.30	With two-footed verses.
7.8.31	Man has two feet.
7.8.32	The Garhapatya is the house.
7.8.33	He indeed stands firm in the house.
7.8.34	The three former ones and these four.
7.8.35	These are the seven.
7.8.36	There are seven domestic animals.
7.8.37	He wins them.
7.8.38	"I see you with energy."
7.8.39	"May you see me with energy."
7.8.40	He places energy in his house, in his animals, and in himself.
7.8.41	And he also arranges those bricks which he places.
7.8.42	"They are the Ida, the honey-makers."
7.8.43	These are the Ida-s, the honey-makers.
7.8.44	"May the Svonas enter me, the Madhu."
7.8.45	For the Svonas indeed enter together with the Madhu.
7.8.46	"May your wealth be established in me, may I nourish you for a thousandfold."
7.8.47	He thus bestows a thousandfold prosperity.
7.8.48	They strike the calf away.
7.8.49	Cattle are with their calves.
7.9.6	Having approached Prajapati, having obtained everything, having encompassed everything,
7.9.7	"Make Soma the sound, O Brahmanaspati."
7.9.8	Brahmanaspati.
7.9.9	He places Brahmanaspati in himself.
7.9.10	These are the Vaiśvadevī verses.
7.9.11	These are Vaiśvadevīs, the offspring.
7.9.12	The offspring are born from the womb of Brahman.
7.9.13	This is the Brahman-spati.
7.9.14	He generates them from the womb of Brahman.
7.9.15	Aditi looked after her sons with these (verses).
7.9.16	When they brought Soma, they returned safely from this world with Soma.
7.9.17	He obtains whatever desire he may desire.
7.9.18	One should recite this for him who desires:
7.9.19	"May he return safely."
7.9.20	He should recite this over him.
7.9.21	He returns safely.
7.9.22	"When you are never a stranger, your chariot is a Dūdbha."
7.9.23	This is the union with the Stoma.
7.9.24	"When are you never a stranger?"
7.9.25	This was said by Āruṇi.
7.9.26	"I did not know that the night was a stranger until I heard this verse."
7.9.27	He who knows thus, does not sleep at night.
7.9.28	Agni is the Gāyatrī.
7.9.29	He makes him deficient in the Gāyatry metre.
7.9.30	If one worships with metres other than the Gāyatrīs.
7.9.31	If this Gāyatrī is the last.
7.9.32	He makes up for him with his own metre.
7.9.33	He who worships Agni, having attained everything and having covered everything, goes to the heavenly world.
7.9.34	His progeny is cut off.
7.9.35	When he calls his son,
7.9.36	he continues his progeny.
7.9.37	It is as if he returns to the human world.
7.9.38	When he cries out to his son,
7.9.39	"May the divine thread not be cut off, may the human thread not be cut."
7.9.40	He continues both the world of the gods and the world of humans.
7.9.41	He conquers both worlds.
7.9.42	"You are the one who is low."
7.9.43	He seizes him who is his enemy behind.
7.9.44	"He says, "Thou art the conqueror."
7.9.45	He conquers him who is his equal.
7.9.46	"Thou art the lord."
7.9.47	"I may surpass him."
7.9.48	He crosses over him who is his former enemy who has crossed over.
7.9.49	Pūṣan protect me on the path.
7.9.50	May Pūṣan, the lord of cattle, protect me.
7.9.51	May Pūṣan the lord of lords protect me.
7.9.52	This is Pūṣan on the path.
7.9.53	The sky is the lord of cattle.
7.9.54	Heaven is the lord.
7.9.55	These very worlds protect him.
7.9.56	He kindles Agni.
7.9.57	For continuity.
7.9.58	The eastern direction is Agni, the deity.
7.9.59	Those very deities, indeed, are the ones who, having performed the rites, are victorious. He who attacks him from these directions, is defeated.
7.9.60	"He says, "May the threads be auspicious." He prays for a blessing."
7.9.61	He prays for a blessing.
7.9.62	If he has a son whom he loves, he should take his name.
7.9.63	He places those blessings in him.
7.10.1	The day is the abode, not the night.
7.10.2	She who could not bear the death of her brother.
7.10.3	When they asked her, "When did your brother die?"
7.10.4	She replied, "Today."
7.10.5	The gods said,
7.10.6	"We will conceal it."
7.10.7	"Let us make this night."
7.10.8	They made night.
7.10.9	When night came, they could not see the cattle.
7.10.10	He said,
7.10.11-19	"She does not see." She did not go away. She was not separated from the cattle. The gods, desiring them, went away. They saw them with the metres. Therefore Agni should be attended to at night with the metres. For the protection of cattle. Cattle do not go away from him who knows this. He should know.
7.10.20	He (Agni) is called 'Anu' (i.e. following).
7.10.21	She was destroyed.
7.10.22	The gods said:
7.10.23	"Our wealth has been destroyed."
7.10.24	The Samavāsya (rite).
7.10.25	One's wealth is indeed destroyed.
7.10.26	One who, knowing this, worships Agni, obtains wealth. Another does not obtain his wealth.
7.10.27	The gods destroyed the demons of the day.
7.10.28	They entered the night.
7.10.29-38	The gods could not overcome it. They said to Indra, "You are the strongest of us. You conquer it." "Sing praises to me," he said. "I cannot perform heroic deeds without being praised." They said, "This is your Agni, the nearest. He will sing praises to you."
7.10.39-45	Agni praised him. He, being praised, overcame all the enemies, all the demons, and all the Rakshas. Indra, the Sacrificer, when he approaches Agni, he overcomes all the enemies, demons, and Rakshas. He who knows this Tvaṣṭṛ, having become Prajāpati, created the beings.
7.10.46	Tvashtri is the sacrificer.
7.10.47	Whatever he spoke with speech, that became (true).
7.10.48	Whatever one speaks with speech, that becomes (true).
7.10.49	Whatsoever one speaks with speech that becomes (true), that he creates.
7.11.1	"Protect my wealth, please tell me."
7.11.2	"Protect it for me."
7.11.3	One who is about to depart should stand near the Ahavaniya fire.
7.11.4	This is indeed the protector of wealth.
7.11.5	He gives it back to him.
7.11.6	My name is first, O Jātavedas.
7.11.7	He thus transfers his body to Agni.
7.11.8	Just as the Agnihotra is offered at the end of the day, so also it is offered by one who is absent.
7.11.9	Protect my progeny, O man.
7.11.10	Protect it for me.
7.11.11	He is the protector of progeny.
7.11.12	He gives it back to him.
7.11.13	May Mitra and Varuna protect these houses of mine, O young ones.
7.11.14	For Mitra and Varuna are the protectors of these creatures, the kind and the cruel.
7.11.15	Mitra is the friend, Varuna is the cruel one, this is Pusan.
7.11.16	He gives the houses to these very deities.
7.11.17	Protect my food, O Pusan.
7.11.18	May it be protected for me.
7.11.19	This is indeed the protector of food.
7.11.20	He gives it back to him.
7.11.21	"Tell me where my wealth is hidden."
7.11.22	"Give it back to me."
7.11.23	He again takes the wealth that was hidden.
7.11.24	"O Agni, with a thousand eyes, with a hundred heads, with a hundred rays."
7.11.25	They are deprived of these things, the two Brahmanas, of their breath, of their out-breath, of their lustre, of their strength.
7.11.26	When he worships with these (verses),
7.11.27	They are indeed prospered by them.
7.11.28	"And your name is Jātavedas."
7.11.29	He makes his body as it should be by means of Agni.
7.11.30	"Do not harm my offspring."
7.11.31	"Give it back to me."
7.11.32	He puts back the protected offspring into himself.
7.11.33	"O Agni, lord of the house."
7.11.34	Agni and the sacrificer do not suffer any harm.
7.11.35	He is not deprived of his share.
7.11.36	"My food has been stolen, my excrement has been stolen."
7.11.37	"Give it back to me."
7.11.38	He again puts the food that was stolen back into himself.
7.15.1	Aditi cooked rice for the sake of offspring.
7.15.2	She ate the leftovers.
7.15.3	She conceived.
7.15.4	The Adityas were born from her.
7.15.5	This is the rice that is being cooked. This is the beginning.
