1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
1.20.3	This is indeed Vena. The other prāṇas are above him. The other prānās are below him. Therefore, Vena. Prāṇa, being this, is in the navel. Therefore, navel. That is the navel-ness of the navel. He places that prāṇa in it.
1.20.4	"The pure one is spread out for thee, O Brahmanaspati. The pure Tapas is spread out on the seat of heaven. The pure one is spread by the Dhitis." The pure breaths are these, the downward ones, the semen, the urine, the feces. He places them in him.
1.21.1	"We invoke thee, O lord of the hosts, as the lord of the hosts." This is the Brahman-related (verse). Brihaspati is Brahman. He heals him with Brahman.
1.21.2	"And whose names are Prathas and Saprathas," he makes him of the same form as the one who has the body of heat.
1.21.3	He recites the Rathantara, Vasistha, Bharadvaja, and Brihat. He makes him who has the Brihat and Rathantara.
1.21.4	"He sees thee with the mind, O Chekitana." He makes him who is Prajapati and has offspring. He places offspring in him.
1.21.5-6	The nine metres are the Hotr and the Asvins. This is the end of the sacrifice. The end is like a small thing, and the small is like the big. Therefore these metres are small.
1.21.7	He goes to the dear abode of the Asvins, he conquers the supreme world, he who knows thus.
1.21.8	"The verse, "The Agni shines forth in the array of the dawns,"
1.21.9	The verse, "Drinking the hot-water, the Asvins," is suitable for the sacrifice. What is suitable for the Yajna is prosperous.
1.21.10	That is Tristubh. The Tristubh is power. He places power in it."
1.21.11	"As if with stones, you two, do you destroy the enemy." This is a verse. "As if with eyes, as if with ears, as if with noses." This is a name of the limbs. He places the senses in it.
1.21.12	This is a Tristubh verse. The Tristubh is energy. He places energy in it.
1.21.13	"I praise heaven and earth, the first-minded ones." This is a hymn.
1.21.14	Agni, the hot, the shining, the going, the desirable, the offerings, is the appropriate (verse) at the sacrifice. What is appropriate at the sacrifice, that is prosperous.
1.21.15	That is the Jāgata (verse). Animals are Jāgata. He thus places animals in it.
1.21.16	With those (verses) he saw the desires of the Asvins, and those (verses) which he saw, he places them in this (verse). With them he makes it complete.
1.21.17	"Pṛśni shone forth, the dawn, the best," (he says). He places shining in it.
1.21.18	With the bright, with the shining, do ye protect us. Thus he places it with the last verse.
1.21.19	With the auspicious, with the fortunate, O Asvins, may Mitra, Varuna, Aditi, the ocean, the earth and heaven protect us. Thus with these very (verses) he blesses him with those very desires.
1.21.20	Thus is the first section.
1.22.1	Now the second.
1.22.2	I call to the well-milking cow, the one who lowed, the wife of Vasus, the Vasus. O god Savitar, may we approach thee, like a calf to its mother, like a calf approaching its mother. The teat that is thine, the one that is mine, the cow that has milked, the calf that is approaching, you have approached, knowing, with ten (teats), the one that is known, the one that has been milked by the ten (teats). The Agni who is kindled, the Ashvins, the Agni who is kindled. The one who is pleased with the male organ, the one who is the most visible of his works, the one who has the nature of the sky, the one who milks ghee and milk, the one who approaches, the one who stands up, the one who knows, the one who presses, the one who causes to press, the one who makes to press, the Brahman-knower, the one who praises, the one who brings, the one who carries, the one who pours, the one who sprinkles, the one who bestows, the one who gives, the one who grants, the one who nourishes, the one who increases, the one who delights, the one who pleases, the one who rejoices, the one who enjoys, the one who drinks, the one who tastes, the one who eats, the one who consumes, the one who satisfies, the one who fills, the one who satiates, the one who fattens, the one who grows, the one who prospers, the one who shines, the one who illuminates, the one who illumines, the one who brightens, the one whose light is bright, the one who possesses light, the one who holds light, the one whose radiance is bright, the Rishi of the Ashvins, "The great waters are united." The one that is visible at the sacrifice is prosperous.
1.22.3	"The sun rises, the god Savitar, with the golden (rays). He rises in accordance with the chant. Let the Brahmanaspati go forth. The Gandharva is here, guarding his place. He looks at the Khara (horse) as it falls down from the sky. He sits down, saying, 'The heated Gharmā is not injuring you. Drink, O Asvins!' He offers in the morning."
1.22.4	"O Agni, do thou eat!" he says at the end of the offering. It is the portion for the Svishtakrit.
1.22.5	"O Agni, do you drink the ghee and milk offered to the Usriyas!" he says at sunset. "O Agni, eat!" he says in the end of the oblation. It is the share for the Svishta-krits.
1.22.6	At the Svishtakrit offering of the three oblations, they do not mix together, saying, "Of Soma, of Gharma, of Vaji." When he pronounces the Anuvshada, it is for the Svishtakrt Agni alone, so that there is no interruption.
1.22.7	The Brahman recites, "All directions are to be given to the south."
1.22.8	The pure heat, consecrated with "svāhā," is raised from the ocean by the waves. The drop, the friend, seeks the ocean. O friend, turn to your friend. The high-born, the high-born, protect us. The one who is to be honored, the one who is to receive honor, the one who deserves honor, the one to be honored. The one who deserves honor is the one who is honored. The one to be honored is the one who deserves to be honored. The one who is to honor is the one to be worshiped. The one who should be worshiped is the one who should be honored. The ones who are to be honored are the ones who are to receive honor. The ones who deserve honor are the ones who deserve to be honored. Those who are to be worshiped are the ones who should be worship. Those who should be worship are the ones who have been worshiped. Those who have been worship are the ones to be worship. Those to be worship are the worshipers. Those who are worshipers are the ones to worship. Those who are the ones to honor are the ones to receive honor. Those who are worthy of honor are the ones worthy of honor. Those who deserve honor are worthy of honor. The ones worthy of honor are worthy of being honored. The ones worthy to be honored are worthy of being worshiped. The ones worthy for worship are worthy of being worshipped. The ones worthy worthy of being worshipped are worthy of being praised. The ones worthy praise are worthy of being sung. The ones worthy being sung are worthy of being chanted. The ones worthy chanting are worthy of being recited. The ones worthy recitation are worthy of being read. The ones worthy reading are worthy of being studied. The ones worthy study are worthy of being learned. The ones worthy learning are worthy of being known. The ones worthy knowing are worthy
1.22.9	The fire-god is desirous of eating your oblation.
1.22.10	We have offered the oblation, the sweet oblation, to the Indra-like Agni. O divine Gharma, we have eaten of you, the sweet one, the fatherly one, the one with strength, the one from Angiras. Obeisance to you. Do not harm me. Thus one eats the Gharma.
1.22.11	The hawk has made his nest, his seat, by wisdom; in it the seven Vasus are seated together. He recites this verse when the (sacrificial) grass is being spread.
1.22.12	The divine seat of the offering is the offering. When they are about to spread the grass on the day of the Soma-pressing,
1.22.13	he spreads it with the verse, "May the goddess be gracious to us from the Suyas."
1.22.14	This is the divine couple, the heat. The heat is the penis. The two hairs are the two hairs. The two nipples are the two hip bones. The milk is the semen. This semen is deposited in the fire, the divine womb, in the generative act. The fire is the divine womb. It is born from the oblations of the fire, the womb of the gods.
1.22.15	He who is composed of the Ṛg, Yajus, Sāman, Veda, Brahman, and Nectar, and who, having come together, attains the deities, he who knows this, and he who, knowing this, performs this sacrifice,
1.23.1	The gods and the Asuras fought for these worlds. The Asuras made these worlds their own, as they were stronger and more powerful. They made this world of iron, the atmosphere of silver, and heaven of gold. They made these worlds their (own). The gods said: The Asuras have made these worlds their front. Let us make these worlds our front. They said: Yes. They made the fire-altar of earth, the Agnidhra-chamber of the atmosphere, and the Havirdhana of heaven. They made these (worlds) their front.
