1.1.1.1	For you, O Agni, for the well-being.
1.2.13.4-5	O Vishnu, extend yourself widely, extend yourself widely for our prosperity. Drink ghee in the ghee-filled forest. O Agni, go to the lord of sacrifice. Svāhā. O Agni! Worship Varuna, the great, the worthy of praise, the guardian of immortality. May he grant us protection with three shelters. May the heaven and earth protect us from above.
1.2.13.6	The sky, the heaven, is the womb of Aditi. May it always be for us. O god Savitar, this Soma is thine. Guard it. May not the evil-eyed harm thee. May not the ill-wisher harm thee. This Soma, O god, is thine. May it be for us. This man is thine. May he be for us. May it be with us. May it not be without us. May it come to us. May it go to us. May we be with it. May it be ours. May it be in us. May it belong to us. May the Soma be ours. May we be the Soma's. May we be in the Soma. May the Soma belong to us. O god, may we be in thy heaven. May we be thine. May we be thy heaven. May the heaven be ours. May the heaven belong to us. We are the heaven. May the Soma, the heaven, be ours. May heaven be ours. We are heaven. May heaven be thine. May heaven belong to thee. May heaven be in thee. May heaven belong unto thee. May heaven come to thee. May we be heaven. May heaven belong 
1.2.14.1	I have gone beyond others, I have not gone to others. I have found you before others, above others, below others. We enjoy you for the sake of divine worship. For Vishnu, for Vishnu, for you.
1.2.14.2	O Vishnu, expand yourself widely. Make room for us widely. Drink ghee in the ghee-forest. Go to the lord of sacrifice. Svāhā.
1.2.14.3	O plant, protect him, O one who is self-established, do not injure him. With that form of yours which is most auspicious, touch him.
1.2.14.4	The one who is self established, with sharp radiance, has directed you to great good fortune. Do not injure him with the front part towards heaven, with the middle part towards the atmosphere, and with the rear part towards the earth. Come into being. Go to the shining. O tree, grow with a hundred branches, with a thousand branches, may we grow.
1.2.14.5	May the worlds, the seats of the Fathers, be purified for thee. Thou art Yava. May Yava remove our hatred, may Yava remove our enmity. I spread thee on the world which is the seat of the Fathers.
1.2.14.6	Thou art the leader of thy own people. Thou shalt stand on him who is the leader of the leaders. May he prosper thee.
1.2.14.7	O Agni, do thou fill the heaven and earth with ghee. May the divine Savitar anoint thee with honey.
1.2.14.8	Thou art the cup of Indra. Make the plants very sweet. Thou hast filled the heaven with thy front, the atmosphere with thy middle, and thou hast strengthened the earth with thy rear.
1.2.14.9	We seek your abodes for the sake of going. Where the cows are of many horns, without weariness, there shines the supreme abode of that Vishnu of many forms.
1.2.14.10	Behold the deeds of Vishnu, from where he saw the vows, the friend of Indra, yoked to his chariot.
1.2.14.11	I enclose thee in the region of Brahman, in the region of the Kshatra. Firm up Brahman, firm up Kshatra, firm up the prosperity of wealth, firm up offspring, firm up the kinsmen for this sacrificer.
1.2.14.12	That is the supreme place of Vishnu, the wise see it with Sachi, as the eye is stretched out in the sky.
1.2.14.13	You are the fire of the sacrifice. May the divine classes of people go around you. May the human beings go around this sacrificer, along with the prosperity of wealth and progeny. May your smoke go to heaven from the heavenly regions. May the light go to the atmosphere. May the ashes go to the earth. Svāhā.
1.2.15.1	I have taken thee for the Iṣa. Thou hast gone up to the gods, to the divine hosts, to the bright, wise fires. O Brihaspati, with thy support, thou hast taken the treasures. Thy offering has been gratified. O god Tvaṣṭr, thou hast taken treasures. May the Revatī (stars) rejoice in the fight. I have taken thee in the impulse of the god Savitr, in the arms of the Asvins, in the hands of Pūṣan. With the noose of the god-offered truth, I release thee. For him whom thou dost delight, I have taken thee. The human beings have taken thee. I sprinkle thee, agreeable to the waters and plants. May thy mother think of thee, thy father, thy brother born of the same womb, thy friend, thy companion, thy kinsman. Thou art the leader of the gods. Thou art the god. Thou art the sacrificer. Thou art the waters. Thou art the great one. Thou art the agreeable offering. May the divine waters be gratified. May thy Vāyu go with the wind. May thy limbs go with the sacrifices. May thy lord of sacrifice go with the blessing. Anointed with ghee, may ye protect the cattle.
1.2.15.2	Those who, when he was being bound, looked on with mind and eye, the god Agni, the first, released him, Prajapati, desiring offspring.
1.2.15.3	O Revati, O Pradha, enter the lord of sacrifice, the lord of the atmosphere, with the god Vata.
1.2.15.4	With your own self, with this oblation, may you be the younger of the younger, may you be in the lord of sacrifice. May you be in the sacrifice.
1.2.15.5	You are the knower of heaven, having known heaven, go to heaven, heaven for me, heaven for the cattle. You are the know-er of the world, having known the world, go to the world, world for me, world for the cattle. You are the knower-of-the-lord, having known the lord, go to the lord, lord for me, lord for the cattle. Knower of the path, having known the path, go to the path, path for me, path for the cattle.
1.2.15.6	You do not die, nor will you die. You seek the god in the auspicious paths. Where the well-doers go, not the ill-doers, there may the god Savitar place you.
1.2.15.7	The pacifiers have approached the sacrifice, connected with the gods. Release the animal from the noose, the lord of the sacrifice from the bondage.
1.2.15.8	Aditi has loosed these bonds. The bonds of the animal, from the Lord of Animals, he who hates us, may he fall down. On him we loose these bonds.
1.2.16.1	Obeisance to you, O Goddesses, the Waters, who are not to be crossed, go forth to the sacrificer along the stream of ghee, with the nourishment of wealth. You are the pure Goddesses, the waters. You are the purifiers. We are the purifiers, the protectors. May we be your protectors. Do not injure his speech. Do not injure this his breath. Do not injure the eye of this (sacrificer). Do not injure the ear of this (sacrificier). Whatever is harsh and whatever is fixed in him, may he purify it with this (water). May he be pure for the gods. Do not injure any part of his body. Do not injure its movements. Do not injure (his) navel. Do not injure penis. Do not injure anus. Be auspicious to the waters.
1.2.16.2-3	O herb, protect him, O one who is self-established, do not injure him. With that form of yours which is most auspicious, touch him. You are the share of the earth, the Rakshas. This I am repelling, this I am leading to the lowest darkness. For Indra, for Agni, for Soma, for Vishnu, for Varuna, for Yama, for Aryaman, for Mitra, for Vivasvat, for Savitar, for Sarasvati, for Pusan, for Rudra, for the Maruts, for the Vasus, for the Adityas, for the Rudras, for the Vishvas, for the All-gods, for the All, for the All Gods, for the All. For Indra, for Agni... For the All-gods... For the Vasus... For the Vishvas... For the Rudras... For the Maruts... For the Adityas... For the Visvas... For all the gods... For the all... For the earth... For the sky... For the heaven... For the sun... For the moon... For the stars... For the wind... For the waters... For the plants... For the herbs... For the trees... For the fruits... For the grains... For the food... For the drink... For the cattle... For the sheep... For the goats... For the horses... For the donkeys... For the camels... For the elephants... For the birds... For the fish... For the bees... For the insects... For the snakes...
1.2.16.4	May the heaven and earth be anointed with ghee. For him, thee, agreeable, salutations to the sight of the sun.
1.2.16.5	Go to the firm sky. The Rakshas is repelled, the enmity is repelled. The Vayu's embryos are released. The hostilities are released. Svāhā. Go to the upward sky, to the Marut, the divine, the going.
1.2.17.1	The offering is agreeable to the gods, with ghee. For him it is agreeable. You are Agni. May Agni receive you. The waters have united you. For Vāta's speed, for Pūshan's course, for warmth, for the waters, for the plants, for the sap, for the ghee, for the ghee-drinkers, for the fat, for the fat-drinkers, you are the oblation of the atmosphere. Svāhā to you, O Vāta, to the directions, to the intermediate directions, to the quarters, to the quarters above, to the quarters below, to the quarters around, to the quarters in front, to the quarters behind, to the quarters on the right, to the quarters to the left, to the quarters of the east, to the quarters belonging to the east, to Indra's out-breath, to the limbs, to the limbs. Indra's in-breath, to all the limbs, to all the parts, to the limbs has been established. Indra's through-breath, to every limb, to every part, has been established.
