#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
3.1.4.7.3	tad yad evātra yajñasya tad evaitat sambhṛtyātman kurute
3.1.4.8.1	dīkṣāyai tapase 'gnaye svāheti
3.1.4.8.2	anv evaitad ucyate
3.1.4.8.3	net tu hūyate
3.1.4.9.1	sarasvatyai pūṣṇe 'gnaye svāheti
3.1.4.9.2	vāg vai sarasvatī
3.1.4.9.3	vāg yajñaḥ
3.1.4.9.4	paśavo vai pūṣā
3.1.4.9.5	puṣṭir vai pūṣā
3.1.4.9.6	puṣṭiḥ paśavaḥ
3.1.4.9.7	paśavo hi yajñaḥ
3.1.4.9.8	tad yad evātra yajñasya tad evaitat sambhṛtyātman kurute
3.1.4.10.1	tad āhur anaddhevaitā āhutayo hūyante 'pratiṣṭhitā adevakāḥ
3.1.4.10.2	tatra nendro na somo nāgnir iti
3.1.4.11.1	ākūtyai prayuje 'gnaye svāheti
3.1.4.11.2	nāta ekaṃ cana
3.1.4.11.3	agnir vā addhevāgniḥ pratiṣṭhitaḥ
3.1.4.11.4	sa yad agnau juhoti tenaivaitā addheva tena pratiṣṭhitāḥ
3.1.4.11.5	tasmād u sarvāsv evāgnaye svāheti juhoti
3.1.4.11.6	tata etāny ādhītayajūṃṣīty ācakṣate
3.1.4.12.1	ākūtyai prayuje 'gnaye svāheti
3.1.4.12.2	ātmanā vā agra ākuvate yajeyeti
3.1.4.12.3	tam ātmana eva prayuṅkte
3.1.4.12.4	yat tanute te asyaite ātman devate ādhīte bhavata ākūtiśc a prayuk ca
3.1.4.13.1	medhāyai manase 'gnaye svāheti
3.1.4.13.2	medhayā vai manasābhigacchati yajeyeti
3.1.4.13.3	te asyaite ātman devate ādhīte bhavato medhā ca manaś ca
3.1.4.14.1	sarasvatyai pūṣṇe 'gnaye svāheti
3.1.4.14.2	vāg vai sarasvatī
3.1.4.14.3	vāg yajñaḥ
3.1.4.14.4	sāsyaiṣātman devatādhītā bhavati vāk
3.1.4.14.5	paśavo vai pūṣā
3.1.4.14.6	puṣṭir vai pūṣā
3.1.4.14.7	puṣṭiḥ paśavaḥ
3.1.4.14.8	paśavo hi yajñaḥ
3.1.4.14.9	te 'syaita ātman paśava ādhītā bhavanti
3.1.4.14.10	tad yad asyaitā ātman devatā ādhītā bhavanti tasmād ādhītayajūṃṣi nāma
3.1.4.15.1	atha caturthīṃ juhoty āpo devīr bṛhatīr viśvaśambhuvo dyāvāpṛthivī uro antarikṣa bṛhaspataye haviṣā vidhema svāheti
3.1.4.15.2	eṣā ha nedīyo yajñasya
3.1.4.15.3	apāṃ hi kīrtayati
3.1.4.15.4	āpo hi yajñaḥ
3.1.4.15.5	dyāvāpṛthivī uro antarikṣeti lokānāṃ hi kīrtayati
3.1.4.15.6	bṛhaspataye haviṣā vidhema svāheti
3.1.4.15.7	brahma vai bṛhaspatiḥ
3.1.4.15.8	brahma yajñaḥ
3.1.4.15.9	eteno haiṣā nedīyo yajñasya
3.1.4.16.1	atha yām pañcamīṃ srucā juhoti sā haiva pratyakṣaṃ yajñaḥ
3.1.4.16.2	anuṣṭubhā hi tāṃ juhoti
3.1.4.16.3	vāgghy anuṣṭup
3.1.4.16.4	vāgghi yajñaḥ
3.1.4.17.1	atha yad dhruvāyām ājyam pariśiṣṭam bhavati taj juhvām ānayati
3.1.4.17.2	triḥ sruveṇājyavilāpanyā adhi juhvāṃ gṛhṇāti
3.1.4.17.3	yat tṛtīyaṃ gṛhṇāti tat sruvam abhipūrayati
3.1.4.18.1	sa juhoti viśvo devasya netur marto vurīta sakhyam viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase svāheti
3.1.4.19.1	saiṣā devatābhiḥ paṅktir bhavati viśvo devasyeti vaiśvadevaṃ netur iti sāvitram marto vurīteti maitraṃ dyumnaṃ vṛṇīteti bārhaspatyam
3.1.4.19.2	dyumnaṃ hi bṛhaspatiḥ
3.1.4.19.3	puṣyasa iti pauṣṇam
3.1.4.20.1	saiṣā devatābhiḥ paṅktir bhavati
3.1.4.20.2	pāṅkto yajñaḥ
3.1.4.20.3	pāṅktaḥ paśuḥ
3.1.4.20.4	pañcartavaḥ saṃvatsarasya
3.1.4.20.5	etam evaitayāpnoti yad devatābhiḥ paṅktir bhavati
3.1.4.21.1	tāṃ vā anuṣṭubhā juhoti
3.1.4.21.2	vāg vā anuṣṭup
3.1.4.21.3	vāg yajñaḥ
3.1.4.21.4	tad yajñam pratyakṣam āpnoti
3.1.4.22.1	tad āhur etām evaikāṃ juhuyāt
3.1.4.22.2	yasmai kāmāyetarā hūyanta etayaiva taṃ kāmam āpnotīti
3.1.4.22.3	tāṃ vai yady ekāṃ juhuyāt pūrṇāṃ juhuyāt
3.1.4.22.4	sarvaṃ vai pūrṇam
3.1.4.22.5	sarvam evainayaitad āpnoti
3.1.4.22.6	atha yat sruvam abhipūrayati srucaṃ tad abhipūrayati
3.1.4.22.7	tām pūrṇāṃ juhoti
3.1.4.22.8	anvaivaitad ucyate
3.1.4.22.9	sarvās tv eva hūyante
3.1.4.23.1	tāṃ vā anuṣṭubhā juhoti
3.1.4.23.2	saiṣānuṣṭup saty ekatriṃśadakṣarā bhavati
3.1.4.23.3	daśa pāṇyā aṅgulayo daśa pādyā daśa prāṇā ātmaikatriṃśo yasminn ete prāṇāḥ pratiṣṭhitāḥ
3.1.4.23.4	etāvān vai puruṣaḥ
3.1.4.23.5	puruṣo yajñaḥ
3.1.4.23.6	puruṣasammito yajñaḥ
3.1.4.23.7	sa yāvān eva yajño yāvaty asya mātrā tāvantam evainayaitad āpnoti yad anuṣṭubhaikatriṃśadakṣarayā juhoti
3.2.1.1.1	dakṣiṇenāhavanīyam prācīnagrīve kṛṣṇājine upastṛṇāti
3.2.1.1.2	tayor enam adhi dīkṣayati
3.2.1.1.3	yadi dve bhavatas tad anayor lokayo rūpam
3.2.1.1.4	tad enam anayor lokayor adhi dīkṣayati
3.2.1.2.1	saṃbaddhānte bhavataḥ
3.2.1.2.2	sambaddhāntāv iva hīmau lokau
3.2.1.2.3	tardmasamute paścād bhavataḥ
3.2.1.2.4	tad imāv eva lokau mithunīkṛtya tayor enam adhi dīkṣayati
3.2.1.3.1	yady u eka bhavati tad eṣāṃ lokānāṃ rūpam
3.2.1.3.2	tad enam eṣu lokeṣv adhi dīkṣayati
3.2.1.3.3	yāni śuklāni tāni divo rūpaṃ yāni kṛṣṇāni tāny asyai
3.2.1.3.4	yadi vetarathā yāny eva kṛṣṇāni tāni divo rūpaṃ yāni śuklāni tāny asyai
3.2.1.3.5	yāny eva babhrūṇīva harīṇi tāny antarikṣasya rūpam
3.2.1.3.6	tad enam eṣu lokeṣv adhi dīkṣayati
3.2.1.4.1	antakam u tarhi paścāt pratyasyet
3.2.1.4.2	tad imān eva lokān mithunīkṛtya teṣv enam adhi dīkṣayati
3.2.1.5.1	atha jaghanena kṛṣṇājine paścāt prāṅ jānvākna upaviśati
3.2.1.5.2	sa yatra śuklānāṃ ca kṛṣṇānāṃ ca saṃdhir bhavati tad evam animṛśya japaty ṛkṣāmayoḥ śilpe stha iti
3.2.1.5.3	yad vai pratirūpaṃ tacchilpam
3.2.1.5.4	ṛcāṃ ca sāmnāṃ ca pratirūpe stha ity evaitad āha
3.2.1.6.1	te vām ārabha iti
3.2.1.6.2	garbho vā eṣa bhavati yo dīkṣate
3.2.1.6.3	sa chandāṃsi praviśati
3.2.1.6.4	tasmān nvaknāṅguliri va bhavati
3.2.1.6.5	nyaknāṅgulaya iva hi garbhāḥ
3.2.1.7.1	sa yad āha te vām ārabha iti te vām praviśāmīty evaitad āha
3.2.1.7.2	te mā pātam āsya yajñasyodṛca iti te mā gopāyatam āsya yajñasya saṃsthāyā ity evaitad āha
3.2.1.8.1	atha dakṣiṇena jānunārohati śarmāsi śarma me yaccheti
3.2.1.8.2	carma vā etat kṛṣṇasya tad asya tan mānuṣaṃ śarma devatrā
3.2.1.8.3	tasmād āha śarmāsi śarma me yaccheti
3.2.1.8.4	namas te astu mā mā hiṃsīr iti
3.2.1.8.5	śreyāṃsaṃ vā eṣa upādhirohati yo yajñam
3.2.1.8.6	yajño hi kṛṣṇājinam
3.2.1.8.7	tasmā evaitad yajñāya nihnute
3.2.1.8.8	tatho hainam eṣa yajño na hinasti
3.2.1.8.9	tasmād āha namas te astu mā mā hiṃsīr iti
3.2.1.9.1	sa vai jaghanārdha ivaivāgra āsīta
3.2.1.9.2	atha yad agra eva madhya upaviśed ya enaṃ tatrānuṣṭhyā hared drapsyati vā pra vā patiṣyatīti tathā haiva syāt
3.2.1.9.3	tasmāj jaghanārdha ivaivāgra āsīta
3.2.1.10.1	atha mekhalām pariharate
3.2.1.10.2	aṅgiraso ha vai dīkṣitānabalyamavindatte
3.2.1.10.3	nānyadvratādaśanamavākalpayaṃsta etāmūrjamapaśyantsamāptiṃ tām madhyata
3.2.1.10.4	ātmana ūrjamadadhata samāptiṃ tayā samāpnuvaṃstatho evaiṣa etām madhyata
3.2.1.10.5	ātmana ūrjaṃdhatte samāptiṃ tayā samāpnoti
3.2.1.11.1	sā vai śāṇī bhavati
3.2.1.11.2	mṛdvy asad iti nv eva śāṇī
3.2.1.11.3	yatra vai prajāpatir ajāyata garbho bhūtvaitasmād yajñāt tasya yan nediṣṭham ulbam āsīt te śaṇāḥ
3.2.1.11.4	tasmāt te pūtayo vānti
3.2.1.11.5	yad v asya jarāyvāsīt tad dīkṣitavasanam
3.2.1.11.6	antaraṃ vā ulbaṃ jarāyuṇo bhavati
3.2.1.11.7	tasmād eṣāntarā vāsaso bhavati
3.2.1.11.8	sa yathaivātaḥ prajāpatir ajāyata garbho bhūtvaitasmād yajñād evam evaiṣo 'to jāyate garbho bhūtvaitasmād yajñāt
3.2.1.12.1	sā vai trivṛd bhavati
3.2.1.12.2	trivṛddhy annam
3.2.1.12.3	paśavo hy annam
3.2.1.12.4	pitā mātā yaj jāyate tat tṛtīyam
3.2.1.12.5	tasmāt trivṛd bhavati
3.2.1.13.1	muñjavalśenānvastā bhavati
3.2.1.13.2	vajro vai śaro virakṣastāyai
3.2.1.13.3	stukāsargaṃ sṛṣṭā bhavati
3.2.1.13.4	sā yat prasalavi sṛṣṭā syād yathedam anyā rajjavo mānuṣī syāt
3.2.1.13.5	yad vapasalavi sṛṣṭā syāt pitṛdevatyā syāt
3.2.1.13.6	tasmāt stukāsargaṃ sṛṣṭā bhavati
3.2.1.14.1	tām pariharata ūrg asy āṅgirasīti
3.2.1.14.2	aṅgiraso hy etām ūrjam apaśyan
3.2.1.14.3	ūrṇamradā ūrjaṃ mayi dhehīti
3.2.1.14.4	nātra tirohitam ivāsti
3.2.1.15.1	atha nīvim udgūhate somasya nīvir asīti
3.2.1.15.2	adīkṣitasya vā asyaiṣāgre nīvir bhavaty athātra dīkṣitasya somasya
3.2.1.15.3	tasmād āha somasya nīvir asīti
3.2.1.16.1	atha prorṇute
3.2.1.16.2	garbho vā eṣa bhavati yo dīkṣate
3.2.1.16.3	prāvṛtā vai garbho ulbeneva jarāyuṇeva
3.2.1.16.4	tasmād vai prorṇute
3.2.1.17.1	sa prorṇute viṣṇoḥ śarmāsi śarma yajamānasyeti
3.2.1.17.2	ubhayaṃ vā eṣo 'tra bhavati yo dīkṣate viṣṇuś ca yajamānaś ca
3.2.1.17.3	yad aha dīkṣate tad viṣṇur bhavati
3.2.1.17.4	yad yajate tad yajamānaḥ
3.2.1.17.5	tasmād āha viṣṇoḥ śarmāsi śarma yajamānasyeti
3.2.1.18.1	atha kṛṣṇaviṣāṇāṃ sici badhnīte
3.2.1.18.2	devāś ca vā asurāś cobhaye prājāpatyāḥ prajāpateḥ pitur dāyam upeyuḥ
3.2.1.18.3	mana eva devā upāyan vācam asurāḥ
3.2.1.18.4	yajñam eva tad devā upāyan vācam asurāḥ
3.2.1.18.5	amūm eva devā upāyann imām asurāḥ
3.2.1.19.1	te devā yajñam abruvan yoṣā vā iyaṃ vāk
3.2.1.19.2	upamantrayasva
3.2.1.19.3	hvayiṣyate vai tveti
3.2.1.19.4	svayaṃ vā haivaikṣata yoṣā vā iyaṃ vāk
3.2.1.19.5	upamantrayai
3.2.1.19.6	hvayiṣyate vai meti
3.2.1.19.7	tām upāmantrayata
3.2.1.19.8	sā hāsmā ārakād ivaivāgra āsūyat
3.2.1.19.9	tasmād u strī puṃsopamantritārakād ivaivāgre 'sūyati
3.2.1.19.10	sa hovācārakād iva vai ma āsūyīd iti
3.2.1.20.1	te hocur upaiva bhagavo mantrayasva
3.2.1.20.2	hvayiṣyate vai tveti
3.2.1.20.3	tām upāmantrayata
3.2.1.20.4	sā hāsmai nipalāśam ivovāda
3.2.1.20.5	tasmād u strī puṃsopamantritā nipalāśam ivaiva vadati
3.2.1.20.6	sa hovāca nipalāśam iva vai me 'vādīd iti
3.2.1.21.1	te hocur upaiva bhagavo mantrayasva
3.2.1.21.2	hvayiṣyate vai tveti
3.2.1.21.3	tām upāmantrayata
3.2.1.21.4	sā hainaṃ juhuva
3.2.1.21.5	tasmād u strī pumāṃsaṃ hvayata evottamam
3.2.1.21.6	sa hovācāhvata vai meti
3.2.1.22.1	te devā īkṣāṃ cakrire yoṣā vā iyaṃ vāg yad enaṃ na yuvitā
3.2.1.22.2	ihaiva mā tiṣṭhantam abhyehīti brūhi
3.2.1.22.3	tām tu na āgatām pratiprabrūtād iti
3.2.1.22.4	sā hainaṃ tad eva tiṣṭhantam abhyeyāya
3.2.1.22.5	tasmād u strī pumāṃsaṃ saṃskṛte tiṣṭhantam abhyaiti
3.2.1.22.6	tāṃ haibhya āgatām pratiprovāceyaṃ vā āgād iti
3.2.1.23.1	tāṃ devā asurebhyo 'ntarāyan
3.2.1.23.2	tāṃ svīkṛtyāgnāv eva parigṛhya sarvahutam ajuhavuḥ
3.2.1.23.3	āhutir hi devānām
3.2.1.23.4	sa yām evāmūm anuṣṭubhājuhavus tad evaināṃ tad devāḥ svyakurvata
3.2.1.23.5	te 'surā āttavacaso he 'lavo he 'lava iti vadantaḥ parābabhūvuḥ
3.2.1.24.1	tatraitām api vācam ūdur upajijñāsyām
3.2.1.24.2	sa mlecchaḥ
3.2.1.24.3	tasmān na brāhmaṇo mlecchet
3.2.1.24.4	asuryā haiṣā vāg eva
3.2.1.24.5	eṣa dviṣatāṃ sapatnānām ādatte vācam
3.2.1.24.6	te 'syāttavacasaḥ parābhavanti ya evam etad veda
3.2.1.25.1	so 'yaṃ yajño vācamabhidadhyau mithunyenayā syām iti
3.2.1.25.2	tāṃ saṃbabhūva
3.2.1.26.1	indro ha vā īkṣāṃ cakre mahad vā ito 'bhvaṃ janiṣyate yajñasya ca mithunād vācaś ca
3.2.1.26.2	yan mā tan nābhibhaved iti
3.2.1.26.3	sa indra eva garbho bhūtvaitan mithunaṃ praviveśa
3.2.1.27.1	sa ha saṃvatsare jāyamāna īkṣāṃ cakre mahāvīryā vā iyaṃ yonir yā mām adīdharata
3.2.1.27.2	yad vai meto mahad evābhvaṃ nānuprajāyeta
3.2.1.27.3	yan mā tan nābhibhaved iti
3.2.1.28.1	tām pratiparāmṛśyāveṣṭyācchinat
3.2.1.28.2	tāṃ yajñasya śīrṣan pratyadadhāt
3.2.1.28.3	yajño hi kṛṣṇaḥ
3.2.1.28.4	sa yaḥ sa yajñas tat kṛṣṇājinam
3.2.1.28.5	yo sā yoniḥ sā kṛṣṇaviṣāṇā
3.2.1.28.6	atha yad enām indra āveṣṭyācchinat tasmād āveṣṭiteva
3.2.1.28.7	sa yathaivāta indro 'jāyata garbho bhūtvaitasmān mithunād evam evaiṣo 'to jāyate garbho bhūtvaitasmān mithunāt
3.2.1.29.1	tāṃ vā uttānām iva badhnāti
3.2.1.29.2	uttāneva vai yonir garbham bibharti
3.2.1.29.3	atha dakṣiṇāṃ bhruvam uparyupari lalāṭam upaspṛśatīndrasya yonirasīti
3.2.1.29.4	indrasya hy eṣā yoniḥ
3.2.1.29.5	ato vā hy enām praviśan praviśati
3.2.1.29.6	ato vā jāyamāno jāyate
3.2.1.29.7	tasmād āhendrasya yonir asīti
3.2.1.30.1	athollikhati susasyāḥ kṛṣīskṛdhīti
3.2.1.30.2	yajñam evaitaj janayati
3.2.1.30.3	yadā vai suṣamam bhavaty athālaṃ yajñāya bhavati
3.2.1.30.4	yado duḥṣamam bhavati na tarhy ātmane canālaṃ bhavati
3.2.1.30.5	tad yajñam evaitaj janayati
3.2.1.31.1	atha na dīkṣitaḥ kāṣṭhena vā nakhena vā kaṇḍūyeta
3.2.1.31.2	garbho vā eṣa bhavati yo dīkṣate
3.2.1.31.3	yo vai garbhasya kāṣṭhena vā nakhena vā kaṇḍūyed apāsyan mrityet
3.2.1.31.4	tato dīkṣitaḥ pāmano bhavitoḥ
3.2.1.31.5	dīkṣitaṃ vā anu retāṃsi
3.2.1.31.6	tato retāṃsi pāmanāni janitoḥ
3.2.1.31.7	svā vai yonī reto na hinasti
3.2.1.31.8	eṣā vā etasya svā yonir bhavati yat kṛṣṇaviṣāṇā
3.2.1.31.9	tatho hainam eṣā na hinasti
3.2.1.31.10	tasmād dīkṣitaḥ kṛṣṇaviṣāṇayaiva kaṇḍūyeta nānyena kṛṣṇaviṣāṇāyāḥ
3.2.1.32.1	athāsmai daṇḍam prayacchati
3.2.1.32.2	vajro vai daṇḍo virakṣastāyai
3.2.1.33.1	audumbaro bhavati
3.2.1.33.2	annaṃ vā ūrg udumbara ūrjo 'nnādyasyāvaruddhyai
3.2.1.33.3	tasmād audumbaro bhavati
3.2.1.34.1	mukhasaṃmito bhavati
3.2.1.34.2	etāvad vai vīryam
3.2.1.34.3	sa yāvad eva vīryaṃ tāvāṃs tad bhavati yan mukhasaṃmitaḥ
3.2.1.35.1	tam ucchrayaty ucchrayasva vanaspata ūrdhvo mā pāhy aṃhasa āsya yajñasyodṛca iti
3.2.1.35.2	ūrdhvo mā gopāyāsya yajñasya saṃsthāyā ity evaitad āha
3.2.1.36.1	atra haike 'ṅguliśca nyacanti vācaṃ ca yacchanty ato hi kiṃ ca na japiṣyan bhavatīti vadantaḥ
3.2.1.36.2	tad u tathā na kuryāt
3.2.1.36.3	yathā parāñcaṃ dhāvantam anulipseta taṃ nānulabhetaivaṃ ha sa yajñaṃ nānulabhate
3.2.1.36.4	tasmād amutraivāṅgulīr nyaced amutra vācaṃ yacchet
3.2.1.37.1	atha yad dīkṣita ṛcaṃ vā yajur vā sāma vābhivyāharaty abhisthiram abhisthiram evaitad yajñam ārabhate
3.2.1.37.2	tasmād amutraivāṅgulīr nyaced amutra vācaṃ yacchet
3.2.1.38.1	atha yad vācaṃ yacchati vāg vai yajño yajñam evaitad ātman dhatte
3.2.1.38.2	atha yad vācaṃyamo vyāharati tasmād u haiṣa visṛṣṭo yajñaḥ parāṅ āvartate
3.2.1.38.3	tatro vaiṣṇavīm ṛcaṃ vā yajur vā japet
3.2.1.38.4	yajño vai viṣṇuḥ
3.2.1.38.5	tad yajñam punar ārabhate
3.2.1.38.6	tasyo haiṣā prāyaścittiḥ
3.2.1.39.1	athaika udvadati dīkṣito 'yam brāhmaṇo dīkṣito 'yam brāhmaṇa iti
3.2.1.39.2	niveditam evainam etat santaṃ devebhyo nivedayaty ayam mahāvīryo yo yajñam prāpad iti
3.2.1.39.3	ayaṃ yuṣmākaiko 'bhūt
3.2.1.39.4	taṃ gopāyatety evaitad āha
3.2.1.39.5	triṣkṛtva āha
3.2.1.39.6	trivṛddhi yajñaḥ
3.2.1.40.1	atha yad brāhmaṇa ity āhānaddheva vā asyātaḥ purā jānaṃ bhavati
3.2.1.40.2	idaṃ hy āhū rakṣāṃsi yoṣitam anusacante
3.2.1.40.3	tad uta rakṣāṃsy eva reta ādadhatīti
3.2.1.40.4	athātrāddhā jāyate yo brahmaṇo yo yajñāj jāyate
3.2.1.40.5	tasmād api rājanyaṃ vā vaiśyaṃ vā brāhmaṇa ity eva brūyāt
3.2.1.40.6	brahmaṇo hi jāyate yo yajñāj jāyate
3.2.1.40.7	tasmād āhur na savanakṛtaṃ hanyāt
3.2.1.40.8	enasvī haiva savanakṛteti
3.2.2.1.1	vācaṃ yacchati
3.2.2.1.2	sa vācaṃyama āsta āstamayāt
3.2.2.1.3	tad yad vācaṃ yacchati
3.2.2.2.1	yajñena vai devā imāṃ jitiṃ jigyur yaiṣāmiyaṃ jitiḥ
3.2.2.2.2	te hocuḥ kathaṃ na idam manuṣyair anabhyārohyaṃ syād iti
3.2.2.2.3	te yajñasya rasaṃ dhītvā yathā madhu madhukṛto nirdhayeyuḥ
3.2.2.2.4	viduhya yajñaṃ yūpena yopayitvā tiro 'bhavan
3.2.2.2.5	atha yad enenāyopayaṃs tasmād yūpo nāma
3.2.2.3.1	tad vā ṛṣīṇām anuśrutam āsa
3.2.2.3.2	te yajñaṃ samabharan
3.2.2.3.3	yathāyaṃ yajñaḥ sambhṛta evaṃ vā eṣa yajñaṃ sambharati yo dīkṣate
3.2.2.3.4	vāg vai yajñaḥ
3.2.2.4.1	tām astamite vācaṃ visṛjate
3.2.2.4.2	saṃvatsaro vai prajāpatiḥ
3.2.2.4.3	prajāpatir yajñaḥ
3.2.2.4.4	ahorātre vai saṃvatsaraḥ
3.2.2.4.5	ete hy enam pariplavamāne kurutaḥ
3.2.2.4.6	so 'hann adīkṣiṣṭa
3.2.2.4.7	sa rātrim prāpat
3.2.2.4.8	sa yāvān eva yajño yāvaty asya mātrā tāvantam evaitad āptvā vācaṃ visṛjate
3.2.2.5.1	taddhaike nakṣatraṃ dṛṣṭvā vācaṃ visarjayanty atrānuṣṭhyāstamito bhavatīti vadantaḥ
3.2.2.5.2	tad u tathā na kuryāt
3.2.2.5.3	kva te syur yan meghaḥ syāt
3.2.2.5.4	tasmād yatraivānuṣṭhyāstamitam manyeta tad eva vācaṃ visarjayet
3.2.2.6.1	aneno haike vācaṃ visarjayanti bhūr bhuvaḥ svar iti yajñam āpyāyayāmo yajñaṃ saṃdadhma iti vadantaḥ
3.2.2.6.2	tad u tathā na kuryāt
3.2.2.6.3	na ha sa yajñam āpyāyayati na saṃdadhāti ya etena vācaṃ visarjayati
3.2.2.7.1	anenaiva vācaṃ visarjayed vrataṃ kṛṇuta vrataṃ kṛṇutāgnir brahmāgnir yajño vanaspatir yajñiya iti
3.2.2.7.2	eṣa hy asyātra yajño bhavaty etaddhavir yathā purāgnihotram
3.2.2.7.3	tad yajñenaivaitad yajñaṃ sambhṛtya yajñe yajñam pratiṣṭhāpayati yajñena yajñaṃ saṃtanoti
3.2.2.7.4	saṃtataṃ hy evāsyaitad vratam bhavaty ā sutyāyai
3.2.2.7.5	triṣkṛtva āha
3.2.2.7.6	trivṛddhi yajñaḥ
3.2.2.8.1	athāgnim abhyāvṛtya vācaṃ visṛjate
3.2.2.8.2	na ha sa yajñam āpyāyayati na saṃdadhāti yo 'to 'nyena vācaṃ visṛjate
3.2.2.8.3	sa prathamaṃ vyāharant satyaṃ vāco 'bhivyāharati
3.2.2.9.1	agnir brahmeti
3.2.2.9.2	agnir hy eva brahma
3.2.2.9.3	agnir yajña iti
3.2.2.9.4	agnir hy eva yajñaḥ
3.2.2.9.5	vanaspatir yajñiya iti
3.2.2.9.6	vanaspatayo hi yajñiyāḥ
3.2.2.9.7	na hi manuṣyā yajeran yad vanaspatayo na syuḥ
3.2.2.9.8	tasmād āha vanaspatir yajñiya iti
3.2.2.10.1	athāsmai vrataṃ śrapayanti
3.2.2.10.2	devān vā eṣa upāvartate yo dīkṣate
3.2.2.10.3	sa devatānām eko bhavati
3.2.2.10.4	śṛtaṃ vai devānāṃ havir nāśṛtam
3.2.2.10.5	tasmācchrapayanti
3.2.2.10.6	tad eṣa eva vratayati
3.2.2.10.7	nāgnau juhoti
3.2.2.10.8	tad yad eṣa eva vratayati nāgnau juhoti
3.2.2.11.1	yajñena vai devā imāṃ jitiṃ jigyur yaiṣām iyaṃ jitiḥ
3.2.2.11.2	te hocuḥ kathaṃ na idam manuṣyair anabhyārohyaṃ syād iti
3.2.2.11.3	te yajñasya rasaṃ dhītvā yathā madhu madhukṛto nirdhayeyuḥ
3.2.2.11.4	viduhya yajñaṃ yūpena yopayitvā tiro 'bhavan
3.2.2.11.5	atha yad enenāyopayaṃs tasmād yūpo nāma
3.2.2.12.1	tad vā ṛṣīṇām anuśrutam āsa
3.2.2.12.2	te yajñaṃ samabharan
3.2.2.12.3	yathāyaṃ yajñaḥ sambhṛta eṣa vā atra yajño bhavati yo dīkṣate
3.2.2.12.4	eṣa hy enaṃ tanuta eṣa enaṃ janayati
3.2.2.12.5	tad yad evātra yajñasya nirdhītaṃ yad vidugdhaṃ tad evaitat punar āpyāyayati yad eṣa eva vratayati
3.2.2.12.6	nāgnau juhoti
3.2.2.12.7	na hāpyāyayed yad agnau juhuyāt
3.2.2.12.8	juhvad u haiva manyeta nājuhvat
3.2.2.13.1	ime vai prāṇā manojātā manoyujo dakṣakratavaḥ
3.2.2.13.2	vāg evāgniḥ
3.2.2.13.3	prāṇodānau mitrāvaruṇau
3.2.2.13.4	cakṣur ādityaḥ
3.2.2.13.5	śrotraṃ viśve devāḥ
3.2.2.13.6	etāsu haivāsyaitad devatāsu hutaṃ bhavati
3.2.2.14.1	taddhaike prathame vrata ubhau vrīhiyavāv āvapanty ubhābhyāṃ rasābhyāṃ yad evātra yajñasya nirdhītaṃ yad vidugdhaṃ tat punarāpyāyayāma iti vadantaḥ
3.2.2.14.2	yady u vratadughā na duhīta yasyaivātaḥ kāmayeta tasya vrataṃ kuryāt
3.2.2.14.3	etad u hy evāsyaitā ubhau vrīhiyavāv anvārabdhau bhavata iti
3.2.2.14.4	tad u tathā na kuryāt
3.2.2.14.5	na ha sa yajñam āpyāyayati na saṃdadhāti ya ubhau vrīhiyavāv āvapati
3.2.2.14.6	tasmād anyataram evāvapet
3.2.2.14.7	havir vā asyaitā ubhau vrīhiyavau bhavataḥ
3.2.2.14.8	sa yad evāsyaitau havir bhavatas tad evāsyaitāv anvārabdhau bhavataḥ
3.2.2.14.9	yady u vratadughā na duhīta yasyaivātaḥ kāmayeta tasya vrataṃ kuryāt
3.2.2.15.1	taddhaike prathame vrate sarvauṣadhaṃ sarvasurabhy āvapanti yadi dīkṣitam ārtir vinded yenaivātaḥ kāmayeta tena bhiṣajyed yathā vratena bhiṣajyed iti
3.2.2.15.2	tad u tathā na kuryāt
3.2.2.15.3	mānuṣaṃ ha te yajñe kurvanti
3.2.2.15.4	vyṛddhaṃ vai tad yajñasya yan mānuṣam
3.2.2.15.5	ned vyṛddhaṃ yajñe karavāṇīti
3.2.2.15.6	yadi dīkṣitam ārtir vinded yenaivātaḥ kāmayeta tena bhiṣajyet
3.2.2.15.7	samāptir hy eva puṇyā
3.2.2.16.1	athāsmai vratam prayacchaty atinīya mānuṣaṃ kālaṃ sāyaṃdugdham apararātre prātardugdham aparāhṇe vyākṛtyā eva
3.2.2.16.2	daivaṃ caivaitan mānuṣaṃ ca vyākaroti
3.2.2.17.1	athāsmai vratam pradāsyann apa upasparśayati daivīṃ dhiyam manāmahe sumṛḍīkām abhiṣṭaye varcodhāṃ yajñavāhasaṃ sutīrthā no asad vaśa iti
3.2.2.17.2	mānuṣāya vā eṣa purāśanāyāvanenikte 'thātra daivyai dhiye
