#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
7.5.29	praivainaṃ yuṅkte
7.5.30	kāmam asyardhnoti
7.5.31	manuṣyasyen nu yaḥ kāmam ṛdhnoti sa vasīyān bhavati
7.5.32	ṛdhnoti vasīyān bhavati ya evaṃ vidvān agnim upatiṣṭhate
7.5.33	upeti
7.5.34	sambhavaty evaitayā
7.5.35	agnir mūrdheti
7.5.36	reta evaitayā prasiñcati
7.5.37	ubhā vām indrāgnī iti
7.5.38	prāṇāpānau vā indrāgnī
7.5.39	prāṇāpānā evaitayā dadhāti
7.5.40	ayam iha prathamo dhāyīti
7.5.41	garbham evaitayā dadhāti
7.5.42	asya pratnām anu dyutam iti
7.5.43	ūdha evaitayā karoti
7.5.44	ayaṃ te yonir ṛtviya iti
7.5.45	janayati caivaitayā vardhayati ca
7.5.46	kﾱptā ha vā asya prajā jāyate ya evaṃ vidvān agnim upatiṣṭhate
7.6.1	ahar vai devānām āsīd rātry asurāṇām
7.6.2	te devās tamaso 'ndhaso mṛtyo rātryā abhyāplavamānād abibhayuḥ
7.6.3	te chandobhir agnim anvārabhanta
7.6.4	gāyatryā vasavas triṣṭubhā rudrā jagatyādityā ambhas stheti paśavaḥ indhānā iti manuṣyāḥ
7.6.5	te devās tamaso 'ndhaso mṛtyo rātryāḥ pāram ataran
7.6.6	yac chandobhir agnim upatiṣṭhate
7.6.7	tamasa evaiṣāndhaso mṛtyo rātryāḥ pāratīrtiḥ
7.6.8	tvam agne sūryavarcā iti
7.6.9	agnaya evaitām āśiṣam āśāste
7.6.10	saṃ mām āyuṣā varcasā sṛjeti
7.6.11	ātmana evaitām āśiṣam āśāste
7.6.12	saṃ tvam agne sūryasya jyotiṣāgathā iti
7.6.13	agnaya evaitām āśiṣam āśāste
7.6.14	sam ṛṣīṇāṃ stuteneti
7.6.15	chandāṃsi vā ṛṣīṇāṃ stutam
7.6.16	chandobhir evainaṃ samardhayati
7.6.17	saṃ priyeṇa dhāmneti
7.6.18	paśavo vā agneḥ priyaṃ dhāma
7.6.19	paśubhir evainaṃ samardhayati
7.6.20	sam aham āyuṣā saṃ varcasā saṃ prajayā saṃ rāyaspoṣeṇa gmīyeti
7.6.21	ātmana evaitām āśiṣam āśāste
7.6.22	indhānās tvā śataṃ himā iti
7.6.23	etaddha vai dāśarma āruṇim uvācāgnim ādadhivāṃsam udgātaḥ kenāgnir upastheya iti
7.6.24	tasmai haitad agnyupasthānam uvāca
7.6.25	sa hovāca
7.6.26	anayopastheya indhānās tvā śataṃ himā iti
7.6.27	yo vā etayopatiṣṭhate pāpīyān asmād bhrātṛvyo bhavati
7.6.28	pāpīyān sapatnas sarvam āyur eti
7.6.29	ā jīvitor annam atti
7.6.30	āyurdhā agne 'si
7.6.31	āyur me dhehīti
7.6.32	ātmana evaitām āśiṣam āśāste
7.6.33	vayodhā agne 'si
7.6.34	vayo me dhehīti
7.6.35	ātmana evaitām āśiṣam āśāste
7.6.36	tanūpā agne 'si
7.6.37	tanvaṃ me pāhīti
7.6.38	ātmana evaitām āśiṣam āśāste
7.6.39	yan me agna ūnaṃ tanvas tan ma āpṛṇeti
7.6.40	yad evāsyonam ātmanas tad āpūrayate
7.6.41	agnes samid asi
7.6.42	abhiśastyā mā pāhi somasya yamasyeti
7.6.43	sarvasmād evainam etāḥ pānti
7.6.44	agne yat te tapas tena taṃ pratitapa yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti
7.6.45	tenaivainaṃ pratitapati pratiśocati pratitityakti pratyarcati pratiharati
7.6.46	etaddha vā āruṇir uvāca
7.6.47	etenāhaṃ sarvān sapatnān sarvān bhrātṛvyān abhyabhavam iti
7.6.48	śreyāñchreyān ātmanā bhavati pāpīyānpāpīyān ya enaṃ dveṣṭi yo 'smā arātīyati ya evaṃ vidvān agnim upatiṣṭhate
7.6.49	agne rucāṃ pate
7.6.50	namas te ruce
7.6.51	mayi rucaṃ dhehīti
7.6.52	sarvā eva śucaś śamayitvā rucam ātman dhatte
7.6.53	citrāvaso svasti te pāram aśīya
7.6.54	arvāgvaso svasti te pāram aśīyeti
7.6.55	rātrī vai citrāvasur ahar arvāgvasuḥ
7.6.56	ahorātrayor evaiṣā parītiḥ
7.6.57	na naktaṃ na divārtim ārchati ya evaṃ veda
7.6.58	bhaṅge vā ete yajñasyāgnī rātry asā ādityo 'haḥ
7.6.59	ete eva bhaṅge īṭṭa īśvaro bhūtaṃ ca bhaviṣyac cājñātor ya evaṃ veda
7.7.1	ambhas stheti
7.7.2	ambho hy etāḥ
7.7.3	mahas stheti
7.7.4	maho hy etāḥ
7.7.5	ūrjas stheti
7.7.6	ūrjo hy etāḥ
7.7.7	rāyaspoṣas stheti
7.7.8	rāyaspoṣo hy etāḥ
7.7.9	revatī ramadhvam iti
7.7.10	paśavo vai revatīḥ
7.7.11	paśava etad yad antarāgnī
7.7.12	sva evainā goṣṭhe ramayāmakaḥ
7.7.13	asmin yonā iti
7.7.14	eṣa hy āsāṃ yoniḥ
7.7.15	asmin goṣṭha iti
7.7.16	eṣa hy āsāṃ goṣṭhaḥ
7.7.17	ayaṃ vo bandhur ito māpagāteti
7.7.18	upopaivainaṃ paśavo yanti
7.7.19	nāpakrāmanti ya evaṃ vidvān agnim upatiṣṭhate
7.7.20	eti vā eṣo 'smāl lokād yo 'gnim upatiṣṭhate
7.7.21	ambhas stheti
7.7.22	paśavo vā ambhaḥ paśavo 'ntarikṣam
7.7.23	paśuṣv eva pratitiṣṭhati
7.7.24	bibhyati vai devebhyaḥ paśavaḥ
7.7.25	devānām eṣa eko yo 'gnim upatiṣṭhate
7.7.26	te 'smād īśvarāḥ pratrasaḥ
7.7.27	saṃhitāsi viśvarūpeti
7.7.28	etāni vai gor nāmāni
7.7.29	saṃhitā viśvarūpā gauḥ
7.7.30	tāny evāsya gṛhṇāti
7.7.31	apratrāsāya
7.7.32	saṃhitāsi viśvarūpeti
7.7.33	rūpeṇa rūpeṇa hy eṣā saṃhitā
7.7.34	ā morjā viśā gaupatyenā prajayā rāyaspoṣeṇeti
7.7.35	etair hy eṣā viśanty āviśati
7.7.36	mayi vo rāyaś śrayantāṃ sahasrapoṣaṃ vaḥ puṣeyam iti
7.7.37	sāhasrīm eva puṣṭiṃ nyaṅkte
7.7.38	vatsaṃ parāhanti
7.7.39	vatsanikāntāḥ paśavaḥ
7.7.40	paśūnām anukśātyai
7.7.41	abhikā enaṃ paśavo bhavanti
7.7.42	sapta vai bandhumatīr iṣṭakā agnau citya upadhīyante
7.7.43	tās tā amuṣmai lokāya sapta grāmyāḥ
7.7.44	tā atropadheyā gauś cāśvaś cāviś cājā cāśvataraś ca gardabhaś ca puruṣaḥ
7.7.45	yad gāṃ parāhanti
7.7.46	tā evaitad upadhatte
7.7.47	atho gavaivainaṃ cinute
7.8.1	saṃ paśyāmi prajā aham iti
7.8.2	sarvā eva prajā avarunddhe
7.8.3	iḍaprajaso mānavīr iti
7.8.4	aiḍīr hi prajā mānavīḥ
7.8.5	ye ca vai grāmyāḥ paśavo ye cāraṇyās ta ubhaye naktaṃ saṃsṛjyante
7.8.6	tasmād api ye 'lpāḥ paśavas te naktaṃ bahava iva dṛśyante
7.8.7	ta īśvarā amuṃ lokam anupadaḥ
7.8.8	yad etad yajur vadati
7.8.9	asminn evaināṃl loke yacchati
7.8.10	agnir vā etasyāsmiṃl loke 'gre jāyate
7.8.11	ya āhitāgnis so 'sya paśūn upajāyamānān hinasti
7.8.12	upa tvāgne divediva iti
7.8.13	upaivainaṃ jāyamānebhyaś śamayati
7.8.14	doṣāvastar dhiyā vayaṃ namo bharanta emasīti
7.8.15	namasvatyopāsthita
7.8.16	rājantam adhvarāṇāṃ gopām ṛtasya dīdivim
7.8.17	vardhamānaṃ sve dama iti
7.8.18	vṛdhadvatyā
7.8.19	sa naḥ piteva sūnave 'gne sūpāyano bhava
7.8.20	sacasvā nas svastaya iti
7.8.21	svastimatyā
7.8.22	agne tvaṃ no antama iti
7.8.23	etaddha vai divodāso bhaimasenir āruṇim uvāca
7.8.24	agnim ādadhivāṃsam udgātaḥ kena gārhapatya upastheya iti
7.8.25	tasmai haitā uvāca
7.8.26	sa hovāca
7.8.27	ābhir upastheyo 'gne tvaṃ no antama uta trātā śivo bhavā varūthya iti
7.8.28	eṣā vā agneḥ priyā tanūr yā varūthyā
7.8.29	priyayaivainaṃ tanvopāsthita
7.8.30	dvipadābhiḥ
7.8.31	dvipāt puruṣaḥ
7.8.32	gṛhā gārhapatyaḥ
7.8.33	gṛheṣv eva pratitiṣṭhati
7.8.34	tisraḥ pūrvāś catasra etāḥ
7.8.35	tās sapta
7.8.36	sapta grāmyāḥ paśavaḥ
7.8.37	tān evāvarunddhe
7.8.38	ūrjā vaḥ paśyāmi
7.8.39	ūrjā mā paśyateti
7.8.40	ūrjam eva gṛheṣu paśuṣv ātman dhatte
7.8.41	atho yā amūr iṣṭakā upadhatte tā evaitat kalpayati
7.8.42	iḍās stha madhukṛta iti
7.8.43	iḍā hy etā madhukṛtaḥ
7.8.44	syonā māviśateraṃmada iti
7.8.45	syonā hy etā irayā sahāviśanti
7.8.46	mayi vo rāyaś śrayantāṃ sahasrapoṣaṃ vaḥ puṣeyam iti
7.8.47	sāhasrīm eva puṣṭiṃ nyaṅkte
7.8.48	vatsaṃ parāhanti
7.8.49	vatsanikāntāḥ paśavaḥ
7.8.50	paśūnām anukśātyai
7.8.51	abhikā enaṃ paśavo bhavanti
7.8.52	atho iṣṭakām evaitāṃ gārhapatya upadhatte
7.9.1	mahi trīṇām avo 'stv iti
7.9.2	eṣa prājāpatyas tricaḥ
7.9.3	prājāpatyā imāḥ prajāḥ
7.9.4	sarvā eva prajā avarunddhe
7.9.5	prajāpatir vā etāḥ
7.9.6	prajāpatim evaitad upetya sarvam āptvā sarvam avarudhya
7.9.7	somānaṃ svaraṇaṃ kṛṇuhi brahmaṇaspata iti
7.9.8	brāhmaṇaspatyā
7.9.9	brahmavarcasam evaitayātman dhatte
7.9.10	vaiśvadevīr vā etāḥ
7.9.11	vaiśvadevīr imāḥ prajāḥ
7.9.12	brahmaṇo yoneḥ prajāḥ prajāyante
7.9.13	yad eṣā brāhmaṇaspatyā
7.9.14	brahmaṇa evainā yoneḥ prajanayati
7.9.15	etābhir vā aditiḥ putrān anvaikṣata
7.9.16	yat somam āharann amuṣmāl lokāt svasti punar āgacchan saha somena
7.9.17	yam eva kāmaṃ kāmayate taṃ spṛṇoti
7.9.18	yaṃ kāmayeta
7.9.19	svasti punar āgacched iti
7.9.20	tam etābhir anvīkṣeta
7.9.21	svasty eva punar āgacchati
7.9.22	kadā cana starīr asi pari te dūḍabho ratha iti
7.9.23	stomasyaivaitad yogaḥ
7.9.24	kadā cana starīr asīti
7.9.25	etaddha vā āruṇir uvāca
7.9.26	na tāvad rātrīṃ staryam uvasa yāvad etām ṛcam aśṛṇavam iti
7.9.27	na rātrīṃ staryaṃ vasati ya evaṃ veda
7.9.28	gāyatro vā agniḥ
7.9.29	gāyatracchandās taṃ chandasā vyardhayati
7.9.30	yad vicchandobhir upatiṣṭhate
7.9.31	yad eṣā gāyatry uttamā
7.9.32	svenaivainaṃ chandasā samardhayati
7.9.33	sarvaṃ vā eṣa āptvā sarvam avarudhya svargaṃ lokam eti yo 'gnim upatiṣṭhate
7.9.34	vy asya prajā chidyate
7.9.35	yat putraṃ hvayati
7.9.36	prajām evānusaṃtanoti
7.9.37	mānuṣam iva vā etad upāvartate
7.9.38	yat putraṃ hvayati
7.9.39	acchinno daivyas tantur mā manuṣyaś chedīti
7.9.40	devalokaṃ caiva manuṣyalokaṃ ca saṃtanoti
7.9.41	ubhau lokā ājayati
7.9.42	nimrado 'sīti
7.9.43	ava taṃ gṛhṇāti yo 'sya paścād bhrātṛvyaḥ
7.9.44	abhibhūr asīti
7.9.45	abhi taṃ bhavati ya enena sadṛṅ
7.9.46	prabhūr asi
7.9.47	prāhaṃ tam atibhūyāsam iti
7.9.48	ati taṃ krāmati ya evainaṃ pūrvo 'tikrānto bhrātṛvyaḥ
7.9.49	pūṣā mā prapathe pātu
7.9.50	pūṣā mā paśupāḥ pātu
7.9.51	pūṣā mādhipatiḥ pātv iti
7.9.52	iyaṃ vai pūṣā prapathe
7.9.53	antarikṣaṃ paśupāḥ
7.9.54	dyaur adhipatiḥ
7.9.55	ima evainaṃ lokāḥ pānti
7.9.56	agniṃ saminddhe
7.9.57	anusaṃtatyai
7.9.58	prācī dig agnir devateti
7.9.59	etā eva sa devatā ṛtvā parābhavati ya enam etābhyo digbhyo 'bhidāsati
7.9.60	jyotiṣe tantava āśiṣam āśāsa iti
7.9.61	āśiṣam evāśāste
7.9.62	yo 'sya priyaḥ putras syāt tasya nāma gṛhṇīyāt
7.9.63	tasminn eva tā āśiṣo dadhāti
7.10.1	ahar vāvāsīn na rātrī
7.10.2	sā yamī bhrātaraṃ mṛtaṃ nāmṛṣyata
7.10.3	tāṃ yad apṛcchan yami karhi te bhrātāmṛteti
7.10.4	adyety evābravīt
7.10.5	te devā abruvan
7.10.6	antardadhāma
7.10.7	idaṃ rātrīṃ karavāmeti
7.10.8	te rātrīm akurvan
7.10.9	te rātryāṃ bhūtāyāṃ paśūn nāpaśyan
7.10.10	sāvet
7.10.11	na vai paśyantīti
7.10.12	sā na vyaucchat
7.10.13	arekṇasyat paśuṣu
7.10.14	tān devā icchantaḥ palyāyanta
7.10.15	tāṃś chandobhir anvapaśyan
7.10.16	tasmāc chandobhir naktam agnir upastheyaḥ
7.10.17	paśūnām anukśātyai
7.10.18	nāsmāt paśavas tiro bhavanti ya evaṃ veda
7.10.19	sāvet
7.10.20	anu vā akhyann iti
7.10.21	sā vyaucchat
7.10.22	te devā abruvan
7.10.23	amā vai no vasv abhūd iti
7.10.24	sāmāvasyā
7.10.25	amā ha vā asya vasu bhavati
7.10.26	vindate 'nyasya vasu nāsyānyo vasu vindate ya evaṃ vidvān agnim upatiṣṭhate
7.10.27	devā vā ahno rakṣāṃsi niraghnan
7.10.28	tāni rātrīṃ prāviśan
7.10.29	tāṃ devā na vyetum adhṛṣṇuvan
7.10.30	ta indram abruvan
7.10.31	tvaṃ vai na ojiṣṭho 'si
7.10.32	tvam imāṃ vīhīti
7.10.33	stuta meti
7.10.34	abravīt
7.10.35	nāstuto vīryaṃ kartum arhāmīti
7.10.36	te 'bruvan
7.10.37	eṣa te 'gnir nediṣṭham
7.10.38	sa tvā stautv iti
7.10.39	tam agnir astaut
7.10.40	sa stutas sarvā mṛdhas sarvā nāṣṭrās sarvāṇi rakṣāṃsy atarat
7.10.41	indro yajamānaḥ
7.10.42	yad agnim upatiṣṭhate
7.10.43	sarvā eva mṛdhas sarvā nāṣṭrās sarvāṇi rakṣāṃsi tarati
7.10.44	nāsya naktaṃ rakṣāṃsīśate ya evaṃ veda
7.10.45	tvaṣṭā vai bhūtvā prajāpatiḥ prajā asṛjata
7.10.46	tvaṣṭā yajamānaḥ
7.10.47	sa yad vācāvadat tad abhavat
7.10.48	yad vai vācā vadati tad bhavati
7.10.49	yadyad eva vācā vadati tattad bhavati tattat sṛjate
7.11.1	dhanaṃ me śaṃsya pāhi
7.11.2	tan me gopāyeti
7.11.3	pravatsyann āhavanīyam upatiṣṭheta
7.11.4	dhanasya vā eṣa goptā
7.11.5	tad evāsmai paridadāti
7.11.6	mama nāma prathamaṃ jātaveda iti
7.11.7	agninaivaitat tanvaṃ viparidhatte
7.11.8	yathānte sato 'gnihotraṃ hutaṃ yatheṣṭam evam asyāpi pravasato bhavati
7.11.9	prajāṃ me narya pāhi
7.11.10	tāṃ me gopāyeti
7.11.11	prajāyā vā eṣa goptā
7.11.12	tām evāsmai paridadāti
7.11.13	imān me mitrāvaruṇau gṛhān gopāyataṃ yuvam iti
7.11.14	mitreṇa ca vā imāḥ prajā guptāḥ krūreṇa ca
7.11.15	mitraṃ mitraḥ krūraṃ varuṇa iyaṃ pūṣā
7.11.16	etābhya eva devatābhyo gṛhān paridadāti
7.11.17	annaṃ me purīṣya pāhi
7.11.18	tan me gopāyeti
7.11.19	annasya vā eṣa goptā
7.11.20	tad evāsmai paridadāti
7.11.21	dhanaṃ me śaṃsyājugupaḥ
7.11.22	tan me punar dehīti
7.11.23	dhanam eva guptaṃ punar ātman dhatte
7.11.24	agne sahasrākṣa śatamūrdhañ chatateja iti
7.11.25	etair vā etau vyṛdhyete vipravasantau prāṇair apānais tejobhir vīryaiḥ
7.11.26	yad etair upatiṣṭhate
7.11.27	tair eva samṛdhyete
7.11.28	mama ca nāma tava ca jātaveda iti
7.11.29	agninaivaitat tanvaṃ yathāyathaṃ kurute
7.11.30	prajāṃ me naryājugupaḥ
7.11.31	tāṃ me punar dehīti
7.11.32	prajām eva guptāṃ punar ātman dhatte
7.11.33	agne gṛhapata iti
7.11.34	nārtim ārchato 'gniś ca yajamānaś ca
7.11.35	na bhreṣaṃ nītaḥ
7.11.36	annaṃ me purīṣyājugupaḥ
7.11.37	tan me punar dehīti
7.11.38	annam eva guptaṃ punar ātman dhatte
7.15.1	aditir vai prajākāmaudanam apacat
7.15.2	tasyocchiṣṭam āśnāt
7.15.3	sā garbham adhatta
7.15.4	tata ādityā ajāyanta
7.15.5	ya eṣa odanaḥ pacyata ārambhaṇam evaitat kriyate
7.15.6	ākramaṇam eva
7.15.7	prādeśamātrīs samidho bhavanti
7.15.8	etāvān hy ātmā prajāpatinā saṃmitaḥ
7.15.9	agner vai yā yajñiyā tanūr aśvatthe tayā samagacchata
7.15.10	eṣāsya ghṛtyā tanūr yad ghṛtam
7.15.11	yad ghṛtena samidho 'nakti
7.15.12	tābhyām evainaṃ tanūbhyāṃ saṃgamayati
7.15.13	nirmārgasyādadhāti
7.15.14	apagūrtyā vai vīryaṃ kriyate
7.15.15	yan nirmārgasyādadhāti
7.15.16	apagūrtyā eva
7.15.17	saṃvatsaro vai prajananam
7.15.18	agniḥ prajanayitā
7.15.19	tat prajananam
7.15.20	yat purā saṃvatsarād agnau samidha ādadhāti
7.15.21	prajananād evainaṃ prajanayitā prajanayati
7.15.22	abhaktartur vai puruṣaḥ
7.15.23	na hi tad veda yam ṛtum abhijāyate yan nakṣatram
7.15.24	yat samidha ādadhāti
7.15.25	ya evāsyartur yan nakṣatraṃ tad āpnoti
7.15.26	ya eṣa odanaḥ pacyate
7.15.27	yonir evaiṣa kriyate
7.15.28	yat samidha ādhīyante
7.15.29	retas tad dhīyate
7.15.30	saṃvatsare vai reto hitaṃ prajāyate
7.15.31	yat saṃvatsare paryete 'gnim ādhatte
7.15.32	prajātam evainam ādhatte
7.15.33	dvādaśasu rātrīṣu purādheyāḥ
7.15.34	tā hi saṃvatsarasya pratimā
7.15.35	atho tisṛṣv atho dvayor atho pūrvedyuḥ
7.15.36	ādheyās tv evāgnim ādadhānena
7.15.37	ādityā vā ita uttamā amuṃ lokam āyan
7.15.38	te pathirakṣayaḥ
7.15.39	ta iyakṣamāṇaṃ pratinudante
7.15.40	uccheṣaṇabhāgā vā ādityāḥ
7.15.41	yad ucchiṣṭena samidho 'nakti
7.15.42	tebhya eva prāvocata
7.15.43	tebhya eva procya svargaṃ lokam ārohati
8.1.1	diśo vai nākalpanta na prājñāyanta
8.1.2	tata etām agnaye prācīṃ diśam arocayan yat kṛttikāḥ
8.1.3	yat kṛttikāsv agnim ādhatte
8.1.4	prācyām evainaṃ diśy ādhatte
8.1.5	eṣa vāvaikaḥ prāṅ avasyati ya āhitāgniḥ
8.1.6	pratyañco 'nye
8.1.7	āgneyam etan nakṣatraṃ yat kṛttikāḥ
8.1.8	yat kṛttikāsv agnim ādhatte
8.1.9	sva evainaṃ nakṣatra ādhatte
8.1.10	prajāpater vā etac chiro yat kṛttikāḥ
8.1.11	yat kṛttikāsv agnim ādhatte
8.1.12	śīrṣaṇyo mukhyo bhavati
8.1.13	sapta vai kṛttikāḥ
8.1.14	sapta śīrṣaṇyāḥ prāṇāḥ prāṇā indriyāṇi
8.1.15	prāṇān evendriyāṇy āpnoti
8.1.16	puṣṭim āvad bhūyiṣṭham ekaṃ nakṣatram
8.1.17	puṣṭim eva prajāyāḥ paśūnāṃ gacchati
8.1.18	rohiṇyām ādheyaḥ
8.1.19	rohiṇyāṃ vā etaṃ devā ādadhata
8.1.20	tayā roham arohan
8.1.21	tad rohiṇyā rohiṇītvam
8.1.22	rohiṇyāṃ vā etaṃ prajāpatir ādhatta
8.1.23	tayā roham arohat
8.1.24	tad rohiṇyā rohiṇītvam
8.1.25	eṣa vai manuṣyasya svargo loko yad asmiṃl loke vasīyān bhavati
8.1.26	ṛddhyā eva rohiṇyām ādheyaḥ
8.1.27	kālakāñjā vai nāmāsurā āsan
8.1.28	ta iṣṭakā acinvata
8.1.29	tad indra iṣṭakām apy upādhatta
8.1.30	teṣāṃ mithunau divam ākrametām
8.1.31	tatas tām āvṛhat
8.1.32	te 'vākīryanta
8.1.33	tā etau divyau śvānau
8.1.34	yo vyavṛhyata so 'yam ūrṇavābhis svair āntrais saṃtitaṃsati
8.1.35	ojo vāvaiṣāṃ tad vīryam ādhatta
8.1.36	ojo vīryaṃ bhrātṛvyasyādhatte yac citrāyām agnim ādhatte
8.1.37	tad etad aindraṃ nakṣatram abhibhūtimat
8.1.38	pūrvāsu phalgunīṣv ādadhīta yaḥ kāmayeta
8.1.39	bhagī syām iti
8.1.40	bhagasya vā etan nakṣatram
8.1.41	bhagī bhavati
8.1.42	uttarāsv ādadhīta yaḥ kāmayeta
8.1.43	dānakāmā me prajās syur iti
8.1.44	aryamṇo vā etan nakṣatram
8.1.45	eṣo 'ryamā yo dadāti
8.1.46	dānam imāḥ prajā upajīvanti
8.1.47	dānakāmā asmai bhavanti
8.1.48	rājanyasyādadhyāt
8.1.49	sa hi dānam upajīvati
8.1.50	vasantā brāhmaṇenādheyaḥ
8.1.51	vasanto vai brāhmaṇasyartuḥ
8.1.52	sva evainam ṛtā ādhatte
8.1.53	tejo brahmavarcasam upādhatte
8.1.54	grīṣme rājanyenādheyaḥ
8.1.55	grīṣmo vai rājanyasyartuḥ
8.1.56	sva evainam ṛtā ādhatte
8.1.57	ojo vīryam upādhatte
8.1.58	śaradi vaiśyenādheyaḥ
8.1.59	śarad vai vaiśyasyartuḥ
8.1.60	sva evainam ṛtā ādhatte
8.1.61	ūrjaṃ paśūn upādhatte
8.1.62	somena yajā iti vā agnim ādhatte
8.1.63	yasminn eva kasmiṃś cartā ādadhīta somena yakṣyamāṇaḥ
8.1.64	etaddhy avardhayat
8.1.65	somena yajate
8.1.66	phalgunīpūrṇamāsa ādheyaḥ
8.1.67	etad vā ṛtūnāṃ mukham
8.1.68	ṛtumukha evainam ādhatte
8.1.69	śiśira ādheyaḥ
8.1.70	śiśiraṃ vā agner janma
8.1.71	prajātam evainam ādhatte
8.1.72	sarvāsu dikṣv ṛdhnavānīti vā agnim ādhatte
8.1.73	sarvāsu dikṣv agniś śiśire
8.1.74	sarvāsv eva dikṣv ṛdhnoti yaś śiśire 'gnim ādhatte
8.1.75	pūrṇamāse vāmāvasyāyāṃ vādadhīta
8.1.76	etad vai puṇyāham
8.1.77	puṇyāha evainam ādhatte
8.1.78	tasmād iṣṭyā vāgrāyaṇena vā paśunā vā somena vā pūrṇamāse vāmāvasyāyāṃ vā yajeta
8.1.79	eṣa vai yajñaḥ
8.1.80	yajñam evaitat prati yajñam ālabhate
8.2.1	yad vā ime vyaitāṃ yad amuṣyā yajñiyam āsīt tad imām abhyasṛjyatoṣāḥ
8.2.2	yad ūṣā bhavanti
8.2.3	anayor evainaṃ yajñiya ādhatte
8.2.4	prājāpatyā vā ūṣāḥ
8.2.5	śvaśśvo bhūyāṃso bhavanti
8.2.6	prajananāyaivaite
8.2.7	paśūnāṃ vā etat priyaṃ dhāma yad ūṣāḥ
8.2.8	yad ūṣā bhavanti
8.2.9	paśūnām eva priyaṃ dhāmopāpnoti
8.2.10	aleled vā iyaṃ pṛthivī
8.2.11	sābibhet
8.2.12	agnir mātidhakṣyatīti
8.2.13	abibhed agniḥ
8.2.14	haro me vineṣyatīti
8.2.15	ārdreva hīyam āsīt
8.2.16	tāṃ devāś śarkarābhir adṛṃhan
8.2.17	tejo 'gnā adadhuḥ
8.2.18	yac charkarā bhavanti
8.2.19	imām eva dṛṃhati
8.2.20	tejo 'gnau dadhāti
8.2.21	abhimṛtā vā iyaṃ vṛtreṇa
8.2.22	vamriyas tvai tad vidur yatrāsyā jīvaṃ yajñiyam
8.2.23	yad valmīkavapā bhavati
8.2.24	asyā evainaṃ jīve yajñiya ādhatte
8.2.25	āpo vā idam āsan
8.2.26	salilam eva sa prajāpatir varāho bhūtvopanyamajjat
8.2.27	tasya yāvan mukham āsīt tāvatīṃ mṛdam udaharat
8.2.28	seyam abhavat
8.2.29	yad varāhavihataṃ bhavati
8.2.30	asyām evainaṃ pratyakṣam ādhatte
8.2.31	varāho vā asyām annaṃ paśyati
8.2.32	tasmā iyaṃ vijihīte
8.2.33	yad varāhavihataṃ bhavati
8.2.34	tad evānnam avarunddhe
8.2.35	yat tad ādatta tad aditiḥ
8.2.36	yad aprathata tat pṛthivī
8.2.37	yad abhavat tad bhūmiḥ
8.2.38	yad varāhavihataṃ bhavati
8.2.39	prathata eva prajayā paśubhiḥ
8.2.40	nānā vai paśūnām annāny anyad gor annam anyad aśvasyānyad avyā anyad ajāyā anyat puruṣasyāpo 'nnam
8.2.41	yad apa upasṛjati
8.2.42	yāvad evānnaṃ tad avarunddhe
8.2.43	pañcaite saṃbhārāḥ
8.2.44	pañca vai puruṣe vīryāṇi
8.2.45	karoty anayā vīryaṃ karoty anayā karoty anena
8.2.46	yāvad eva vīryaṃ tad āpnoti tat spṛṇoti
8.2.47	pañcaite saṃbhārāḥ
8.2.48	pāṅkto yajñaḥ
8.2.49	yajñam evāvarunddhe
8.2.50	na vā ṛta ūrjo 'nnaṃ dhinoti
8.2.51	ūrg udumbaraḥ
8.2.52	yad audumbarāṇi bhavanti
8.2.53	anna evorjaṃ dadhāti
8.2.54	śamīmayāni bhavanti
8.2.55	mithunatvāya
8.2.56	agniṃ vai sṛṣṭaṃ prajāpatis taṃ śamyāgre samainddha
8.2.57	yac chamīmayāni bhavanti
8.2.58	svayaivainaṃ samidhā saminddhe
8.2.59	aśvo vai bhūtvāgnir devebhyo 'pākrāmat
8.2.60	sa yatrātiṣṭhat tad aśvatthas samabhavat
8.2.61	tad aśvatthasyāśvatthatvam
8.2.62	yad āśvatthāni bhavanti
8.2.63	yad evāsya tatra nyaktaṃ tat tais saṃbharati
8.2.64	agnir vai manuṣyair devebhyo 'pākrāmat
8.2.65	taṃ devā amanyanta
8.2.66	ayaṃ vāvedaṃ bhaviṣyatīti
8.2.67	tasya marutas stanayitnunā hṛdayam ācchindan
8.2.68	sā divyāśanir abhavat
8.2.69	yad vṛkṣasyāśanihatasya bhavati
8.2.70	yad evāsya tatra nyaktaṃ tat tais saṃbharati
8.2.71	parṇamayāni pañcathāni bhavanti
8.2.72	pāṅktatvāya
8.3.1	aṣṭāsu prakrameṣu brāhmaṇenādheyaḥ
8.3.2	aṣṭākṣarā gāyatrī
8.3.3	gāyatracchandā brāhmaṇaḥ
8.3.4	svasyaivainaṃ chandasaḥ prātyenasya ādhatte
8.3.5	yathā pitā putraṃ jinvaty evam evainaṃ svaṃ chando jinvati
8.3.6	ekādaśasu prakrameṣu rājanyenādheyaḥ
8.3.7	ekādaśākṣarā triṣṭup
8.3.8	triṣṭupchandā rājanyaḥ
8.3.9	svasyaivainaṃ chandasaḥ prātyenasya ādhatte
8.3.10	yathā pitā putraṃ jinvaty evam enaṃ svaṃ chando jinvati
