#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
1.2.10.1	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade / abhrir asi / nārir asi / idam ahaṃ rakṣaso grīvā apikṛntāmi / idam ahaṃ yo me samāno yo 'samāno 'rātīyati tasya grīvā apikṛntāmi / bṛhann asi bṛhadrāyā / bṛhatīm indrāya vācaṃ vada rakṣohaṇaṃ valagahanaṃ vaiṣṇavīm / samrāḍ asi sapatnahā / idam ahaṃ tān valagān udvapāmi yān me samāno yān asamāno nicakhāna ye kulphadaghne / nirasto valagaḥ / svarāḍ asy abhimātihā / idam ahaṃ tān valagān udvapāmi yān me sajāto yān asajāto nicakhāna ye jānudaghne / nirasto valagaḥ / virāḍ asi rakṣohā / idam ahaṃ tān valagān udvapāmi yān me sabandhur yān asabandhur nicakhāna ye nābhidaghne / nirasto valagaḥ / sattrarāḍ asy aśastihā / idam ahaṃ tān valagān udvapāmi yān me bhrātṛvyo yān abhrātṛvyo nicakhāna ye aṃsadaghne / nirasto valagaḥ / sarvarāḍ asy arātīyato hantā / idam ahaṃ tān valagān udvapāmi yān me sajanyo yān asajanyo nicakhāna ye śīrṣadaghne / nirasto valagaḥ
1.2.10.2	saṃmṛśa imān āyuṣe varcase ca devānāṃ nidhir asi dveṣoyavanaḥ / yuyodhy asmad dveṣāṃsi yāni kāni ca cakṛma
1.2.10.3	devānām idaṃ nihitaṃ yad asty athābhāhi pradiśaś catasraḥ / kṛṇvāno anyaṃ adharānt sapatnān
1.2.11.1	pṛthivyai tvā / antarikṣāya tvā / dive tvā / śundhantāṃ lokāḥ pitṛṣadanāḥ / yavo 'si / yavaya dveṣo asmat / yavayārātim / pitṛṣadanaṃ tvā lokam avastṛṇāmi
1.2.11.2	ucchrayasva vanaspate sajūr devena barhiṣā / nitānas tvā māruto nihantu mitrāvaruṇau dhruveṇa dharmaṇā
1.2.11.3	brahmavaniṃ tvā kṣatravaniṃ paryūhāmi / brahma dṛṃha / kṣatraṃ dṛṃha / rāyaspoṣaṃ dṛṃha / prajāṃ dṛṃha / sajātān asmai yajamānāya dṛṃha
1.2.11.4	ghṛtena dyāvāpṛthivī āpṛṇa / viśvajanasya chāyāsi
1.2.11.5	pari tvā girvaṇo gira imā bhavantu viśvataḥ / vṛddhāyum anu vṛddhayo juṣṭā bhavantu juṣṭayaḥ
1.2.11.6	indrāya tvā / indrasya syūr asi / indrasya dhruvo 'si / aindram asi / indrāya tvā / rakṣoghno vo valagaghnaḥ prokṣāmi vaiṣṇavān / rakṣohaṇaṃ tvā valagahanam avasiñcāmi vaiṣṇavam / rakṣohaṇaṃ tvā valagahanam avastṛṇāmi vaiṣṇavam / rakṣoghnī vāṃ valagaghnī upadadhāmi vaiṣṇavī / rakṣoghnī vāṃ valagaghnī paryūhāmi vaiṣṇavī / rakṣohaṇaṃ tvā valagahanam āstṛṇāmi vaiṣṇavam
1.2.12.1	vibhūr asi pravāhaṇaḥ / vahnir asi havyavāhanaḥ / śvātro 'si pracetāḥ / tutho 'si viśvavedāḥ / avasyur asi duvasvān / aṅghārir asi bambhāriḥ / uśig asi kaviḥ / śundhyur asi mārjālīyaḥ / samrāḍ asi kṛśānuḥ / pariṣadyo 'sy āstavyaḥ / nabho 'si pratakvā / asaṃmṛṣṭo 'si havyasūdanaḥ / sagaro 'si viśvavedāḥ / ṛtadhāmāsi svarjyotiḥ / samudro 'si viśvavyacāḥ / ajo 'sy ekapāt / ahir asi budhnyaḥ / kavyo 'si kavyavāhanaḥ / raudreṇānīkena pāhi māgne pipṛhi mā / namas te astu / mā mā hiṃsīḥ
1.2.13.1	tvaṃ soma tanūkṛdbhyo dveṣobhyo 'nyakṛtebhyaḥ / uru yantāsi varūtham svāhā
1.2.13.2	juṣāṇo aptur ājyasya vetu svāhā
1.2.13.3	agne naya supathā rāye asmān viśvāni deva vayunāni vidvān / yuyodhy asmaj juhurāṇam eno bhūyiṣṭhāṃ te namauktiṃ vidhema
1.2.13.4	uru viṣṇo vikramasvoru kṣayāya nas kṛdhi / ghṛtaṃ ghṛtavane piba pra pra yajñapatiṃ tira svāhā
1.2.13.5	evā vandasva varuṇaṃ bṛhantaṃ namasyā dhīram amṛtasya gopām / sa naḥ śarma trivarūthaṃ viyaṃsat pātaṃ no dyāvāpṛthivī upasthe
1.2.13.6	urv antarikṣaṃ vīhy adityāḥ sadā āsīda / deva savitar eṣa te somaḥ / taṃ rakṣasva / mā tvā dabhan duścakṣās te māvakśat / etat tvaṃ deva soma devān upāvṛtedam ahaṃ manuṣyānt saha rāyaspoṣeṇa prajayā copāvarte / namo devebhyaḥ / svadhā pitṛbhyaḥ / nir varuṇasya pāśād amukṣi svar abhivyakśaṃ jyotir vaiśvānaram / agne vratapate yā tava tanūr mayy abhūd eṣā sā tvayi / agne vratapate yā mama tanūs tvayy abhūd iyaṃ sā mayi / punar nau vratapate vratinor vratāni yathāyathaṃ nau vratapate vratinor vratāni vi vratāni sṛjāvahai
1.2.14.1	aty anyān agāṃ nānyān upāgām arvāk tvā parebhyaḥ paro 'varebhyo 'vidaṃ taṃ tvā juṣāmahe devayajyāyai juṣṭaṃ viṣṇave viṣṇave tvā
1.2.14.2	uru viṣṇo vikramasvoru kṣayāya nas kṛdhi / ghṛtaṃ ghṛtavane piba pra pra yajñapatiṃ tira svāhā
1.2.14.3	oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīḥ / yā te śivatamā tanūs tayainam upaspṛśa
1.2.14.4	yaṃ tvām ayaṃ svadhitis tigmatejāḥ praṇināya mahate saubhagāya / divam agreṇa mā hiṃsīr antarikṣaṃ madhyena pṛthivyā saṃbhava bhrājaṃ gaccha / vanaspate śatavalśo viroha sahasravalśā vi vayaṃ ruhema
1.2.14.5	pṛthivyai tvāntarikṣāya tvā dive tvā śundhantāṃ lokāḥ pitṛṣadanāḥ / yavo 'si / yavaya dveṣo asmad yavayārātim / pitṛṣadanaṃ tvā lokam avastṛṇāmi
1.2.14.6	svāveśo 'sy agregā netṝṇām adhi tvā sthāsyati tasya vitsva
1.2.14.7	ghṛtena dyāvāpṛthivī āpṛṇa devas tvā savitā madhvānaktu
1.2.14.8	indrasya caṣālam asi supippalā oṣadhīs kṛdhi divam agreṇottabhānāntarikṣaṃ madhyenāpṛṇa pṛthivīm upareṇa dṛṃha
1.2.14.9	tā te dhāmāny uśmasi gamadhyai gāvo yatra bhūriśṛṅgā ayāsaḥ / atrāha tad urugāyasya viṣṇoḥ paramaṃ padam avabhāti bhūri
1.2.14.10	viṣṇoḥ karmāṇi paśyata yato vratāni paspaśe / indrasya yujyaḥ sakhā
1.2.14.11	brahmavaniṃ tvā kṣatravaniṃ paryūhāmi / brahma dṛṃha / kṣatraṃ dṛṃha / rāyaspoṣaṃ dṛṃha / prajāṃ dṛṃha / sajātān asmai yajamānāya dṛṃha
1.2.14.12	tad viṣṇoḥ paramaṃ padaṃ śacyā paśyanti sūrayaḥ / divīva cakṣur ātatam
1.2.14.13	parivīr asi / pari tvā daivīr viśo vyayantām / parīmaṃ yajamānaṃ manuṣyāḥ saha rāyaspoṣeṇa prajayā ca vyayantām / divaḥ sānūpeṣa divaṃ te dhūmo gacchatu antarikṣaṃ jyotiḥ pṛthivīṃ bhasma svāhā
1.2.15.1	iṣe tvā / upāvīr asi / upo devān daivīr viśaḥ prāgur vahnaya uśijaḥ / bṛhaspate dhārayā vasūni / havyā te svadam / deva tvaṣṭar vasu raṇe / revatī ramadhvam / devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade / ṛtasya tvā devahaviḥ pāśena pratimuñcāmi / amuṣmai tvā juṣṭam / dharṣā mānuṣāḥ / adbhyas tvauṣadhībhyo juṣṭaṃ prokṣāmi / anu tvā mātā manyatām anu pitānu bhrātā sagarbhyo 'nu sakhā sayūthyaḥ / anumānāvaha devān devāyate yajamānāya / apāṃ perur asi / svāttaṃ saddhavir āpo devīḥ svadantu / saṃ te vāyur vātena gacchatāṃ saṃ yajatrair aṅgāni saṃ yajñapatir āśiṣā / ghṛtenāktau paśūṃstrāyethām
1.2.15.2	ye badhyamānam anu badhyamānā anvaikṣanta manasā cakṣuṣā ca / agniṣ ṭaṃ agre pramumoktu devaḥ prajāpatiḥ prajayā saṃrarāṇaḥ
1.2.15.3	revati predhā yajñapatim āviśoro antarikṣa sajūr devena vātena
1.2.15.4	tmanāsya haviṣo yaja sam asya tanvā bhava / varṣīyo varṣīyaso yajñaṃ yajñapatau dhāḥ
1.2.15.5	svarvid asi / svar vittvā svar ihi / svar mahyaṃ / svaḥ paśubhyaḥ / lokavid asi / lokaṃ vittvā lokam ihi / lokaṃ mahyam / lokaṃ paśubhyaḥ / nāthavid asi / nāthaṃ vittvā nātham ihi / nāthaṃ mahyam / nāthaṃ paśubhyaḥ / gātuvid asi / gātuṃ vittvā gātum ihi / gātuṃ mahyam / gātuṃ paśubhyaḥ
1.2.15.6	na vā etan mriyase nota riṣyasi devaṃ id eṣi pathibhiḥ śivebhiḥ / yatra yanti sukṛto nāpi duṣkṛtas tatra tvā devaḥ savitā dadhātu
1.2.15.7	śamitāra upetana yajñaṃ devebhir anvitam / pāśāt paśuṃ pramuñcata bandhād yajñapatiṃ pari
1.2.15.8	aditiḥ pāśān pramumoktv etān paśoḥ pāśān paśupater adhi / yo no dveṣṭy adharaḥ sa padyatāṃ tasmin pāśān pratimuñcāma etān
1.2.16.1	namas ta ātāna / anarvā prehi yajamānāya ghṛtasya kulyām anu saha rāyaspoṣeṇa / devīr āpaḥ śuddhā yūyaṃ devān yuyudhvam / śuddhā vayaṃ supariviṣṭāḥ pariveṣṭāro vo bhūyāsma / vācam asya mā hiṃsīḥ / prāṇam asya mā hiṃsīḥ / cakṣur asya mā hiṃsīḥ / śrotram asya mā hiṃsīḥ / yat te krūraṃ yad āsthitaṃ tad etena śundhasva / devebhyaḥ śumbhasva / gātrāṇy asya mā hiṃsīḥ / caritrān asya mā hiṃsīḥ / nābhim asya mā hiṃsīḥ / meḍhram asya mā hiṃsīḥ / pāyum asya mā hiṃsīḥ / śam adbhyaḥ
1.2.16.2	oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīḥ / yā te śivatamā tanūs tayainam upaspṛśa
1.2.16.3	pṛthivyai tvā / rakṣasāṃ bhāgo 'si / idam ahaṃ rakṣo 'vabādhe / idam ahaṃ rakṣo 'dhamaṃ tamo nayāmi / iṣe tvā / ūrje tvā / devebhyaḥ śundhasva / devebhyaḥ śumbhasva
1.2.16.4	ghṛtena dyāvāpṛthivī prorṇuvātām amuṣmai tvā juṣṭaṃ namaḥ sūryasya saṃdṛśe
1.2.16.5	urv antarikṣaṃ vīhi / pratyuṣṭaṃ rakṣaḥ / pratyuṣṭārātiḥ / vāyoḥ stokānāṃ prayutā dveṣāṃsi / svāhordhvanabhasaṃ mārutaṃ devaṃ gacchatam
1.2.17.1	juṣṭaṃ devebhyo havyaṃ ghṛtāvat / amuṣmai tvā juṣṭam / reḍ asi / agniṣ ṭvā śrīṇātu / āpas tvā samariṇvan / vātasya tvā dhrājyai pūṣṇo raṃhyā ūṣmaṇo 'vyathiṣe 'pām oṣadhīnāṃ rasaḥ / ghṛtaṃ ghṛtapāvānaḥ pibata / vasāṃ vasāpāvānaḥ pibata / antarikṣasya havir asi / svāhā tvā vātāya / diśaḥ pradiśa ādiśo vidiśa uddiśo diśaḥ / aindraḥ prāṇo aṅge aṅge nidīdhyat / aindro 'pāno aṅge aṅge nibobhuvat / aindro vyāno aṅge aṅge vibobhuvat
1.2.17.2	deva tvaṣṭar bhūri te sat sametu salakṣma yad viṣurūpaṃ babhūva / devatrā yantam avase sakhāyo anu tvā mātā pitaro madantu
1.2.18.1	samudraṃ gaccha svāhā / antarikṣaṃ gaccha svāhā / devaṃ savitāraṃ gaccha svāhā / ahorātre gaccha svāhā / mitrāvaruṇau gaccha svāhā / dyāvāpṛthivī gaccha svāhā / chandāṃsi gaccha svāhā / somaṃ gaccha svāhā / yajñaṃ gaccha svāhā / divyaṃ nabho gaccha svāhā / agniṃ vaiśvānaraṃ gaccha svāhā / mano hārdiṃ yaccha / oṣadhībhyas tvā
1.2.18.2	dhāmno dhāmno rājann ito varuṇa no muñca yad āpo aghnyā varuṇeti śapāmahai / tato varuṇa no muñca
1.2.18.3	ud uttamaṃ varuṇa pāśam asmad avādhamaṃ vi madhyamaṃ śrathāya / athā vayam āditya vrate tavānāgaso aditaye syāma
1.2.18.4	sumitrā nā āpā oṣadhayaḥ santu durmitrās tasmai santu / yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ
1.3.1.1	haviṣmatīr imā āpo haviṣmān devo adhvaraḥ / haviṣmaṃ āvivāsati haviṣmaṃ astu sūryaḥ
1.3.1.2	agner vo 'pannagṛhasya sadasi sādayāmi / devānāṃ bhāgadheyīḥ stha / indrāgnyor bhāgadheyīḥ stha / mitrāvaruṇayor bhāgadheyīḥ stha / viśveṣāṃ devānāṃ bhāgadheyīḥ stha / sumnāyuvaḥ sumnyāya sumnaṃ dhatta
1.3.1.3	hṛde tvā manase tvā dive tvā sūryāya tvā / ūrdhvam imam adhvaraṃ divi deveṣu hotrā yaccha
1.3.1.4	śṛṇotv agniḥ samidhā havaṃ me śṛṇvantv āpo dhiṣaṇāś ca devīḥ / śṛṇota grāvāṇo viduṣo nu yajñaṃ śṛṇotu devaḥ savitā havaṃ me
1.3.1.5	devīr āpo apāṃ napād ya ūrmir haviṣya indriyāvān madintamas taṃ devebhyaḥ śukrapebhyo dāta yeṣāṃ bhāgaḥ stha svāhā / kārṣy asi / samudrasya vo 'kṣityā unnaye / vasūnāṃ rudrāṇām ādityānāṃ pannejanīḥ stha / vasavo rudrā ādityā etā vaḥ pannejanīḥ / samudraṃ gandharveṣṭhām anvātiṣṭhata / vātasya patmaneḍitā vāmī te saṃdṛśi viśvaṃ reto dheṣīya tava vāmīr anu saṃdṛśi
1.3.1.6	yam agne pṛtsu martyam avā vājeṣu yaṃ junāḥ / sa yantā śaśvatīr iṣaḥ
1.3.1.7	juṣṭo vāco bhūyāsam / juṣṭo vācaspatiḥ / yad vāco madhumat tasmai svāhā / svāhā sarasvatyai
1.3.2.1	nigrābhyāḥ stha devaśrutaḥ / tarpayata mā / āyur me tarpayata / tarpayata mā / prāṇaṃ me tarpayata / tarpayata mā / apānaṃ me tarpayata / tarpayata mā / vyānaṃ me tarpayata / tarpayata mā / cakṣur me tarpayata / tarpayata mā / śrotraṃ me tarpayata / tarpayata mā / mano me tarpayata / tarpayata mā / vācam me tarpayata / tarpayata mā / ātmānaṃ me tarpayata / tarpayata mā / prajāṃ me tarpayata / tarpayata mā / gṛhān me tarpayata / tarpayata mā / paśūn me tarpayata / tarpayata mā / gaṇair mā mā vitītṛṣata / tarpayata mā
1.3.3.1	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade / grāvāsy adhvarakṛd devebhyaḥ / gabhīram imam adhvaraṃ kṛdhi
1.3.3.2	indrāya tvā suṣuttamaṃ madhumantaṃ payasvantam / indrāya tvābhimātighna indrāya tvā vasumate rudravata indrāya tvādityavate
1.3.3.3	agnaye tvā rāyaspoṣade viṣṇave tvā śyenāya tvā somabhṛte viṣṇave tvā
1.3.3.4	śvātrāḥ stha vṛtraturo rādhvaṃ gūrtā amṛtasya patnīḥ / tā devīr devatremaṃ yajñaṃ dhattopahūtāḥ somasya pibata
1.3.3.5	yat te soma divi jyotir yat pṛthivyāṃ yad urā antarikṣe tenāsmai yajñapataya uru rāye kṛdhi / adhi dhātre vocaḥ / mā bhaiḥ / mā saṃvikthāḥ / ūrjaṃ dhatsva / ūrjam asmāsu dhehi / dhiṣaṇe īḍite īḍethām / ūrjaṃ dadhāthām / ūrjam asmāsu dhattam / mā vāṃ hiṃsiṣam / māsmān yuvaṃ hiṃsiṣṭam
1.3.4.1	vācaspataye pavasva vṛṣṇo aṃśubhyāṃ gabhastipūtaḥ
1.3.4.2	devo devānāṃ pavitram asi yeṣāṃ bhāgo 'si
1.3.4.3	madhumatīr nā iṣas kṛdhi
1.3.4.4	svāṃkṛto 'si
1.3.4.5	urv antarikṣaṃ vīhi
1.3.4.6	viśvebhya indriyebhyo divyebhyaḥ pārthivebhyaḥ
1.3.4.7	manas tvāṣṭu
1.3.4.8	svāhā tvā subhava sūryāya
1.3.4.9	devebhyas tvā marīcipebhyaḥ
1.3.4.10	prāṇāya tvā
1.3.4.11	yat te somādābhyaṃ nāma jāgṛvi tasmai te soma somāya svāhā
1.3.4.12	prāg apāg adharāg udag etās tvā diśā ādhāvantu
1.3.4.13	amba nismara / sam arir vidām
1.3.5.1	upayāmagṛhīto 'si
1.3.5.2	antar yaccha maghavan pāhi somam uruṣya rāyaḥ sam iṣo yajasva
1.3.5.3	antas te dyāvāpṛthivī dadhāmy antar dadhāmy urv antarikṣam / sajoṣā devair avaraiḥ paraiś cāntaryāme maghavan mādayasva
1.3.5.4	vāk tvāṣṭu svāhā tvā subhava sūryāya devebhyas tvā marīcipebhyo 'pānāya tvā
1.3.6.1	ā vāyo bhūṣa śucipā upa naḥ sahasraṃ te niyuto viśvavāra / upo te andho madyam ayāmi yasya deva dadhiṣe pūrvapeyam
1.3.6.2	upayāmagṛhīto 'si vāyave tvā
1.3.6.3	indravāyū ime sutā upa prayobhir āgatam / indavo vām uśanti hi
1.3.6.4	upayāmagṛhīto 'si vāyava indravāyubhyāṃ tvaiṣa te yoniḥ sajoṣobhyāṃ tvā
1.3.7.1	ayaṃ vāṃ mitrāvaruṇā sutaḥ soma ṛtāvṛdhā / mamed iha śrutaṃ havam
1.3.7.2	upayāmagṛhīto asi mitrāvaruṇābhyāṃ tvaiṣa te yonir ṛtāyubhyāṃ tvā
1.3.8.1	yā vāṃ kaśā madhumaty aśvinā sūnṛtāvatī / tayā yajñaṃ mimikṣatam
1.3.8.2	upayāmagṛhīto 'sy aśvibhyāṃ tvaiṣa te yonir mādhvībhyāṃ tvā
1.3.9.1	upayāmagṛhīto 'si devebhyas tvopayāmagṛhīto 'si viśvadevebhyas tvopayāmagṛhīto 'si viśvebhyas tvā devebhyaḥ
1.3.9.2	diteḥ putrāṇām aditer akāriṣam uruśarmaṇāṃ bṛhatāṃ varūthinām / yeṣāṃ nāmāni vihitāni dhāmaśaś cittair yajanti bhuvanāya jīvase
1.3.9.3	upayāmagṛhīto 'si viṣṇos tvorukrame gṛhṇāmi viṣṇa urukramaiṣa te somas taṃ rakṣasva mā tvā dabhan duścakṣās te māvakśad ayaṃ vasuḥ purovasur vākpā vācaṃ me pātv ayaṃ vasur vidadvasuś cakṣuṣpāś cakṣur me pātv ayaṃ vasuḥ saṃyadvasuḥ śrotrapāḥ śrotraṃ me pātu
1.3.10.1	ayaṃ venaś codayat pṛśnigarbhā jyotirjarāyū rajaso vimāne / imam apāṃ saṃgame sūryasya śiśuṃ na viprā matibhī rihanti
1.3.10.2	upayāmagṛhīto 'si śaṇḍāya tvaiṣa te yonir vīratāyai tvā
1.3.11.1	taṃ pratnathā pūrvathā viśvathemathā jyeṣṭharājaṃ barhiṣadaṃ svardṛśam / pratīcīnaṃ vṛjanaṃ dohase girāśuṃ jayantam anu yāsu vardhase
1.3.11.2	upayāmagṛhīto 'si markāya tvaiṣa te yoniḥ prajābhyas tvā
1.3.12.1	apanuttau śaṇḍāmarkau saha tena yaṃ dviṣmo 'chinnasya te deva soma dakṣasya rāyaspoṣasya suvīryasyābhigrahītāraḥ syāma
1.3.12.2	tutho 'si janadhāyā devās tvā śukrapāḥ praṇayantu tutho 'si janadhāyā devās tvā manthipāḥ praṇayantv anādhṛṣṭāsi suvīrāḥ prajāḥ prajanayan parīhi suprajāḥ prajāḥ prajanayann abhiparīhi
1.3.12.3	indreṇa manyunā yujāvabādhe pṛtanyataḥ / ghnatā vṛtrāny aprati
1.3.12.4	saṃjagmānau divā pṛthivyā śukrau śukraśociṣau tau devau śukrāmanthinā āyur yajñe dhattam āyur yajñapatau pumāṃsaṃ garbham ādhattaṃ gavīṇyoḥ prāṇān paśuṣu yacchataṃ śukrasyādhiṣṭhānam asi manthino 'dhiṣṭhānam asi nirastaḥ śaṇḍo nirasto markaḥ saha tena yaṃ dviṣmaḥ
1.3.12.5	yā prathamā saṃskṛtir yajñe asmin yaḥ paramo bṛhaspatiś cikitvān / yo madhyamo varuṇo mitro agnis tasmā indrāya sutam ājuhota tasmai sūryāya sutam ājuhota
1.3.13.1	ye devā divy ekādaśa stha pṛthivyām adhy ekādaśa stha / apsukṣito mahinaikādaśa stha te devāso yajñam imaṃ juṣadhvam
1.3.13.2	upayāmagṛhīto 'sy āgrāyaṇo 'si svāgrāyaṇo jinva yajñaṃ jinva yajñapatim abhi savanāni pāhy atas tvā viṣṇuḥ pātu viśaṃ tvaṃ pāhīndriyeṇaiṣa te yonir viśvebhyas tvā devebhyaḥ
1.3.14.1	upayāmagṛhīto 'si
1.3.14.2	indrāya tvā bṛhadvate vayasvata ukthāyuvam / yat ta indra bṛhad vayas tasmai tvā viṣṇave tvā
1.3.14.3	eṣa te yonir indrāya tvopayāmagṛhīto 'si devebhyas tvā devāyuvaṃ gṛhṇāmi punarhavir asi devebhyas tvā devāyuvaṃ pṛṇacmi yajñasyāyuṣe
1.3.15.1	mūrdhānaṃ divo aratiṃ pṛthivyā vaiśvānaram ṛta ājātam agnim / kaviṃ samrājam atithiṃ janānām āsann ā pātraṃ janayanta devāḥ
1.3.15.2	upayāmagṛhīto 'si vaiśvānarāya tvā
1.3.15.3	dhruvo 'si dhruvakṣitir dhruvāṇāṃ dhruvatamo 'cyutānām acyutakṣittama eṣa te yonir vaiśvānarāya tvā
1.3.15.4	dhruvaṃ dhruveṇa haviṣā vaḥ somaṃ nayāmasi / yathā naḥ sarvā ij janaḥ saṃgame sumanā asat
1.3.15.5	divi divyān dṛṃhāntarikṣe antarikṣyān pṛthivyāṃ pārthivān
1.3.16.1	upayāmagṛhīto 'si madhave tvā mādhavāya tvā śukrāya tvā śucaye tvā nabhase tvā nabhasyāya tveṣāya tvorjāya tvā sahase tvā sahasyāya tvā tapase tvā tapasyāya tvā
1.3.17.1	indrāgnī āgataṃ sutaṃ gīrbhir nabho vareṇyam / asya pātaṃ dhiyeṣitā
1.3.17.2	upayāmagṛhīto 'sīndrāgnibhyāṃ tvaiṣa te yonir indrāgnibhyāṃ tvā
1.3.18.1	omāsaś carṣaṇīdhṛto viśve devāsā āgata / dāśvāṃso dāśuṣaḥ sutam
1.3.18.2	upayāmagṛhīto 'si viśvebhyas tvā devebhya eṣa te yonir viśvebhyas tvā devebhyaḥ
1.3.19.1	indra marutva iha pāhi somaṃ yathā śāryāte apibaḥ sutasya / tava praṇītī tava śūra śarmann āvivāsanti kavayaḥ suyajñāḥ
1.3.19.2	upayāmagṛhīto 'sīndrāya tvā marutvata eṣa te yonir indrāya tvā marutvate
1.3.20.1	janiṣṭhā ugraḥ sahase turāya mandra ojiṣṭho bahulābhimānaḥ / avardhann indraṃ marutaś cid atra mātā yad vīraṃ jajanaj janiṣṭham
1.3.20.2	upayāmagṛhīto 'sīndrāya tvā marutvata eṣa te yonir indrāya tvā marutvate
1.3.21.1	marutvantaṃ vṛṣabhaṃ vāvṛdhānam akavāriṃ divyaṃ śāsam indram / viśvāsāham avase nūtanāyograṃ sahodām iha taṃ huve
1.3.21.2	upayāmagṛhīto 'sīndrāya tvā marutvata eṣa te yonir indrāya tvā marutvate
1.3.22.1	marutvaṁ indra vṛṣabho raṇāya pibā somam anuṣvadhaṃ madāya / āsiñcasva jaṭhare madhva ūrmiṃ tvaṃ rājāsi pradivaḥ sutānām
1.3.22.2	upayāmagṛhīto 'sīndrāya tvā marutvata eṣa te yonir indrāya tvā marutvate
1.3.23.1	sajoṣā indra sagaṇo marudbhiḥ somaṃ piba vṛtrahā śūra vidvān / jahi śatrūṃr apa mṛdho nudasvāthābhayaṃ kṛṇuhi viśvato naḥ
1.3.23.2	upayāmagṛhīto 'sīndrāya tvā marutvata eṣa te yonir indrāya tvā marutvate
1.3.24.1	mahaṃ indro ya ojasā parjanyo vṛṣṭimaṁ iva / stomair vatsasya vāvṛdhe
1.3.24.2	upayāmagṛhīto 'si / mahendrāya tvā / eṣa te yoniḥ / mahendrāya tvā
1.3.25.1	mahaṃ indro nṛvad ā carṣaṇiprā uta dvibarhā aminaḥ sahobhiḥ / asmadryag vāvṛdhe vīryāyoruḥ pṛthuḥ sukṛtaḥ kartṛbhir bhūt
1.3.25.2	upayāmagṛhīto 'si / mahendrāya tvā / eṣa te yoniḥ / mahendrāya tvā
1.3.26.1	kadā cana starīr asi nendra saścasi dāśuṣe / upopen nu maghavan bhūyā in nu te dānaṃ devasya pṛcyate
1.3.26.2	upayāmagṛhīto 'si / ādityebhyas tvā
1.3.26.3	kadā cana prayucchasy ubhe nipāsi janmanī / turīyāditya savanaṃ ta indriyam ātasthā amṛtaṃ divi
1.3.26.4	upayāmagṛhīto 'si / ādityebhyas tvā
1.3.26.5	yajño devānāṃ pratyetu sumnam ādityāso bhavatā mṛḍayantaḥ / ā vo 'rvācī sumatir vavṛtyād aṃhoś cid yā varivovittarāsat
1.3.26.6	ahaṃ parastād aham avastād ahaṃ viśvasya bhuvanasya rājā / ahaṃ sūryam ubhayato dadarśa yad antarikṣaṃ tad u naḥ pitābhūt
1.3.26.7	unnambhaya pṛthivīṃ bhinddhy ado divyaṃ nabhaḥ / udno divyasya no dhātar īśāno viṣyā dṛtim
1.3.27.1	adabdhebhiḥ savitaḥ pāyubhiṣ ṭvaṃ śivebhir adya paripāhi no vṛdhe / hiraṇyajihvaḥ suvitāya navyase rakṣā mākir no aghaśaṃsa īśata
1.3.27.2	upayāmagṛhīto 'si / sāvitro 'si janadhāyāḥ / jinva yajñam / jinva yajñapatim / abhi savanāni pāhi / atas tvā viṣṇuḥ pātu / viśaṃ tvaṃ pāhīndriyeṇa
