1.1.1	Now we shall explain the Agnihotra.
1.20.6	He offers the Svishtakrit oblation to Agni with the verse, "Today with these rays of thine, do thou."
1.20.7	The two Anuyājas are in Tristubh metre.
1.20.8	The chariot, the garment and the bull are again given away.
1.20.9	In the two Anuyāja offerings to Agni, he places two cases.
1.20.10	He directs the highest Anuyāja loudly.
1.20.11	The verses of the Patnīsaṃyāja offerings should be recited in a low voice.
1.20.12	He should offer the Agni-Varuna oblation on eleven potsherds, with the formulas, "You are Agni, you are Agni" as the Yajya and Anuvakya.
1.20.13	The rekindling of the fire is concluded.
1.20.14	One who kindles the third fire should offer these oblations: "Lekah, Salekah, Sulakeh."
1.20.15	For the sake of wealth, one should transfer the Ahavaniya from the Garhapatya.
2.1.4	In the evening, when the sun has set behind the tree, he takes the fire from the Garhapatya to the Ahavaniya. In the morning, when the dawn has appeared, or before sunrise, he should keep the Ahavaniya fire burning at night.
2.1.5	Having approached the Garhapaty with the two verses, "May the Garhapatys awaken," the sacrificer instructs, "Take it up."
2.1.6	"You are Dhṛṣṭi, you are Brahman." Having taken up the Upaveṣa, the Adhvaryu says, "By your speech, I offer to the Hotṛ." With this, he takes the Anvāhārya from the Garhapatya to the Āhavanīya.
2.1.7	"Here is the Anvāhāryā." He places it in its proper place.
2.1.8	The sacrificer recites the three verses, "Bhūr Bhuvah Suvar" etc., in the evening, "What has been done by day" and in the morning, "What has not been done by night".
2.1.9	He establishes the fire in the place of worship with the verse, "Offering of immortality", in the evening facing the west, "To the fire, svāhā" and in the early morning facing the east, "To the sun, svāhā".
2.1.10	"All the world now brings (the fire) to us." With his own hand holding the kindling wood, the sacrificer approaches the place of rest.
2.1.11	"Whatever fires there are, O Agni," with five verses he places the fires on the kindling wood.
2.1.12	With these five mantras, he adorns the fires with sprinkling, covering, and placing of flowers, in front and above.
2.1.13	He strews the fires with darbha grass, with the tips towards the east and north.
2.2.1	Having washed the Agnihotra-pot, the ladle, and the Agnihotra-tray to the north of the Garhapatya, he places them on the bundle of Kusha-grass and the Palasa-wood.
2.2.2	Having placed the cow to be milked to the south of the resting place, the sacrificer recites the formula, "You are the cow, the bearer of the vow." He touches the altar with the formula, "This is yours."
2.2.3	The Adhvaryu, having placed the calf to the south, and having turned towards the east and north, milks from the cow that has not yet disappeared and has not yet risen, from the cow that is not a Śūdra, into the Agnihotra vessel, with the milking formula.
2.2.4	Having milked, he brings it into the vessel.
2.2.5	He does not touch it.
2.2.6	It has been said that one should milk before the elder and the younger of the two brothers.
2.2.7	The sacrificer touches the water with the formula, "Thou art lightning." Having crossed the Ahavaniya fire, he sits down to the south along with his wife in his own place.
2.2.8	The Homa should be performed at dusk and dawn.
2.2.9	Having seen the stars, one should perform Homa at dusk, when the night is fasting, before sunrise, when the sun is about to rise, or when it has risen.
2.2.10	The time for Homa is from dusk till the end of dusk, and from dawn till the end of dawn.
2.2.11	Having taken it, he should offer four spoonfuls in the evening with the formula, "Salutations to the cloth, svāhā." In the morning, he should offer with the formula, “Salutations to the garment, svāhā.”
2.2.12	Having recited the Vyāhṛtis at both times and given a boon, he should offer.
2.2.13	From the time of the morning offering till the evening offering, from the evening offering till the morning offering - this is the rule for emergencies.
2.2.14	"I sprinkle thee with truth, with truth," he sprinkles with his hand in the evening; "with truth, with truth" in the morning.
2.2.15	"Thou art the continuity of the sacrifice," he causes the stream of water to flow from the Garhapatya to the Ahavaniya.
2.2.16	Having placed the Garhapatya fire-pan, having taken up the Ghṛṣṭi (spoon) with the formula, "Thou art the Ghṛṣți," having placed the embers towards the north, having made them hot, having recited the formula, "The hot ones are standing," having taken up the Homa-offering for the evening with the formula, "I take up the fire of the sun for the day and night," he places it on the embers with the formula, "The place of Ida."
2.3.1	"I take Agni for the sun, for the night, for the day" (thus) one should offer in the morning.
2.3.2	"May Agni bestow your brilliance" (thus) with darbha grass, "You are the nectar" (thus) having poured the milk from the ladle, having washed the milking pot, and having poured it back as before, "May the Rakshas be obstructed" (thus) he performs the fire-offering three times.
2.3.3	"You are the heat, the abode of prosperity." Having made the path, he scatters towards the north.
2.3.4	Having established the sacrificial post here, having placed it near, saying "Give me offspring," he scatters embers on the Garhapatya with firmness, saying "The offspring is turned back, the fear is turned back."
2.3.5	Having taken the ladle with the formula, "For the god thee", and having burnt the Agnihotra ladle with the formula "May it be destroyed", he cleanses the Agnihotra ladle by means of the formula, "Thou art the Suparna."
2.3.6	"May the sacrificer and his wife be free from injury" - having cleansed both, he invites the sacrificer in the evening with the words, "I shall pour out (the oblation)" and in the morning with the words, “I shall pour out.
2.3.7	The sacrificer is the oblation of the gods. Having uttered this in a low voice, he responds loudly with "Oṃ, let it be raised."
2.3.8	From the raising of the oblations onwards, one does not move around.
2.3.9	He restrains speech.
2.3.10	With four formulas, he carries the four full ladles of Agni and earth. With the last one twice, he carries five times.
2.3.11	Having carried, he touches the ladle with the formula, "Thou art the ten-hotr."
2.3.12	"He touches the pot that has been brought forward with the verse, "Together with the gods, with the evening lights." In the morning, he touches it with the verse, "Together with the gods with the morning lights."
2.4.1	Taking the kindling wood, he places it above the ladle handle, and with the verse, "May the gods grant me cattle," he places it on the couch behind the Garhapatya.
2.4.2	The sacrificer bows down to the lord of the fire, the light-bearer.
2.4.3	Having taken the Dashotr, he explains it, saying, "To Agni Vaisvānara," and having held it in the middle region, saying, "For you, O Wind," and having raised it, he places it on the stool behind the Ahavaniya, saying, "Grant me life."
2.4.4	He places the Palāśi kindling wood, saying, "This is your Agni kindling wood."
2.4.5	Having touched the fire with the formula, "Thou art lightning," having performed Prāṇāyāma in the blazing fire, he should offer oblations of milk, ghee, curd, rice, barley and cooked food with Soma with the formulas, "Agni is light, light is Agni, svāhā" in the evening and "Sūrya is light, light, is Sūrya, svāhā " in the morning.
2.4.6	Agni is light, the sun is light, svāhā. In the evening, the sun is the light, the fire is the light, svāha. In the morning. Thus some recite the combined offering.
2.5.1	He again places it on the seat, saying, "Grant me radiance."
2.5.2	Having taken the paste, he anoints the Kūrcā with the verse, "O Agni, lord of the house, I anoint the plants with the plants." He waits for the Garhapatya fire, turning to the right.
2.5.3	Having skipped the first offering, one should offer the subsequent one more abundantly with the verse, “Bhūr Bhuvah Suvar.” Or silently.
2.5.4	One should make it more abundant for consumption.
