1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
1.21.8	When the rice grains have emerged, he sends the Agnidhra, saying, "Strike loudly."
1.21.9	"O Kuṭaru, thou art Madhujihva." Taking a stone, the Agnidhra strikes it on the wooden plank with the Savitrī verse recited loudly, saying, "Let us speak of strength, let us speak of vigour."
1.21.10	He strikes twice on the wooden plank and once on the stone, moving it three times and making it nine times.
1.22.1	He places the broom to the north, made of Veṇu grass, reed or bamboo, saying, "It is a broom of each year."
1.22.2	He pours out the oblation with the formula, "I know thee, O thou who art increased by rain."
1.22.3	He pours it down on the heap with the formula, “The Rakshas has been driven away; the evil spirits have been driven away."
1.22.4	He strikes the chaff with the formula, "The Rakshas is driven away."
1.22.5	Having spread the chaff in the middle of the two portions of the cake, he pours it down under the skin of a black antelope with the formula, "Thou art the share of Rakshas." He then places the cake on the skin of a spotted antelope.
1.22.6	Having sprinkled water around, he separates (the grains) with the verse, "May Vayu separate you."
1.22.7	He scatters the rice grains in a vessel with the verse, “May god Savitar with golden hands receive you."
1.22.8	He touches the scattered grains with the verse, "Purify yourselves for the gods."
1.22.9	He sends the Havishkrit with the instruction, "Make it into three heaps."
1.22.10	The wife of the sacrificer comes forward and carries (the rice).
1.22.11	He makes them thrice-husked.
1.22.12	Having placed the known husked grains on a heap, he carries away the rice-washing, saying, "This is the share of the Rakshas, let it be carried away from here."
1.22.13	Similarly, taking up the black antelope skin, he shakes it.
1.23.1	The covering has been explained.
1.23.2	On the black antelope skin he places the neck-piece, the pot with its mouth facing east, and the wooden sword, saying, "Thou art the support of heaven."
1.23.3	On the wooden sword he places the stone, saying, "You are the stone, you are the mountain." On the stone he places the lump, saying, "you are the lump, you are the Parvatee.
1.23.4	He places the grains of rice on the heated pan with the formula, "In the impulse of god Savitr, with the arms of Asvins, with the hands of Pusan, I place the offering acceptable to Agni, to Agni-Soma." Three times with the formula and once silently.
1.23.5	He places them continuously.
1.23.6-8	"He throws the eastern brick with the formula, "For Prāṇa thee." He throws the western brick with the formula "For Apāna thee." He pours down the middle region with the formula "For Vyāna thee." "He throws the eastern one at the end with the formula, "For long life, for the continuity of life." "He scatters the flour on the black antelope skin with the formula, "May god Savitr with golden hands receive you.
1.23.9	He looks at the spilled (grains) with the firm eye, saying, 'I see with the eye.'
1.23.10	The wife of the sacrificer sends the servant to grind the grains, saying, 'Grind the grains.'
1.24.1	The wife or the servant grinds.
1.24.2	Taking up the Upavesha (the wooden sword), he places the two Angaras on the Garhapatya, and then pushes one of them towards the other, saying, "O Agni, drive away the raw Agni, and establish the free from raw Agni."
1.24.3	Having placed either of the two (bricks) with the formula, "Do thou carry the offering to the gods", he places the skull on it with the formula, "Thou art firm, thou expandest the earth."
1.24.4	Having placed the skull on the left finger, he turns the charcoal on it with the verse, "The Rakshas is burnt, the evil spirits are burnt."
1.24.5	"Thou art the supporter, thou art the supporter." He places the skull-bones one by one, saying, "Thou art the support," (on the right), "Thou art the fixed support," (on) the left, "Thou art Maruts's supporter," (on) sixth, "Thou art a wall, thou art a surrounding wall," (on) remaining ones. He places them silently. He completes eight.
1.24.6	In the same way he places the skull-bone-arrangement on the north.
1.24.7	Eleven or twelve (bricks) are placed for Indra-Agni.
1.24.8	Thus, the rites are performed in the proper order from here onwards.
1.24.9	Then he covers them with embers, reciting, "Be heated by the penance of the Bhrigus and Angiras."
1.24.10	Here, the Madanti bricks are placed.
1.24.11	Having restrained speech, he pours the flour into a heated and well-ventilated vessel, saying, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I pour the offering agreeable to Agni, to Agni-Soma." Three times with the formula, silently the fourth time, according to the deity.
1.25.1	Then he pours them out with the two strainers, saying, "May the god Savitr purify you." Afterwards with the Gayatri verse.
1.25.2	He mixes the oblations with the Prāṇītā (verses).
1.25.3	Or with another Yajus.
1.25.4	Taking them with the ladle from the Prāṇitā (verses), and carrying them with the Veda, he brings them.
1.25.5	"The waters have united with the waters," he says while bringing them to the ground meal.
1.25.6	"You have been generated from the waters, you are connected with the waters." He sprinkles them clockwise with heated water.
1.25.7	"He unites them, saying, 'For generation I unite you.' He divides them according to their shares, saying, 'Turn away from where you will not be united again."
1.25.8	Then he touches the right-hand cake with the formula, "For Agni thee!" and the left-hand cake with "For Agni-Soma thee!" At the Full-Moon sacrifice he touches the cakes with the formula, “For Indra-Agni thee!” At the New-Moon sacrifice he does not touch the cakes.
1.25.9	"This is the face of the army of the gods. I remove it from the skull with the Veda." Having removed the bones from the skulls, taking the right lump with the formula, "Thou art the head," he places it on the right side of the skull. "Thou art the heat, the life of all."
1.25.10	In the same way, taking the left lump, he places it on left side of the skull.
1.25.11	Thus, in the subsequent rites, they are performed in the proper order.
1.25.12	Here he pours clarified butter, not exceeding (the prescribed quantity).
1.26.1	He spreads all the potsherds, saying, "Spread widely. May your lord of sacrifice spread widely."
1.26.2	He makes it like the shape of a tortoise, not too high, not having a cake, and the size of a horse's hoof.
1.26.3	Having brought it into the vessel, he anoints it with clay, saying, "Take hold of the skin." He does not make it too salty.
1.26.4	He makes it thrice over the fire, saying, "The Rakshas are hidden, the evil ones are hidden."
1.26.5	Or, "The wise lord of strength has surrounded."
1.26.6	"May the god Savitar melt thee," he heats it with torches.
1.26.7	Agni does not burn your body.
1.26.8	He releases speech with the words, "Do not burn."
1.26.9	He puts the embers of the cake into the Veda with the words, "Be united with Brahma."
1.26.10	Then, having washed the fingers and rinsed the vessel, he heats it with a lump of clay and draws three lines towards the east or the north with a wooden stick inside the altar, letting it drip, and directs it towards the west, saying three times, "To unity, svāhā," with these mantras.
2.1.1	Taking up the wooden sword with the formula, "By the impulse of Savitr," he lays it down with the grass with the formula, "Thou art a hundred-holder, belonging to the wood, the slayer of the enemies, thousand-holder, hundred-shining, thou art Vayu, of sharp shining."
2.1.2	The altar is placed to the west of the Ahavaniya. The altar is of the size of the sacrificer. It may be placed to the west or to the east.
2.1.3	The oblations should be placed in such a way that they are near to each other and are placed obliquely.
2.1.4	The Veda, having known the altar, spread out the earth. The earth carries the embryo of the kings in the worlds. From that the sacrifice is born, giving everything. Thus it is said before the Stambayajus. With the Veda, he smears the altar three times from above.
2.1.5	From the eastern half, one-third of the Veda, he takes the Stambayajur.
2.1.6	Having placed on the inner side of the altar a darbha-grass with its tip towards the east or towards the north, he strikes it with the wooden sword, saying, "O Earth, thou art the place of sacrifice of the gods, the roots of plants are thine. Do not injure me."
2.1.7	Having removed the darbha-grass and the earth with the wooden sword and having carried them away, he says, "Go to the village, to the place of cows."
