1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
1.12.30	Then he pours out the Prokṣaṇī water, reciting, "May the god Savitr purify you with the stainless purifying (water), with the rays of the shining Vasu."
1.12.31	Having placed the Prokṣaṇī and the Pavitra, he takes up the Sruva in his right hand and the Juhu in his left hand, and having placed it on the Veda, he takes up Sukra with this formula, "I take thee, O Sukra, for the Sukra, for Dhāman, for Dhāma, for the gods, for the Yajus, for the Yajurveda." Having taken four spoonfuls and having touched it, he gives it away.
1.12.32	Then he takes up in the Upabṛt with the formula, "I take thee in the light, in the abode of light, for the gods, for the Yajus, for the Yājus." Having taken up eight times with this formula, he takes up the remaining Grahas, taking less and less clarified butter.
1.12.33	Having touched it thus, he hands it over.
1.12.34	Then he takes up the Dhruva cup with the formula, "To the light, to the light, to Dhāman, to Dhāmaṇ, to the gods, to the Yajus, to the Yājus, I take up." Having taken up four spoonfuls and filled it up, he touches it as before and hands it over.
1.13.1	Then, having placed the ladle with clarified butter on the ground behind the altar, and having sprinkled the Prokṣaṇī water, he rises, reciting, "The divine waters, the leaders, the foremost, lead this sacrifice to the forefront, bestow the lord of sacrifice. Indra chose you in the battle against Vṛtra. You chose Indra in the battle against Vrtra."
1.13.2	He sprinkles the water with water, saying, "Sprinkled, sprinkled." Three times.
1.13.3	Then he spreads the fire-wood and sprinkles it, saying, "Black is the tail of the cow, to Agni thee, svāhā."
1.13.4	He sprinkles the altar, saying, "Thou art the altar, to the sacrificial grass thee, svāha."
1.13.5	He sprinkles (the sacrificial grass), saying, "Thou are the sacrificial grass, to the ladles thee, svāhe."
1.13.6	They bring it between the sacrificial grass and the Havirdhāna cart.
1.13.7	Having placed it in front of the altar with the ends towards the east, he sprinkles it with the formula, "For heaven thee" for the ends, "For the atmosphere thee" for the middle parts, "For the earth thee" for the roots.
1.13.8	Having placed the ladle in front, he throws the knot towards the south. Having taken the Prokṣaṇī water, he pours it on the southern and northern parts of the altar, saying, "May Svāhā be the food for the Fathers. May energy be for those who have energy. May energy go to the earth." Having taken up the Prokṣani water, he spreads the sacrificial grass in front and takes up the Prastara grass, saying, "You are the mound of Viṣṇu."
1.13.9	He places it on the pure (fire) with the formula, "I place the Prāṇa and Apāna in the sacrificer." Or silently.
1.13.10	He gives it to the sacrificer or to the Brahman.
1.13.11	He spreads the grass-binding twigs on the right buttock from the left shoulder.
1.13.12	Then at the end of the southern altar, he spreads the handful of sacrificial grass, saying, "I spread thee, O divine grass, with the wool of the sheep, for the gods, who are in the heaven."
1.13.13	He spreads it in front, towards the west, in three rows, not visible to the eye.
1.13.14	Then the one with the bundle of grass in his hand, having approached from the east, places the enclosing sticks, saying, "You are Gandharva, Visvavasu, the enclosing stick of the sacrificer from all sides. You are the call of the invited. This is the middle one." "You are Indra's right arm, the enclosing stick for the sacrificer. You are the called-for call. This is the right one." "May Mitra-Varuna protect you from the north, with the firm law. You are the enclosing stick for Yajamana. You are the invited call. This is northern one."
1.13.15	Then he places the fire-wood in front of the sun, with the verse, "May the sun protect thee from all curses."
1.13.16	He places the two fire-sticks upright, with the verse "We kindle thee, O Agni, the bright, the wise, the great, the giver of wealth, the knower of all beings." He places the right one silently and the left one with the verse.
1.13.17	The Veda is placed within, with the Udici (verse) in front, and the Tirasi (verse) is placed below. The Visas are placed in the machine.
1.13.18	The two Prishthara verses are placed in the seat of the Vasus, Rudras, and Adityas.
1.13.19	On the Prishthara verse, the Juhu ladle is placed. "The Juhu is called Ghritachi. It is placed in the seat by its dear name."
1.13.20	The Uttarā Upāṃśu is the Upāṃśus. Thou art Ghṛtācī by thy dear name. Sit in the dear place.
1.13.21	The Uttarā Dhruvā is the Dhruvā. Thou art Ghritācī by the dear name. Sit on the dear place.
1.13.22	Then he touches the ladles with the verse, "These have come to the world of good deeds. O Vishnu, protect them. Protect the sacrifice, protect the lord of sacrifice, protect me who am engaged in sacrifice."
1.13.23	Then he recites the verses, "You are the Viṣṇu-ones, you are the Viṣņu-ones, you belong to the Viṣṇus, you belong to Viṣṇu."
1.14.1	Then he takes the vessel of clarified butter with the right hand, and the vessel of the Veda with the left.
1.14.2	Having taken this (water), having turned to the right, having run towards the west, having sat down with his back towards the Garhapatya, he spreads two portions of rice in the vessel, saying, "I make thy abode auspicious, I prepare thy good form with the stream of ghee. Do thou sit down in it. Stand firm. Be thou the oblation of rice, agreeable to my mind."
1.14.3	Then, taking up Dhṛṣṭi, he removes the embers of the southern cake, saying, "This is the face of the army, I am removing it for the sake of consecration."
1.14.4	Then he shows it to him, saying, "The light of the sun shines forth for the sake of the great power."
1.14.5	Having made the Veda free from dust, he pours it down with the verse, "May the Agni, born of ghee, grow, may Agni be pleased with the offerings. May the sky be thy skin, may the sky be thy hide. Thee, the handsome one, the knower of wealth, of the animals, I pour down with the Agni-pleasing lustre."
1.14.6	He pours it down with this verse, whatever deity it may be.
1.14.7	Then he removes it with the verse, "The generated one is heated, the generator of thoughts."
1.14.8	"He anoints with ghee, moist, the first to be born, the protector of the world."
1.14.9	Having anointed from above, he anoints from below, saying, "That Self which has entered into the animals, I anoint."
1.14.10	In the same way, he removes the northern cake.
1.14.11	Then the cooked rice, then the curd.
1.14.12	Then he adorns the Saṁnāyya (vessel) with the verse, "The Self which has entered the animals, which has taken its place among the gods, having become Soma and ghee, may it go to the gods and obtain the good. May it come to me, the sacrificer."
1.14.13	Having seen the potsherds, he places them down with the verse, “May the prosperity of the earth not leak out."
1.14.14	The Brahmanical text says, "He causes the sacrificer to be removed by counting."
1.14.15	Having filled the spoon with clarified butter, he places it in between the two sacrificial dishes.
1.14.16	Having taken them around, he places them within the altar with these Vyāhṛtis: "Bhūr Bhuvah Suvar."
1.14.17	In the middle he places the cakes, on the right side the cooked rice, and on the left side the curds.
1.14.18	Then having moved the ladle forward of the spoon, he places it on the Prastara to the right of the Juhu. "He says, "May it be settled on me, may it be well-settled on the earth. May it spread with progeny and cattle. May it be settled in the heaven, in the earth, in the atmosphere. May I be superior. May my enemies be inferior."
1.14.19	Then he places it on the Dhruva-grass as it was taken, with the formula, "Thou art the bull, the son of Sakvari, the son of Ghritachi, by thy dear name, do thou sit in the dear assembly."
1.15.1	Then taking a twig from the fire, he says, "Do thou recite the formula for Agni being kindled."
1.15.2	Then at the place where the Hotṛ recites, "We know your gifts, O Agni, for the heaven," he places the first one.
1.15.3	He places them at every Praṇava.
1.15.4	Then at the place where he recites, "Agni is kindled, offered," he places the last one.
1.15.5	He arranges the kindling wood around.
1.15.6	Then when the Hotṛ knows that the Adhvaryu is about to offer, he makes the Āhavaniya fire thrice touch the Veda with this Veda.
1.15.7	After the Sāmidhenī verses have been recited, having sprinkled from the Dhruva vessel with the spoon and having touched with the Veda, he offers the oblique libation to Prajāpati with the formula "To Prajāpati svāhā" mentally.
1.15.8	Then he says (to the Agnid) "O Agnid, do thou thrice rub the Agnis."
1.15.9	Then the Agnidhra, having taken the kindling woods and the wooden sword, and having smoothed the enclosing sticks three times towards the middle, three times towards the south, three times towards north, three times towards Ahavaniya, he makes them go away with the verse, "O Agni, the winner of speed, may I win the speed. May I win the speed of the horse, the winner of the speed, the winner of horses, for the winning of horses. I am smoothing Agni, the eater of food, for the eating of food."
