1.1.1	Now, therefore, the authority.
2.7.21	Having placed the strainer, he sprinkles the sacrificial grass for strewing in front (of himself). Having taken the Prastara grass, he says, "Of Visnu."
2.7.22	Having given the armour to Brahman, having loosened it, having placed it on the southern side of the altar, having covered the altar with other (grass), he spreads the grass of wool. It is three-layered.
2.7.23	By means of the Upapatti.
2.7.24	Many.
2.7.25	The root is below.
2.7.26	The end is towards the west.
2.7.27	Or spreading.
2.7.28	Here the removal is also of the Ahavaniya.
2.7.29	Taking the kindling wood from the fire-wood, he places the Ahavaniya fire, holding the Prastara above it.
2.7.30	If the embers are taken up, the Anuyājas are offered.
2.8.1	He lays down the enclosing sticks, moist, of one tree, a span long, of Palāśa, Vaiṅkatika, Kārṣmarya and Bilva wood. In case of non-availability, he may use Khadira and Udumbara wood. The southern and northern ones are of medium size. He lays them down with the formula, "Gandharva..." for each one.
2.8.2	Having touched the enclosing sticks with the Samit, he lays down the first one with the formula, "Vitihotram..."
2.8.3	Having not touched the second twig, he says, "You are a twig."
2.8.4	Looking at the Ahavaniya fire, he recites, "You are the sun," because of the statement.
2.8.5	Turning around, he places the grass of the sacrificial grass on the altar, facing downwards, with the words, "Of Savitr."
2.8.6	Others say because of the connection.
2.8.7	Also for other purposes of grass.
2.8.8	Ghee is applied to the sacrificial posts and the eyes.
2.8.9	And at the Pūroḍāśa and Payasyādhāna rites.
2.8.10	He spreads a bundle of grass on them, saying, "Of wool and flax."
2.8.11	He places it, saying, "The Vasus have placed thee."
2.8.12	Having taken the Juhu in the left hand, he places it, saying "Of ghee."
2.8.13	In the same way, taking the other two ladles in the right hand, he places them in succession on the sacrificial grass, the Upabhṛt and the Dhūrva, respectively, with the respective formulas.
2.8.14	Having poured over the two sacrificial cakes, having taken them up, having placed them on the spread out (Darbha-grass), he anoints them with the verse, "The breath which has entered the animals, which has been established in the abode of the gods, which is self-existent, having become Soma and ghee, may it go to Agni. May it obtain heaven for the sacrificer."
2.8.15	The other (verses) are according to the deity.
2.8.16	He places the potsherds, those which the wise ones collect in the fire, and also those of Pūṣan, Indra-Vāyu, let them be released.
2.8.17	Or silently.
2.8.18	He places them in order.
2.8.19	Having placed the oblations on the altar, he says, "May the Dhruva be firm." He offers all.
2.8.20	"Protect me" - himself.
2.8.21	Here is the offering of the vow.
3.1.1	Having made the Hotr's seat behind the altar, or on the north side of the fire, taking the kindling wood, he says, "Recite the Anubrūhi for Agni being kindled."
3.1.2	Some say, "Hotr."
3.1.3	The first place is before the Sviṣṭakṛt.
3.1.4	The middle place is for the Ida.
3.1.5	The remaining place is for the Uttara.
3.1.6	The sacrificer says, "Do you recite as if continuing."
3.1.7	He strikes with the thumbs and says, "I strike this Veda with the feet." If there is enmity, he says, "I am striking the one who hates me."
3.1.8	If there is no enmity, he says "I am striking my enemy, my brother."
3.1.9	As long as there is a Samidheni verse, he says, "I am striking this with a thunderbolt of so many verses."
3.1.10	Each time he recites the Prastara, he strikes.
3.1.11	If the Anuyājas are performed with all the kindling woods except the one at the beginning, then one should say, "The fire is kindled."
3.1.12	Having recited the Anuvāka, having sprinkled the Āhavanīya three times with the Veda, having poured the Āghāra with the spoon, one should say, “O Agni, the knower of truth, be pleased.”
3.1.13	One should sprinkle the kindling woods with the sprinkling formulas, going around the fire three times with the formula, "O Agni, the winner of the race."
3.1.14	silently above.
3.1.15	He makes an offering with the ladle from the Ahavaniya fire, saying, "Salutations to the gods, Svāhā to the fathers." He makes it fall on the ground to the south.
3.1.16	Having touched water, he takes up the Juhu and Upasthāna ladles, saying, "May I be well-guided." Having made the Juhu ladle face north, he crosses to the south, saying, "With the foot of Vishnu."
3.1.17	The Paridhi ladles are placed on the other side. The Hotr priest is about to perform the Homa.
3.1.18	From the left to the right.
3.1.19	Standing on the earth,
3.2.1	he offers the Uttarāghāra with the formula, "Indra here."
3.2.2	Having offered the Uttarāghara, he comes back without touching the spoon and anoints the Dhruva with the Juhu with the verse, "May we be united with light."
3.2.3	Having placed the Dhruva and the Juhu, taking the kindling woods, he says, "Let it be heard."
3.2.4	The Agnīd says, "Let us hear."
3.2.5	Having removed the grass and the wood from the altar, he places them together.
3.2.6	So also in all cases where the Veda is not heard or is heard.
3.2.7	Then he says, "Agni is the divine Hotr, knowing and healing, according to Manu, Bharata, and Amu, and Amu." The last three are mentioned in the reverse order.
3.2.8-14	as many as are made by the Mantras. Or by the family priest. Or by a Kṣatriya or a Vaiśya. Or by Manu. Or by Brahma. Or by those who know the Veda. The Brahmanas are the performers of this sacrifice. He is human. This is the name of the Hotri. Or in a low voice. They sit down after having rubbed (their hands).
3.2.15	"Agni is the Hotri" - this is the offering of the ladle at the Prayajas, because of the presence of the ladle.
3.2.16	Having taken the ladle filled with ghee, having gone beyond, having called out, he says, "Offer the Samidhs."
3.2.17	Five Prayajas.
3.2.18	The most well-kindled.
3.2.19	"Offer, offer" - for the rest.
3.2.20	Standing firmly.
3.2.21	Going forward step by step.
3.2.22	He brings the Upabhrti to the Juhu, without touching it, for the fourth time.
3.2.23	Thus at the Pravargya.
3.2.24	Also at the Anuyajas.
3.2.25	Having placed the northern Juhu, he offers, having brought the eastern one.
3.2.26	Thus everywhere.
3.3.1	Holding it at the navel.
3.3.2	Inviting the Prayajas.
3.3.3	One belongs to me, one to him, one to him who hates us, and one to him whom we hate. Thus, in pairs, according to the number.
3.3.4	"In the fifth, it is said, "Nothing belongs to him."
3.3.5	"He is radiant, he is praised, he is glorious, he is endowed with brahminical splendor, he is the eater of food."
3.3.6	And for the guests, from the fourth and fifth places."
3.3.7	The first and the fourth (offerings) are to be made according to the text.
3.3.8	All (offerings) should be made with the best (kind of oblation).
3.3.9	Having come, one should pour the oblation into the Dhruva vessel and into the Upabṛt vessel.
3.3.10	One should offer the two portions of clarified butter with the Agniye and the Sumiye mantras.
3.3.11	One should make four offerings with the Vasat call.
3.3.12	Having placed the Dhruva vessel, he pours clarified butter over it, saying, "May the Dhruva be nourished with oblation of clarified butter. May the sacrifice be offered to the gods at every sacrifice. The udder of Surya is the seat of Aditi. The earth is the great stream at this sacrifice."
3.3.13	Having said, "Recite," he should not utter anything in between, because the Hotṛ recites.
3.3.14-20	When the Adhvaryu has called out, the Agnidhra responds. When the Agnidhra has responded, the Adhvaryus responds. When (the Adhvaryu) has responded, the Hotri responds. Having taken up the Soma-graha, the Udgâtrs respond. When the Udgâtr has responded, the Hotr responds. The Agniya is offered in the north-east.
3.3.21	In the southeast corner, the Somas are auspicious.
3.3.22	Or in the well-kindled fire.
3.3.23	With two oblations.
3.3.24	The two Purorasa oblations are offered between the fires of Agni and Soma, with the head lowered.
3.3.25	Vishnu is mentioned in the Haurtra recitation on the new moon day.
3.3.26	The oblation is offered from the northern half of the Svishtakrit.
3.3.27	The oblution is offered from that itself.
3.3.28	Not from the entire ghee.
3.3.29	The oblations are not mixed.
3.3.30	Having placed (the oblations)
3.4.1	Having sprinkled the moving (fire), he offers the Prastara, of the size of a barley grain or a pepper grain.
3.4.2	Either from one side or
3.4.3	From both sides or
3.4.4	From the Agniya
3.4.5	And from the shares
3.4.6	Having given the Ida to the Brahman with the Adhvaryu's movement, having touched water with the eastern one alone, having placed the Ida on the southern side, from the middle to the extent of the oblation, like the Svishtakrit, ghee.
3.4.7	Having spread the Yajamana's portion from the eastern half, he makes it long in front of the Dhruva.
3.4.8	Having given the Ida to Hotri, he releases and goes beyond the southern side.
3.4.9	Having taken the Idā, he anoints the joints of the Hotṛ's fingers.
3.4.10	He places the intermediate Idā as before.
3.4.11	And the Idā.
3.4.12	All join in.
3.4.13	When he is called to recite the Idā, he makes it Agni-related and seated on the sacrificial grass. "He says, "Expand the universe, increase my life, increase my progeny, increase my cattle, increase my Brahman, increase my nobility, increase my people. Increase with progeny and cattle him who hates us and whom we hate." Having divided it into four parts,
3.4.14	He gives the sacrificial grass to the priests.
3.4.15	Both (the sacrificer and the priest) are equal, because of the absence of any distinction.
3.4.16	Here the sacrificer mutters, "The fathers."
3.4.17	"I am releasing the fathers."
3.4.18	He brings in each (kind of food).
3.4.19	At the invocation of heaven and earth, the Adhvaryu takes six steps.
3.4.20	He eats, saying, "The earth has been invoked."
3.4.21	The sacrificer mutters here, "This is for me."
3.4.22	The invited ones eat together.
3.4.23	The sacrificer also.
3.4.24	They sprinkle the Pavitras on the other side of the altar, saying, "May we be friends."
3.4.25	He makes the sacrificer eat the Prāṇāpāna on the Prāstara, saying, "The Prāṇāpaṇas of the sacrificer."
