1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
1.19.3	Having turned the vessels upside down, cleanse them with the formula, "For the divine rite." Having sprinkled them thrice, having placed the remaining water in front of the Garhapatya, having taken up the black antelope skin with the formula, “Thou art taken up by the impulse of the divine Savitr,” he shakes it thrice on the heap of ashes with the formula, "The Rakshas is shaken off, the evil spirits are shaken off." The animal is turned upside down with its head towards the outside and is cut open.
1.19.4	"Thou art the skin of Aditi," he spreads the skin with the neck towards the north and the hairy side upwards, either on the heap of ashes or to the north of the Garhapatya.
1.19.5	He puts the ashes towards the east and the west.
1.19.6	"Thou art the black antelope skin," he puts the pestle on it.
1.19.7	Not letting go of the mortar, he says, "You are the body of Agni." He pours the oblation into it three times with the Yajus formula and once silently.
1.19.8	Taking up the pestle, he says, “You are the mountain, you are the wood.” He strikes the oblation three times, saying, “Come, O oblation-maker!” He does not strike the oblation-maker. He calls out to the oblation-making.
1.19.9	"O Havis-maker, come!" (thus) to a Brāhmaṇa; "O Havis maker, come!" ( thus) to a Rājanya; "O Haviṣ-maker, run!" ( thus) a Vaiśya; "O Hāviṣ-maker, rush!" ( thus) for a Śūdra.
1.19.10	The first of all.
1.19.11	"O Rākṣasa, I strike down the enemy of heaven." Thus he strikes.
1.20.1	"Strike high!" thus he orders.
1.20.2	"You are a good stone, you have a sweet tongue," taking up a stone, the Agnidhra strikes it on the pressing stone. They strike it on the pressing stones.
1.20.3	Twice on the pressing stones, once on the pressing stone, moving it three times, he makes it nine times.
1.20.4	Taking up a wooden mallet with the Savitrī verse, they strike it with it.
1.20.5	"You are a year-old," having thrown the chaff in front, or in the north.
1.20.6	"You have grown with the year", he says, while taking up the grains. "I know you who have grown with the years", he says, when pouring them down.
1.20.7	"The Rakshas is purified, the evil spirits are purified", he says, purifying them on the heap.
1.20.8	"The Raksas is driven away, the enemies are puffed up", he says, following the scattering of the chaff.
1.20.9	Having placed the husks in the middle pot of the oblation, he places them below the black antelope skin with the formula, "Thou art the share of Rakshas." The subsequent one is in the intermediate space.
1.20.10	One should place them with the hand. This is in the Brāhmaṇa of Bahvrīcas.
1.20.11	Having touched the skull with water, having placed it in a known place, having sprinkled himself, having separated (the skull) with the formula, "May the wind separate you", having separated (the bones) with the formula "May the shining god Savitr with golden hands receive you", having thrown the rice into the vessel, having looked at it with the formula, “I look at you with the uninjured eye for prosperity, for radiance, for good progeny, for the protection of the eye, for the blessing”, having looked at it, he instructs, “Make three balls”.
1.20.12	The wife of the sacrificer is struck with the Abhi-druta.
1.20.13	If there is no wife,
1.21.1	he makes them pure for the gods, saying, "Purify for the gods, purify for the gods, make pure for the gods." He makes them pure for himself, saying, "Make pure for me, make pure for me, purify for me."
1.21.2	Having washed the Trivrit, he carries it three times to the heap of bones, saying, "Let the share of the Rakshas go away from here."
1.21.3-4	Here, having taken up the Kṛṣṇājin, etc., before the turning around, having placed the Kṛṣṇa-skin with the northern pot and the wooden sword, having placed the stone on the wooden sword with "You are the stone, you are the mountain," having placed the stone-slab on the stone with "You are a stone, you are a mountain," having placed a stone on the stone-slab.
1.21.5	Having recited the formula, "O portions, be sweet", he recites the formula, "For the deity thee" and pours the rice grains on the heated pan according to the deity. He pours them three times reciting the formula and once silently.
1.21.6	Having placed the eastern stone with the formula, "For Prāṇa thee", having placed the western stone with the formula "For Apāna thee", having placed in the middle with the formula "for Vyāna thee", he binds them together with the formula, “For Prāṇa, for Apāna, for Vyāna thee.
1.21.7-8	"May the long-lasting life be yours." Having thrown the flour towards the east, he says, "May Savitar, the divine one, with golden hands, accept it." Having thrown the ground flour on a black antelope skin, and having looked at it with an unblinking eye, he says, “May the flour be ground.” The slave or the wife grinds it.
1.21.9	Or the wife of a Śūdra may destroy it.
1.22.1	One cooks the oblations in the Āhavanīya or Gārhapatya.
1.22.2	"Thou art Dhriti, thou art Brahman." Having taken up the Upavesha, he says, "Burn the hand of the Rakshas." Having recited the formula, "Thou art Budhniya," he says, "O Agni, burn the raw Agni." Having taken out two coals from the Garhapatya, he says, "Remove the carnivorous one." Having placed one of them in the intermediate space, he says, "Carry the divine oblation." Having placed the southern one, he says, “Thou art Dhruva.” He places the middle pot for the cake on it.
1.22.3-4	Having burnt the Rakshas, having burnt the evil spirits, having placed a piece of charcoal on the skull, having touched the first one with the formula, "Thou art the support," having touched the second one with the formula "Thou art the supporter," having touched the third one with the formula “Thou art the supporter,” having touched the one on the right side of the middle one with the formula,“Thou art the separator, thou art the separator in all directions," having touched the one to the left of the middle one, with the formula, “Thou art the separator in the directions.” The others are to be touched as per their suitability.
1.23.1	"Thou art the impulse of the Maruts," is the sixth; "Thou art Dharma," is the seventh; "Thou art Cit," is the eighth.
1.23.2	Thus he places the northern skull-cup.
1.23.3	Or, having placed the middle one, he should place the fingers of the left hand on it and say, "The Rakshas are burnt, the enemies are burnt." Having placed a burning ember in the skull, he should say, "You are the holder." Then, "You are beyond that." Then, "The other ones as appropriate."
1.23.4	The Vājasaneyins mention the placing of the respective fingers and the spreading of the embers.
1.23.5	He places the embers above the eight fingers, silently or with the verse, "Thou art the highest, thou art the highest."
1.23.6	Having spread the embers in the skull-cups with the verse, “Be ye heated by the penance of the Bhrigus and Angiras," he places the Madanti-cups.
1.24.1	Having washed the vessel, heated it, and sprinkled it with Pavitra-water, he pours the flour into it, reciting "For the deity thee" and then "I pour the offering for Agni." He does this three times for each deity, silently for the fourth time.
1.24.2	While pouring, he restrains speech, and releases it while sprinkling.
1.24.3	Having purified the flour as in the case of sprinkling, he mixes it with the Prāṇita-water.
1.24.4	If the Praṇītā is not obtained, then one should purify with another Yajus.
1.24.5	Having taken up (the flour) with the ladle, having mixed it with water, having brought it near the heated (water), having sprinkled it with heated water, having mixed it, saying, "I mix thee for generation", having made a ball, saying, "Thou art the head of the sacrifice", having divided it according to the share, having made two equal balls, having touched them according to the deity, saying, "This is of Agni", the one for Agni, "This is for Agni and Soma", the one for Agnisomiya.
