1.1.1.1	The Upacharavidhi is the Upacharavidhana.
1.2.5.3	"He takes up the ladle, with the formula, "Thou art the ladle, unconquered, conquering the foe." He cleanses it with the formula, "Do not injure my life, my breath," as one cleanses the Juhu and the Prastara.
1.2.5.4	He takes up the Juhu, with the formula "Thou art Juhu, unconquered, the conqueror of the foe." He first cleanses the Juhi from the front, then from the back, with the formula "Do not injure mine eye, my ear.
1.2.5.5-6	"He takes up the Upabṛt with the formula, "Thou art the Upabhrt, not to be assailed, the conqueror of foes." He takes up the Udbhid with the formula, "Thou art the Udbhid, not to be assailable, the conqueror of the foes. He takes up the Sruva with the formula, "Thou art the Sruva, not to be assailled, the conqueror of foos." He takes up a ladle with the formula, “Thou art the ladle, not to be assalled, the conqueror of foe." He takes up an Anuvāka with the formula, ”Thou art the Anuvāka, not to be assailed, the conqueror of focs." He takes up water with the formula, 'Thou art water, not to be assaulted, the conqueror of fos." He takes up fire with the formula, ‘Thou art fire, not to be asailed, the conqueror foe." He takes the Upabhṛt with the verse, "Thou are the Upabhrit, not to be attacked, the conqueror of enemies." He takes the Udumbara with the verse, “Thou art Udumbara, not to be attaked, the conqueror of encmies." He takes the Dhruva with the verse, "Thou are the Dhruva, not attaked, the conquerer of enemies." He takos the Yajña with the verse, "Thou art Yajña, not attaked the conquerer of
1.2.5.7	He takes up the Prastara-removal with the verse, "This is the removal of Prastara, not to be disregarded, conquering the enemies." He cleanses it with the verse, "Do not injure my form. I cleanse thee, O horse, conquering the enemies.
1.2.5.8	The divine art is spread out on the earth, resting on the corners. With that thousand-rayed one, you torment the hater. The two-legged ones are tormented, many. Having released the cleansing (sticks), he pours them over the fire.
1.2.5.9	The spoons, having been cleansed, are placed in their proper places, with their mouths upwards.
1.2.5.10	"He sends her, saying, 'O wife, do thou attend on the world of wives.' 'This is thy world of wives; salutations to thee; do thou not injure me,' he says, and places the world of wives of the other (wife) to the south-west.
1.2.5.11	O Agni, the Householder, do thou invite me. The wives of the gods do thou invite. Like Aditi, with thy sons, do thou sit near me. Like Indraṇī, without a husband, she sits down, stretching her knees.
1.2.5.12	Having become obedient to Agni, one should be yoked for good deeds. Having touched the yoke, the wife is yoked. Having touched water, the wife looks at the ghee with the verse, "With the Veda as the means, I look at you with the eye."
1.2.5.13	"Thou art brilliance." He places clarified butter on the Garhapatya.
1.2.5.14	"Thou art brilliance, thou art brilliance, thou goest to brilliance. The wind from the atmosphere, the sun from heaven." He carries it towards the Ahavaniya.
1.2.5.15	"May Agni not deprive thee of brilliance." He places it on the Ahavaniya.
1.2.5.16	This is Vishnu, he has stepped forth. He places the Prokṣaṇī waters to the north of this verse.
1.2.5.17	He looks at the ghee with the verse, "You are brilliance." The ghee is either purified or not purified.
1.2.5.18	He purifies the ghee with the formula, "May the god Savitr purify you." He sprinkles the Prokṣani waters with the formula, “May the god Savita purify you.”
1.2.5.19	He takes the clarified butter with the ladle, four times in the Juhu, eight times in the Upabhu, five times in the Dhruva, and the most in the Kaniyas.
1.2.5.20	He places the ladle, the ladle and the Veda at the Garhapatya.
1.2.5.21	Taking a handful of Darbha grass, he throws half of it to the right of the Veda and says, "The divine waters."
1.2.5.22	Having taken the Prokṣaṇī water, they sprinkle the places on the altar.
1.2.5.23	Having placed the sprinkling water on the mound, having touched it, having taken the sacrificial grass and the enclosing sticks, having invited the Brahman, he sprinkles (the altar) with the formula, "This is the black one, the best of the stones." "You are the altar, for the sacrificial grass." "You are sacrificial grass, for the altar."
1.2.5.24	Having sprinkled, he places the sacrificial grass in the southern half of the altar, leaving out a third.
1.2.5.25	He places the knot in front.
1.2.5.26	He pours the sprinkling water over the tips of the sacrificial grass.
1.2.5.27	"He offers the sprinkling water clockwise at the root of the sacrificial grass, saying, "Svāhā to the Fathers, to the Fathers who are present in the heat."
1.2.5.28	Having taken up the ladle after heating it, having gone around along the southern side of the strainer, having tied the knot of the sacrificial grass, he says, "May Pūṣan tie the knot for you."
1.2.6.1	Having taken up the Prastara, he says, “Thou art the mound of Viṣṇu.”
1.2.6.2	Having wiped the strainer on the Prastara he says, "I place the Prāṇa and Apāna in the sacrificer."
1.2.6.3	Having moved forward from the Ahavaniya fire, he offers the Prastara to the Brahman or to the sacrificer.
1.2.6.4	He takes the Prastara from the mouth with the verse, "Thou art nourishment, for nourishment thee. I take thee possessed of wealth and nourishment."
1.2.6.5	He should not wipe it, nor should he wipe it down, nor should he shake it. If he stands up, he should take it up.
1.2.6.6	Having loosened the sacrificial grass, he strews the altar on the southern half of the altar with the sacrificial grass that had been thrown down at the time of reciting the Udirāṇā verse.
1.2.6.7	He strews the altar with the verse, "Be wide and spread out." He strews the altar in the southern half with the sacrificial grass, one by one, in pairs, abundant, without gaps.
1.2.6.8	Having gone around the altar, holding the Prastara, he places the enclosing sticks, saying, "You are Gandharva," for the middle one; "You are Indra's arm," for the right one; "You two are Mitra-Varuna," for the left one.
1.2.6.9	He places them without interchanging. He joins them together. He joins the right enclosing stick first, which is the most prominent.
1.2.6.10	Taking up the kindling wood, he places the kindling wood on the Nitya Hotr with the verse, "Thou art the kindling wood of the Nitya Hotrs." He places the second kindling wood with the verse, "Thou art the highest in the sky."
1.2.6.11	He places the Aditya in front with the verse, "The Sun with his rays." He places the kindling woods of the Visvajanas with the verse,
1.2.6.12	"Ye are the supports of the Visvajana." He places them at an angle, four fingers apart.
1.2.6.13	He places the Prāstara above the two Vatsas of the Vasus and Rudras.
1.2.6.14	He places the Juhu on the Prāstāra with the verse, "Thou art the heaven for birth."
1.2.6.15	He does not let it fall empty. He makes the stick equal to the roots.
1.2.6.16	"You are the atmosphere for birth." Having placed the Upabhṛt below the Vidhṛti, he says, "You are the earth for birth." Having put the Dhruva above the Vidhṛt, he places the spoons without touching each other. He makes the Juhu the most prominent.
1.2.6.17	"I am removing the face of the army from here." With the Veda, he removes the ashes from the Purorasa.
1.2.6.18	The Veda-offering is the pouring of ghee into the ladle. The Agni born of ghee, may he accept our offerings. May he be the receptacle of our oblations. May he be our protector. May he be a good protector. May he protect us. May he be kind to us. May he protect our cattle. May he be gracious to us. May we be gracious to him. May he be auspicious to us. May Agni be auspicious to us.
1.2.6.19	He spreads it on the vessel with the verse, "I make thy abode auspicious with the stream of ghee, I make it well-shining."
1.2.6.20	He places it in the water with the verse, “The moist one, the protector of the wide world, the one who has been born from the heat, the generator of thoughts."
1.2.6.21	He removes the ashes with the Veda, not striking with the hand, and with the Veda-head.
1.2.6.22	"In that immortal nectar, may you be firm, with the wisdom of the grains, being well-disposed." He places it on the spread out (grains), saying, "With the wisdom of barley" for barley.
1.2.6.23	"May the prosperity of the earth, the essence, not leak out," he pours over the first placed potsherd.
1.2.6.24	Thou art Tṛpti, the Gayatri metre. Satisfy me with brilliance and with Brahmic lustre. Thou art Tṛptis, the Tristubh metre. Satisfy with me with strength and with virility. Thou art Truptis, the Jagatī metre. Satisfy us with progeny and with cattle. He adorns the well-recited, the unfaltering, the unhesitating, the unretreating, and anoints below.
1.2.6.25	The Self which has entered into the animals, which is the most excellent of heaven, and which is seen by him, O Soma, who is endowed with the Self, with ghee, come hither, go to heaven, win the heaven, for the sacrificer, for me. He adorns the two utterances.
1.2.6.26	He brings forth the oblations.
1.2.6.27	"He places the full ladle to the right of the Juhu, in front of the Dhruva, to the north of the Dhruvâ, to the west of the vessel of clarified butter, to the west (of the ladle), the ladle, the vessel, on the southern part of the altar-site, the evening milking, on the northern part, the morning milking.
1.2.6.28	He strews the altar, without covering the ends.
1.2.6.29	Then the Hotr strews the three layers of grass on the ground, the tufts of grass on the right side.
1.2.6.30	Having touched water, he touches the clarified butter with the formula, "Thou art Dhruva."
