1.1.1	We shall explain the (Vedic) sacrifice.
2.2.6	The verses “Him constantly they praise”, and “Might we be those who to Agni” and the verses for the sacrifice to Agni Sviṣṭakṛt.
2.2.7	The second sacrifice is intended for Agni Pāvaka and Agni Śuci.
2.2.8	(This rite is) a modification of the sacrifice on the day of new-moon.
2.2.9-10	(The invīting- and offering-verses are): (for Agni Pāvaka) “Bring hither, O Agni Pāvaka” and “Convey hither, O Agni Pāvaka”, (and for Agni Śuci:) “Agni of most bright (śuci) course” and “O Agni, thy bright”.
2.2.11	The verses “Agni on Agni they call with callings”, “Agni is enkindled by Agni”, are for the sacrifice to Agni Sviṣṭakṛt.
2.2.12	The third (iṣṭi) is for Aditi.
2.2.13	(The verses for) the butter-portions (of this iṣṭi) which contain (a form of the verb) “to be” are: “Thou Agni art”, and “Those that are, O Soma, your wonderful”.
2.2.14	(The invīting- and offering-verses for the third iṣṭi are): “I call for thee, O mighty Aditi”, and “We would call to our aid the great mother of them of good course, the spouse of righteousness, her of great might, the not-ageing, wide-spreading, well-sheltering, well-conducting Aditi”.
2.2.15	(The invīting- and offering-verses) for the sacrifice to Agni Sviṣṭakṛt (of this third iṣṭi to Aditi) are two virāj verses: “Being enkindled, O Agni”, and “Convey these offerings, O Agni”.
2.2.16	If they (the adhvaryus) perform four iṣṭis (they offer) the first to Agni.
2.2.17	(The invīting- and offering-verses for this iṣṭi are): “O Agni, wakeful by thy lustre”, and “May the ladles come to thee”.
2.2.18	(The verses) for Agni Sviṣṭakṛt are: “Praising we call thee” and “Wake up Agni by the laud”.
2.3.1	Or (instead of these three or four separate iṣṭis) the first two (i.e. the offerings to Agni and to Agni Pavamana) are performed in one paradigma.
2.3.2	Or the two middle ones (are performed in one paradigma).
2.3.3-7	Or of the oblations for Aditi, which has two offerings, the second is addressed to Indra and Agni or to Agni and Soma, if the sacrificer is a brāhmaṇa; to Indra if he is a kṣatriya; to the All-Gods if he is a vaiśya.
2.3.8	(The invīting- and offering-verses for the last one are): “Come hither, Ye All-Gods”, “Over the strewn grass”.
2.3.9	Or of the two the first iṣṭi is destined for Agni.
2.3.10	(As in this case the offerings to Agni Pavamana, Agni Pāvaka and Śuci fall out) he should offer oblations of sacrificial butter to the deities of Agni’s forms. He should offer, before and after the offerings of the sacrificial cake, oblations of clarified butter to the deities of the two forms (of Agni), viz. to Agni Pavamana, to Agni Pāvaka and to Agni Śuci.
2.3.11	(For the oblations to Agni Sviṣṭakṛt of this sacrifice mentioned in sūtra 9 the invīting- and offering-verses are): “With all fires together, O Agni”, “O Agni, together with all fires”.
2.3.12	The second is destined for Aditi.
2.3.13	This rite is a modification of the sacrifice on the day of new-moon.
2.3.14	Of the iṣṭis to be performed (at this occasion) by a carpenter, during a period of three days, those destined for the deities of the forms of Agni should on each subsequent day be performed for one of the forms (first day to Agni Pavamana, second day to Agni Pāvaka, third day to Agni Śuci); during a subsequent period of three days the same offerings are to be made, but now each of these is followed by an iṣṭi to Viṣṇu; during a subsequent period of three days these same to Agni and Viṣṇu but now followed by a third to Aditi. The tenth (i.e. that of the tenth day) is the unchanged iṣṭi to Agni.
2.3.15	At all these iṣṭis the offering of the sacrificial substance (the pradbana part 1.16.3) is performed whispering.
2.3.16	And the number of enkindling-verses is fifteen.
2.3.17	Seventeen for the iṣṭi for Aditi.
2.3.18-22	The sacrificial fees (i.e. the cows to be presented to the priests) are 24, or 12, or 6, a horse, a piece of gold of 100 mānas, a chariot, a garment and goats.
2.3.23-25	During a period of twelve days (after the establishment of his fires) he (the sacrificer) should himself offer the agnihotṛa (not his adhvaryu), and he should (only) speak the truth, and bestow gifts on his guests.
2.3.26	He who has established his sacred fires should, during his vrata, not paṛtake of meat, if he has not first performed an animal sacrifice; nor, if he has not (already) performed the sacrifice of new fruits, should he paṛtake of the fruits of the new herbs.
2.4.1	The anvārambhaṇīya iṣṭi (initiatory ceremony) precedes the (first) performance of the sacrifices on the days of full- and new-moon.
2.4.2	It consists of a sacrificial cake for Agni and Viṣṇu, (a mess of boiled rice) for Sarasvatī and (a sacrificial cake) for Sarasvat.
2.4.3-5	(The invīting- and offering-verses for the first havis are:) “O Agni and Viṣṇu, this is your mighty grandeur. Protect ye the secret names of ghee. In every house your praise is coming. May your tongue come forth to the ghee”; “O Agni and Viṣṇu, great is your dear abode, ye accept the ghee rejoicing in its secrets. In every house you are bringing seven treasures. May your tongue come unto the ghee”. (For the second havis:) “The bright Sarasvatī”, “Sarasvatī, accept these”. (For the third havis:) “We call Sarasvat”, “He has grown”.
2.4.6	According to some (ritualiṣṭic authorities) (it consists) of five offerings. (In this case are added, one sacrificial cake) for Agni Bhagin and (another) for Agni Vratapati.
2.4.7-8	(In this case the invīting- and offering-verses for Agni Bhagin are:) “Thou Agni, glory”, and “Come thou as fortune to us”. (For Agni Vratapati:) “Thou art the upholder of observances”, and “When we transgress your laws”.
2.4.9	(This rite is) a modification of the sacrifice (on the day) of full-moon.
2.4.10	A milch-cow is the sacrificial fee.
2.5.1	The renewed establishment of the sacred fires (is undeṛtaken), in view of a special wish (to be fulfilled), for one who has had a mishap.
2.5.2	When he is about to remove (his fires before undeṛtaking the establishment), one (sacrificial cake would be offered) to Agni and (another) to Agni Vaiśvānara.
2.5.3	(The invīting-and offering-verses for the havis destined for Agni Vaiśvānara are:) “May Agni Vaiśvānara come to our help from afar. May he come to our praises”, “Desired in the sky, desired on earth”.
2.5.4	The time for re-establishing (the fires) is the middle of the rainy season.
2.5.5	And the moon should be stationed in the Punarvasu.
2.5.6	Or it may be the new-moon day which follows the full-moon in the Aṣāḍhās.
2.5.7	The time is mid-day.
2.5.8	The sacrificial cake for Agni is prepared on five kapālas.
2.5.9	The enkindling-verses are fifteen in number.
2.5.10-11	The word agni is changed in the three fore-offerings (in the following manner:) tanunapad agnim, ido agnina, barhir agnih.
2.5.12	(The invīting-verse for) the first butter-portion contains a reference to the slaying of a foe.
2.5.13	Or (it is dedicated) to Agni Buddhimat. (The verse then is :) “Awake Agni with praise”.
2.5.14	(The invīting-verse for) the second butter-portion (is dedicated) to Agni Pavamaoa. (The verse is:) “O Agni, purify the lives”.
2.5.15	Or to Agni Indumat. (The verse is:) “Come hither, I will speak”.
2.5.16	Or to Agni Retasvat. (The verse is :) “Agni, the head”.
2.5.17	The offering-verse (of the butter-portions) is in accordance with the precept.
2.5.18	(Of the four verses which begin): “Agni, thee today as a horse” the first and the third are the invīting- and offering-verses for the sacrificial substance (the pradhana part), the second and the fourth for the sacrifice to Agni Sviṣṭakṛt.
2.5.19	(The invīting-formulas for the after-offerings are:) “The divine Barhis (may accept the offering) for Agni's obtainment of abundant gift”; “The divine Nārāśaṃsa (may accept the offering) for abundant obtainment in Agni of abundant gift”. (The third remains unchanged).
2.5.20	The word agni (in its different case-forms) in the first four fore-offerings and in the two (first) after-offerings is called vibhaktayaḥ (“case-forms” or “discriminations”).
2.5.21	These are spoken in whispers.
2.5.22	Likewise (the invīting-verse of) the second butter-portion.
2.5.23	And (the verses for) the sacrificial substance (the pradhana).
2.5.24	Or the whole together with the two first after-offerings.
2.5.25	Or (all is whispered) to the end of (the sacrifice of) the sacrificial substance
2.5.26	Or alone (the verses accompanying the sacrifice of) the sacrificial substance.
2.5.27	Sacrificial fees are an old wrapper which has been resewn; an old chariot, which has been repaired; a draught-ox or (a piece of) gold.
2.5.28	To Aditi a second (sacrifice is brought).
2.5.29	(This rite is) a modification of the (sacrifice on the day of) new-moon.
2.5.30	Or to Agni and Varuṇa.
2.5.31	(In this case the invīting- and offering-verses are): “Be, O Agni, nearest to us”, “Do thou, O Agni, appease the wrath of Varuṇa”.
2.6.1	In the evening and the morning he performs the agnihotṛa.
2.6.2-3	Before the shadows become mixed up (disappear), he takes (at evening) the Āhāvaniya fire from the Gārhapatya (he takes from the Gārhapatya a flaming piece of wood), (in the morning, at the moment) when the night is going to end (at the first daybreak).
