1.1.1	Now we shall explain the sacraments beginning with conception.
1.11.2	The sun is in the east, the northern end is above, the serpents are below, and he sprinkles around. Vītihotra is in the fire-chamber. He places the northern ends of the kindling woods in the quarters of Agni and Īśa.
1.11.5	"Brahman, Soma, and Ap" (the three priests) are to be separately examined. Having been told "Offer to them thus", he says "Who knows?" Having placed the two sacrificial stakes in the east and west of the altar, he says "Let them lie down". Having sprinkled water with a bundle of Kuśa grass, he should sprinkle the ladle with the Gāyatrī verse.
1.12.1	Having taken up the spoon, saying, "I take up the spoon," having placed the kindling-wood below the Veda, saying, "On the highest heaven," having washed the spoon, saying "I pour out the deficient," having performed the circumambulation, saying "Burnt," having placed the spoon, saying "Well-burnt,"
1.11.3	Having sprinkled the ground with the formula, "Having sprinkled the ground with water, one should sprinkle the ground with water from the north to the east, with the formula, "Having sprinkled the ground, one should sprinkle it with water from the south to the north, with the same formula. Having sprinkled the ground from the east to the west, and from the west to the east, one should sprinkle with water from the east to north-east, with the formula "Having sprinkled the water, one should then sprinkle the ground with the water from the east, with this formula."
1.12.2	Taking up the ladle of melted butter with the formula, "Aditi has cut out the holes", he places the embers with the formula, "The beings have been created in the north". Having placed the embers with the verse, "The beings have been made in the north", he cooks with the verse, "The earth is named".
1.11.4	"Thou art of the forest." Having sprinkled, he takes up the water with the formula, "I shall take up the water from the earth." Having filled it with water along with the grains, he puts the filter of the Vasus in the water with the verse, "O filter, thou art in front." Holding it with the right hand and measuring it with the left, he purifies it three times with the verse, "O god Savitr," and places it thus.
1.12.3	Having purified the vessel of clarified butter with the Veda, "This is Vishnu" as before, having burnt the sacrificial grass with the verse, "May the rising one be here," he shows the clarified butter.
1.12.4	Placing the vessel of cooked rice on the southern side with the Gayatri verse, and cooking it with a Darbha grass torch, he takes it down.
1.11.5	"Brahman, Soma, and Ap" (the three priests) are to be separately examined. Having been told "Offer to them thus", he says "Who knows?" Having placed the two sacrificial stakes in the east and west of the altar, he says "Let them lie down". Having sprinkled water with a bundle of Kuśa grass, he should sprinkle the ladle with the Gāyatrī verse.
1.12.5	Having purified the vessel with the Pavitra three times, having released the knot with the words "You are the heat", having placed it in the north-west, having sprinkled with water, he offers the Pavitra with the words "May it be nourished".
1.12.6	Having placed the Samidha with the tip facing upwards, anointed with ghee, in the Vayu fire with the words "For Vithottra", he divides the Homa with the ladle with the words "To the god you".
1.12.1	Having taken up the spoon, saying, "I take up the spoon," having placed the kindling-wood below the Veda, saying, "On the highest heaven," having washed the spoon, saying "I pour out the deficient," having performed the circumambulation, saying "Burnt," having placed the spoon, saying "Well-burnt,"
1.13.1	In the southern direction, he should invoke the Prajapatis with the Brahmic rite, and in the northern direction, he should invite the gods Agni and others with the divine rite. He should invite the gods of the Upasna sacrifice, the gods of the sacrifice, and all the gods. In the paternal rite, he should invite all the gods of the Visvedeva sacrifice, the gods who are the deities of the sacrifice, the gods, and all the deities.
1.12.2	Taking up the ladle of melted butter with the formula, "Aditi has cut out the holes", he places the embers with the formula, "The beings have been created in the north". Having placed the embers with the verse, "The beings have been made in the north", he cooks with the verse, "The earth is named".
1.12.3	Having purified the vessel of clarified butter with the Veda, "This is Vishnu" as before, having burnt the sacrificial grass with the verse, "May the rising one be here," he shows the clarified butter.
1.12.4	Placing the vessel of cooked rice on the southern side with the Gayatri verse, and cooking it with a Darbha grass torch, he takes it down.
1.13.2	Having taken up clarified butter in the ladle as much as is required for the oblation, he makes the offering with the verse, "I offer the oblation that is pleasing."
1.13.3	Having shown that the oblation to be offered in the fire is to be divided into two parts, Agni is worshipped with two verses, "Agni is light" and "The kindling wood and the sacrificial wood are burnt in two ways."
1.13.4	He offers the kindling wood with the verse, "O kindling wood, svāhā!"
1.12.5	Having purified the vessel with the Pavitra three times, having released the knot with the words "You are the heat", having placed it in the north-west, having sprinkled with water, he offers the Pavitra with the words "May it be nourished".
1.12.6	Having placed the Samidha with the tip facing upwards, anointed with ghee, in the Vayu fire with the words "For Vithottra", he divides the Homa with the ladle with the words "To the god you".
1.13.5	Taking ghee with the ladle, he says, "O nectar, you are hidden." He says, "You are hidden." He recites, "You are concealed." He takes ghee, reciting, "You are to be offered." He offers ghee, reciting, "You are to be worshipped." He offers ghee with the ladle. He offers ghee, saying, "You are the lord of the fire." He offers ghee three times, reciting the three verses beginning with "You are the Lord of the Fire."
1.14.1	Having sprinkled the kindling woods with the Gayatri verse, having taken the kindling woods which are of the size of twenty-one oblations or which are filled with the hand, having touched ghee with the root and tip, having worshipped, having placed the Aksata, ghee and cooked rice, touching the root, middle and tip, having lowered, having joined the lower part and the middle part.
1.13.1	In the southern direction, he should invoke the Prajapatis with the Brahmic rite, and in the northern direction, he should invite the gods Agni and others with the divine rite. He should invite the gods of the Upasna sacrifice, the gods of the sacrifice, and all the gods. In the paternal rite, he should invite all the gods of the Visvedeva sacrifice, the gods who are the deities of the sacrifice, the gods, and all the deities.
