1.1.1	Now we shall declare the method.
1.7.11	From the cow to the trees.
1.7.12	From sunrise.
1.7.13	The performance of rites in the forest from the east to north.
1.7.26	He performs the sipping of water and the sipping of water with the Aplavanāvasecana rites.
1.7.27	He eats the food of the Sampāta rite. He offers the Nyankta rite.
1.7.28	He offers the Dhūma rite for the Abhiadheya rites.
1.7.29	The performance of rites is done with purity.
1.8.1	In the rites performed at night, such as the Homa, one should wear the Yajñopavīta, go to the Śālā, and perform the rites after eating the food meant for fasting, bathing, and wearing fresh clothes.
1.7.14	Having performed the rites in the water, having bathed with the Apāmārga verses, having circumambulated clockwise, having touched the water, looking away from the village, they return.
1.7.15	The rites of bathing, crossing, and eating are performed with the Apāmārgā verses.
1.7.16	All the rites are to be performed with mantras.
1.7.17	In the case of a woman suffering from a disease, having bathed and sprinkled, she should start from the head and wipe down to the feet.
1.7.18-25	First, having prepared, he gives (the Soma). The three (days) beginning with the thirteenth, having smeared with curds and honey, he binds (the Soma). He places (it). The incantations and oblations are performed after the beginning. After that, the consecration of the oblations on the skin near the fire. A lump of cow dung. A skin for killing living beings. A stone without ears.
1.7.26	He performs the sipping of water and the sipping of water with the Aplavanāvasecana rites.
1.7.27	He eats the food of the Sampāta rite. He offers the Nyankta rite.
1.7.28	He offers the Dhūma rite for the Abhiadheya rites.
1.7.29	The performance of rites is done with purity.
1.8.1	In the rites performed at night, such as the Homa, one should wear the Yajñopavīta, go to the Śālā, and perform the rites after eating the food meant for fasting, bathing, and wearing fresh clothes.
1.8.2-11	and in the rites of blessing. He takes the oblations of the directions. He stands in each direction. In all cases, the fee is for the officiating priest. The sprinkling of water is done three times. The subsequent rites are similar and appropriate. The peace-making rite is complete. Everything belongs to the officiating priest. In the case of a dispute, it is as per the internal rules. He gives the darbha grass, saying, "Give the axe."
1.8.16	The plants that are quiet are the following: Citti, Prati-citti, Sami, Sami-ka, Asva-vamsi, Asva-sami, Asva-ka, Tala, Asva-pala, Asva-palasa, Asva-vasa, Asva-shimbala, Asva-sipa, Puna, Darbha, Apamarga, Kritti, Lohita, Valmika, Vapa, Durbara, Vrika, Yava, and Sha-nta.
1.8.17	The plants that are slow-growing are the following: Pramanda, Ushara, Shala, Upadhana, Shaka, and Dhūma.
1.8.18	The plants whose seeds are used for making lead are the following: Sisnadi, Sisna, Ayora-jani, Krikala-shira, and Sīna.
1.8.12	He cuts with the formula, "O Indra and Agni."
1.8.13	He washes with the formula, "O thou who art black."
1.8.14	The formula is as prescribed.
1.8.15	Palāśa, Udumbara, Jambu, Kāmpīla, Śirīṣa, Śakta, Avarana, Bilva, Jaṅgiḍa, Kutaka, Garhya, Galāvala, Vetasa, Śimbi, Sapuna, Sanda, Aranika, Śmayojaka, Tuni, Pūtudaśara are peaceful.
1.8.19	Curd, ghee, honey and water are the tastes.
1.8.20	Vrīhi, barley, wheat, millet, sesame, priyangu and shyamaka are the mixed grains.
1.8.21	The grasping is up to the grasping.
1.8.22	One should apply the udarka according to the meaning.
1.8.23	"Here only, may Yama, Death, come, Truth, Brihat - this is the section of Vastospati."
1.8.24	The divine Gandharva, O Agni, this is my (offering). Those are your mother's names.
1.8.25	The one who praises this oblation, the destroyer of enemies, may the goddess Priyangu see us. The one with true energy, you were yoked before. The destroyer of Rakshas. The section on the Catana mantras.
1.8.16	The plants that are quiet are the following: Citti, Prati-citti, Sami, Sami-ka, Asva-vamsi, Asva-sami, Asva-ka, Tala, Asva-pala, Asva-palasa, Asva-vasa, Asva-shimbala, Asva-sipa, Puna, Darbha, Apamarga, Kritti, Lohita, Valmika, Vapa, Durbara, Vrika, Yava, and Sha-nta.
1.8.17	The plants that are slow-growing are the following: Pramanda, Ushara, Shala, Upadhana, Shaka, and Dhūma.
1.8.18	The plants whose seeds are used for making lead are the following: Sisnadi, Sisna, Ayora-jani, Krikala-shira, and Sīna.
1.9.1	The Ambas go to the one who is the source of all, the golden-hued ones, the Agni who are the source of all. The gods who know Brahman, the one who is born, are the ones. The hymns of Mrigara, except for the supreme one, are the ones who purify us. May the streams flowing from the Himalayas, purified by Vayu's purifying wind, bring us prosperity and well-being. You are the first to be offered by the bulls. The waters, Vaisvânara with his rays, Yama, Death, the conqueror of all, the one who knows, may our knowledge be renewed in the sky. May the wind blow for us, may Agni, the trees, be spoken of.
1.8.19	Curd, ghee, honey and water are the tastes.
1.8.20	Vrīhi, barley, wheat, millet, sesame, priyangu and shyamaka are the mixed grains.
1.8.21	The grasping is up to the grasping.
1.8.22	One should apply the udarka according to the meaning.
1.8.23	"Here only, may Yama, Death, come, Truth, Brihat - this is the section of Vastospati."
1.9.2	"He sprinkles thrice, saying, 'To the earth, to the hearing.'
1.9.3	'The waters go to the auspicious, the golden-coloured ones, the auspicious ones, and the auspicious ones. May they return to the atmosphere. May the auspicious ones be auspicious to us. May the wind blow for us. We invoke the Agni and the trees.'
1.9.4	He sprinkles thrice, reciting, 'To the Earth, to the Hearing.'
1.8.24	The divine Gandharva, O Agni, this is my (offering). Those are your mother's names.
1.8.25	The one who praises this oblation, the destroyer of enemies, may the goddess Priyangu see us. The one with true energy, you were yoked before. The destroyer of Rakshas. The section on the Catana mantras.
1.9.5	Thus, they are associated with peace.
1.9.6	Savitri on both sides, the goddess of peace on both sides.
1.9.7	One wears a new garment and performs the water ritual for peace in a bronze vessel.
1.9.8	"The bull of the waters is released." Having asked, "Are all these waters and plants?" and having been told, "All," he should say, "I shall do with the permission of Brihaspati." Having been permitted, "May you do with the permission by Savitar," he should do.
1.9.1	The Ambas go to the one who is the source of all, the golden-hued ones, the Agni who are the source of all. The gods who know Brahman, the one who is born, are the ones. The hymns of Mrigara, except for the supreme one, are the ones who purify us. May the streams flowing from the Himalayas, purified by Vayu's purifying wind, bring us prosperity and well-being. You are the first to be offered by the bulls. The waters, Vaisvânara with his rays, Yama, Death, the conqueror of all, the one who knows, may our knowledge be renewed in the sky. May the wind blow for us, may Agni, the trees, be spoken of.
1.9.9	The Gārgya, Pārthaśarva, Bhāgala, Aṅkāyana, Uparibhabrava, Kausika, Jāṭikāyana, and Kurupatha are the ones who perform with the former.
1.9.10	The young Kausika and the young Kausika are the ones who performs with the other.
2.1.1	The following are the means of generating intelligence for the former:
2.1.2	One binds the tongues of parrots, mynas, and cranes.
2.1.3	One places (the tongues) in the mouth.
1.9.2	"He sprinkles thrice, saying, 'To the earth, to the hearing.'
1.9.3	'The waters go to the auspicious, the golden-coloured ones, the auspicious ones, and the auspicious ones. May they return to the atmosphere. May the auspicious ones be auspicious to us. May the wind blow for us. We invoke the Agni and the trees.'
1.9.4	He sprinkles thrice, reciting, 'To the Earth, to the Hearing.'
2.1.4	He places the Udumbara, Palasha and Karkandhu.
2.1.5	He sows.
2.1.6	He eats.
2.1.7	He gives alms to the preceptor.
2.1.8	He recites while sleeping.
2.1.9	He recitates while going to sleep.
2.1.10	Homas are offered with cooked rice mixed with ghee.
2.1.11	Having offered oblations mixed with sesamum, he eats.
1.9.5	Thus, they are associated with peace.
1.9.6	Savitri on both sides, the goddess of peace on both sides.
1.9.7	One wears a new garment and performs the water ritual for peace in a bronze vessel.
2.1.12	Having struck the black staff in front of the fire, he offers the cooked grains on the black antelope skin behind the fire.
2.1.13	Having reached the end of the hymn, he gives (the grains).
2.1.14	He offers once.
2.1.15	He gives the staff, cooked grains, and antelope skin.
1.9.8	"The bull of the waters is released." Having asked, "Are all these waters and plants?" and having been told, "All," he should say, "I shall do with the permission of Brihaspati." Having been permitted, "May you do with the permission by Savitar," he should do.
2.1.16	I offer to the Rudras. With white and green flowers, with kintsa, with a lump of gold, and with a lump of silver, she makes the child eat before he takes the breast.
2.1.17	She brings the palate-scrapers to the mother who is speaking for the first time.
2.1.18	She gives him curd and honey.
