1.1.1	Now we shall describe the domestic rites.
4.8.3	The best of his own herd.
4.8.4	Not having a goiter.
4.6.19	The cow, the pot, the garment, and the gold are the gifts.
4.7.1	Now, here is the procedure for a Śrāddha performed at the Parva days, for prosperity, or for the departed.
4.7.2	One should invite Brahmins who are learned, virtuous, and well-behaved, and who have been informed at one time, and who have bathed, performed the purification rites, and are seated facing north, treating them as one's father. One should seat each Brahmin separately, with two or three Brahmins for each departed.
4.8.5	Some say, "Kalsham."
4.8.6	If it is black and made of iron, then it is "Kama."
4.8.7	Sprinkle it with water mixed with barley and wheat.
4.8.8	From the head to the tail.
4.8.9	To Rudra, the great god, may it be pleasing and may it grow.
4.8.10	One should make it grow, either a bull with perfect teeth or a bull with perfect horns.
4.8.11	In the direction suitable for sacrifices.
4.8.12	In the unseen part of the village.
4.8.13	After midnight.
4.8.14	Some say: after sunrise.
4.7.3	The increase of fruit is in the case of the aged.
4.7.4	But not in the case of all.
4.7.5	If there is no beginning, it is optional.
4.7.6	It has been explained in the section on the ball-offering.
4.7.7	Having given water,
4.7.8	Having given a seat with two-fold folded darbha grass,
4.7.9	Having given water
4.7.10	In three vessels made of gold, stone, and clay, or in one vessel made of a single substance, covered with darbha grass, having sprinkled water,
4.8.15	Having seated the physician, the one with conduct, Brahmana, having fixed the sacrificial post with its branches wet and with its roots downwards, having tied the animal to the post or to the rope with either of the two ropes of Kusha grass, having tied the head of the animal to the middle of the post or to a rope, he says, "To whom salutations, to him I am binding you, the one who is agreeable."
4.8.16	The sprinkling and other rites are similar to the animal.
4.7.11	"May the goddesses be favourable to us." He scatters sesamum seeds with this formula. "Thou art sesamum, belonging to Soma, created by gods, given by the ancient ones, given with the Svāhā-utterance, thou delightest the Pitrs, these worlds. Do thou delight us with Svāhā and Namas."
4.7.12	With the right side facing.
4.8.17	We shall describe the special ones.
4.8.18	It is understood that one should offer oblations with a vessel or Palasha wood.
4.8.19	"To Hara, to the gentle one, to Shiva, to the auspicious one, to Bhava, to the great god, to the fierce one, to the terrible one, to the lord of animals, to Rudra, to the auspicious, to the lord, to the supreme one, svāhā."
4.8.20	With six additional ones.
4.8.21	Or to Rudra, svāhā.
4.7.13	Since the right hand is held between the thumb and the other fingers, the right hand is used to hold the argha for the father, the grandfather, and the great-grandfather. The formula is "This is the argha for your father, this is the arghafor your grandfather, this is theargha for your great-grandfather."
4.7.14	The person receiving the argha should say "Svāhā" once for each argha.
4.8.22	In the four directions, he should offer oblations in the four directions. "He should say, "Those Rudras who are in the eastern direction, to them be salutations. May they not harm me." Thus, in each direction, he should say this."
4.8.23	He should stand in the four directions with four verses: "Kad Rudra, to this Rudra, to the father, to the Rudra with firm bow."
4.7.15	He should sprinkle the water with the verse, "The divine waters that have come down from heaven, those that are in the sky and on earth, those that are golden-coloured and fit for sacrifice, may those waters be auspicious and peaceful." Having collected the water that has been sprinkled, he anoints his face with it, desiring a son.
4.8.24	In all the sacrifices to Rudra, the directions are to be worshipped.
4.8.25	One should offer the husks, the fruits, the tail, the skin, the head and the feet into the fire.
4.8.26	One should make a bed with a skin, says Shambavi.
4.7.16	He should not first take up the vessel in which the water for the manes has been poured. The manes stand there covered. Śaunaka said:
4.7.17	At this time, the offering of incense, flowers, perfumes, lamps and coverings is made.
4.7.18	Having taken up the food anointed with ghee, he says, "I shall do it in the fire," or "I shall do," or "I am doing."
4.8.27	To the north of the fire, he should throw the blood on the Darbha grass or on the grass-blades, reciting the verse, "May the serpents, who are breathing, roaring, searching, and devouring, take away whatever is here."
4.7.19	Let the permission be given. Do it. Do it.
4.7.20	Then he offers into the fire as prescribed before.
4.7.21	In the case of permission, (the permission) is given in the hands themselves.
4.7.22	The gods have Agni as their face, the fathers have the hands as their face. This is the Brahmanical text.
4.7.23	If one offers other food when the hands are washed after the permission,
4.7.24	Food to food.
4.7.25	"It is given, it is bestowed, it is prosperous."
4.7.26	Having known them to be satisfied, he should make them listen to the Madhumati (hymn) and the Akshanna (hymn).
4.7.27	Having asked if it is accomplished, whatever food has been consumed, that should be taken out along with the Sthalipaka and offered for the Piṇḍa. The remaining should be offered.
4.8.30	It is known that no one harms him who speaks thus.
4.8.31	One should not eat his food.
4.8.32	One should bring his village, for this god is the destroyer of enemies, and he makes beings flourish.
4.8.33	One should prohibit even the advisers.
4.8.34	But one should eat by appointment, for the sake of well-being.
4.8.35	This is the auspicious, glorious, meritorious, progeny-giving, cattle-giving, life-giving, fame-giving,
4.8.36	Having worshipped another, one should let it go.
4.8.37	It should not be let go.
4.8.38	It is not known that it becomes without an animal.
4.8.39	Reciting this hymn, one should go to the house.
4.8.40	For the affliction of cattle, one should worship this very god in the middle of the cattle pen.
4.8.41	A pot-cooked offering with all oblations.
4.8.42	Having offered the sacrificial grass and clarified butter, one should bring the cattle from the smoke.
4.8.43	Reciting this mantra, one can go among the cattle.
4.8.44	Salutations to Saunaka, salutations to Saunak
4.8.5	Some say, "Kalsham."
4.8.6	If it is black and made of iron, then it is "Kama."
4.8.7	Sprinkle it with water mixed with barley and wheat.
4.8.8	From the head to the tail.
4.8.9	To Rudra, the great god, may it be pleasing and may it grow.
4.8.10	One should make it grow, either a bull with perfect teeth or a bull with perfect horns.
4.8.11	In the direction suitable for sacrifices.
4.8.12	In the unseen part of the village.
4.8.13	After midnight.
4.8.14	Some say: after sunrise.
4.8.15	Having seated the physician, the one with conduct, Brahmana, having fixed the sacrificial post with its branches wet and with its roots downwards, having tied the animal to the post or to the rope with either of the two ropes of Kusha grass, having tied the head of the animal to the middle of the post or to a rope, he says, "To whom salutations, to him I am binding you, the one who is agreeable."
4.8.16	The sprinkling and other rites are similar to the animal.
4.8.17	We shall describe the special ones.
4.8.18	It is understood that one should offer oblations with a vessel or Palasha wood.
4.8.19	"To Hara, to the gentle one, to Shiva, to the auspicious one, to Bhava, to the great god, to the fierce one, to the terrible one, to the lord of animals, to Rudra, to the auspicious, to the lord, to the supreme one, svāhā."
4.8.20	With six additional ones.
4.8.21	Or to Rudra, svāhā.
4.8.22	In the four directions, he should offer oblations in the four directions. "He should say, "Those Rudras who are in the eastern direction, to them be salutations. May they not harm me." Thus, in each direction, he should say this."
4.8.23	He should stand in the four directions with four verses: "Kad Rudra, to this Rudra, to the father, to the Rudra with firm bow."
4.8.24	In all the sacrifices to Rudra, the directions are to be worshipped.
4.8.25	One should offer the husks, the fruits, the tail, the skin, the head and the feet into the fire.
4.8.26	One should make a bed with a skin, says Shambavi.
4.8.27	To the north of the fire, he should throw the blood on the Darbha grass or on the grass-blades, reciting the verse, "May the serpents, who are breathing, roaring, searching, and devouring, take away whatever is here."
4.8.28	Then, turning towards the north, they search for the hissing, roaring serpents, the ones that are equal to them, and say, "Whatever blood there is of you serpents, take that away." The blood that has been spilled there, the serpents take away.
4.8.29	He who knows this, he pleases the sacrificer with all his names, all his armies, and all his supports.
4.8.30	It is known that no one harms him who speaks thus.
4.8.31	One should not eat his food.
4.8.32	One should bring his village, for this god is the destroyer of enemies, and he makes beings flourish.
4.8.33	One should prohibit even the advisers.
4.8.34	But one should eat by appointment, for the sake of well-being.
4.8.35	This is the auspicious, glorious, meritorious, progeny-giving, cattle-giving, life-giving, fame-giving,
4.8.36	Having worshipped another, one should let it go.
4.8.37	It should not be let go.
4.8.38	It is not known that it becomes without an animal.
4.8.39	Reciting this hymn, one should go to the house.
4.8.40	For the affliction of cattle, one should worship this very god in the middle of the cattle pen.
4.8.41	A pot-cooked offering with all oblations.
4.8.42	Having offered the sacrificial grass and clarified butter, one should bring the cattle from the smoke.
4.8.43	Reciting this mantra, one can go among the cattle.
4.8.44	Salutations to Saunaka, salutations to Saunak
