1.1.1	Now, the rites of the domestic fire.
3.10.10	If he is endowed with the same as the earth-burning, etc., then the fire-kindled one should go to the water-end.
3.10.11	If he is fire-kindled, they burn him with the fire of the village.
3.10.12	Silently with the village fire, the other.
3.10.13	They should ask for water for the union of the dead, saying, "We will do the water rite."
3.10.14	Do it, and do not do it again," if the dead person is less than sixty years old.
3.8.10	The red (oblation) is offered to the Palasa-trees, to the Kurchi-trees, to Rudra and to the armies. The oblation is offered to those armies of Rudra which are in front. To them salutations. The oblation to those armies of him which are on the right. To them salutlations. The oblation (is offered) to those armies of his which are behind. To them saluttions. The oblation(is offered) to the armies of his which is on the left. To them salutlions. The oblationis offered to those armies which are above him. To them salutlons. The oblationto those armies which are below him. To them salutation.
3.10.15	"Do this!" is said to the others.
3.10.16	All relatives bathe in water up to the seventh or tenth person.
3.10.17	They remember the relationship as long as they live in the same village.
3.10.18	Wearing one garment, facing east.
3.10.19	"May the evil be removed by the little finger of the left hand."
3.10.20	They immerse themselves facing south.
3.10.21	The dead are sprinkled with water once with a handful of water, saying, "This is your water."
3.10.22	They sit down in a clean place, on grass, and there they are censured.
3.10.23	They come to the village without looking back, in a line, the youngest first.
3.8.11	He throws it into the fire or buries it below.
3.8.12	Having placed the animal in the windward direction, he worships it with the first and last Anuvākas of Rudra.
3.8.13	No one steals this animal.
3.8.14	This is explained as the cow sacrifice, with milk pudding, for the removal of misfortune.
3.8.15	A cow of equal age is the fee.
3.10.24	At the door of their houses they throw down leaves of the picumanda tree, and then enter after performing the rites of sipping water, offering oblations to fire, cowdung, cow's urine, mustard seeds, oil, and stepping on a stone.
3.10.25	For three nights they sleep on the ground and do not perform any work.
3.10.26	They should eat food bought or obtained on the same day, without meat.
3.9.1	Now the rite of releasing a bull.
3.9.2	It is explained by the Go-yajna.
3.9.3	On the full moon day of Kartika or on the Revati asterism in the month of Ashvina.
3.9.4	Having kindled the well-kindled fire among the cows, having purified the ghee, one offers six times with "Here is delight" for each mantra.
3.9.5	One offers to Pushan with "May Pushan follow us, may Pushan protect us, may Push an bestow strength on us, svāhā."
3.10.27	Having given a ball of rice to the departed soul, they should give water for rinsing the mouth and water for drinking, taking his name.
3.10.28	They should place the pot of clay containing milk and water on the tree at night, saying, "Preta, bathe here."
3.10.29	The impurity due to death lasts for three nights.
3.10.30	Some say it lasts for ten nights.
3.10.31	They should not study their own sacred texts.
3.10.32	They should refrain from regular rites, except those prescribed in the Vedas.
3.10.33	Some say in the fire of the sacrificial post.
3.9.6	He who covers a herd with a single-coloured or two-coloured (cow) or with a herd, should be a red one, endowed with all limbs, the son of a milch cow with a living calf, and the most beautiful in the herd. Having adorned him, he gives to the herd the four best heifers, having adorned them. "This young husband I give to you. May you play with him, may you enjoy yourselves. May not the seven generations of us be deprived of good fortune. May we be united with the prosperity of wealth." They should let him loose with this verse.
3.10.34	Others may do these.
3.10.35	Those who have touched a dead body should not enter a village until they see the stars.
3.10.36	If it is night, then until sunrise.
3.10.37	Entering and so on are the same as the others.
3.10.38	The impurity lasts for two fortnights.
3.10.39	The teacher also.
3.10.40	And the maternal grandparents.
3.10.41	And for unmarried women.
3.10.42	The others should do it for married women.
3.10.43	And for them.
3.9.7	He recites the verse "May I be like this" as a part of the Anuvaka.
3.9.8	Having cooked rice in milk, one should feed Brahmins.
3.9.9	Some people also perform the animal sacrifice.
3.9.10	The procedure for that has been explained with the Shulagave.
3.10.1	Now the water ritual.
3.10.2	For a dead person who is less than two years old, the mother and father have impurity.
3.10.3	Others have impurity only.
3.10.44	If the husband is away, the wife should perform the rites of listening to the story and offering water, and then wait for the rest of the time.
3.10.45	If the husband has passed away, she should wait for one or three nights.
3.10.46	Then, the rites of desire are performed by the priests, father-in-law, friends, relatives, maternal uncle, and maternal aunt.
3.10.47	And also for those who have been given away.
3.10.48	On the eleventh day, after feeding an odd number of Brahmins with meat.
3.10.4	For one night or three nights.
3.10.5	They bury the body without burning it.
3.10.6	If there is an abortion, impurity lasts until one gets up, as in the case of childbirth.
3.10.7	There is no water ritual here.
3.10.8	From the age of two years onwards, all should follow the dead body to the cremation ground.
3.10.9	Some say that they should sing the Yama-stanzas and recite the Yama-hymn.
3.10.49	Some people kill even animals for the sake of the departed.
3.10.50	If the son has a son, the son will be the first to offer the ball to the departed ancestors.
3.10.51	The fourth one should be turned back.
3.10.52	Some people do it separately for a year.
3.10.53	But the correct view is that the fourth ball should not be offered, because of the statement in the Veda.
3.10.54	One should offer food and a pot of water to a brahmin every day.
3.10.10	If he is endowed with the same as the earth-burning, etc., then the fire-kindled one should go to the water-end.
3.10.11	If he is fire-kindled, they burn him with the fire of the village.
3.10.12	Silently with the village fire, the other.
3.10.13	They should ask for water for the union of the dead, saying, "We will do the water rite."
3.10.14	Do it, and do not do it again," if the dead person is less than sixty years old.
3.10.55	Some also offer the ball.
3.11.1	If the animal is to be offered in the Aplavyāga rite, one should strike the Palāśa branch after approaching the fire.
3.11.2	One should perform the rites of Parivyayana, Upakarana, Niyujana and Prokṣaṇa, and also other rites.
3.11.3	Having offered the Parivasyā, one should offer the other five silently.
3.11.4	One should offer the Vapa, Dhāraṇa and Abhighāra, and also instruct the deity.
3.10.15	"Do this!" is said to the others.
3.10.16	All relatives bathe in water up to the seventh or tenth person.
3.10.17	They remember the relationship as long as they live in the same village.
3.10.18	Wearing one garment, facing east.
3.10.19	"May the evil be removed by the little finger of the left hand."
3.10.20	They immerse themselves facing south.
3.10.21	The dead are sprinkled with water once with a handful of water, saying, "This is your water."
3.10.22	They sit down in a clean place, on grass, and there they are censured.
3.10.23	They come to the village without looking back, in a line, the youngest first.
3.11.5	In the case of the Upakrama, the Niyujana, the Prokṣaṇa, and the Sthālīpāka, it is done in this way.
3.11.6	Having offered the Vapa, he offers the Avadānas.
3.11.7	All three or five.
3.11.8	He offers the Avadāna offerings mixed with the Sthālīmādha.
3.11.9	The animal sacrifice is the Dakṣiṇā.
3.11.10	If one were to worship the deity of a particular animal, one should offer a share to that deity and tell him, "Give this to him."
3.10.24	At the door of their houses they throw down leaves of the picumanda tree, and then enter after performing the rites of sipping water, offering oblations to fire, cowdung, cow's urine, mustard seeds, oil, and stepping on a stone.
3.10.25	For three nights they sleep on the ground and do not perform any work.
3.10.26	They should eat food bought or obtained on the same day, without meat.
3.11.11	One should make a boat in another river, or not.
3.12.1	Now, then, the expiation for Avakīrṇi.
3.12.2	At the new moon, one should sacrifice a donkey at a crossroads.
3.12.3	One should worship Nirriti with a Pākayajña.
3.12.4	An oblation is poured out in water.
3.12.5	The Pasupuroḍāśa is cooked on the ground.
3.12.6	One should put on that skin.
3.12.7	Some say, "with the hair pointing upward."
3.12.8	He should practice begging for a year, proclaiming his own deed.
3.12.9	Then he offers another oblation of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O afflicted desire, to desire svāhā."
3.10.27	Having given a ball of rice to the departed soul, they should give water for rinsing the mouth and water for drinking, taking his name.
3.10.28	They should place the pot of clay containing milk and water on the tree at night, saying, "Preta, bathe here."
3.10.29	The impurity due to death lasts for three nights.
3.10.30	Some say it lasts for ten nights.
3.10.31	They should not study their own sacred texts.
3.10.32	They should refrain from regular rites, except those prescribed in the Vedas.
3.10.33	Some say in the fire of the sacrificial post.
3.12.10	Then he stands up, saying, "May the Maruts, Indra, and Brihaspati sprinkle me; may this Agni sprinkle me with offspring and wealth."
3.12.11	This is the atonement.
3.13.1	Now, then, entering the assembly hall.
3.13.2	He enters the assembly hall, saying, "O Assembly Hall, you are named Aditi, you are named Tvishi; to you I pay homage."
3.10.34	Others may do these.
3.10.35	Those who have touched a dead body should not enter a village until they see the stars.
3.10.36	If it is night, then until sunrise.
3.10.37	Entering and so on are the same as the others.
3.10.38	The impurity lasts for two fortnights.
3.10.39	The teacher also.
3.10.40	And the maternal grandparents.
3.10.41	And for unmarried women.
3.10.42	The others should do it for married women.
3.10.43	And for them.
3.13.3	Then enter the two daughters of Prajapati, Sabhā and Samiti, with their minds, saying, "Let him who does not know me stand before me. Let him be mindful. Sing, O people!"
3.13.4	Having approached the assembly, he should recite, "I am the overlord, the supreme one, the invincible one, the lord of this assembly. Let the people be swiftly and well-controlled."
3.10.44	If the husband is away, the wife should perform the rites of listening to the story and offering water, and then wait for the rest of the time.
3.10.45	If the husband has passed away, she should wait for one or three nights.
3.10.46	Then, the rites of desire are performed by the priests, father-in-law, friends, relatives, maternal uncle, and maternal aunt.
3.10.47	And also for those who have been given away.
3.10.48	On the eleventh day, after feeding an odd number of Brahmins with meat.
3.13.5	If he thinks, "He is angry," he recites this mantra over him: "May the gods, the celibates, the wise ones, lead you to the body of the one who is angry, the destroyer of anger. Heaven and earth, we are both. We lead your anger to the embryo of the horse-riding one."
3.13.6	If he thinks that he is angry, then he should recite this mantra over him: "I take your speech from your mouth and place it in your heart. Wherever speech is hidden, I take it from there. Whatever I say is true. You should obey me."
3.13.7	This is the same as the subjugation.
3.14.1	Now, the mounting of a chariot.
3.10.49	Some people kill even animals for the sake of the departed.
3.10.50	If the son has a son, the son will be the first to offer the ball to the departed ancestors.
3.10.51	The fourth one should be turned back.
3.10.52	Some people do it separately for a year.
3.10.53	But the correct view is that the fourth ball should not be offered, because of the statement in the Veda.
3.10.54	One should offer food and a pot of water to a brahmin every day.
3.14.2	When the chariot is ordered to be yoked, and when it is said to be yoked (the Adhvaryu) goes and says (to the Hotṛ), "Do you recite the Viraj." He touches (the chariot).
3.14.3	"Thou art Rathantara," (he says) to the right wheel.
3.14.4	"Thou art Brihat," (he says to) the left wheel.
3.14.5	" Thou art Vamadevya," (he says ) to the axle.
3.10.55	Some also offer the ball.
3.11.1	If the animal is to be offered in the Aplavyāga rite, one should strike the Palāśa branch after approaching the fire.
3.11.2	One should perform the rites of Parivyayana, Upakarana, Niyujana and Prokṣaṇa, and also other rites.
3.11.3	Having offered the Parivasyā, one should offer the other five silently.
3.11.4	One should offer the Vapa, Dhāraṇa and Abhighāra, and also instruct the deity.
3.14.6	With his hand he touches the anus, saying, "The two wheels on either side of the axle, which follow the darkness, the wind, and the front of the chariot, the distant-sounding, the winged one, may your fires, O Indra, protect us."
3.14.7	"Salutations to the moving jewel!" he says, proceeding to the right-hand wheel.
3.11.5	In the case of the Upakrama, the Niyujana, the Prokṣaṇa, and the Sthālīpāka, it is done in this way.
3.11.6	Having offered the Vapa, he offers the Avadānas.
3.11.7	All three or five.
3.11.8	He offers the Avadāna offerings mixed with the Sthālīmādha.
3.11.9	The animal sacrifice is the Dakṣiṇā.
3.11.10	If one were to worship the deity of a particular animal, one should offer a share to that deity and tell him, "Give this to him."
3.14.8	If the gods are not reached, one should descend in the middle of the Brahmanas, approaching the cows and the ancestors.
3.14.9	The charioteer should not be a woman or a celibate.
3.14.10	If the Muhurta is exceeded, one should recite "May there be delight here, may you enjoy here."
3.14.11	Some say, "Let there be no delight here."
3.14.12	If the chariot is weak, then mounting it, he should recite: "This is your chariot, O Asvins. May it not be obstructed in difficult places."
3.14.13	If it wanders, touching a pillar or the ground, he should recite, "This is your, O Asvins, chariot. May it not get obstructed in difficult places."
3.14.14	There is no affliction or misfortune for him.
3.11.11	One should make a boat in another river, or not.
3.12.1	Now, then, the expiation for Avakīrṇi.
3.12.2	At the new moon, one should sacrifice a donkey at a crossroads.
3.12.3	One should worship Nirriti with a Pākayajña.
3.12.4	An oblation is poured out in water.
3.12.5	The Pasupuroḍāśa is cooked on the ground.
3.12.6	One should put on that skin.
3.12.7	Some say, "with the hair pointing upward."
3.12.8	He should practice begging for a year, proclaiming his own deed.
3.12.9	Then he offers another oblation of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O afflicted desire, to desire svāhā."
3.14.15	Having gone to the place, he should release the chariot and give it to the person who is tending the horses. This is because it is heard that this is the way to avoid losing the chariot.
3.15.1	Now, the mounting of an elephant.
3.15.2	Approaching the elephant, he touches it, saying, "You are the glory of elephants, you are the splendor of elephants."
3.15.3	Then he mounts, saying, "I stand with Indra's thunderbolt, may you protect me with well-being."
3.12.10	Then he stands up, saying, "May the Maruts, Indra, and Brihaspati sprinkle me; may this Agni sprinkle me with offspring and wealth."
3.12.11	This is the atonement.
3.13.1	Now, then, entering the assembly hall.
3.13.2	He enters the assembly hall, saying, "O Assembly Hall, you are named Aditi, you are named Tvishi; to you I pay homage."
3.15.4	This (verse) explains also the mounting of a horse.
3.15.5	One who is about to mount a camel recites (the verse), "Thou art Tvashtra, Tvashtri-deity, may I be protected with welfare."
3.15.6	One who is going to mount a donkey recites (the mantra), "Thou art a Shudra, born of a Shudra, Agni has two kinds of semen, may I be saved with welfare."
3.13.3	Then enter the two daughters of Prajapati, Sabhā and Samiti, with their minds, saying, "Let him who does not know me stand before me. Let him be mindful. Sing, O people!"
3.13.4	Having approached the assembly, he should recite, "I am the overlord, the supreme one, the invincible one, the lord of this assembly. Let the people be swiftly and well-controlled."
3.15.7	He recites over the cross-roads, "Salutations to Rudra, the path-dweller; may I be safeguarded."
3.15.8	He recites over the river, "Salutations, to Rudra, dwelling in the waters; may I be protected."
3.15.9	He recits over the boat, "Salutations."
3.15.10	He recitess over the boat, when he is about to cross, "Salutations."
3.13.5	If he thinks, "He is angry," he recites this mantra over him: "May the gods, the celibates, the wise ones, lead you to the body of the one who is angry, the destroyer of anger. Heaven and earth, we are both. We lead your anger to the embryo of the horse-riding one."
3.15.11	He recites over the forest, "Salutations to Rudra, the lord of the forest, may he protect me with well-being."
3.15.12	He recites over the mountain, "Salutations, to Rudra, lord of the mountains, may he protect with well-being.
3.15.13	He recites to the cremation ground, "Salutations. to Rudra, Lord of the Fathers, may he protect us with well-being."
3.15.14	He recites in the cowpen, "Salutations! to Rudra, who is the lord of the cowdung balls, may he protect you with well-being.
3.13.6	If he thinks that he is angry, then he should recite this mantra over him: "I take your speech from your mouth and place it in your heart. Wherever speech is hidden, I take it from there. Whatever I say is true. You should obey me."
3.13.7	This is the same as the subjugation.
3.14.1	Now, the mounting of a chariot.
3.15.15	And if he were to say elsewhere, "Salutations to Rudra," then it would be in accordance with the statement, "Rudra is indeed all this."
3.15.16	He sprinkles and cleanses with the mantra, "You are the thunderbolt, salutations to you, may you not harm me."
3.14.2	When the chariot is ordered to be yoked, and when it is said to be yoked (the Adhvaryu) goes and says (to the Hotṛ), "Do you recite the Viraj." He touches (the chariot).
3.14.3	"Thou art Rathantara," (he says) to the right wheel.
3.14.4	"Thou art Brihat," (he says to) the left wheel.
3.14.5	" Thou art Vamadevya," (he says ) to the axle.
3.15.19	He recites the formula, "O bird with golden leaves, sent by the gods, Yama's messenger, salutations to you. What did the crow tell you?"
3.14.6	With his hand he touches the anus, saying, "The two wheels on either side of the axle, which follow the darkness, the wind, and the front of the chariot, the distant-sounding, the winged one, may your fires, O Indra, protect us."
3.14.7	"Salutations to the moving jewel!" he says, proceeding to the right-hand wheel.
3.15.20	He recites over the auspicious tree, "May not lightning, may not axe, may not wind, may not the rod sent by the king, strike you. May your shoots grow. May it rain on you without wind. May Agni not harm your roots. May you be well, O tree. May I be well, O Tree."
3.14.8	If the gods are not reached, one should descend in the middle of the Brahmanas, approaching the cows and the ancestors.
3.14.9	The charioteer should not be a woman or a celibate.
3.14.10	If the Muhurta is exceeded, one should recite "May there be delight here, may you enjoy here."
3.14.11	Some say, "Let there be no delight here."
3.15.21	If he gets anything, he accepts it, saying, "May heaven give you, may earth receive you." That which is not given to him does not diminish, and that which is received becomes greater. If he gets cooked rice, he accepts it and eats it twice, saying, "Brahma may eat you, Brahma may eat you."
3.15.22	If he obtains a ladle, he should take it and eat it three times, saying, "May Brahma eat you, may Brahma eat you, Brahma drink you."
3.14.12	If the chariot is weak, then mounting it, he should recite: "This is your chariot, O Asvins. May it not be obstructed in difficult places."
3.14.13	If it wanders, touching a pillar or the ground, he should recite, "This is your, O Asvins, chariot. May it not get obstructed in difficult places."
3.14.14	There is no affliction or misfortune for him.
3.14.15	Having gone to the place, he should release the chariot and give it to the person who is tending the horses. This is because it is heard that this is the way to avoid losing the chariot.
3.15.1	Now, the mounting of an elephant.
3.15.2	Approaching the elephant, he touches it, saying, "You are the glory of elephants, you are the splendor of elephants."
3.15.3	Then he mounts, saying, "I stand with Indra's thunderbolt, may you protect me with well-being."
3.15.23	Now, then, the removal of the non-removal is the sign of me, the discerning one. My tongue is sweet, my speech is sweet, much was heard by my ears. Do not be angry. The teaching of Brahma was heard by me. You are the foundation of Brahma. You are the Brahma-kośa. You are the Suni. You are the Shanti. You are the removal of the removal. Enter the Brahma-koša for me. I cover you with speech. I cover you. May the power of covering, holding, and uttering the sounds of the throat, palate, teeth, and lips be in me. May my limbs grow. Speech, breath, sight, hearing, fame, and strength. Whatever I have heard and learned, may that remain in my mind. Let it remain.
3.15.4	This (verse) explains also the mounting of a horse.
3.15.5	One who is about to mount a camel recites (the verse), "Thou art Tvashtra, Tvashtri-deity, may I be protected with welfare."
3.15.6	One who is going to mount a donkey recites (the mantra), "Thou art a Shudra, born of a Shudra, Agni has two kinds of semen, may I be saved with welfare."
3.15.7	He recites over the cross-roads, "Salutations to Rudra, the path-dweller; may I be safeguarded."
3.15.8	He recites over the river, "Salutations, to Rudra, dwelling in the waters; may I be protected."
3.15.9	He recits over the boat, "Salutations."
3.15.10	He recitess over the boat, when he is about to cross, "Salutations."
3.15.11	He recites over the forest, "Salutations to Rudra, the lord of the forest, may he protect me with well-being."
3.15.12	He recites over the mountain, "Salutations, to Rudra, lord of the mountains, may he protect with well-being.
3.15.13	He recites to the cremation ground, "Salutations. to Rudra, Lord of the Fathers, may he protect us with well-being."
3.15.14	He recites in the cowpen, "Salutations! to Rudra, who is the lord of the cowdung balls, may he protect you with well-being.
3.15.15	And if he were to say elsewhere, "Salutations to Rudra," then it would be in accordance with the statement, "Rudra is indeed all this."
3.15.16	He sprinkles and cleanses with the mantra, "You are the thunderbolt, salutations to you, may you not harm me."
3.15.17	He recites over the thundering clouds, "May the rains be auspicious to us, may the weapons be auspicious to us. May those be auspicious to us which thou, O slayer of Vritra, createst."
3.15.18	He recites over the clouds which are thundering, "May the name be auspicious."
3.15.19	He recites the formula, "O bird with golden leaves, sent by the gods, Yama's messenger, salutations to you. What did the crow tell you?"
3.15.20	He recites over the auspicious tree, "May not lightning, may not axe, may not wind, may not the rod sent by the king, strike you. May your shoots grow. May it rain on you without wind. May Agni not harm your roots. May you be well, O tree. May I be well, O Tree."
3.15.21	If he gets anything, he accepts it, saying, "May heaven give you, may earth receive you." That which is not given to him does not diminish, and that which is received becomes greater. If he gets cooked rice, he accepts it and eats it twice, saying, "Brahma may eat you, Brahma may eat you."
3.15.22	If he obtains a ladle, he should take it and eat it three times, saying, "May Brahma eat you, may Brahma eat you, Brahma drink you."
3.15.23	Now, then, the removal of the non-removal is the sign of me, the discerning one. My tongue is sweet, my speech is sweet, much was heard by my ears. Do not be angry. The teaching of Brahma was heard by me. You are the foundation of Brahma. You are the Brahma-kośa. You are the Suni. You are the Shanti. You are the removal of the removal. Enter the Brahma-koša for me. I cover you with speech. I cover you. May the power of covering, holding, and uttering the sounds of the throat, palate, teeth, and lips be in me. May my limbs grow. Speech, breath, sight, hearing, fame, and strength. Whatever I have heard and learned, may that remain in my mind. Let it remain.
