#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
4.4.[1]	śītātapabhīto nilayārthī bhūtvā yūnabaddhaṃ miśraveṇuvīraṇakāṇḍādinibaddhaṃ kuṭīśālāparṇādikavāsaviśeṣaṃ na praviśet // 4 //
4.5.[1]	na kevalaṃ paranirmitamāśrayaviśeṣaṃ na praviśet, yāvatā svayaṃ nilayamātramapi na kurvītetyarthaḥ // 5 //
4.5.[2]	yadyevaṃ vātyākarakadṛṣṭyādyupaplavāddehabhaṅgaḥ syādityāśaṅkyāha
4.6.[1]	vṛkṣādikamāśrayedityarthaḥ /
4.6.[2]	valmīkaṃ valmīkabhūmyādi // 6 //
4.7.[1]	tanturveṇuriti kecit, śītādyupahato vaṃśanirmitavyatirekeyāśrayāntaraṃ viśet /
4.7.[2]	rajjustanturityanye, rajjvādibandhairyannivṛttaṃ śālādi, tattāntavam // 7 //
4.8.[1]	yatpūrvamuktamekaṃ vāsaḥ, tadevātrāpi /
4.8.[2]	iyāṃstu viśeṣa: - iha śāṇī kutapaṃ vā /
4.8.[3]	śāṇī varāsiḥ, na punaḥ kṣaumī prasiddhā, klinnakuṭṭitadarbhanirmiteti tvanye /
4.8.[4]	ajalomanirmitaṃ kutapam // 8 //
4.8.[5]	asya vāsasaḥ parimāṇamāha
4.9.[1]	urasa ārabhya jānunoruparibhāgaṃ yāvadvyāpnoti, tāvatparimitametatkartavyamekameva traividyena /
4.9.[2]	adhyayanakāle tu adhobhāge paṭolikā tvāsīdupari tu mārgaṃ carma, tacca vāsa iti nocyate loke ityuktam // 9 //
4.10.[1]	“sāyaṃ prātarmanuṣyāṇāmaśanaṃ devanirmitam /” iti bhojanakālaḥ /
4.10.[2]	tatra prathamadinasya sāyaṃprātarlakṣaṇaṃ kāladvayaṃ, dvitīyadinasya ca prātaḥkālaṃ varjayitvā sāyaṃ caturthe kāle bhojanapāne kuryādityeke /
4.10.[3]	ekadinavyavadhānena ekakālaṃ bhuñjītetyarthaḥ /
4.10.[4]	anye tvāhuḥ pīyate iti pānaṃ kṣīratakrādi tadeva caturthakāle paścimaprahare bhakṣo'syeti, kṣīrādipānīye bhakṣaśabdo dṛṣṭaḥ “abbhakṣo vāyubhakṣaḥ” iti //
4.11.[1]	hiraṇyādisaṃcayaṃ na kurvītetyarthaḥ // 11 //
4.12.[1]	bhikṣāṇāṃ samūho bhaikṣam /
4.12.[2]	pūrveṇa bhikṣāṇāmapi saṃcayasya pratiṣedhe prāpte pratiprasavo'nena kriyate /
4.12.[3]	pratidinaṃ bhaikṣamaśnīyāt /
4.12.[4]	śarīrāpāṭave tu kadācidekāmapi bhikṣāmaśnīyāt, aṭitumaśaktaḥ saktukaṇikādikaṃ vā /
4.12.[5]	tāvanmātraṃ saṃcinuyādityanenābhiprāyeṇa vāśabdaḥ // 12 //
4.13.[1]	kālādhvanoratyantasaṃyoge ahaḥśabdāddvitīyā /
4.13.[2]	ahani tiṣṭhedeva ūrdhva evāsītetyarthaḥ /
4.13.[3]	rātrāvāsītopaviśet /
4.13.[4]	atiśrāntaḥ svapyādapi kadācidantarā manāk /
4.13.[5]	atyantasaṃyogābhāvāt dvitīyāvirahaḥ // 13 //
4.14.[1]	ubhayamahorātraṃ vāksaṃyamaṃ kuryāt /
4.14.[2]	munīnāṃ vratametat // 14 //
4.15.[1]	bhārgavastu cyavano manyate stryādibhireva na saṃbhāṣeta, natu sarvaiḥ /
4.15.[2]	saṃbhāṣayeteti svārthe ṇicū “rāmo rājyamakārayat” itivat /
4.15.[3]	patitāstraivarṇikā api /
4.15.[4]	rabhasā apṛṣṭavaktāro bhaṇḍavandiprabhṛtayaḥ /
4.15.[5]	rajasvalāstu ye raktena śarīramavalipya bhojanādikaṃ dāpayanti // 15 //
4.16-17.[1]	asamarthāpekṣametat /
4.16-17.[2]	saṃvatsarasyobhayorārambhasamāptilakṣaṇayoḥ pārśvayordvādaśarātrametatsthānāsanavāgyamaprabhṛtikaṃ kuryāt paurṇamāsīmamāvasyāṃ ca /
4.16-17.[3]	tena saṃvatsaramadhye aṣṭācatvāriṃśaddināni bhavanti /
4.16-17.[4]	upakramopasaṃhārayodvadaśarātradvayaṃ, dvādaśa paurṇamāsyaḥ, dvādaśāmāvasyāḥ // 16 //
4.18.[1]	yā brahmacāriṇo nityāḥ samidhaḥ, tā iha pālāśyaḥ /
4.18.[2]	palāśālābhe pratinidhiḥ, pratinidhāne ca paridhivṛkṣāṇāṃ vā, paridhivṛkṣāṇāṃ saṃbandhinyo grāhyāḥ /
4.18.[3]	paridhivṛkṣāśca yūpyāḥ bilvakhadirapalāśarohītakodumbarabadhiraprabhṛtayaḥ /
4.18.[4]	tathāca brāhmaṇaṃ śrutiśca “bailvo vā khādiro vā pālāśo vā rauhītako vā saumyasyādhvarasya yūpaḥ syāt /
4.18.[5]	audumbaro yūpo bhavati //” “khādire badhnāti pālāśe badhnāti rauhītake badhnāti //” iti /
4.18.[6]	yajñiyā vā sarve paridhivṛkṣāḥ /
4.18.[7]	śrūyate hi paridhibrāhmaṇam “tasyendraḥ paridhīnyajñiyebhyo vṛkṣebhya ājahāra” iti /
4.18.[8]	paridhivṛkṣatvādeva pālāśīnāṃ siddheḥ pṛthaggrahaṇaṃ tāsāṃ nityatvārthaṃ tathāceha nityagrahaṇam /
4.18.[9]	nanu mūlaprakṛtāveva kasmānnoktam /
4.18.[10]	sādhūcyate bhavatā kiṃtu jñāpakārthaṃ bhaviṣyati yathā sādyaskra evamuktaṃ madhyamāyāṃ saṃsthitāyāṃ yūpakarmeti, prakṛtau coktamupasatsu yūpakarmeti /
4.18.[11]	tatra kālākāṅkṣāyāṃ satyāṃ vikṛtirapi prakṛtiṃ gṛhṇāti ityetamarthamavabodhayitumevaṃ sūtritavānācāryo virodhābhāvāt /
4.18.[12]	evamanyatrāpi tulyanyāyatvādyojyam /
4.18.[13]	tenāṃhomugbhiḥ samiddāne'pyevaṃ jānīyādeva “tasyendro yajñiyebhyo vṛkṣebhyaḥ paridhīnājahāra /” iti // 17 //
4.19.[1]	kuryāditi śeṣaḥ /
4.19.[2]	medhāṃ mahāmaṅgirasa ityādibhirmantraiḥ dvābhyāṃ nābherārabhyordhvaṃ brahmadvāraparyantaṃ mārjanaṃ nigharṣaṇātmakaṃ kṛtvā ‘nābherurdhvameva pāṇinā unmārṣṭi’ iti smṛteḥ prātaḥsavane madhyandinasavane tṛtīyasavane iti savanatraye'pi rātribhāgatraye'pyevamudakopasparśanaṃ kuryāt /
4.19.[3]	upasparśanamiha snānam /
4.19.[4]	upasparśanaśabdo hyācamanasparśanasnāneṣu dṛṣṭaḥ, ‘upaspṛśya svastyayanaṃ bhavati’ ityādāvācamane, na kulyādyantarāgamananimittaprāyaścittabhūte sadācārādisiddhe; ‘upaspṛśya somamālabheran’ ityatra sparśe; ‘ālabhya copaspṛśeyuḥ’ ityatrāpyudakācamanamātre; ‘rathyādāvupaspṛśet’ ityādau snāne /
4.19.[5]	tatra prakaraṇavaśādviśeṣavyavasthā /
4.19.[6]	yathā saindhavaśabdāderaśvalavaṇamanuṣyeṣu /
4.19.[7]	divā vātārkasaṃyogādrātrau nakṣatramārutaiḥ /
4.19.[8]	sandhyayoragnivātābhyāṃ pavitraṃ sarvadā jalam //
4.19.[9]	tatra cāgniṃ pratiṣṭhāpya suvarṇaṃ saṃnidhāyeti vadanti /
4.19.[10]	astamite vasatīvarīgrahaṇavat ‘agnirvai vāk’ ityabhedāt anyabhāve'pi vāguccāryā evaṃ rātrāvācamanādyapi kuryāt // 18 //
4.19.[11]	evaṃ snātvā
4.20.[1]	etā evaṃ devatāstarpayannudakena tarpayannamaḥśabdāvacchinnairmantraiścaturbhirupasparśanaṃ kuryāditi saṃbandhaḥ /
4.20.[2]	āditya evopādhyavacchinno'trānekadevatārūpo'bhimataḥ /
4.20.[3]	tathāca hama ādityo gantṛtvena stūyate /
4.20.[4]	‘dramahammamīmṛgatau’ iti hammeḥ rūpaṃ hama iti /
4.20.[5]	‘mīñ hiṃsāyām’ ityasya tvapratyaye rūpaṃ chāndasam, mohamāyeti andhakārāpasārakāyetyarthaḥ /
4.20.[6]	tapatīti tapaḥ /
4.20.[7]	tapaścacāreti tāpasaḥ āditya eva prajāpatirūpeṇa stutaḥ /
4.20.[8]	tapyate iti tapaḥ brahmāṇḍādisargaḥ, taṃ tanoti utpādayatīti tapantaḥ ‘sarve vidhayaśchandasi vikalpyante’ iti supo luk /
4.20.[9]	vindate cetayate iti vinduḥ, vindyate cetyate iti vindaḥ cetyacetayitṛrūpaḥ prajāpatistasmai namaḥ vasu vindate vasuvindaḥ, evaṃ sarvavindaḥ tayorviśeṣaṇasamāsaḥ /
4.20.[10]	‘pāratīrakarmasamāptau pārayatīti pāraḥ /
4.20.[11]	pārayantaṃ tanoti pārayantaḥ /
4.20.[12]	ūrmīnraśmikallolānarhatīti ūrmyaḥ /
4.20.[13]	evaṃ sūrmyaḥ /
4.20.[14]	cyāvayatīti cyavanaḥ /
4.20.[15]	bhṛjjati pācayati bhūtānīti bhṛguḥ tasyāpatyaṃ bhārgavaḥ bhānurevātra // 19 //
4.21.[1]	eṣa brahmacārī snātako vā prakṛtaḥ saṃvatsaramuktaṃ vrataṃ caritvā, vimalo rāgādimalaśūnyo vigatapāpaśca bhavati // 20 //
4.21.[2]	pāpābhāvapradarśane nādhyayanāṅgatvavihitādhyayanakālavratākaraṇanimittaprāyaścittatāmasya saṃvatsaravratasya darśayati
4.22.[1]	yadyanyadvrataṃ vedādhyayanakāle na kurute, tadāsmiṃstatpratinidhibhūte saṃvatsaravrate kṛte sati caturṇāmapi vedānāmadhītānāṃ caritabrahmacaryaḥ saṃpadyate vrataparipūrṇaṃ vedacatuṣṭayādhyayanamasya saṃpadyata ityarthaḥ /
4.22.[2]	ye tu svatantramevedaṃ saṃvatsaravrataṃ traividyakasya tapotiśayārthaṃ varṇayanti, ta evaṃ vyācakṣate - pūrveṇa sahāsyaikavākyatā, eṣa saṃvatsaravrataṃ caritvā sarveṣāṃ vedānāṃ caritavrataḥ san vimalo vipāpaśca bhavati, yadi tanmadhye'nyanniṣiddhācaraṇaṃ na kurute // 21 //
4.23.[1]	tuśabdaḥ phalāntarasamuccaye /
4.23.[2]	khalurniścaye // 22 vaidikatvaprasiddhidyotanāya ca phalāntaramāha /
4.23.[3]	punātītyanuṣaṅgaḥ /
4.23.[4]	yānpaśyati tānapaṅktipāvanānapi paṅktipāvanānkaroti tapobalāt, yāṃścaikapaṅktyupaviṣṭānna paśyatyapi, tānapi pāvayati 23
4.24-25.[1]	etasminvrate samāpte, pūrvoktadevatābhyo'naṃ juhoti taṇḍulalakṣaṇaṃ sthālīpākaṃ vā /
4.24-25.[2]	‘chandovatsūtrāṇi bhavanti’ iti subvyatyayaḥ /
4.24-25.[3]	annaśabdo hi kṛte'kṛte vipakve ca dṛṣṭaḥ ‘heṣibhiḥ nidhanaṃ kuryādannakāmāya’ ityakṛtavacanaḥ, ‘annaṃ prayauti ghṛtaṃ madhu taṇḍulān’ ityādau kṛtavacanaḥ, ‘yo'nnamaśnīyāt’ ityādau vipakvavacanaḥ /
4.24-25.[4]	trividhamapi vrīhitaṇḍulasthālīpākarūpaṃ paryāyeṇa yathāsvaṃ nirvāhyam //
4.24-25.[5]	medhā mahyamaṅgiraso medhāṃ saptarṣayo dadhuḥ /
4.24-25.[6]	medhāmagniśca vāyuśca meghāṃ dhātā dhātu me // 1 //
4.24-25.[7]	medhāṃ me varuṇo rājā medhāmagnirdadhātu me /
4.24-25.[8]	medhāmiṃdraśca sūryaśca medhāṃ devī sarasvatī // 2 //
4.24-25.[9]	yā medhā apsarassu gandharveṣu ca yanmanaḥ /
4.24-25.[10]	daivī manuṣye yā medhā sā māmāviśatādiha // 3 //
4.24-25.[11]	śarīraṃ me vicakṣaṇaṃ vāṅme madhumadduhe /
4.24-25.[12]	niśāmitaṃ niśāmaye mayi śrutam // 4 //
4.24-25.[13]	yanme'nūktaṃ tadramatāṃ śakeyaṃ yadanubruve /
4.24-25.[14]	priyāḥ śrutasya bhūyāsma medhayā saṃvidhīmahi // 5 //
4.24-25.[15]	namo hamāya mohamāya //
4.24-25.[16]	sayajuṣkaḥ paṃcarcaḥ /
4.24-25.[17]	agiraso devāḥ mahyaṃ medhāṃ buddhiṃ dadhurdadhatu madarthaṃ kurvantu dadatu vā mahyam /
4.24-25.[18]	kaśyapādayaśca saptarṣayo medhāṃ dadhatu /
4.24-25.[19]	tathāgnirvāyuḥ dhātā prajāpatirmedhāṃ me dadhātu /
4.24-25.[20]	evaṃ rājā varuṇo'gnirindraśca sūryaśca mahyaṃ medhāṃ dadhātu devī ca sarasvatī /
4.24-25.[21]	tathāpsaraḥsu ca yā medhā sthitā, gandharveṣu ca yat manaḥ sthitaṃ, tadubhayamihaiva mānuṣaśarīre sati māmāviśatātpraviśatu /
4.24-25.[22]	yā ca manuṣyaviśeṣe daivī amānuṣī medhā, sāpi māmāviśatāt /
4.24-25.[23]	mama ca śarīraṃ vicakṣaṇaṃ vipaścit sakalakalākovidamastu /
4.24-25.[24]	vāk sarasvatī trayīrūpā me mama madhumat madhuravipākaṃ svargāpavargādikaṃ phalaṃ duhe dogdhu /
4.24-25.[25]	yacca mayi śrutaṃ jātaṃ, niśāmitaṃ cāvabuddhaṃ mayāsīt, tata niśāmaye niśāmayeya smaraṇaśaktistatra mamāstvityarthaḥ /
4.24-25.[26]	yacca mamānūktaṃ guruṇā nigaditaṃ, tadramatāṃ śataśākhaṃ śiṣyapraśiṣyādīn prasaratu phalaparyavasāyi sat /
4.24-25.[27]	yaccānubruve nigaditumicchāmi tacchaknuyām /
4.24-25.[28]	tathā vayaṃ śrutasya priyāḥ bhūyāsma śrutamasmākaṃ phaladānaprasādaparamastu /
4.24-25.[29]	medhayā ca saṃvidhīmahi sambadhyemahi vayam /
4.24-25.[30]	yajurvyākhyātam // 24 //
5.1.[1]	kṛtamakuśalaṃ vihitākaraṇapratiṣiddhasevanalakṣaṇaṃ karma cchradati iti kṛcchraḥ /
5.1.[2]	tathānantarameva vakṣyati ‘sarvākuśalamokṣāya’ iti /
5.1.[3]	gautamo'pyāha ‘athaitāṃstrīnkṛcchrāṃścaritvā sarvavedeṣu snāto bhavati, sarveṣu tīryeṣu snāto bhavati /’ iti /
5.1.[4]	trīniti kṛcchramahākṛcchrataptakṛcchrān /
5.1.[5]	kṛtasya pāpasya cchradanaṃ vā kṛcchramiti nirvacanam /
5.1.[6]	varṇalopaśchāndasatvāt kṛcchraśabdasya /
5.1.[7]	tathāca cārāyaṇisūtram ‘purukṛte cchacchrayoḥ’ iti puruśabdaḥ kṛtaśabdaśca lupyate yathāsaṃkhyaṃ che chre parataḥ /
5.1.[8]	puru cchadanaṃ puccham, kṛtasya cchradanaṃ vināśanaṃ kṛcchramiti /
5.1.[9]	dustaraṃ gahanaṃ kṛcchraṃ kaṣṭaṃ duṣkaramityapi /
5.1.[10]	lokaprasiddhaparyāye lipyāpyartho'sya gamyate //
5.1.[11]	kṛcchrasya vidhiḥ prabhāva itikartavyatā kṛcchravidhiḥ, taṃ vyākhyāsyāma iti śiṣyabuddhisamādhānārthamidaṃ vākyam /
5.1.[12]	evamanyatrāpyanusartavyam // 1 //
5.1.[13]	stutyarthamātmārthaṃ cāsya vratasya purākalpārthavādamāha
5.2.[1]	devādīnāmevātra vrate ārṣam /
5.2.[2]	praśasta caitaddevādibhiḥ pāpavimokṣāyānuṣṭhitatvāditi tātparyārthaḥ /
5.2.[3]	devā eva devāsaḥ ‘ājjaserasuk’ /
5.2.[4]	yena prakāreṇa devādaya ācaran, taṃ prakāraṃ vakṣyāma ityanvayaḥ // 2 //
5.3.[1]	strīmātraṃ śūdramātraṃ ca na saṃvādayetkṛcchaṃ caran // 3 //
5.4.[1]	kuḍyakāṣṭhādikamālambanamātramāśritaḥ san rātrāvāsītaiva upaviśet śramātiśayanivṛttaye, natu supyāt /
5.4.[2]	evaṃ hi sātiśayaṃ tapo bhavati /
5.4.[3]	atiśrāntastūpaviṣṭa evāntarāntarā manāk svāpaṃ kurvīta śarīrāpāyasyāvaśyavarjanīyatvāt, natu śayyāmārohet // 4 //
5.5.[1]	dineṣu sarveṣu tiṣṭhedeva, natūpaviśet // 5 //
5.6.[1]	brahmacaryacaraṇaśīlaḥ /
5.6.[2]	etena gṛhasthasyāpyadhikāraṃ darśayati // 6 //
5.7.[1]	yadi śramātiśayamapanodayituṃ manāṅnidrāṃ kuryāt tadā kṣapāyāmeva kuḍyādyavaṣṭambhenopaviṣṭaḥ san, natu kathaṃcidapi divā śayyāyāṃ vā // 7 //
5.8.[1]	‘akāmopetaṃ madhu na duṣyati’ iti vājasaneyakādau yaddṛśyate, tathā ‘... saindhavaṃ tu na duṣyati /’ iti, ‘dattvā tu devaviprebhyaḥ khādanmāṃsaṃ na duṣyati /’ iti, ‘vratasthamapi dauhitraṃ śrāddhe yatnena bhojayet /’ ityādyāgamamavicārayanneva prayatnaviśeṣeṇa madhvādīnyatra vrate varjayet // 8 //
5.9.[1]	gavājinaṃ gocarma /
5.9.[2]	śāṇīcīraṃ varāsikhaṇḍaḥ /
5.9.[3]	mṛgasyedaṃ mārgaṃ carma /
5.9.[4]	kutapamuktam // 9 //
5.10.[1]	adhyayanakāle vaiguṇyakṛtasyevānyakālakṛtasyāpi samastasyehajanmakṛtasya pūrvajanmavihitasya ca akuśalasya pāpasya karmaṇo mokṣāya vināśāyaitadvrataṃ bhavati samyak kṛtaṃ sat /
5.10.[2]	tathāca marudādayo'pi tādarthyenaivācaritavanto‘sambhāvyamānavyāmohā iti dṛḍhapramāṇakametat // 10 //
5.11.[1]	marudbhiśceti vijñeyam /
5.11.[2]	trīṇyahāni sāyameva bhuñjīta homakālādūrdhvam, tryahaṃ prātareva, tryahaṃ svayācitaṃ labdhameva bhuñjīta, tryahaṃ tūpavasanam, iti krameṇaiva dvādaśa dināni vratam /
5.11.[3]	etatkṛcchraṃ vyākhyātam /
5.11.[4]	asya prājāpatyamiti nāma /
5.11.[5]	evaṃprakāraṃ kleśasādhyamanyadapi kṛcchraśabdenocyate kūrcasāntapanādikam // 11 //
5.11.[6]	etameva prakāramatikṛcchre'tidiśannāha
5.12.[1]	yaḥ kṛcchrasya prakāraḥ sthānaśayanabrahmacaryādika uktaḥ, sa eṣa evātikṛcchrasya vidhiḥ /
5.12.[2]	yadyevamabheda eva syāt tadatra ko'tideśāvakāśo'sya bhinnaviṣayatvādityāśaṃkyāha evaṃ vidhīyate iti, viśeṣa iti śeṣaḥ // 12 //
5.12.[3]	tathācāha
5.13.[1]	bhojane viśeṣa ityarthaḥ /
5.13.[2]	tathācaiteṣveva sāyamādiṣu bhojanakāleṣvekaikaṃ grāsamaśnīyādatikṛcchraṃ caran /
5.13.[3]	piṇḍapramāṇaṃ tvasyāvikāreṇa yāvadgrāso mukhe vartate pāṇipūraṇabhojana iti // 13 //
6.1-2.[1]	kṛcchrakāleṣveva sāyamādiṣu uṣṇajalapānādikam /
6.1-2.[2]	payaḥ kṣīram /
6.1-2.[3]	sarpistryahamayācitam /
6.1-2.[4]	vāyubhakṣa iti vāyumevopajīvet pavitratārthaṃ śarīrasandhāraṇārthaṃ ca, natvanyatkimapi bhuñjīta pibedveti tīvropavāsanatrayavidhānamevaitat // 1 //
6.3.[1]	bṛhaspaterityārṣam /
6.3.[2]	prarocanārthaṃ kūrca iti saṃjñā /
6.3.[3]	yaḥ kṛcchrasya sthānāsanādiprakāra uktaḥ, sa eva kūrcasyāpi /
6.3.[4]	tuśabdo'pyarthe bhinnakramaḥ // 2 //
6.3.[5]	pūrvavadviśeṣamāha
6.4.[1]	yavāgūrapāsitatuṣayavasampādyā peyaprāyā prasiddhā /
6.4.[2]	yāvako'pi tadvat sa tu bhaktaprāyaḥ kaṭhinaḥ /
6.4.[3]	śākaṃ tu haviṣyameva, natvaviśeṣeṇa /
6.4.[4]	evaṃ bhojane'pi sāyamādau kṛcchrādau jñeyam /
6.4.[5]	kuśodakamiti samāhāranirdeśātsahopayogaḥ tena sapta tryahā bhavanti // 3 //
7.1.[1]	kṛcchravidhiṃ vyākhyāsyāma iti vākyaśeṣaḥ /
7.1.[2]	athaśabdaḥ pṛthaksthānatāṃ pūrvebhyo dyotayati // 1 //
7.2.[1]	marutāmevātrārṣam /
7.2.[2]	atasteṣāmeva homaḥ /
7.2.[3]	tāneva codakena tarpayet /
7.2.[4]	dvayamapi caitat snānādūrdhvam // 2 //
7.3.[1]	kṛcchrarūpaṃ ca tatsāntapanaṃ kṛcchrasāntapanam /
7.3.[2]	kuśodakamekatrāhani, gomūtrādikamekaikamahanyahani, ekarātropavāsaśceti saptarātraḥ // 3 //
7.4.[1]	etadeva sāntapanaṃ yathāsthānaṃ gomūtrādibhakṣaṇamukhena trirabhyastaṃ daṇḍakalitakena vā mahāsāntapanaṃ bhavati /
7.4.[2]	tena bhaṃgyā sāntapane saptopavāsāḥ, mahāsāntapane caikaviṃśatiḥ paryavasyantīti mahadetattapaḥ /
7.4.[3]	yattu yājñavalkye sāntapanasya dvyahatvaṃ, mahāsāntapanasya ca saptāhatvaṃ pratīyate, tadapi vikalpena śaktiviśeṣabhāvāpekṣayā puruṣāntara eva kalpyate sarvasmṛtīnāṃ prāmāṇyāt /
7.4.[4]	natvetāvatā sarvatra saṃkocavyākhyayā kleśo'nubhavanīyaḥ /
7.4.[5]	tatra yājñavalkyavacanam ‘paṃcagavyaṃ tu gokṣīraṃ dadhi mūtraṃ kṛtam /
7.4.[6]	jagdhvāpare'hnyupavase sāntapanaṃ caran //’ anena paṃcagavyādīnāmekatrāhanyupayogaḥ, dvitīye tūpavāsa uktaḥ, yato mahāsāntapanamāha ‘pṛthaksāntapanadravyaiḥ ṣaḍahaḥ sopavāsakaḥ /
7.4.[7]	saptāhena tu kṛcchro'yaṃ mahāsāntapanaḥ smṛtaḥ //’ iti /
7.4.[8]	atra paṃcagavyādīnāṃ pṛthagupayogāt ṣaḍahāni, saptame'hanyupavāsaḥ // 4 //
8.0.[1]	sarveṣāṃ kṛcchravratānāṃ dvādaśāhādadhikatvaṃ, gauṇatvaṃ tu dvādaśāhasyeti tena tadīyā eva mantrādayo'tra guṇatvena yojayitavyā ityabhiprāyeṇa guṇaviśeṣamāha
8.1.[1]	eteṣu samasteṣu kṛcchreṣu atra yatpūrvaṃ vratamuktaṃ vrataniyamāśceti tasyopāyanaṃ grahaṇopāya itikartavyatā dvādaśāhādityucyate, tyāgopāyaśca tata eveti jñeyam // 1 //
8.2.[1]	prathamasya trirātrasya prathame'hani snātvāgnisamīpe ‘vasavo vratapatayaḥ’ ityādibhirmantrairvrataṃ gṛhṇīyāt /
8.2.[2]	’vasavo vratapatayo vratamālabhe tadvaḥ prabravīmi tacchakeyaṃ tenardhyāsam /’ ityādimatraliṅgāddhi saṃsiddhyantavratagrahaṇānujñāsiddhaye devatābhyarthanaṃ pratīyate /
8.2.[3]	tathā vratānte vratatyāgaḥ kartavyaḥ ‘vasavo vratapatayo vratamacāriṣaṃ tadaśakaṃ tadvaḥ prabrūmastanno gopāya’ ityādibhiḥ /
8.2.[4]	evametaiścaturbhirmantrairvratamālabhya prathame trirātre adbhirvasūnpratyahaṃ tarpayet, dvitīye rudrān, tṛtīye ādityān /
8.2.[5]	caturthe trirātre marudaṅgirasa udakena santarpayet // 2 //
8.3.[1]	prathame tryahe'hanyahani caruṇā mantradvayena vasubhyo homaḥ kāryo brahmacārisnātakābhyāṃ laukike'gnau, gṛhasthenāhavanīye gṛhye'gnau vā // 3 //
8.4.[1]	homaḥ kāryo dvitīye tryahe // 4 //
8.5.[1]	tṛtīyatryahaviṣayametat // 5 //
8.6.[1]	caturthe tryahe marudgaṇānāmaṃgirasāṃ cāhanyahani homo yathāyogyametairmantraiḥ kartavya ityarthaḥ // 6 //
8.7.[1]	havyavāhamityādimatreṇa sviṣṭakṛtaṃ juhuyādaviśeṣeṇa sarveṣu tryaheṣu // 7 //
8.7.[2]	vasavo vratapatayo vratamālabhe tadvaḥ prabravīmi tacchakeyaṃ tenardhyāsam //
8.7.[3]	he vasavo vāsayitāraḥ yato yūyaṃ vratapatayo vratasya pālayitārastattasmādyuṣmānprabravīmyabhyarthaye ahaṃ vratamālabhe ārabhe, tasmādyuṣmatprasādādahaṃ śakeyaṃ śaknuyāṃ pārayeya, tena ca vratena saṃpannena ṛddhyāsaṃ samṛddhiṃ phalaviśeṣātmikāṃ prāpnuyām //
8.7.[4]	rudrā vratapatayo vratamālabhe tadvaḥ prabravīmi tacchakeyaṃ tenardhyāsam //
8.7.[5]	pūrvavyākhyānenaiva gatārthaḥ /
8.7.[6]	rudrāstvabhyarthanīyā viśeṣyante /
8.7.[7]	evamuttarayorādityā marudaṃgirasava viśeṣyante /
8.7.[8]	śeṣaṃ tulyam //
8.7.[9]	ādityā vratapatayo vratamālabhe tadvaḥ prabravīmi tacchakeyaṃ tenardhyāsam //
8.7.[10]	marudaṅgiraso vratapatayo vratamālabhe tadvaḥ prabravīmi tacchakeyaṃ tenardhyāsam //
8.7.[11]	ā me gṛhā bhavantvā prajā ma ā mā yajño viśatu vīryāvān /
8.7.[12]	āpo devīryajñiyā mā viśantu sahasrasya mā bhūmā mā prahāsīt svāhā //
8.7.[13]	ā me gṛhā bhavantvā puroruk stutaśastre māviśatāṃ samīcī /
8.7.[14]	ādityā rudrā vasavo me sadasyāḥ sahasrasya mā bhūmā mā grahāsīt svāhā //
8.7.[15]	triṣṭup chandaḥ /
8.7.[16]	mudgalasya bhāndyaśvasyārṣam /
8.7.[17]	me mama gṛhā dārā ābhavantu /
8.7.[18]	prajāśca putrā mamābhavantu /
8.7.[19]	yajñaśca vīryavānmāṃ viśatu /
8.7.[20]	tathā devīḥ devyaḥ āpo yajñiyā yajñasādhanabhūtā mā māṃ viśantu sāhāyyaṃ bhajantām /
8.7.[21]	sahasraśabdo'tibhūyastvopalakṣaṇārthaḥ /
8.7.[22]	bhūmaśabdaḥ puṣkaladhanaviṣayaḥ /
8.7.[23]	subahūnāṃ bhūridhanaṃ tanmā mā prahāsīt māṃ mā tyākṣīt /
8.7.[24]	svāhā suhutamastu //
8.7.[25]	tathā mama gṛhā upāṃśuprabhṛtayaḥ ābhavantu /
8.7.[26]	teṣāmeva ca gṛhāṇāṃ yā puroruk puro'nuvākyā havigrahaṇātpūrvamantra ābhavatu, stutaśastre ca māmāviśatāṃ samīcī samyagañcane sammukhamityarthaḥ /
8.7.[27]	ādityā rudrā vasavaśca mama sadasi bhavāḥ sadasyāḥ bhavantu /
8.7.[28]	sahasretyādi vyākhyātam //
8.7.[29]	asaṃkhyātā sahasrāṇi ye rudrā adhi bhūmyām /
8.7.[30]	teṣāṃ sahasrayojane'va dhanvāni tanmasi // 1 //
8.7.[31]	agniprakaraṇe rudrābhidhānāḥ ṣaḍanuvākāḥ paṭhyante ‘namaste rudra manyave’ ityādyāḥ /
8.7.[32]	tanmadhye ete daśa mantrāḥ /
8.7.[33]	sarveṣu teṣvanuvākeṣu devānāmārṣam /
8.7.[34]	tathāca śrūyate ‘rudraṃ vai devā yajñānnirabhajan /
8.7.[35]	sa devānāyatayā āyāmavatyā senayābhiparyāvartata /
8.7.[36]	ete devā bhītā etacchatarudriyamapaśyaṃstenainamaśamayanyacchatarudriyaṃ juhoti tenaitaṃ rudraṃ vitatadhanvānaṃ saṃhateṣu manyumantaṃ mahābāhuṃ śamayati /’ iti /
