#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
1.7.7.[2]	yathā 'utāmṛtāsuḥ śivāsta ityabhyākhyātāya prayacchati' /
1.7.7.[3]	saktūdakaṃ dviśalākayā samidhā mathitaṃ mantha ityucyate /
1.7.7.[4]	dravyavikalpaḥ //
1.7.8.[1]	anādeśe jānīyāt /
1.7.8.[2]	yathā 'pūrvasya medhājananāni' /
1.7.8.[3]	'pūrvasya brahmacārisāmpadāni' pūrvasya 'mamāgne varcaḥ' iti /
1.7.8.[4]	'pūrvasya hastitrasanāni' /
1.7.8.[5]	'pūrvasya pūrvasyāṃ paurṇamāsyām' /
1.7.8.[6]	'pūrvasya citrākarma' /
1.7.8.[7]	'pūrvasyodapātreṇa' /
1.7.8.[8]	'pūrvasya putrakāmāvatokayoḥ' /
1.7.8.[9]	'triṣaptīyaṃ ca paccho vācayet' /
1.7.8.[10]	sarvatra 'ye triṣaptāḥ' iti //
1.7.9.[1]	yathā 'piñjūlībhirāplāvayati' /
1.7.9.[2]	ghaṭaṃ vā kāṃsyapātraṃ vā //
1.7.10.[1]	anādeśe jānīyāt /
1.7.10.[2]	darbhasamitpātrādisambhārāḥ //
1.7.11-12.[1]	dūradeśād vṛkṣasambhārā āhartavyāḥ /
1.7.11-12.[2]	sūryodayakāle //
1.7.13.[1]	nityanaimittikakāmyānāṃ karmaṇāṃ prayogaḥ /
1.7.13.[2]	araṇyaṃ śāntikalpe uktam /
1.7.13.[3]	yatra grāmaśabdo na śrūyate tatrāraṇyam //
1.7.14.[1]	sarvaṃ homakarma samāpyate /
1.7.14.[2]	tato'vabhṛthaṃ kuryāt /
1.7.14.[3]	sarvatra puṃsavanādiṣu saṃskāreṣu gṛhe prayogaḥ /
1.7.14.[4]	'nāvabhṛthaḥ' iti rudrabhāṣyamatam //
1.7.15.[1]	eteṣu nityam abhyātānāntaṃ tantraṃ bhavati /
1.7.15.[2]	āśyādiṣu yathā 'mādānakaśrṛtaṃ kṣīraudanamaśnāti' /
1.7.15.[3]	'ehi jīvam ityāñjanamaṇiṃ badhnāti' /
1.7.15.[4]	'sarvairāplāvayati' /
1.7.15.[5]	'yānenābhiyāti' /
1.7.15.[6]	'āgrahāyaṇyāṃ bhakṣayati' /
1.7.15.[7]	āśyādiṣu sarvatra sampātābhimantraṇaṃ bhavatyājyatantre //
1.7.16.[1]	sarve padārthā abhimantrya kartavyāḥ /
1.7.16.[2]	yathā 'sīrā yuñjanti iti yugalāṅgalaṃ pratanoti' /
1.7.16.[3]	abhimantrya kartavyam //
1.7.17.[1]	strī ca vyādhitaḥ puruṣaḥ vyādhitā strī ca /
1.7.17.[2]	etāvāplutāvasiktau vastreṇa mārjayati //
1.7.18.[1]	taṃ puruṣam agre kṛtvā gṛhe praveśya tato manthaudanau prayacchati /
1.7.18.[2]	yathā 'utāmṛtāsuḥ śivās ta ityabhyākhyātāya prayacchati' mantreṇa //
1.7.19.[1]	yatra vāsitaṃ badhnāti tatra sarvatra trayodaśyādi bhavati /
1.7.19.[2]	yathā 'yugmakṛṣṇalaṃ vāsitaṃ badhnāti' //
1.7.20.[1]	maṇiṃ baddhvā tad dadhimadhv āśayati //
1.7.21.[1]	anvārabdhe yajamāne kartavyāḥ /
1.7.21.[2]	abhimantraṇam /
1.7.21.[3]	yajamāna uttarato bhūtvā darbhair anvārabhate //
1.7.22.[1]	yathā 'āvapati brīhiyavatilān' ityādi /
1.7.22.[2]	tathā 'aṣṭakāyām' //
1.7.23.[1]	raktavṛṣabhagomayapiṇḍa ity arthaḥ /
1.7.23.[2]	yathā 'syonam iti... śakṛtpiṇḍe'śmānaṃ nidadhāti' //
1.7.24.[1]	samarthavṛṣabhacarma /
1.7.24.[2]	yathā 'paścādagneścarmaṇi haviṣāṃ saṃskāraḥ' //
1.7.25.[1]	jānīyāt /
1.7.25.[2]	yathā 'aśmānaṃ nidadhāti' //
1.7.26.[1]	yatrāplavanam avasecanaṃ ca tatrācamanaṃ bhavati mārjanaṃ ca //
1.7.27.[1]	bandhyaṃ maṇim /
1.7.27.[2]	sampātavantam /
1.7.27.[3]	vāsanaṃ kṛtvā tato badhnāti /
1.7.27.[4]	āplāvayati /
1.7.27.[5]	yānenābhiyāti akṣiṇī āṅkte /
1.7.27.[6]	yathā yat sampātyate tat sarvaṃ prāśya tato bandhanādi karoti //
1.7.28.[1]	samitpuroḍāśacaruvrīhiyavatilādīny abhyādheyāni /
1.7.28.[2]	yajamāno dhūmaṃ bhakṣayati karmasamāptau //
1.7.29.[1]	nityanaimittikakāmyāni karmāṇi snānaṃ kṛtvā prayuñjīta /
1.7.29.[2]	śaciḥ snātvety arthaḥ //
1.7.29.[3]	saptamī kaṇḍikā samāptā //
1.8.1.[1]	yeṣu niśākarmasu tantraṃ teṣvayaṃ dharmaḥ /
1.8.1.[2]	kecit 'snāto'hatavasanaḥ prayuṅkte' iti sarvārthāḥ paribhāṣā manyante /
1.8.1.[3]	yathā 'citrākarmaniśāyāṃ sambhārān sampātavataḥ karoti' /
1.8.1.[4]	samāptā niśākarmaparibhāṣāḥ //
1.8.1.[5]	atha svastyayanaparibhāṣā ucyante
1.8.2-4.[1]	'ye'syāṃ stha' iti sūktena pratidiśaṃ pratyṛcaṃ baliharaṇaṃ karoti /
1.8.2-4.[2]	'prācī dig' iti pratidiśamupatiṣṭhate /
1.8.2-4.[3]	yathā 'uttamena sārūpavatsasya rudrāya trir juhoti' /
1.8.2-4.[4]	tatra havirucchiṣṭena baliharaṇaṃ kuryāt /
1.8.2-4.[5]	samāptāḥ svastyayanaparibhāṣāḥ //
1.8.2-4.[6]	punaḥ sarvārthāḥ paribhāṣā ucyante
1.8.5.[1]	havirucchiṣṭam ājyadhāny udapātraṃ carma maṇḍapadarbhasamidhaḥ śāntyudakabhājanasruksruvādīni deyāni kartre /
1.8.5.[2]	sarvatra dhenur dakṣiṇājyatantre /
1.8.5.[3]	pākatantre pūrṇapātraṃ brahmaṇo dakṣiṇā /
1.8.5.[4]	yat kiñcit tantre praviśati tat sarvam adhikaraṇam ity ucyate //
1.8.5.[5]	nityeṣu nādhikaraṇam asti /
1.8.5.[6]	paradravyeṣu nādhikaraṇam asti /
1.8.5.[7]	yathā nāpitasya kṣaraḥ //
1.8.6.[1]	prokṣaṇācamanaparyukṣaṇādi triḥ kartavyam /
1.8.6.[2]	yathā 'ṛtaṃ tvā satyena pariṣiñcāmi iti saha havirbhiḥ paryukṣya' //
1.8.7.[1]	sūktānāmanantarapaṭhitānāṃ samānānāṃ samuccayaḥ /
1.8.7.[2]	yathā 'mā no vidan adārasṛt svastidā ' iti samuccayaḥ /
1.8.7.[3]	evamanyatrāpi //
1.8.8.[1]	sarvatra śāntikeṣu śāntaṃ sambhāraṃ darbhasamidādi /
1.8.8.[2]	abhicāre raudram āṅgirasaṃ sambhāram //
1.8.9.[1]	sruksruvasamitkāṣṭhādimaṇidravyakāṣṭhāni kartavyāni /
1.8.9.[2]	yat kiṃ ca dravyaṃ ca /
1.8.9.[3]	yathā 'kathaṃ mahe iti mādānakaśṛtaṃ kṣīraudanamaśnāti' /
1.8.9.[4]	'phālacamase sarūpavatsāyāḥ dugdhe' /
1.8.9.[5]	camaso'pi mādānaka eva /
1.8.9.[6]	'kathaṃ mahe' ityuttaramapyanena sūktena karma kuryāt //
1.8.10.[1]	mantradravyasaṃśaye sannidhānaṃ gṛhītavyam /
1.8.10.[2]	yathā lomāni hastiromāṇi yathā 'vidmā śarasya iti pramehaṇaṃ badhnāti' //
1.8.11.[1]	'pra yaccha parśum' iti mantreṇa darbhāhārāya dātraṃ prayacchati /
1.8.11.[2]	'oṣadhīrdāntu parvan' ityupari parvaṇāṃ lūtvā tūṣṇīmāhṛtyottarato'gnerupasādayati //
1.8.12.[1]	'arātīyoḥ' ityṛcolūkhalamusalakāṣṭham /
1.8.12.[2]	anyārthamindhanārtham /
1.8.12.[3]	kāṣṭhatakṣaṇaṃ karoti //
1.8.13.[1]	'yat tvā śikvaḥ' ityṛcā kāṣṭhāni prakṣālayati //
1.8.14.[1]	'yadyatkṛṣṇaḥ' ityṛcā vastreṇa vā hastena volūkhalādīni vimārṣṭi mārjanaṃ karoti pātrāṇām //
1.8.15.[1]	atha śāntavṛkṣā ucyate /
1.8.15.[2]	palāśaḥ prasiddhaḥ /
1.8.15.[3]	udumbaraḥ prasiddhaḥ /
1.8.15.[4]	jambuḥ prasiddhaḥ /
1.8.15.[5]	kāmpīlo mālavake prasiddhaḥ /
1.8.15.[6]	srak mālavake prasiddhaḥ /
1.8.15.[7]	vaṅghaḥ kanyakubje prasiddhaḥ /
1.8.15.[8]	śirīṣo bhojapure vāgāri tyavāṭikāyāṃ prasiddhaḥ /
1.8.15.[9]	sraktyastilakaḥ prasiddhaḥ /
1.8.15.[10]	varaṇo varaṇaka ityānandapure prasiddhaḥ /
1.8.15.[11]	bilvaḥ prasiddhaḥ /
1.8.15.[12]	jaṅgiḍo vārāṇasyāṃ prasiddhaḥ /
1.8.15.[13]	kuṭako mālavake prasiddhaḥ /
1.8.15.[14]	garhyo himavati prasiddhaḥ /
1.8.15.[15]	galāvalastatraiva prasiddhaḥ /
1.8.15.[16]	vetasaḥ prasiddhaḥ /
1.8.15.[17]	śimbalaḥ prasiddhaḥ /
1.8.15.[18]	sipunaḥ kevanikā /
1.8.15.[19]	syandano himavati narmadāyāmātharvaṇikasthāne prasiddhaḥ /
1.8.15.[20]	araṇikā narmadātaṭe prasiddhā /
1.8.15.[21]	aśmayokto'śmantako bhṛgukacche prasiddhaḥ /
1.8.15.[22]	tunyustaindukī /
1.8.15.[23]	pūtudārurdevadāruḥ /
1.8.15.[24]	devadāruś ca vaidyake prasiddhaḥ /
1.8.15.[25]	samāptāḥ śāntavṛkṣāḥ /
1.8.15.[26]	śāntikavṛkṣā ete /
1.8.15.[27]	sruk sruvaḥ samidho nekṣaṇaṃ darviḥ sāmidhenīḥ prādeśamātrīḥ samidho'gnihotrāvasathyāgniṣṭomādiyajñeṣv eteṣāṃ vṛkṣāṇāṃ pātrāṇi śāntikapauṣṭikādiṣu kartavyāni //
1.8.16.[1]	atha śāntauṣadhaya ucyante /
1.8.16.[2]	citiḥ prasiddhā /
1.8.16.[3]	prāyaścittiḥ parvaṇi parvaṇi tasyās trīṇi patrāṇi bhavanti /
1.8.16.[4]	śamī vāpīprasiddhā /
1.8.16.[5]	śamakānandapure viśvāmitrīvāpyāḥ samīpe 'sti /
1.8.16.[6]	savaṃśā śṛgālavaṃśakā gharmolikā /
1.8.16.[7]	śāmyavākā kākajaṅghāsadṛśā /
1.8.16.[8]	talāśā vallī /
1.8.16.[9]	palāśaḥ prasiddhaḥ /
1.8.16.[10]	vāśā vṛṣaka āṭarūṣakaḥ /
1.8.16.[11]	śiṃśapā prasiddhā /
1.8.16.[12]	śimbalaḥ prasiddhaḥ /
1.8.16.[13]	sipunaḥ karī /
1.8.16.[14]	darbhaḥ prasiddhaḥ /
1.8.16.[15]	apāmārgaḥ prasiddhaḥ /
1.8.16.[16]	ākṛtiloṣṭaḥ kṣetramṛttikā /
1.8.16.[17]	valmīkavapā prasiddhā /
1.8.16.[18]	dūrvā prasiddhā /
1.8.16.[19]	sā ca prāntayā grāhyā /
1.8.16.[20]	vrīhiyavau prasiddhau /
1.8.16.[21]	etāḥ sarvāḥ śāntā oṣadhayaḥ śāntyudakādau prayoktavyā /
1.8.16.[22]	etāsāṃ samuccayaḥ /
1.8.16.[23]	etāsām alābhe yavaḥ pratinidhiḥ kārya iti paiṭhīnasiḥ /
1.8.16.[24]	śāntauṣadhikalpaḥ samāptaḥ //
1.8.17.[1]	pramando gendukaḥ /
1.8.17.[2]	uśīraḥ prasiddhaḥ /
1.8.17.[3]	śalalī prasiddhā /
1.8.17.[4]	upadhānaṃ vidyāgandhukam /
1.8.17.[5]	śakadhūmo brāhmaṇaḥ /
1.8.17.[6]	ete jaranto jīrṇā grāhyāḥ /
1.8.17.[7]	yathā 'pramandālaṅkārān sampātavataḥ prayacchati' /
1.8.17.[8]	'uśīrāṇi bhinadmi iti mantroktam' /
1.8.17.[9]	'triḥ śalalyā māsaṃ prāśayati' /
1.8.17.[10]	'sopadhānam āstaraṇam' /
1.8.17.[11]	'śakadhūmaṃ kim adyāhar iti pṛcchati' /
1.8.17.[12]	etāny udāharaṇāni //
1.8.18.[1]	yatra sīsāni tatraitāni sarvāṇi pratyetavyāni /
1.8.18.[2]	sīsaṃ prasiddham /
1.8.18.[3]	nadīsīsaṃ nadīphenam /
1.8.18.[4]	ayorajo lohasaṅghātikā /
1.8.18.[5]	kṛkalāsaśiraḥ prasiddham /
1.8.18.[6]	sīsānāṃ samuccayaḥ /
1.8.18.[7]	yathā 'ye'māvāsyām iti sannahya sīsacūrṇāni bhakte'laṅkāre' udāharaṇam //
1.8.19.[1]	rasakarmaṇy ete rasāḥ pratyetavyāḥ samuccayena /
1.8.19.[2]	yathā 'rasakarmāṇi kurute' //
1.8.20.[1]	vrīhiyavagodhūmāḥ prasiddhāḥ /
1.8.20.[2]	upavāka indrayavaḥ /
1.8.20.[3]	tilaḥ prasiddhaḥ /
1.8.20.[4]	priyaṅgu kaṅguṇikā /
1.8.20.[5]	śyāmākaḥ prasiddhaḥ /
1.8.20.[6]	eteṣāṃ samuccayaḥ /
1.8.20.[7]	yatra maiśradhānyaśabdastatraite pratyetavyāḥ /
1.8.20.[8]	etāni sarvāṇi miśradhānyāni /
1.8.20.[9]	yathā 'maiśradhānyaṃ puroḍāśamanyāśāyāṃ vā nidadhāti' udāharaṇam //
1.8.21.[1]	grahaṇaṃ pratīkagrahaṇam /
1.8.21.[2]	grahaṇamanugrahaṇaṃ tāvadanuvartate yāvat pratīkagrahaṇaṃ dvitīyam /
1.8.21.[3]	yathā 'pūrvasya medhājananāni' ityādyanuvartate tāvadyāvad 'ahaṃ rudrebhiḥ' iti dvitīyamudāharaṇam /
1.8.21.[4]	'brāhmaṇo jajñe vāridam ' iti grahaṇaṃ bhavati /
1.8.21.[5]	agre 'bhūto bhūteṣu ' iti grahaṇāt 'vāridam' ityagrahaṇe'pi grahaṇaṃ bhavati //
1.8.22.[1]	anuṣaṅgo yathārthaṃ sarvatra kartavyaḥ /
1.8.22.[2]	yathā 'vidmā śarasya pitaraṃ parjanyaṃ śatavṛṣṇyam' iti vaidikam /
1.8.22.[3]	laukikamiti bhavati 'kṛtayāmaṃ kaṅkatamavasṛjāmi' iti /
1.8.22.[4]	tathā mīmāṃsāyāmapyanuṣaṅgo 'vākyaparisamāptiḥ sarveṣu tulyayogitvāt' /
1.8.22.[5]	anuṣaṅgaḥ punaruktam ity arthaḥ //
1.8.22.[6]	atha caturgaṇīmahāśāntigaṇāḥ paṭhyante
1.8.23.[1]	iti vāstoṣpatīyo gaṇaḥ /
1.8.23.[2]	sarvatra sūktena prayogo'tharvavede /
1.8.23.[3]	'sūktādi sūktaṃ pratīyāt' iti vacanāt /
1.8.23.[4]	yathā 'vāstoṣpatīyaiḥ kulijakṛṣṭe' //
1.8.24.[1]	yatra mātṛnāmāni tatraitāni pratyetavyāni /
1.8.24.[2]	sarvatra sūktaprayogaḥ yathā 'divyo gandharva iti mātṛnāmabhirjuhuyāt' //
1.8.25.[1]	etāni cātanāni pratyetavyāni /
1.8.25.[2]	sarvāṇi sūktāni /
1.8.25.[3]	'arāyakṣayaṇam' iti tisraḥ /
1.8.25.[4]	aṣṭamī kaṇḍikā //
1.9.1.[1]	sarvāṇi sūktāni pratyetavyāni /
1.9.1.[2]	yatra śāntigaṇas tatrāyaṃ gaṇaḥ pratyetavyaḥ /
1.9.1.[3]	śambhumayobhū 'āpo hi ṣṭhā' 'śaṃ no devī' krameṇa prayogaḥ /
1.9.1.[4]	tathā vyākaraṇe 'alpāctaram' iti pūrvanipātaḥ kṛtaḥ samāse /
1.9.1.[5]	'hiraṇyavarṇāḥ' 'nissālām' iti ṣaḍarcam /
1.9.1.[6]	'ye agnayaḥ' iti saptaḥ /
1.9.1.[7]	'brahma jajñānam' ity ekā /
1.9.1.[8]	'uta devāḥ' iti saptarcaṃ sūktam /
1.9.1.[9]	'agner manvaḥ' iti sapta mṛgārasūktāni gṛhītavyāni /
1.9.1.[10]	prathame dve uttamaṃ ca varjayitvā /
1.9.1.[11]	'śaṃ ca no mayaś ca naḥ' ity ekā /
1.9.1.[12]	'punar maitv indriyam' ity ekā /
1.9.1.[13]	'śivā naḥ' ity ekā /
1.9.1.[14]	'śaṃ no vāto vātu' ity ekā /
1.9.1.[15]	śeṣāṇi sūktāni /
1.9.1.[16]	anena śāntigaṇena śāntyudakaṃ kuryāt /
1.9.1.[17]	yatra śāntis tatraitāni sarvāṇi pratyetavyāni //
1.9.2.[1]	yatra śāntyudakaṃ kriyate tatra 'pṛthivyai śrotrāya' iti tribhir ṛgbhiḥ śāntyudakaṃ śāntyudakamadhye prakṣipet /
1.9.2.[2]	anenaiva kārayitā prokṣaṇācamanādīni pratyṛcaṃ karoti //
1.9.3.[1]	athavā'nena gaṇena śāntyudakaṃ karoti /
1.9.3.[2]	bṛhadgaṇena vā caturgaṇena vā śāntyudakaṃ karoti /
1.9.3.[3]	śantātīyam 'utaḥ devāḥ' iti /
1.9.3.[4]	śeṣāṇi pratīkāni kathitāni /
1.9.3.[5]	eṣa śantātīyo gaṇaḥ /
1.9.3.[6]	yatra śantātīyena prayojanaṃ tatrāyaṃ sarvatra prayoktavyaḥ /
1.9.3.[7]	yathā śantātīyena tilān juhoti //
1.9.4.[1]	yatra śāntyudakaṃ tatra sarvatra pratyāsekaḥ /
1.9.4.[2]	kārayitā prokṣaṇam āsecanam ācamanaṃ karoti //
1.9.5.[1]	iha śāntyudake sarveṣāṃ sūktānāṃ samuccayaḥ /
1.9.5.[2]	anyatra sarvatra yathoktena nyāyena vikalpaḥ /
1.9.5.[3]	iha punargaṇavikalpo na sūktavikalpaḥ //
1.9.6.[1]	ubhayataḥ śāntigaṇasya prārambhe samāptau ca /
1.9.6.[2]	śannodevī sāvitrī ca prayoktavyā /
1.9.6.[3]	samāptau sāvitrī paścāc channodevī karoti /
1.9.6.[4]	tathā ca bhāṣyaṃ sasāvitrīkasya gaṇasya ubhayataḥ śannodevī bhavati //
1.9.6.[5]	atha śāntyudakavidhānam ucyate
1.9.7.[1]	kartā ahatavasano bhūtvā kāṃsyapātre śāntyudakaṃ karoti //
1.9.8.[1]	'atisṛṣṭo apāṃ vṛṣabhaḥ' iti sūktenāpo'tisṛjyāvakaraṃ visarjayati /
1.9.8.[2]	'sarvā imā āpa oṣadhayaḥ' iti pṛṣṭvā /
1.9.8.[3]	kartā brahmāṇaṃ pṛcchati /
1.9.8.[4]	brahmā bravīti 'sarvāḥ' iti /
1.9.8.[5]	cityādibhiḥ sarvābhir auṣadhībhiḥ sarvābhir adbhir gaṅgādinadīsamudrādihradaprabhāsāditīrthebhya āhṛtābhir adbhi śāntyudakaṃ karoti /
1.9.8.[6]	kartā bravīti 'bṛhaspatiprasūtaḥ karavāṇi' iti /
1.9.8.[7]	tato brahmā bravīti 'savitṛprasūtaḥ kurutāṃ bhavān' /
1.9.8.[8]	anujñātaḥ śāntyudakaṃ karoti /
1.9.8.[9]	'śaṃ no devī' ity ṛcā sāvitryā cāmbayoyantigaṇena ca śāntyudakaṃ karoti /
1.9.8.[10]	laghugaṇena bṛhadgaṇena caturgaṇena vā /
1.9.8.[11]	tataḥ sāvitrīśannodevyau /
1.9.8.[12]	tataḥ 'pṛthivyai śrotrāya' iti triḥ pratyāsiñcati /
1.9.8.[13]	śāntyudake śāntyudakaṃ prakṣipati //
1.9.9.[1]	etac chāntyudakaṃ pūrvayā śāntigaṇena kurvīteti gārgyapārthaśravasabhāgalikāṅkāyanoparibabhravakauśikajāṭikāyanakaurupathayaḥ /
1.9.9.[2]	ete śāntyudakaṃ kurvanti //
1.9.10.[1]	ācāryo manyate /
1.9.10.[2]	sarve te kartāro 'vikalpaṃ manyante /
1.9.10.[3]	yatrodakena karma tatra sarvatra śāntyudakaṃ kuryāt /
1.9.10.[4]	ācamanaprokṣaṇāvasecanāplavanādīni sarvāṇi prayojanāni śāntyudakena kāryāṇi /
1.9.10.[5]	yatra paṭhitaṃ tatra kuryāt /
1.9.10.[6]	śāntyudakasya prayojanatritayaṃ kalpapañcake /
1.9.10.[7]	paṭhitaṃ sūtrakāraiś ca śrautasmārteṣu karmasu //
1.9.10.[8]	kārayituḥ prokṣaṇācamanadvitayaṃ sarvadaiva hi /
1.9.10.[9]	agnīnāṃ tu tathā kuryāt śraute smārte dvitīyakam //
1.9.10.[10]	prokṣaṇaṃ vāstuśālāyās tṛtīyaṃ parikīrtitam /
1.9.10.[11]	āplavanāvasecanāni sarvāṇi paṭhitāni ca //
1.9.10.[12]	śāntyudakena kurvīta prayojanair vinā sadā /
1.9.10.[13]	kalpasūtrair na dṛṣṭaṃ yat tadayuktaṃ kadācana //
1.9.10.[14]	yatra punaḥ paṭhitam udakena prayojanaṃ tatra sarvatra karmamadhye kevalaṃ vā kuryāt śāntyartham /
1.9.10.[15]	yatra śāntyudakaṃ tatra kārayitur nityamācamanaṃ prokṣaṇaṃ ca bhavati /
1.9.10.[16]	vāstuprokṣaṇaṃ ca /
1.9.10.[17]	samāptaṃ śāntyudakaṃ karma /
1.9.10.[18]	paribhāṣā samāptā //
1.9.10.[19]	navamī kaṇḍikā //
1.9.10.[20]	tatra bhadraślokaḥ /
1.9.10.[21]	pramāṇaṃ pārvaṇe caiva prakṛtitvāt parīkṣite /
1.9.10.[22]	paribhāṣā ca sarvārthā prathame saṃhitāvidhau //
2.1.1.[1]	medhājananavidhiṃ vakṣyāmaḥ //
2.1.2.[1]	ājyatantramabhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena śukajihvāṃ sampātyābhimantrya puṇyāhānte badhnāti medhākāmaḥ /
2.1.2.[2]	abhyātānādyuttaratantram /
2.1.2.[3]	athavā'bhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena sārijihvāṃ sampātyābhimantrya puṇyāhānte badhnāti medhākāmaḥ /
2.1.2.[4]	abhyātānādyuttaratantram /
2.1.2.[5]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena kṛśajihvāṃ sampātyābhimantrya badhnāti /
2.1.2.[6]	abhyātānādyuttaratantram /
2.1.2.[7]	pratikarma medhākāmo'nuvartate brahmacārisāmpadebhyaḥ karmabhyo yāvat /
2.1.2.[8]	sarvatra karmaṇāṃ vikalpaḥ //
2.1.3.[1]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena śukajihvāṃ sampātyābhimantrya prāśayati /
2.1.3.[2]	tata uttaratantram /
2.1.3.[3]	medhākāmaḥ /
2.1.3.[4]	punastantraṃ kṛtvā 'ye triṣaptāḥ' iti sūktena sārijihvāṃ sampātyābhimantrya prāśayati /
2.1.3.[5]	abhyātānādyuttaratantram /
2.1.3.[6]	medhākāmaḥ /
2.1.3.[7]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena kṛśajihvāṃ sampātyābhimantrya prāśayati /
2.1.3.[8]	śukaḥ prasiddhaḥ /
2.1.3.[9]	sāri saraṇṭikā prasiddhā /
2.1.3.[10]	kṛśo bhāradvājaḥ /
2.1.3.[11]	tata uttaratantram //
2.1.4.[1]	'ye triṣaptāḥ' iti sūktena audumbarasamidha ādadhāti /
2.1.4.[2]	hastahomatvāt tantravikalpaḥ /
2.1.4.[3]	'ye triṣaptāḥ' iti sūktena palāśasamidha ādadhāti /
2.1.4.[4]	tantravikalpaḥ /
2.1.4.[5]	'ye triṣaptāḥ' iti sūktena karkandhūsamidha ādadhāti /
2.1.4.[6]	karkandhū bṛhadbadarī /
2.1.4.[7]	tantravikalpaḥ //
2.1.5.[1]	'ye triṣaptāḥ' iti sūktena vrīhīn āvapati /
2.1.5.[2]	'ye triṣaptāḥ' iti sūktena yavān āvapati /
2.1.5.[3]	'ye triṣaptāḥ' iti sūktena tilānāvapati //
2.1.6.[1]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena kṣīraudanaṃ sampātyābhimantrya bhakṣayati /
2.1.6.[2]	uttaratantram /
2.1.6.[3]	tantraṃ kṛtvā 'ye triṣaptāḥ' iti sūktena puroḍāśaṃ sampātyābhimantrya bhakṣayati /
2.1.6.[4]	uttaratantram /
2.1.6.[5]	abhyātānānte 'ye triṣaptāḥ' iti sūktena rasān sampātyābhimantrya bhakṣayati /
2.1.6.[6]	uttaratantram /
2.1.6.[7]	rasaprāśanaṃ sarvatra 'tve kratum' ityṛcā kartavyam //
2.1.7.[1]	'ye triṣaptāḥ' iti sūktenopanayanānantaraṃ dvādaśarātramapakvaṃ pakvaṃ vā pratyahaṃ bahubhaikṣyamekatra kṛtvābhimantryopādhyāyāya dadāti //
2.1.8.[1]	'ye triṣaptāḥ' iti sūktena suptasyopādhyāyasya karṇamanumantrayate brahmacārī /
2.1.8.[2]	brahmacāriṇaḥ karṇaṃ vā bālasya karṇaṃ vā pitā vābhimantraṇaṃ kuryāt //
2.1.9.[1]	'ye triṣaptāḥ' iti sūktaṃ yadā yadopādhyāyagṛhaṃ yāti tadā tadā japati brahmacārī //
2.1.10.[1]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena dhānāḥ sarpirmiśrāḥ sarvā juhoti pratyṛcam /
2.1.10.[2]	uttaratantram //
2.1.11.[1]	abhyātānāntaṃ kṛtvā 'ye triṣaptāḥ' iti sūktena tilamiśrā hutvā tataḥ prāśnāti /
2.1.11.[2]	abhyātānādyuttaratantram //
2.1.12-15.[1]	sthaṇḍile'gniṃ kṛtvā purastādagneḥ kalmāṣaṃ daṇḍaṃ nihatya paścādagneḥ kṛṣṇājine dhānāḥ kṛtvā 'ye triṣaptāḥ' iti sūktenānumantrya daṇḍadhānājinaṃ dadātyupādhyāyāya /
2.1.12-15.[2]	abhyātānāntaṃ kṛtvā purastādagneḥ kalmāṣaṃ daṇḍaṃ nihatya paścādagneḥ kṛṣṇājine dhānāḥ kṛtvā 'ye triṣaptāḥ' iti sūktena sakṛjjuhoti daṇḍadhānājinaṃ dadāti /
2.1.12-15.[3]	tata uttaratantram //
2.1.12-15.[4]	jātakarmocyate
2.1.16.[1]	karmavikalpaḥ /
2.1.16.[2]	'ahaṃ rudrebhiḥ' iti sūktena śuklapuṣpaharitapuṣpe piṣṭvābhimantrya hiraṇyaśakalena prāśayati prāk stanagrahaṇāt /
2.1.16.[3]	iti jātakarma /
2.1.16.[4]	śuklapuṣpaharitapuṣpe iti /
2.1.16.[5]	śaṅkhapuṣpikāndhapuṣpiketi prasiddhe /
2.1.16.[6]	'ahaṃ rudrebhiḥ' iti sūktena śaṅkhanābhiṃ pippalīṃ ca piṣṭvābhimantrya prāśayati jātarūpaśakalena prāk stanagrahaṇāt /
2.1.16.[7]	iti jātakarma //
2.1.17.[1]	abhyātānāntaṃ kṛtvā 'ahaṃ rudrebhiḥ' iti sūktena māṇavakaṃ māturutsaṅge kṛtvā tāluni sampātānānayati /
2.1.17.[2]	samyagvacanakāmo medhākāmaśca /
2.1.17.[3]	prathamapravadasya /
2.1.17.[4]	abhyātānādyuttaratantram //
2.1.18.[1]	abhyātānāntaṃ kṛtvā 'ahaṃ rudrebhiḥ' iti sūktena dadhimadhunī ekatrāsādya sampātyābhimantryāśayati /
2.1.18.[2]	abhyātānādyuttaratantram //
