#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
3.16.3	agnim iddhvā dūrvābhiḥ saṃstīrya bhojanasthāneṣu ca pavitre kṛtvā pātre nidhāyotpūya yavān nidhāya praṇītāvad upacāraṃ haviṣyaṃ ca dadhyodanaṃ cāsādya nāndīmukhāḥ pitaraḥ priyantām ity apāṃ pratigrahaṇaṃ visarjanaṃ ca
3.16.4	paścād evaṃ viśvebhyo devebhyo nāndīmukhebhyaḥ pitṛbhyaḥ svāheti hutvopastīrya sarvaṃ dvir dvir avadyati
3.16.5	abhighārya vaiṣṇavyarcopasparśayitvācānteṣu pūrṇapātraṃ dattvā gomayenopalipya dadhyodanaśeṣaṃ yavodakenāvokṣya nyupya paścāt pariṣecanam
3.16.6	sampannam iti pṛṣṭveḍā devahūr ity anuvākaśeṣaṃ japet
3.16.7	brāhmaṇān bhojayitvāśiṣo vācayati
3.17.1	saṃvatsare sapiṇḍīkaraṇam ekādaśe māsi ṣaṣṭhe caturthe dvādaśe 'hani
3.17.2	yadi puṇyāhakāla upavyāvarteta pitṝṇām āvāhanam
3.17.3	savyasya pāṇer aṅguṣṭhenopamadhyamayā cāṅgulyālabhya pṛthivīṃ japet / ye pārthivāsaḥ pitaro ye antarikṣe ye divi ye vāmṛtā babhūvuḥ / te 'smin yajñe 'mṛtā mādayantām iti
3.17.4	catvāri pātrāṇi satilagandhodakena pūrayitvaikaṃ pretasya trīṇi pitṝṇām ekaṃ vā pitṝṇāṃ pretapātraṃ pitṛpātreṣv āsiñcati ye samānā ye sajātā iti dvābhyām
3.17.5	asau pitṛbhiḥ pitāmahebhiḥ prapitāmahebhiḥ sahaitat te tilodakaṃ tasmai te svadhā nama iti tilodakapradānam
3.17.6	agnaukaraṇam anudeśanīyaṃ ca yathārtham ūhed āsecane
3.17.7	sapiṇḍī vyākhyātā
3.17.8	yathāśraddhaṃ dakṣiṇā bhavanti
3.17.9	ata ūrdhvaṃ māsiśrāddhena
3.18.1	atha gṛhyaprāyaścittāni
3.18.2	yāni smaryante tāni vakṣyāmaḥ
3.18.3	śeṣāṇi vaitānikāni syuḥ
3.18.4	homadevatāyāḥ samāmnānāt phalaśruteś ca
3.18.5	yā evāgnihotre devatās tā aupāsane ya evāhitāgner dharmaḥ sa eva dharmo ya evāhitāgner lokaḥ sa evaupāsanikasyeti śāṭyāyanibrāhmaṇaṃ bhavati
3.18.6	tatra ye puroḍāśāsta iha caravaḥ
3.18.7	payodadhipṛṣadājyānām ājyavat saṃskāraḥ
3.18.8	na dadhno 'dhiśrayaṇam
3.18.9	pratyasane pariṣecanam adbhiḥ
3.18.10	raudrarākṣasanairṛtapaitṛkachedanabhedanakhanananirasanāvaghrāṇātmābhimarśanāni ca kṛtvāpa upaspṛśet
3.18.11	sarvatra skanne bhinne kṣāme dagdhe viparyāse 'ntarite ca dve mindāhutī juhoti yan ma ātmano mindābhūt punar agniś cakṣur adād iti dvābhyām
3.18.12	atha skanne saṃ tvā siñcāmīti skannam abhimantryonnambhaya pṛthivīm ity apo 'bhyavahṛtya bhūr ity upasthāyāskān dyauḥ pṛthivīm ity āhutiṃ juhoti
3.18.13	athājyaṃ ced devāñ janam agan yajña iti cānumantraṇaṃ kiṃcic ca dadyāt
3.18.14	bhinne bhūmir bhūmim agād iti bhinnam abhimantryonnambhaya pṛthivīm ity apo 'bhyavahṛtya trayastriṃśat tantava ity etayā juhuyāt
3.18.15	agnau prakṣepaṇaṃ dārumaye
3.18.16	atha kṣāme nirṛtyai tveti vidagdham abhimantrya tvaṃ parācī tvam avācī tvaṃ rakṣāṃsi gaccheti dakṣiṇāparam uttarāparaṃ vā diśaṃ taṃ prati nirasyati
3.18.17	agnī rakṣāṃsi sedhatīti tisra ājyāhutīr juhuyāt
3.19.1	ahaviṣya āgamanam anyasya
3.19.2	ekadeśaś ced uddhṛtyaitat kṛtvaitayā juhuyāt
3.19.3	etenāśṛtaduḥśṛte vyākhyāte
3.19.4	apo 'bhyavaharet
3.19.5	yatra kva cendhanam agnāv ādadhyāt svāhākāreṇādadhātīti vijñāyate
3.19.6	rudrāya tvety aśṛtam abhimantrya yamāya tveti duḥśṛtam
3.19.7	atha paristaraṇadāhe 'gnaye kṣāmavate namo namaḥ kṣāmavān mā mā hiṃsīn mā me gṛhaṃ mā me dhanaṃ mā me prajāṃ mā me paśūn ity abhimantryāgnaye kṣāmavate namo nama ity āhutiṃ juhuyāt
3.19.8	indraṃ vo viśvataḥ parīti punaḥ paristīryendrāya svāhety āhutiṃ juhuyāt
3.19.9	atha paridhidāhe pradāvyāyāgnaye namo namaḥ pradāvyāyeti
3.19.10	samānamata ūrdhvam
3.19.11	agneḥ samid asīti paścārdhaṃ yamasya samid asīti dakṣiṇārdhaṃ somasya samid asīty uttarārdham
3.19.12	indhānās tvā śataṃ himā ity āhutiṃ juhuyāt
3.19.13	duṣṭe 'nyaṃ paridadhyād gandharvo 'sīti pratimantram
3.19.14	atha viparyāse tvaṃ no agne sa tvaṃ no agne tvam agne ayāsi prajāpata iti catasra āhutīr juhuyāt
3.19.15	etā evāntarite mano jyotir juṣatām iti pañcamīm
3.19.16	antaritaṃ ca kuryāt saṃsthite cej jānīyāt kiṃcic ca dadyāt
3.20.1	uttarasmin kāla āgate homaś ceti nivṛttaḥ pūrvasya seyaṃ kālātipattiḥ
3.20.2	tasyāṃ prāyaścittaṃ mano jyotir iti pūrvasya hutvāparasya juhuyāt
3.20.3	evaṃ pratihomam ā daśarātrāt
3.20.4	prāṇāyāmaś caikādaśīprabhṛty ā viṃśatirātrāt
3.20.5	upavāsaś cā triṃśadrātrāt
3.20.6	ata ūrdhvam ā ṣaṣṭirātrāt tisro rātrīr upavaset
3.20.7	ata ūrdhvaṃ prājāpatyaṃ vihitam
3.20.8	ekādaśīprabhṛti tisraś ca tantumatīs tantuṃ tanvann udbudhyasvāgne trayastriṃśat tantava iti
3.20.9	uktam anugata ity api vāyāś cāgne 'sīti juhuyād ā trirātrāt
3.20.10	mano jyotir ity ā saptarātrāt
3.20.11	ata ūrdhvam ā dvādaśarātrāt tisro rātrīr upavaset
3.20.12	ata ūrdhvaṃ prājāpatyaṃ vihitam
3.20.13	ekādaśīprabhṛti tisraś ca tantumatīḥ
3.20.14	uktaṃ dvādaśāhaṃ vicchinna ity ekādaśīprabhṛty upavāsaḥ pūrvavat
3.21.1	atha parvaṇy atīte mano jyotir ayāś cāgne yad asminn agne svasti na indra iti catasra ājyāhutīr hutvā sthālīpākaṃ ca kuryāt prāg aṣṭamyāḥ
3.21.2	ata ūrdhvaṃ sopavāsaḥ kāryo dvayor dvau triṣu traya iti
3.21.3	evaṃ naimittikeṣv atīteṣu prāyaścittam
3.21.4	pārvaṇavaddhomaḥ
3.21.5	pitṛyajñe 'tīte pakṣātyaye sopavāsaḥ kārya iti siddham
3.21.6	nityeṣu caivam eva syāt
3.21.7	atha mahāyajñānām
3.21.8	mano jyotir iti dvayos trayāṇāṃ caturṇāṃ pañcānāṃ vā
3.21.9	ṣaṣṭhaprabhṛti tisras tantumatīr hutvā catasro vāruṇīr japed imaṃ me varuṇa tat tvā yāmi yac ciddhi te yat kiṃ cety ā navarātrāt
3.21.10	ata ūrdhvam ā daśarātrāc catasro 'bhyāvartinīr hutvā kāryas tāntumataś caruḥ
3.21.11	snātakasyāpi homavichittāv uktam
3.21.12	prāpte prājāpatye tasya vichittis tasya tu punarādheyam
3.21.13	mano jyotis tantumatīḥ punas tvādityā rudrā iti ca pūrṇāhutiṃ pratīyāt
3.21.14	etām agnyupaghāteṣu sarvatra striyāś caivaṃ homābhigamanasthālīpākeṣu
3.21.15	sarveṣām antato vyāhṛtīr iti siddham
3.21.16	nama ācāryebhyo nama ācāryebhyaḥ
