#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
2.4.11	caturaṅgulaṃ tṛṇaṃ rajoharaṇabindunā abhiścotyopamathya
2.4.12	śuni kilāsam aje palitaṃ tṛṇe jvaro yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tasmin rājayakṣma iti dakṣiṇā tṛṇaṃ nirasyati gandhapravādābhir alaṃkurute
2.5.1	pūrvasya hastitrasanāni
2.5.2	rathacakreṇa saṃpātavatā pratipravartayati
2.5.3	yānenābhiyāti
2.5.4	vāditraiḥ
2.5.5	dṛtivastyor opya śarkarāḥ
2.5.6	tottreṇa nagnapracchannaḥ
2.5.7	vidmā śarasya mā no vidan adārasṛd svastidā ava manyur nirhastaḥ pari vartmāny abhibhūr indro jayāti abhi tvendra iti sāṃgrāmikāni
2.5.8	ājyasaktūñ juhoti
2.5.9	dhanuridhme dhanuḥ samidham ādadhāti
2.5.10	evam iṣvidhme
2.5.11	dhanuḥ saṃpātavad vimṛjya prayacchati
2.5.12	prathamasyeṣuparyayaṇāni
2.5.13	drughnyārtnījyāpāśatṛṇamūlāni badhnāti
2.5.14	āre asāv ity apanodanāni
2.5.15	phalīkaraṇatuṣabusāvatakṣaṇāny āvapati
2.5.16	anvāha
2.5.17	agnir naḥ śatrūn agnir no dūtaḥ iti mohanāni
2.5.18	odanenopayamya phalīkaraṇān ulūkhalena juhoti
2.5.19	evam aṇūn
2.5.20	ekaviṃśatyā śarkarābhiḥ pratiniṣpunāti
2.5.21	apvāṃ yajate
2.5.22	saṃśitam iti śitipadīṃ saṃpātavatīm avasṛjati
2.5.23	udvṛdhatsu yojayet
2.5.24	imam indra iti yuktayoḥ pradānāntāni
2.5.25	digyuktābhyāṃ namo devavadhebhyo iti upatiṣṭhate
2.5.26	tvayā manyo yas te manyo iti saṃrambhaṇāni
2.5.27	sene samīkṣamāṇo japati
2.5.28	bhāṅgamauñjān pāśān iṅgiḍālaṃkṛtān saṃpātavato 'nūktān senākrameṣu vapati
2.5.29	evam āmapātrāṇi
2.5.30	iṅgiḍena saṃprokṣya tṛṇāny āṅgirasenāgninā dīpayati
2.5.31	yāṃ dhūmo 'vatanoti tāṃ jayanti
2.6.1	ṛdhaṅ mantras tad id āsa ity āśvatthyāṃ pātryāṃ trivṛti gomayaparicaye hastipṛṣṭhe puruṣaśirasi vāmitrāñ juhvad abhiprakramya nivapati
2.6.2	varāhavihatād rājāno vediṃ kurvanti
2.6.3	tasyāṃ pradānāntāni
2.6.4	ekeṣvā hatasyādahana upasamādhāya dīrghadaṇḍeṇa sruveṇa rathacakrasya khena samayā juhoti
2.6.5	yojanīyaṃ śrutvā yojayet
2.6.6	yadi cin nu tvā namo devavadhebhyo ity anvāha
2.6.7	vaiśyāya pradānāntāni
2.6.8	tvayā vayam iti āyudhigrāmaṇye
2.6.9	ni tad dadhiṣa iti rājñodapātraṃ dvau dvāvavekṣayet
2.6.10	yaṃ na paśyen na yudhyeta
2.6.11	ni tad dadhiṣe vanaspate ayā viṣṭhā agna indraś diśaś catasro iti navaṃ rathaṃ rājānaṃ sasārathim āsthāpayati
2.6.12	brahma jajñānam iti jīvitavijñānam
2.6.13	tisraḥ snāvarajjūr aṅgāreṣvavadhāya
2.6.14	utkucatīṣu kalyāṇam
2.6.15	sāṃgrāmikam etā vyādiśati madhye mṛtyur itare sene
2.6.16	parājeṣyamāṇān mṛtyur ativartate jyeṣyanto mṛtyum
2.6.17	agreṣūtkucatsu mukhyā hanyante madhyeṣu madhyā anteṣvavare
2.6.18	evam iṣīkāḥ
2.7.1	uccair ghoṣo upa śvāsaya iti sarvavāditrāṇi prakṣālya tagarośīreṇa saṃdhāvya saṃpātavanti trir āhatya prayacchati
2.7.2	vihṛdayam ity uccaistarāṃ hutvā sruvam udvartayan
2.7.3	somāṃśuṃ hariṇacarmaṇyutsīvya kṣatriyāya badhnāti
2.7.4	pari vartmāni indro jayāti iti rājā triḥ senāṃ pariyāti
2.7.5	uktaḥ pūrvasya somāṃśuḥ
2.7.6	saṃdānaṃ vo ādānena iti pāśair ādānasaṃdānāni
2.7.7	marmāṇi te iti kṣatriyaṃ saṃnāhayati
2.7.8	abhayānām apyayaḥ
2.7.9	indro manthatu iti
2.7.10	pūtirajjur iti pūtirajjum avadhāya
2.7.11	aśvatthabadhakayor agniṃ manthati
2.7.12	dhūmam iti dhūmam anumantrayate
2.7.13	agnim ityagnim
2.7.14	tasminn araṇye sapatnakṣayaṇīr ādadhāty aśvatthabadhakatājadbhaṅgāhvakhadiraśarāṇām
2.7.15	uktāḥ pāśāḥ
2.7.16	āśvatthāni kūṭāni bhāṅgāni jālāni
2.7.17	bādhakadaṇḍāni
2.7.18	svāhaibhyo iti mitrebhyo juhoti
2.7.19	durāhāmībhya iti savyeneṅgiḍam amitrebhyo bādhake
2.7.20	uttarato 'gner lohitāśvatthasya śākhāṃ nihatya nīlalohitābhyāṃ sūtrābhyāṃ paritatya nīlalohitenāmūn iti dakṣiṇā prahāpayati
2.7.21	ye bāhav ut tiṣṭhata iti yathāliṅgaṃ sampreṣyati
2.7.22	homārthe pṛṣadājyam
2.7.23	pradānāntāni vāpyāni
2.7.24	vāpyais triṣandhīni vajrarūpāṇyarbudirūpāṇi
2.7.25	śitipadīṃ saṃpātavatīṃ darbharajjvā kṣatriyāyopasaṅgadaṇḍe badhnāti
2.7.26	dvitīyām asyati
2.7.27	asmin vasu iti rāṣṭrāvagamanam
2.7.28	ānuśūkānāṃ vrīhīṇām āvraskajaiḥ kāmpīlaiḥ śṛtaṃ sārūpavatsam āśayati
2.7.29	abhīvartena iti rathanemimaṇim ayaḥsīsaloharajatatāmraveṣṭitaṃ hemanābhiṃ vāsitaṃ baddhvā sūtrotaṃ barhiṣi kṛtvā saṃpātavantaṃ pratyṛcaṃ bhṛṣṭīr abhīvartottamābhyām ācṛtati
2.7.30	acikradat ā tvā gan iti yasmād rāṣṭrād avaruddhas tasyāśāyāṃ śayanavidhaṃ puroḍāśaṃ darbheṣūdake ninayati
2.7.31	tato loṣṭena jyotir āyatanaṃ saṃstīrya kṣīraudanam aśnāti
2.7.32	yato loṣṭas tataḥ saṃbhārāḥ
2.7.33	tisṛṇāṃ prātaraśite puroḍāśe hvayante
2.8.1	bhūto bhūteṣu iti rājānam abhiṣekṣyan mahānade śāntyudakaṃ karoty ādiṣṭānām
2.8.2	sthālīpākaṃ śrapayitvā dakṣiṇataḥ parigṛhyāyā darbheṣu tiṣṭhantam abhiṣiñcati
2.8.3	talpārṣabhaṃ carmārohayati
2.8.4	udapātraṃ samāsiñcete
2.8.5	viparidadhāne
2.8.6	sahaiva nau sukṛtaṃ saha duṣkṛtam iti brahmā brūyāt
2.8.7	yo duṣkṛtaṃ karavat tasya duṣkṛtaṃ sukṛtaṃ nau saheti
2.8.8	āśayati
2.8.9	aśvam ārohyāparājitāṃ pratipādayati
2.8.10	sahasraṃ grāmavaro dakṣiṇā
2.8.11	viparidhānāntam ekarājena vyākhyātam
2.8.12	talpe darbheṣv abhiśiñcati
2.8.13	varṣīyasi vaiyāghraṃ carmārohayati
2.8.14	catvāro rājaputrās tālpāḥ pṛthakpādeṣu śayanaṃ parāmṛśya sabhāṃ prāpayanti
2.8.15	dāsaḥ pādau prakṣālayati
2.8.16	mahāśūdra upasiñcati
2.8.17	kṛtasampannān akṣān ā tṛtīyaṃ vicinoti
2.8.18	vaiśyaḥ sarvasvajainam upatiṣṭhata utsṛjāyuṣmann iti
2.8.19	utsṛjāmi brāhmaṇāyotsṛjāmi kṣatriyāyotsṛjāmi vaiśyāya dharmo me janapade caryatām iti
2.8.20	pratipadyate
2.8.21	āśayati
2.8.22	aśvam ārohyāparājitāṃ pratipādayati
2.8.23	sabhām udāyāti
2.8.24	madhumiśraṃ brāhmaṇān bhojayati
2.8.25	rasān āśayati
2.8.26	māhiṣāṇy upayāti
2.8.27	kuryur gām iti gārgyapārthaśravasau neti bhāgaliḥ
2.8.28	imam indra vardhaya kṣatriyaṃ me iti kṣatriyaṃ prātaḥ prātar abhimantrayate
2.8.29	uktaṃ samāsecanaṃ viparidhānam
2.8.30	savitā prasavānām iti paurohitye vatsyan vaiśvalopīḥ samidha ādhāya
2.8.31	indra kṣatram iti kṣatriyam upanayīta
2.8.32	tad āhur na kṣatriyaṃ sāvitrīṃ vācayed iti
2.8.33	kathaṃ nu tam upanayīta yan na vācayet
2.8.34	vācayed eva vācayed eva
3.1.1	pūrvasya pūrvasyāṃ paurṇamāsyām astamita udakānte kṛṣṇacailaparihito nirṛtikarmāṇi prayuṅkte
3.1.2	nāvyāyā dakṣiṇāvarte śāpeṭaṃ nikhanet
3.1.3	apāṃ sūktair avasiñcati
3.1.4	apsu kṛṣṇaṃ jahāti
3.1.5	ahatavasana upamucyopānahau jīvaghātyāyā udāvrajati
3.1.6	proṣya tām uttarasyāṃ sāṃpadaṃ kurute
3.1.7	śāpeṭam ālipyāpsu nibadhya tasminn upasamādhāya saṃpātavantaṃ karoti
3.1.8	aśnāti
3.1.9	ādhāya kṛṣṇaṃ pravāhayati
3.1.10	upamucya jaradupānahau savyena jaracchattraṃ dakṣiṇena śālātṛṇāṇy ādīpya jīrṇaṃ vīriṇam abhinyasyati
3.1.11	anāvṛtam āvṛtya sakṛj juhoti
3.1.12	savyaṃ praharaty upānahau ca
3.1.13	jīrṇe vīriṇa upasamādhāya ayaṃ te yonir iti jaratkoṣṭhād vrīhīñ śarkarāmiśrān āvapati
3.1.14	ā no bhara iti dhānāḥ
3.1.15	yuktābhyāṃ saha koṣṭhābhyāṃ tṛtīyām
3.1.16	kṛṣṇaśakuneḥ savyajaṅghāyām aṅkam anubadhyāṅke puroḍāśaṃ pra patetaḥ iti anāvṛtaṃ prapādayati
3.1.17	nīlaṃ saṃdhāya lohitam ācchādya śuklaṃ pariṇahya dvitīyayoṣṇīṣam aṅkenopasādya savyena sahāṅkenāvāṅ apsvapavidhyati
3.1.18	tṛtīyayā channaṃ caturthyā saṃvītam
3.1.19	pūrvasya citrākarma
3.1.20	kulāyaśṛtaṃ haritabarhiṣam aśnāti
3.1.21	anvaktāḥ prādeśamātrīr ādadhāti
3.1.22	nāvyayoḥ sāṃvaidye paścād agner bhūmiparilekhe kīlālaṃ mukhenāśnāti
3.1.23	tejovrataṃ trirātram aśnāti
3.1.24	tadbhakṣaḥ
3.1.25	śaṃbhumayobhubhyāṃ brahma jajñānam asya vāmasya yo rohito ud asya ketavo mūrdhāhaṃ viṣāsahim iti salilaiḥ kṣīraudanam aśnāti
3.1.26	manthāntāni
3.1.27	dvitīyena pravatsyan haviṣām upadadhīta
3.1.28	atha pratyetya
3.1.29	atha pratyetya
3.1.30	atha prārthayamāṇaḥ
3.1.31	atha prārthayamāṇaḥ
3.1.32	catvāro dhāyāḥ palāśayaṣṭīnāṃ bhavanti
3.1.33	darbhāṇām upolavānāṃ catvāraḥ
3.1.34	taṃ vyatiṣaktam aṣṭāvaram idhmaṃ sāttrike 'gnāvādhāyājyenābhijuhuyāt
3.1.35	dhūmaṃ niyaccheta
3.1.36	lepaṃ prāśnīyāt
3.1.37	tam u cen na vinded atha sattrasyāyatane yajñāyatanam iva kṛtvā
3.1.38	samudra ity ācakṣate karma
3.2.1	ambayo yanti śaṃbhumayobhubhyāṃ brahma jajñānam ā gāvo ekā ca me iti gā lavaṇaṃ pāyayaty upatāpinīḥ
3.2.2	prajananakāmāḥ
3.2.3	prapām avaruṇaddhi
3.2.4	saṃ saṃ sravantu iti nāvyābhyām udakam āharataḥ sarvata upāsecam
3.2.5	tasmin maiśradhānyaṃ śṛtam aśnāti
3.2.6	manthaṃ vā dadhimadhumiśram
3.2.7	yasya śriyaṃ kāmayate tato vrīhyājyapaya āhārya kṣīraudanam aśnāti
3.2.8	tadalābhe haritagomayam āhārya śoṣayitvā trivṛti gomayaparicaye śṛtam aśnāti
3.2.9	śerabhaka iti sāmudram apsu karma vyākhyātam
3.2.10	anapahatadhānā lohitājāyā drapsena saṃnīyāśnāti
3.2.11	etāvad upaiti
3.2.12	tṛṇānāṃ granthīn udgrathnann apakrāmati
3.2.13	tān udāvrajann udapātrasyodapātreṇābhiplāvayati mukhaṃ vimārṣṭi
3.2.14	eha yantu paśavo saṃ vo goṣṭhena prajāvatīḥ prajāpatir iti goṣṭhakarmāṇi
3.2.15	gṛṣṭeḥ pīyūṣaṃ śleṣmamiśram aśnāti
3.2.16	gāṃ dadāti
3.2.17	udapātraṃ ninayati
3.2.18	samūhya savyenādhiṣṭhāyārdhaṃ dakṣiṇena vikṣipati
3.2.19	sārūpavatse śakṛtpiṇḍān guggululavaṇe pratinīya paścād agner nikhanati
3.2.20	tisṛṇāṃ prātar aśnāti
3.2.21	vikṛte sampannam
3.2.22	āyam agan ayaṃ pratisaro ayaṃ me varaṇo arātīyor iti mantroktān vāsitān badhnāti
3.2.23	uttamasya caturo jātarūpaśakalenānusūtraṃ gamayitvāvabhujya traidhaṃ paryasyati
3.2.24	etam idhmam ity upasamādhāya
3.2.25	tam imaṃ devatā iti vāsitam ullupya brahmaṇā tejasā iti badhnāti
3.2.26	uttamo asi iti mantroktam
3.2.27	akṣitās ta iti yavamaṇim
3.2.28	prathamā ha vyuvāsa sā ity aṣṭakyāyā vapāṃ sarveṇa sūktena trir juhoti
3.2.29	samavattānāṃ sthālīpākasya
3.2.30	sahahutān ājyamiśrān hutvā paścād agner vāgyataḥ saṃviśati
3.2.31	mahābhūtānāṃ kīrtayan saṃjihīte
3.3.1	sīrā yuñjanti iti yugalāṅgalaṃ pratanoti
3.3.2	dakṣiṇam uṣṭāraṃ prathamaṃ yunakti
3.3.3	ehi pūrṇaka ity uttaram
3.3.4	kīnāśā itarān
3.3.5	aśvinā phālaṃ kalpayatām upāvatu bṛhaspatir yathāsad bahudhānyam ayakṣmaṃ bahupūruṣam iti phālam atikarṣati
3.3.6	irāvān asi dhārtarāṣṭre tava me sattre rādhyatām iti pratimimīte
3.3.7	apahatāḥ pratiṣṭhāḥ ity apūpaiḥ pratihatya kṛṣati
3.3.8	sūktasya pāraṃ gatvā prayacchati
3.3.9	tisraḥ sītāḥ prācīr gamayanti kalyāṇīr vāco vadantaḥ
3.3.10	sīte vandāmahe tvā ity āvartayitvottarasmin sītānte puroḍāśenendraṃ yajate
3.3.11	aśvinau sthālīpākena
3.3.12	sītāyāṃ saṃpātān ānayanti
3.3.13	udapātra uttarān
3.3.14	śaṣpahaviṣām avadhāya
3.3.15	sarvam anakti
3.3.16	yatra saṃpātān ānayati tato loṣṭaṃ dhārayantaṃ patnī pṛcchaty akṛkṣateti
3.3.17	akṛkṣāmeti
3.3.18	kim āhārṣīr iti
3.3.19	vittiṃ bhūtiṃ puṣṭiṃ prajāṃ paśūn annam annādyam iti
3.3.20	uttarato madhyamāyāṃ nivapati
3.3.21	abhyajyottaraphālaṃ prātar āyojanāya nidadhāti
3.3.22	sītāśiraḥsu darbhān āstīrya plakṣodumbarasya trīṃstrīṃścamasān nidadhāti
3.3.23	rasavato dakṣiṇe śaṣpavato madhyame puroḍāśavata uttare
3.3.24	darbhān pratyavabhujya saṃvapati
3.3.25	sārūpavatse śakṛtpiṇḍān guggululavaṇe pratinīyāśnāti
3.3.26	anaḍutsāṃpadam
3.4.1	payasvatīr iti sphātikaraṇam
3.4.2	śāntaphalaśilākṛtiloṣṭavalmīkarāśivāpaṃ trīṇi kūdīprāntāni madhyamapalāśe darbheṇa pariveṣṭya rāśipalyeṣu karoti
3.4.3	sāyaṃ bhuñjate
3.4.4	pratyāvapanti śeṣam
3.4.5	ā bhaktayātanāt
3.4.6	anumantrayate
3.4.7	ayaṃ no nabhasas patiḥ iti palye 'śmānaṃ saṃprokṣyānvṛcaṃ kāśī opyāvāpayati
3.4.8	ā gāvo iti gā āyatīḥ pratyuttiṣṭhati
3.4.9	prāvṛṣi prathamadhārasyendrāya trir juhoti
3.4.10	prajāvatīḥ iti pratiṣṭhamānā anumantrayate
3.4.11	karkīpravādānāṃ dvādaśadāmnyāṃ saṃpātavatyām ayaṃ ghāsa iha vatsām iti mantroktam
3.4.12	yas te śokāya iti vastrasāṃpadī
3.4.13	tisraḥ kūdīmayīr ūrṇanābhikulāya parihitā anvaktā ādadhāti
3.4.14	atyanteṣīkāmauñjaparihitā madhunā pralipya cikkaśeṣu paryasya
3.4.15	uta putraḥ iti jyeṣṭhaṃ putram avasāyayati
3.4.16	mitaśaraṇaḥ sāṃpadaṃ kurute
3.4.17	ardham ardhena ity ārdrapāṇir asaṃjñātvā prayacchati
3.4.18	śāntaśākhayā prāgbhāgam apākṛtya
3.4.19	pratyagni paricṛtati
3.4.20	tasyā amāvāsyāyāṃ tisraḥ prādeśamātrīr ādadhāti
3.4.21	tve kratum iti rasaprāśanī
3.4.22	rasakarmāṇi kurute
3.4.23	stuṣva varṣman iti prājāpatyāmāvāsyāyām astamite valmīkaśirasi darbhāvastīrṇe 'dhyadhi dīpaṃ dhārayaṃs trir juhoti
3.4.24	taṇḍulasaṃpātān ānīya rasair upasicyāśnāti
3.4.25	evaṃ paurṇamāsyām ājyotān
3.5.1	ṛdhaṅmantro tad id āsa iti maiśradhānyaṃ bhṛṣṭapiṣṭaṃ lohitālaṃkṛtaṃ rasamiśram aśnāti
3.5.2	abhṛṣṭaṃ plakṣodumbarasyottarato 'gnes triṣu camaseṣu pūrvāhṇasya tejasāgram annasya prāśiṣam iti pūrvāhṇe
3.5.3	madhyandinasya tejasā madhyam annasya prāśiṣam iti madhyandine
3.5.4	aparāhṇasya tejasā sarvam annasya prāśiṣam ity aparāhṇe
3.5.5	ṛtumatyā striyā aṅgulibhyāṃ lohitam
3.5.6	yat kṣetraṃ kāmayate tasmin kīlālaṃ dadhimadhumiśram
3.5.7	saṃvatsaraṃ striyam anupetya śuktyāṃ reta ānīya taṇḍulamiśraṃ saptagrāmam
3.5.8	dvādaśīm amāvāsyā iti kṣīrabhakṣo bhavaty amāvāsyāyāṃ dadhimadhubhakṣas tasya mūtra udakadadhimadhupalpūlanānyāsicya
3.5.9	kravyādaṃ nāḍī pra viveśāgniṃ prajābhāṅgirato māyayaitau / āvāṃ devī juṣāṇe ghṛtācī imam annādyāya pra viśataṃ svāhā iti
3.5.10	niśāyām āgrayaṇataṇḍulān udakyān madhumiśrān nidadhāty ā yavānāṃ paṅkteḥ
3.5.11	evaṃ yavān ubhayān samopya
3.5.12	trivṛti gomayaparicaye śṛtam aśnāti
3.5.13	samṛddham iti kāṅkāyanaḥ
3.5.14	mamāgne varco iti sāttrikān agnīn darbhapūtīkabhāṅgābhiḥ paristīrya gārhapatyaśṛtaṃ sarveṣu saṃpātavantaṃ gārhapatyadeśe 'śnāti
3.5.15	evaṃ pūrvasminn aparayor upasaṃhṛtya
3.5.16	evaṃ droṇakalaśe rasān uktam
3.6.1	yajūṃṣi yajñe iti navaśālāyāṃ sarpir madhumiśram aśnāti
3.6.2	doṣo gāya iti dvitīyām
3.6.3	yuktābhyāṃ tṛtīyām
3.6.4	ānumatīṃ caturthīm
3.6.5	śālām aṅgulibhyāṃ saṃprokṣya gṛhapatnyāsāda upaviśyodapātraṃ ninayati
3.6.6	ihaiva sta iti vācaṃ visṛjate
3.6.7	ūrdhvā asya iti vārṣmaṇam audumbaraṃ manthapratirūpam abhijuhoti
3.6.8	asaṃkhyātā adhiśṛtya saptāgamaśaṣkulīḥ
3.6.9	tvaṣṭā me iti prātar vibhakṣyamāṇo 'śnāti
3.6.10	jyājuṃ badnāti
3.6.11	daṇḍaṃ saṃpātavantaṃ vimṛjya dhārayati
3.6.12	vāyur enāḥ iti yuktayoś citrākarma niśāyāṃ saṃbhārān saṃpātavataḥ karoti
3.6.13	aparedyur vāyur enāḥ iti śākhayodakadhārayā gāḥ parikrāmati
3.6.14	prathamajasya śakalam avadhāyāudumbareṇāsinā lohitena iti mantroktam
3.6.15	yathā cakrur itīkṣukāśakāṇḍyā lohitaṃ nirmṛjya rasamiśram aśnāti
3.6.16	sarvam audumbaram
3.6.17	yasyedam ā ity āyojanānām apyayaḥ
3.7.1	ucchrayasva iti bījopaharaṇam
3.7.2	ājyamiśrān yavān urvarāyāṃ kṛṣṭe phālenoduhyānvṛcaṃ kāśīn ninayati nivapati
3.7.3	abhi tyam iti mahāvakāśe 'raṇya unnate vimite prāgdvārapratyagdvāreṣv apsu saṃpātān ānayati
3.7.4	kṛṣṇājine somāṃśūn vicinoti
3.7.5	somamiśreṇa saṃpātavantam aśnāti
3.7.6	ādīpte sampannam
3.7.7	tāṃ savitaḥ iti gṛṣṭidāma badhnāti
3.7.8	saṃ mā siñcantv iti sarvodake maiśradhānyam
3.7.9	divyaṃ suparṇaṃ ity ṛṣabhadaṇḍino vapayā indraṃ yajate
3.7.10	anubaddhaśiraḥpādena gośālāṃ carmaṇāvacchādyāvadānakṛtaṃ brāhmaṇān bhojayati
3.7.11	proṣya samidha ādāya ūrjaṃ bibhrad iti gṛhasaṃkāśe japati
3.7.12	savyena samidho dakṣiṇena śālāvalīkaṃ saṃstabhya japati
3.7.13	ativrajya samidha ādhāya sumaṅgali prajāvati suśīme ahaṃ vāṃ gṛhapatir jīvyāsam iti sthūṇe gṛhṇāty upatiṣṭhate
3.7.14	yad vadāmīti mantroktam
3.7.15	gṛhapatnyāsāde upaviśyodapātraṃ ninayati
3.7.16	ihaiva sta iti pravatsyann avekṣate
3.7.17	sūyavasāt sūyavase paśūn niṣṭhāpayati
3.7.18	dūrvāgrair añjalāv apa ānīya darśaṃ dārśībhir upatiṣṭhate
3.7.19	indrasya kukṣiḥ sāhasra ity ṛṣabhaṃ saṃpātavantam atisṛjati
3.7.20	retodhāyai tvātisṛjāmi vayodhāyai tvātisṛjāmi yūthatvāyai tvātisṛjāmi gaṇatvāyai tvātisṛjāmi sahasrapoṣāyai tvātisṛjāmy aparimitapoṣāyai tvātisṛjāmi
3.7.21	etaṃ vo yuvānaṃ iti purāṇaṃ pravṛtya navam utsṛjate samprokṣati
3.7.22	uttareṇa puṣṭikāma ṛṣabheṇendraṃ yajate
3.7.23	saṃpatkāmaḥ śvetena paurṇamāsyām
3.7.24	satyaṃ bṛhad ity āgrahāyaṇyām
3.7.25	paścād agner darbheṣu khadāyāṃ sarvahutam
3.7.26	dvitīyaṃ saṃpātavantam aśnāti
3.7.27	tṛtīyasyāditiḥ saptabhir bhūme mātar iti trir juhoti
3.7.28	paścād agner darbheṣu kaśipu āstīrya vimṛgvarīṃ ity upaviśati
3.7.29	yās te śivā iti saṃviśati
3.7.30	yac chayānaḥ iti paryāvartate
3.7.31	navabhiḥ śantivā iti daśamyā ud āyuṣety upottiṣṭhati
3.7.32	ud vayaṃ ity utkrāmati
3.7.33	udīrāṇā iti trīṇi padāni prāṅ vodaṅ vā bāhyenopaniṣkramya yāvat te iti vīkṣate
3.7.34	unnatācca
3.7.35	purastād agneḥ sīraṃ yuktam udapātreṇa saṃpātavatāvasiñcati
3.7.36	āyojanānām apyayaḥ
3.7.37	yasyāṃ sadohavirdhāne iti juhoti varo ma āgamiṣyatīti
3.7.38	yasyām annaṃ ity upatiṣṭhate
3.7.39	nidhiṃ bibhratīti maṇiṃ hiraṇyakāmaḥ
3.7.40	evaṃ vittvā
3.7.41	yasyāṃ kṛṣṇam iti vārṣakṛtasyācamati śirasy ānayate
3.7.42	yaṃ tvā pṛṣatī ratha iti dyauḥ pṛṣaty ādityo rohitaḥ
3.7.43	pṛṣatīṃ gāṃ dadāti
3.7.44	pṛṣatyā kṣīraudanaṃ sarvahutam
3.7.45	puṣṭikarmaṇām upadhānopasthānam
3.7.46	salilaiḥ sarvakāmaḥ salilaiḥ sarvakāmaḥ
4.1.1	atha bhaiṣajyāni
4.1.2	liṅgyupatāpo bhiṣajyam
4.1.3	vacanād anyat
4.1.4	pūrvasyodapātreṇa saṃpātavatāṅkte
4.1.5	valīr vimārṣṭi
4.1.6	vidmā śarasyādo yad iti muñjaśiro rajjvā badhnāti
4.1.7	ākṛtiloṣṭavalmīkau parilikhya pāyayati
4.1.8	sarpiṣālimpati
4.1.9	apidhamati
4.1.10	vidmā śarasyeti pramehaṇaṃ badhnāti
4.1.11	ākhukiripūtīkamathitajaratpramandasāvraskān pāyayati
4.1.12	uttamābhyām āsthāpayati
4.1.13	yānam ārohayati
4.1.14	iṣuṃ visṛjati
4.1.15	vastiṃ viṣyati
4.1.16	vartiṃ bibhetti
4.1.17	ekaviṃśatiṃ yavān dohanyām adbhir ānīya drughnīṃ jaghane saṃstabhya phalato 'vasiñcati
4.1.18	ālabisolaṃ phāṇṭaṃ pāyayati
4.1.19	udāvartine ca
4.1.20	ambayo yanti vāyoḥ pūta iti ca śāntāḥ
4.1.21	uttarasya sasomāḥ
4.1.22	cātanānām apanodanena vyākhyātam
4.1.23	trapusamusalakhadiratārṣṭāghānām ādadhāti
4.1.24	ayugmān khādirāñśaṅkūn akṣyau nividhyeti paścād agneḥ samaṃbhūmi nihanti
4.1.25	evam āyasalohān
4.1.26	taptaśarkarābhiḥ śayanaṃ rāśipalyāṇi parikirati
4.1.27	amāvāsyāyāṃ sakṛdgṛhītān yavān anapahatān apratīhārapiṣṭān ābhicārikaṃ paristīrya tārṣṭāghedhma āvapati
4.1.28	ya āgacchet taṃ brūyācchaṇaśulbena jihvāṃ nirmṛjānaḥ śālāyāḥ praskandeti
4.1.29	tathākurvann anādye hnuvāne
4.1.30	vīriṇatūlamiśram iṅgiḍaṃ prapuṭe juhoti
4.1.31	idhmābarhiḥ śālāyām āsajati
4.1.32	aparedyur vikṛte piśācato rujati
4.1.33	ukto homaḥ
4.1.34	vaiśravaṇāyāñjaliṃ kṛtvā japann ācamayatyabhyukṣati
4.1.35	niśyulmuke saṃkarṣati
4.1.36	svastyādyaṃ kurute
4.1.37	ayaṃ devānām ityekaviṃśatyā darbhapiñjūlībhir valīkaiḥ sārdham adhiśiro 'vasiñcati
4.2.1	jarāyuja iti medo madhu sarpis tailaṃ pāyayati
4.2.2	mauñjapraśnena śirasyapihitaḥ savyena titauni pūlyāni dhārayamāṇo dakṣiṇenāvakiran vrajati
4.2.3	savyena titaupraśnau dakṣiṇena jyāṃ drughnīm
4.2.4	praiṣakṛd agrataḥ
4.2.5	yatrainaṃ vyādhir gṛhṇāti tatra titaupraśnau nidadhāti
4.2.6	jyāṃ ca
4.2.7	āvrajanam
4.2.8	ghṛtam nastaḥ
4.2.9	pañcaparvaṇā lalāṭaṃ saṃstabhya japatyamūr yā iti
4.2.10	pañcaparvaṇā pāṃsusikatābhiḥ parikirati
4.2.11	armakapālikāṃ badhnāti
4.2.12	pāyayati
4.2.13	caturbhir dūrvāgrair dadhipalalaṃ pāyayati
4.2.14	anu sūryam iti mantroktasya lomamiśram ācamayati
4.2.15	pṛṣṭhe cānīya
