#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
11.1.10	tā hopāsṛṣṭāḥ sukhaṃ alabhamānā imam eva puruṣaṃ punaḥ pratyāviviśuḥ
11.2.1	vāṅ mametyagnir āviveśa
11.2.2	prāṇo mameti vāyur āviveśa
11.2.3	apāno mameti vidyuta āviviśuḥ
11.2.4	udāno mameti parjanya āviveśa
11.2.5	cakṣur mametyāditya āviveśa
11.2.6	mano mameti candramā āviveśa
11.2.7	śrotram asmākam iti diśa āviviśuḥ
11.2.8	śarīraṃ mameti pṛthivyāviveśa
11.2.9	reto 'smākam ity āpa āviviśuḥ
11.2.10	balaṃ mametīndra āviveśa
11.2.11	manyur mametīśāna āviveśa
11.2.12	mūrdhā mametyākāśa āviveśa
11.2.13	ātmā mameti brahmāviveśa
11.2.14	sa yathā mahān vṛkṣa ārdra upasiktamūlas tiṣṭhed evaṃ haiva sa tasthau
11.3.1	athāyaṃ puruṣaḥ praiṣyan purā saṃvatsarāt saṃvatsarasya dṛṣṭīḥ paśyati
11.3.2	chidrā chāyā bhavati na vā bhavati
11.3.3	mahāmeghe vā marīcīr iva paśyed anabhre vā vidyutaṃ paśyed abhra enāṃ na paśyet
11.3.4	akṣiṇī vā apidhāya varāṭakānīva na paśyati
11.3.5	karṇau vāpidhāyopabdim iva na śṛṇoti
11.3.6	nāsmiṃlloke ramate nainaṃ manaś chandayati
11.3.7	iti pratyakṣadarśanāni
11.4.1	atha svapnāḥ
11.4.2	puruṣaṃ kṛṣṇaṃ kṛṣṇadantaṃ paśyati sa enaṃ hanti varāha enaṃ hanti markaṭa enaṃ hanti enaṃ hanti bisāni khādayati suvarṇaṃ bhakṣayitvāvagiraty ekapauṇḍarīkaṃ dhārayati gāṃ savatsāṃ dakṣiṇāmukho naladamālī vrājayati
11.4.3	sa yady eteṣāṃ kiṃcit paśyet pāṇḍuradarśanāṃ kālīṃ strīṃ muktakeśāṃ muṇḍāṃ tailābhyaṅgaṃ kausumbhaparidhānaṃ gītāny uṣṭrārohaṇaṃ dakṣiṇāśāgamanādīni vīkṣyopoṣya pāyasaṃ sthālīpākaṃ śrapayitvā sarūpavatsāyā goḥ payasi na tv eva tu kṛṣṇāyā agnim upasamādhāya parisamuhya paristīrya paryukṣya dakṣiṇaṃ jānv ācya sruveṇājyāhutīr juhoti
11.5.1	vāci me 'gniḥ pratiṣṭhitaḥ svāhā
11.5.2	prāṇe me vāyuḥ pratiṣṭhitaḥ svāhā
11.5.3	apāne me vidyutaḥ pratiṣṭhitāḥ svāhā
11.5.4	udāne me parjanyaḥ pratiṣṭhitaḥ svāhā
11.5.5	cakṣuṣi ma ādityaḥ pratiṣṭhitaḥ svāhā
11.5.6	manasi me candramāḥ pratiṣṭhitaḥ svāhā
11.5.7	śrotre me diśaḥ pratiṣṭhitāḥ svāhā
11.5.8	śarīre me pṛthivī pratiṣṭhitā svāhā
11.5.9	retasi ma āpaḥ pratiṣṭhitāḥ svāhā
11.5.10	bale ma indraḥ pratiṣṭhitaḥ svāhā
11.5.11	manyau ma īśānaḥ pratiṣṭhitaḥ svāhā
11.5.12	mūrdhani ma ākāśaḥ pratiṣṭhitaḥ svāhā
11.5.13	ātmani me brahma pratiṣṭhitaṃ svāhā
11.5.14	athaitad ājyāvaśeṣaṃ sthālīpāke samavaninīya sthālīpākasyopaghātaṃ juhoti
11.6.1	vāci me 'gniḥ pratiṣṭhito vāgghṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.2	prāṇe me vāyuḥ pratiṣṭhitaḥ prāṇo hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.3	apāne me vidyutaḥ pratiṣṭhitā apāno hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.4	udāne me parjanyaḥ pratiṣṭhita udānaṃ hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.5	cakṣuṣi ma ādityaḥ pratiṣṭhitaś cakṣur hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.6	manasi me candramāḥ pratiṣṭhito mano hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.7	śrotre me diśaḥ pratiṣṭhitā diśo hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.8	śarīre me pṛthivī pratiṣṭhitā pṛthivī hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.9	bale ma indraḥ pratiṣṭhitā balaṃ hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.10	manyau ma īśānaḥ pratiṣṭhito manyur hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.11	mūrdhani ma ākāśaḥ pratiṣṭhito mūrdhā hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.12	ātmani me brahma pratiṣṭhitam ātmā hṛdaye hṛdayam ātmani tat satyaṃ devānāṃ māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.6.13	athaitat sthālīpākaśeṣam ātmani samavaninīya juhoti
11.7.1	aśmā jāgatam ayas traiṣṭubhaṃ loham auṣṇihaṃ sīsaṃ kākubhaṃ rajataṃ svārājyaṃ suvarṇaṃ gāyatram annaṃ vairājaṃ tṛptir ānuṣṭubhaṃ nākaṃ sāmrājyaṃ bṛhaspatir bārhataṃ brahma pāṅktaṃ prajāpatir ātichandasaṃ sāvitrī sarvavedachandasena chandaseti
11.8.1	aśmeva sthiro vasāni jāgatena chandasā
11.8.2	puruṣo maṇiḥ prāṇaḥ sūtram annaṃ granthis taṃ granthim udgrathnāmy annakāmaḥ
11.8.3	mṛtyave brāhmaṇaṃ api sarvam āyur aśīyāyuṣmān māham akāmo mariṣyāmy annavān annādo bhūyāsaṃ svāhā
11.8.4	aya iva sthiro vasāni traiṣṭubhena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.5	loham iva sthiro vasāny auṣṇihena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.6	sīsam iva sthiro vasāni kākubhena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.7	rajatam iva sthiro vasāni svarājyena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.8	suvarṇam iva sthiro vasāni gāyatreṇa chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.9	annam iva sthiro vasāni vairājena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.10	tṛptir iva sthiro vasāny ānuṣṭubhena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.11	nākam iva sthiro vasāni sāmrājyena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.12	bṛhaspatir iva sthiro vasāni bārhatena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.13	brahmeva sthiro vasāni pāṅktena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.14	prajāpatir iva sthiro vasāny ātichandasena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.15	sāvitrīr iva sthiro vasāni sarvavedachandasena chandasā puruṣo maṇiḥ prāṇaḥ svāhā
11.8.16	priyāyai vā jāyāyai priyāya vāntevāsine 'nyasmai vāpi yasmai kāmayeta tasmā ucchiṣṭaṃ dadyāt
11.8.17	sa hāpi śataṃ varṣāṇi jīvati punaḥ punaḥ prayuñjāno jīvaty eva jīvaty eva
12.1.1	om / hastivarcasaṃ prathatāṃ bṛhad vayo yad adityai tanvaḥ saṃbabhūva / tan mahyaṃ samaduḥ sarva eta ādityāso adityā saṃvidānāḥ
12.1.2	yat te varco jātavedo bṛhad bhavaty āhitam / tena mā varcasā tvam agne varcasvinaṃ kuru
12.1.3	yac ca varco vā puruṣe yac ca hastiṣv āhitam / suvarṇe goṣu yad varco mayi taddhastivarcasam
12.1.4	yad akṣeṣu hiraṇyeṣu goṣv aśveṣu yad yaśaḥ / surāyāṃ pūyamānāyāṃ mayi taddhastivarcasam
12.1.5	mayi bhargo mayi maho mayi yajñasya yad yaśaḥ / tan mayi prajāpatir divi divam iva dṛṃhatu
12.2.1	aśvinā sāragheṇa mā samaṅktāṃ madhunā payaḥ / yathā madhumatīṃ vācam āvadāni janeṣu
12.2.2	ghṛtād ullupto madhumān payasvān dhanaṃjayo dharuṇo dhārayiṣṇuḥ / rujan sapatnān adharāṃś ca kṛṇvan āroha māṃ mahate saubhagāya
12.2.3	prajāpate na tvad etāny anyo viśvā jātāni pari tā babhūva / yatkāmās te juhumas tan no astu vayaṃ syāma patayo rayīṇām
12.2.4	ayaṃ sano nudatāṃ me sapatnān indra iva vṛtraṃ pṛtanāsu sāḍhā / agnir iva kakṣaṃ vibhṛtaḥ purutrā vāteṣu nas tigmajambho 'numārṣṭi
12.2.5	ayaṃ sano yo 'nuvādī kīla iva vṛtraṃ vi puro ruroja / anenendro vi mṛdho vihatyā śatrūyatām ābharā bhojanāni
12.3.1	jayendra śatrūñ jahi śūra dasyūn vṛtraṃ hatveva kuliśenā vivṛśca / augha iva śāpān praṇudāt sapatnāñjahyāt sapatnān svadhitir vaneva
12.3.2	anuvṛśca madhyāt prati vṛścopariṣṭād vivṛśca paścāt prati śūra vṛśca / tvayā praṇuttān maghavann amitrān śūra riṣantaṃ maruto 'nuyantu
12.3.3	tvāṃ rudrair hetibhiḥ pinvamānā indraṃ manvānā maruto juṣanta / suparṇāḥ kaṅkāḥ pramṛśanto enān mahīyatāṃ daṃṣṭrī vardhaneṣu
12.3.4	brahmaṇuttasya maghavan pṛtanyato viṣvag indra bhaṅgāḥ patantu / mā jñātāram īśata mā pratiṣṭhāṃ mitho vighnānā upayānti mṛtyum
12.3.5	agne yaśasvin yaśase samarpayendravatīm apacitim ihāvaha / ayaṃ mūrdhā parameṣṭhī suvarcāḥ sajātānām uttamaśloko astu
12.4.1	bhadraṃ paśyanta upasedur āgan tato dīkṣām ṛṣayaḥ svarvidaḥ / tataḥ kṣatraṃ balam ojaś ca jātaṃ tad asmai devā abhisaṃnamantām
12.4.2	dhātā vidhātā paramota saṃdṛk prajāpatiḥ parameṣṭhī suvarcāḥ / stomāṃś chandāṃsi nivido ma āhur etasmai rāṣṭram abhisaṃnamantām
12.4.3	abhyāvartadhvam upasevatāgnim ayaṃ śāstādhipatir no astu / asya vijñānam anusaṃrabhadhvam imaṃ paścād anujīvātha sarve
12.4.4	alardo nāma jāto 'si purā sūryāt puroṣasaḥ / taṃ tvā sapatnakṣayaṇaṃ vedātha viṣṭambhajambhanam
12.4.5	nārdhe pramīyeta tared dviṣantaṃ kalpeta vākyaṃ pṛtanāḥ saheta / pramāyukaṃ tasya dviṣantam āhur irāmaṇiṃ bailvaṃ yo bibharti
12.5.1	na sa śaptam aśnāti kilbiṣaṃ kṛtaṃ nainaṃ divyo varuṇo hanti bhītam / nainaṃ kruddhaṃ manyavo 'bhiyantīrāmaṇiṃ bailvaṃ yo bibharti
12.5.2	nāsya tvacaṃ hiṃsati jātavedā na māṃsam aśnāti na hanti tāni / śatāyur asmiñ jaradaṣṭiḥ praitīrāmaṇiṃ bailvaṃ yo bibharti
12.5.3	nāsya prajā duṣyati jāyamānā na śailago bhavati na pāpakṛtyā / nānyan mithas tasya kuleṣu jāyata irāmaṇiṃ bailvaṃ yo bibharti
12.5.4	nāsyāpavādā na pravādakā gṛhe na saṃpatatryo na viveśa tasmai / nāsminn alakṣmīḥ kurute niveśanam irāmaṇiṃ bailvaṃ yo bibharti
12.5.5	nainaṃ rakṣo na piśāco hinasti na jambhako nāpy asuro na yakṣaḥ / na sūtikā tasya kuleṣu jāyate irāmaṇiṃ bailvaṃ yo bibharti
12.6.1	nainaṃ vyāghro na vṛko na dvīpī na śvāpadaṃ hiṃsati kiṃcanainam / na hastinaṃ kruddham upaiti bhītim irāmaṇiṃ bailvaṃ yo bibharti
12.6.2	nainaṃ sarpo na pṛdākur hinasti na vṛściko na tiraścīnarājiḥ / nainaṃ kṛṣṇo 'hir abhisaṃhata irāmaṇiṃ bailvaṃ yo bibharti
12.6.3	nainaṃ pramattaṃ varuṇo hinasti na makaro na grahaḥ śiṃśumāraḥ / pārāvarācchivam asmai kṛṇotīrāmaṇiṃ bailvaṃ yo bibharti
12.6.4	pramāyukam asya dviṣantam āhuḥ / puṣpam iva chinnaṃ saha bandhanena / ogha iva śāpān praṇudāt sapatnān / irāmaṇiṃ bailvaṃ yo bibharti
12.6.5	ayaṃ maṇiḥ pratisaro jāmbo jīvāya badhyate / anenendro vṛtram ahann ṛṣiṇā ca manīṣiṇā
12.7.1	sahendra dviṣataḥ sahasvārātīḥ sahasva pṛtanāyataḥ / nāga iva pūrvapādābhyām abhitiṣṭha pṛtanyataḥ
12.7.2	āgād ayaṃ bailvo maṇiḥ sapatnakṣapaṇo vṛṣā / taṃ paśyanti kavayaḥ sarvavīrā yathā sapatnān samare saheyuḥ
12.7.3	anṛtaṃ me maṇau sūtram aśvināvapi nahyatām / bailvaḥ sahasravīryo 'si mā te bhartā riṣam aham
12.7.4	ghṛtād ullupto madhumān payasvān dhanaṃjayo dharuṇo dhārayiṣṇuḥ / rujan sapatnān adharāṃśca kṛṇvan āroha māṃ mahate saubhagāya
12.7.5	prajāpate na tvad etānyanyo viśvā jātāni pari tā babhūva / yatkāmas te juhumas tan no astu vayaṃ syāma patayo rayīṇām
12.7.6	śāsa itthā mahān asīti pañca
12.8.1	athāto maṇikalpaḥ
12.8.2	bhūtikāmaḥ puṣpeṇa trirātropoṣito jīvato hastino dantān mātrām uddhṛtyāgnim upasamādhāya parisamuhya paristīrya paryukṣya dakṣiṇaṃ jānv ācyottarato 'gneḥ kaṃse maṇiṃ kṛtvā hutvā homān maṇau saṃpātam ānayet
12.8.3	hastivarcasam ity etābhiḥ pratyṛcam aṣṭābhiḥ saptarātraṃ madhusarpiṣor vāsayitvā trirātram ekāṃ vā badhnīyād ghṛtād ullupta ity etayarcā
12.8.4	ata evottaraṃ ṣaḍbhir hṛdayaśūlāgramaṇiṃ pratodāgramaṇiṃ vā muśalāgramaṇiṃ vā khadirasāramaṇiṃ vā māṃsaudane vāsayitvā trirātram ekāṃ vā badhnīyāt
12.8.5	ata evottaraṃ catasṛbhir vṛṣabhaśṛṅgāgramaṇiṃ ghṛtaudane vāsayitvā trirātram ekāṃ vā badhnīyāt
12.8.6	ata evottaraṃ ekayairaṇḍamaṇiṃ tilaudane vāsayitvā trirātram ekāṃ vā badhnīyāt
12.8.7	ata evottaraṃ ṣoḍaśabhir bailvaṃ saptarātraṃ madhusarpiṣor vāsayitvā trirātram ekāṃ vā badhnīyād ghṛtād ullupta ity etayarcā
12.8.8	ata evottaraṃ pañcabhir mahāvarāsyodohaṃ mudgaudane vāsayitvā trirātram ekāṃ vā badhnīyācchaktau sati prathamaṃ hastichāyāyāṃ vaiyāghre vāpi carmaṇy āsīno vāpi juhuyād āsīno vāpi juhuyāt
13.1.1	athāto vairāgyasaṃskṛte śarīre brahmayajñaniṣṭho bhavet
13.1.2	apa punarmṛtyuṃ jayati
13.1.3	tad u ha vātmā draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavya iti
13.1.4	tam etaṃ vedānuvacanena vividiṣanti brahmacaryeṇa tapasā śraddhayā yajñenānāśakena ceti māṇḍūkeyaḥ
13.1.5	tasmād evaṃvicchānto dānta uparatas titikṣuḥ śraddhāvitto bhūtvātmany evātmānaṃ paśyed iti māṇḍavyaḥ
13.1.6	yo 'yaṃ vijñānamayaḥ puruṣaḥ prāṇeṣu sa eṣa neti nety ātmā na gṛhya idaṃ brahmedaṃ kṣatram ime devā ime vedā ime lokā imāni sarvāṇi bhūtānīdaṃ sarvaṃ yad ayam ātmā
13.1.7	sa eṣa tat tvam asīty ātmāvagamyo 'haṃ brahmāsmīti
13.1.8	tad etad brahmāpūrvam aparam anaparam anantaram abāhyam ayam ātmā brahma sarvānubhūr ity anuśāsanam iti yājñavalkyaḥ
13.1.9	tad etan nāputrāya nānantevāsine vā brūyād iti
13.1.10	ya imām adbhiḥ parigṛhītāṃ vasumatīṃ dhanasya pūrṇāṃ dadyād idam eva tato bhūya idam eva tato bhūya ity anuśāsanam
13.1.11	tām etām upaniṣadaṃ vedaśiro na yathā kathaṃcana vadet
13.1.12	tad etad ṛcābhyuditam
14.1.1	ṛcāṃ mūrdhānaṃ yajuṣām uttamāṅgam / sāmnāṃ śiro 'tharvāṇāṃ muṇḍamuṇḍam
14.1.2	nādhīte 'dhīte vedam āhus tam ajñam / śiraś chittvāsau kurute kabandham
14.2.1	sthāṇur ayaṃ bhārahāraḥ kilābhūt
14.2.2	adhītya vedaṃ na vijānāti yo 'rtham
14.2.3	yo 'rthajña iti sakalaṃ bhadram aśnute
14.2.4	nākam eti jñānavidhūtapāpmā
15.1.1	atha vaṃśaḥ
15.1.2	oṃ namo brahmaṇe nama ācāryebhyaḥ
15.1.3	guṇākhyācchāṅkhāyanād asmābhir adhītam
15.1.4	guṇākhyaś śāṅkhāyanaḥ kahoḍāt kauṣītakeḥ
15.1.5	kahoḍaḥ kauṣītakir uddālakād āruṇeḥ
15.1.6	uddālaka āruṇiḥ priyavratāt saumāpeḥ
15.1.7	priyavrataḥ saumāpiḥ somapāt
15.1.8	somapaḥ saumāt prātiveśyāt
15.1.9	saumaḥ prātiveśyaḥ prativeśyāt
15.1.10	prativeśyo bṛhaddivāt
15.1.11	bṛhaddivaḥ sumnayoḥ
15.1.12	sumnayur uddālakāt
15.1.13	uddālako viśvamanasaḥ
15.1.14	viśvamanā vyaśvāt
15.1.15	vyaśvaḥ sākamaśvāt
15.1.16	sākamaśvo devarātāt
15.1.17	devarāto viśvāmitrāt
15.1.18	viśvāmitra indrāt
15.1.19	indraḥ prajāpateḥ
15.1.20	prajāpatir brahmaṇaḥ
15.1.21	brahmā svayaṃbhūḥ
15.1.22	namo brahmaṇe namo brahmaṇe
