#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
3.1.8	tāsām eva vānyāpi daśamī vṛttir bhavati
3.1.9	ā navavṛtteḥ
3.1.10	keśaśmaśrulomanakhāni vāpayitvopakalpayate
3.1.11	kṛṣṇājinaṃ kamaṇḍaluṃ yaṣṭiṃ vīvadhaṃ kutapahāram iti
3.1.12	traidhātavīyeneṣṭvā prasthāsyati vaiśvānaryā vā
3.1.13	atha prātar udita āditye yathāsūtram agnīn prajvālya gārhapatya ājyaṃ vilāpyotpūya sruksruvaṃ niṣṭapya saṃmṛjya sruci caturgṛhītaṃ gṛhītvāhavanīye vāstoṣpatīyaṃ juhoti
3.1.14	vāstoṣpate prati jānīhy asmān iti puronuvākyām anūcya / vāstoṣpate śagmayā saṃsadā ta iti yājyayā juhoti
3.1.15	sarva evāhitāgnir ity eke
3.1.16	yāyāvara ity eke
3.1.17	nirgatya grāmānte grāmasīmānte vāvatiṣṭhate / tatra kuṭīṃ maṭhaṃ vā karoti kṛtaṃ vā praviśati
3.1.18	kṛṣṇājinādīnām upakﾱptānāṃ yasminn arthe yena yena yatprayojanaṃ tena tena tat kuryāt
3.1.19	prasiddham agnīnāṃ paricaraṇam / prasiddhaṃ darśapūrṇamāsābhyāṃ yajanam / prasiddhaḥ pañcānāṃ mahatāṃ yajñānām anuprayogaḥ / utpannānām oṣadhīnāṃ nirvāpaṇaṃ dṛṣṭaṃ bhavati
3.1.20	viśvebhyo devebhyo juṣṭaṃ nirvapāmīti vā tūṣṇīṃ vā tāḥ saṃskṛtya sādhayati
3.1.21	tasyādhyāpanayājanapratigrahā nivartante 'nye ca yajñakratava iti
3.1.22	haviṣyaṃ ca vratopāyanīyaṃ dṛṣṭaṃ bhavati
3.1.23	tad yathā sarpirmiśraṃ dadhimiśram akṣāralavaṇam apiśitam aparyuṣitam
3.1.24	brahmacaryam ṛtau vā gacchati
3.1.25	parvaṇi parvaṇi keśaśmaśrulomanakhavāpanaṃ śaucavidhiś ca
3.1.26	athāpy udāharanti / śrūyate dvividhaṃ śaucaṃ yacchiṣṭaiḥ paryupāsitam / bāhyaṃ nirlepanirgandham antaḥśaucam ahiṃsakam
3.1.27	adbhiḥ śudhyanti gātrāṇi buddhir jñānena śudhyati / ahiṃsayā ca bhūtātmā manaḥ satyena śudhyatīti
3.2.1	yatho etat ṣaṇṇivartanīti
3.2.2	ṣaḍ eva nivartanāni nirupahatāni karoti / svāmine bhāgam utsṛjaty anujñātaṃ vā gṛhṇāti
3.2.3	prāk prātarāśāt karṣī syād asyūtanāsikābhyāṃ samuṣkābhyām atudann ārayā muhurmuhur abhyucchandayan
3.2.4	etena vidhinā ṣaṇnivartanāni karotīti ṣaṇṇivartanī
3.2.5	kauddālīti / jalābhyāśe kuddālena vā phālena vā tīkṣṇakāṣṭhena vā khanati bījāny āvapati kandamūlaphalaśākauṣadhīr niṣpādayati
3.2.6	kuddālena karotīti kauddālī
3.2.7	dhruvayā vartamānaḥ śuklena vāsasā śiro veṣṭayati / bhūtyai tvā śiro veṣṭayāmīti / brahmavarcasam asi brahmavarcasāya tveti kṛṣṇājinam ādatte 'bliṅgābhiḥ pavitram / balam asi balāya tveti kamaṇḍalum / dhānyam asi puṣṭyai tveti vīvadham / sakhā mā gopāyeti daṇḍam
3.2.8	athopaniṣkramya vyāhṛtīr japitvā diśām anumantraṇaṃ japati / pṛthivī cāntarikṣaṃ ca dyaur nakṣatrāṇi yā diśaḥ / agnir vāyuś ca sūryaś ca pāntu māṃ pathi devatā iti
3.2.9	mānastokīyaṃ japitvā grāmaṃ praviśya gṛhadvāre gṛhadvāra ātmānaṃ vīvadhena saha darśanāt saṃdarśanīty ācakṣate
3.2.10	vṛtter vṛtter avārttāyāṃ tayaiva tasya dhruvaṃ vartanād dhruveti parikīrtitā
3.2.11	saṃprakṣālanīti / utpannānām oṣadhīnāṃ prakṣepaṇam / nikṣepaṇaṃ nāsti nicayo vā / bhājanāni saṃprakṣālya nyubjatīti saṃprakṣālanī
3.2.12	samūheti / avāritasthāneṣu pathiṣu vā kṣetreṣu vāpratihatāvakāśeṣu vā yatra yatrauṣadhayo vidyante tatra tatra samūhanyā samuhya tābhir vartayatīti samūhā
3.2.13	phālanīty ahiṃsikety evedam uktaṃ bhavati / tuṣavihīnāṃs taṇḍulān icchati sajjanebhyo bījāni vā / phālayatīti phālanī
3.2.14	śiloñcheti / avāritasthāneṣu pathiṣu vā kṣetreṣu vāpratihatāvakāśeṣu vā yatra yatrauṣadhayo vidyante tatra tatraikaikaṃ kaṇiśam uñchayitvā kāle kāle śilair vartayatīti śiloñchā
3.2.15	kāpoteti / avāritasthāneṣu pathiṣu vā kṣetreṣu vāpratihatāvakāśeṣu vā yatra yatrauṣadhayo vidyante tatra tatrāṅgulībhyām ekaikām oṣadhim uñchayitvā saṃdaṃśanāt kapotavad iti kāpotā
3.2.16	siddheccheti / vṛttibhiḥ śrānto vṛddhatvād dhātukṣayād vā sajjanebhyaḥ siddham annam icchatīti siddhecchā
3.2.17	tasyātmani samāropaṇaṃ vidyate saṃnyāsivad upacāraḥ pavitrakāṣāyavāsovarjam
3.2.18	vānyāpi vṛkṣalatāvallyoṣadhīnāṃ ca tṛṇauṣadhīnāṃ ca śyāmākajartilādīnām / vanyābhir vartayatīti vānyā
3.2.19	athāpy udāharanti / mṛgaiḥ saha parispandaḥ saṃvāsas tebhir eva ca / tair eva sadṛśī vṛttiḥ pratyakṣaṃ svargalakṣaṇam / pratyakṣaṃ svargalakṣaṇam iti
3.3.1	atha vānaprasthadvaividhyam
3.3.2	pacamānakā apacamānakāś ceti
3.3.3	tatra pacamānakāḥ pañcavidhāḥ sarvāraṇyakā vaituṣikāḥ kandamūlabhakṣāḥ phalabhakṣāḥ śākabhakṣāś ceti
3.3.4	tatra sarvāraṇyakā nāma dvividhā dvividham āraṇyam āśrayanta indrāvasiktā retovasiktāś ceti
3.3.5	tatrendrāvasiktā nāma vallīgulmalatāvṛkṣāṇām ānayitvā śrapayitvā sāyamprātaragnihotraṃ hutvā yatyatithivratibhyaś ca dattvāthetaraccheṣabhakṣāḥ
3.3.6	retovasiktā nāma māṃsaṃ vyāghravṛkaśyenādibhir anyatamena vā hatam ānayitvā śrapayitvā sāyamprātaragnihotraṃ hutvā yatyatithivratibhyaś ca dattvāthetaraccheṣabhakṣāḥ
3.3.7	vaituṣikās tuṣadhānyavarjaṃ taṇḍulān ānayitvā śrapayitvā sāyamprātaragnihotraṃ hutvā yatyatithivratibhyaś ca dattvāthetaraccheṣabhakṣāḥ
3.3.8	kandamūlaphalaśākabhakṣāṇām apy evam eva
3.3.9	pañcaivāpacamānakā unmajjakāḥ pravṛttāśino mukhenādāyinas toyāhārā vāyubhakṣāś ceti
3.3.10	tatronmajjakā nāma lohāśmakaraṇavarjam
3.3.11	hastenādāya pravṛttāśinaḥ
3.3.12	mukhenādāyino mukhenādadate
3.3.13	toyāhārāḥ kevalaṃ toyāhārāḥ
3.3.14	vāyubhakṣā nirāhārāś ca
3.3.15	iti vaikhānasānāṃ vihitā daśa dīkṣāḥ
3.3.16	yaḥ svaśāstram abhyupetya daṇḍaṃ ca maunaṃ cāpramādaṃ ca
3.3.17	vaikhānasāḥ śudhyanti nirāhārāś ceti
3.3.18	śāstraparigrahaḥ sarveṣāṃ brahmavaikhānasānām
3.3.19	na druhyed daṃśamaśakān himavāṃs tāpaso bhavet / vanapratiṣṭhaḥ saṃtuṣṭaś cīracarmajalapriyaḥ
3.3.20	atithīn pūjayet pūrvaṃ kāle tv āśramam āgatān / devaviprāgnihotre ca yuktas tapasi tāpasaḥ
3.3.21	kṛcchrāṃ vṛttim asaṃhāryāṃ sāmānyāṃ mṛgapakṣibhiḥ / tadaharjanasaṃbhārāṃ kaṣāyakaṭukāśrayām
3.3.22	parigṛhya śubhāṃ vṛttim etāṃ durjanavarjitām / vanavāsam upāśritya brāhmaṇo nāvasīdati / mṛgaiḥ saha parispandaḥ saṃvāsas tebhir eva ca / tair eva sadṛśī vṛttiḥ pratyakṣaṃ svargalakṣaṇam / pratyakṣaṃ svargalakṣaṇam iti
3.4.1	atha yadi brahmacāry avratyam iva caren māṃsaṃ vāśnīyāt striyaṃ vopeyāt sarvāsv evārtiṣu
3.4.2	antarāgāre 'gnim upasamādhāya saṃparistīryāgnimukhāt kṛtvāthājyāhutīr upajuhoti / kāmena kṛtaṃ kāmaḥ karoti kāmāyaivedaṃ sarvaṃ yo mā kārayati tasmai svāhā / manasā kṛtaṃ manaḥ karoti manasa evedaṃ sarvaṃ yo mā kārayati tasmai svāhā / rajasā kṛtaṃ rajaḥ karoti rajasa evedaṃ sarvaṃ yo mā kārayati tasmai svāhā / tamasā kṛtaṃ tamaḥ karoti tamasa evedaṃ sarvaṃ yo mā kārayati tasmai svāhā / pāpmanā kṛtaṃ pāpmā karoti pāpmana evedaṃ sarvaṃ yo mā kārayati tasmai svāhā / manyunā kṛtaṃ manyuḥ karoti manyava evedaṃ sarvaṃ yo mā kārayati tasmai svāheti
3.4.3	jayaprabhṛti siddham ā dhenuvarapradānāt
3.4.4	apareṇāgniṃ kṛṣṇājinena prācīnagrīveṇottaralomnā prāvṛtya vasati
3.4.5	vyuṣṭāyāṃ jaghanārdhād ātmānam apakṛṣya tīrthaṃ gatvā prasiddhaṃ snātvāntarjalagato 'ghamarṣaṇena ṣoḍaśa prāṇāyāmān dhārayitvā prasiddham ādityopasthānāt kṛtvācāryasyagṛhān eti
3.4.6	yathāśvamedhāvabhṛtha evam evaitad vijānīyād iti
3.5.1	athātaḥ pavitrātipavitrasyāghamarṣaṇasya kalpaṃ vyākhyāsyāmaḥ
3.5.2	tīrthaṃ gatvā snātaḥ śucivāsā udakānte sthaṇḍilam uddhṛtya sakṛtklinnena vāsasā sakṛtpūrṇena pāṇinādityābhimukho 'ghamarṣaṇaṃ svādhyāyam adhīyīta
3.5.3	prātaḥ śataṃ madhyāhne śatam aparāhṇe śatam aparimitaṃ vā
3.5.4	uditeṣu nakṣatreṣu prasṛtiyāvakaṃ prāśnīyāt
3.5.5	jñānakṛtebhyo 'jñānakṛtebhyaś copapātakebhyaḥ saptarātrāt pramucyate dvādaśarātrād bhrūṇahananaṃ gurutalpagamanaṃ suvarṇastainyaṃ surāpānam iti ca varjayitvā
3.5.6	ekaviṃśatirātrāt tāny api tarati tāny api jayati
3.5.7	sarvaṃ tarati sarvaṃ jayati sarvakratuphalam avāpnoti sarveṣu tīrtheṣu snāto bhavati sarveṣu vedeṣu cīrṇavrato bhavati sarvair devair jñāto bhavaty ā cakṣuṣaḥ paṅktiṃ punāti karmāṇi cāsya sidhyantīti baudhāyanaḥ
3.6.1	atha karmabhir ātmakṛtair gurum ivātmānaṃ manyetātmārthe prasṛtiyāvakaṃ śrapayed uditeṣu nakṣatreṣu
3.6.2	na tato 'gnau juhuyāt
3.6.3	na cātra balikarma
3.6.4	aśṛtaṃ śrapyamāṇaṃ śṛtaṃ cābhimantrayeta
3.6.5	yavo 'si dhānyarājo 'si vāruṇo madhusaṃyutaḥ / nirṇodaḥ sarvapāpānāṃ pavitram ṛṣibhiḥ smṛtam / ghṛtaṃ yavā madhu yavā āpo vā amṛtaṃ yavāḥ / sarvaṃ punīta me pāpaṃ yan mayā duṣkṛtaṃ kṛtam / vācā kṛtaṃ karma kṛtaṃ manasā durvicintitam / alakṣmīṃ kālakarṇīṃ ca sarvaṃ punīta me yavāḥ / śvasūkarāvadhūtaṃ ca kākocchiṣṭahataṃ ca yat / mātāpitror aśuśrūṣāṃ sarvaṃ punīta me yavāḥ / mahāpātakasaṃyuktaṃ dāruṇaṃ rājakilbiṣam / bālavṛddham adharmaṃ ca sarvaṃ punīta me yavāḥ / suvarṇastainyam avratyam ayājyasya ca yājanam / brāhmaṇānāṃ parīvādaṃ sarvaṃ punīta me yavāḥ / gaṇānnaṃ gaṇikānnaṃ ca śūdrānnaṃ śrāddhasūtakam / corasyānnaṃ navaśrāddhaṃ sarvaṃ punīta me yavā iti
3.6.6	śrapyamāṇe rakṣāṃ kuryāt / namo rudrāya bhūtādhipataye / dyauḥ śāntā / kṛṇuṣva pājaḥ prasitiṃ na pṛthvīm ity etenānuvākena / ye devāḥ puraḥsado 'gninetrā rakṣohaṇa iti pañcabhiḥ paryāyaiḥ / mā nas toke / brahmā devānām iti dvābhyām
3.6.7	śṛtaṃ ca laghv aśnīyāt prayataḥ pātre niṣicya
3.6.8	ye devā manojātā manoyujaḥ sudakṣā dakṣapitāras te naḥ pāntu te no 'vantu tebhyo namas tebhyaḥ svāheti / ātmani juhuyāt
3.6.9	trirātraṃ medhārthī
3.6.10	ṣaḍrātraṃ pītvā pāpakṛcchuddho bhavati
3.6.11	saptarātraṃ pītvā bhrūṇahananaṃ gurutalpagamanaṃ suvarṇastainyaṃ surāpānam iti ca punāti
3.6.12	ekādaśarātraṃ pītvā pūrvapuruṣakṛtam api pāpaṃ nirṇudati
3.6.13	api vā goniṣkrāntānāṃ yavānām ekaviṃśatirātraṃ pītvā gaṇān paśyati gaṇādhipatiṃ paśyati vidyāṃ paśyati vidyādhipatiṃ paśyatīty āha bhagavān baudhāyanaḥ
3.7.1	kūśmāṇḍair juhuyād yo 'pūta iva manyeta
3.7.2	yathā steno yathā bhrūṇahaivam eṣa bhavati yo 'yonau retaḥ siñcati
3.7.3	yad arvācīnam eno bhrūṇahatyāyās tasmān mucyata iti
3.7.4	ayonau retaḥ siktvānyatra svapnād arepā vā pavitrakāmaḥ
3.7.5	amāvāsyāyāṃ paurṇamāsyāṃ vā keśaśmaśrulomanakhāni vāpayitvā brahmacārikalpena vratam upaiti
3.7.6	saṃvatsaraṃ māsaṃ caturviṃśatyahaṃ dvādaśa rātrīḥ ṣaṭ tisro vā
3.7.7	na māṃsam aśnīyān na striyam upeyān noparyāsīta jugupsetānṛtāt
3.7.8	payobhakṣa iti prathamaḥ kalpaḥ / yāvakaṃ vopayuñjānaḥ kṛcchradvādaśarātraṃ cared bhikṣed vā
3.7.9	tadvidheṣu yavāgūṃ rājanyo vaiśya āmikṣām
3.7.10	pūrvāhṇe pākayajñikadharmeṇāgnim upasamādhāya saṃparistīryāgnimukhāt kṛtvāthājyāhutīr upajuhoti / yad devā devaheḍanam / yad adīvyann ṛṇam ahaṃ babhūva / āyuṣ ṭe viśvato dadhad iti / etais tribhir anuvākaiḥ
3.7.11	pratyṛcam ājyasya juhuyāt
3.7.12	siṃhe vyāghra uta yā pṛdākāv iti catasraḥ sruvāhutīḥ / agne 'bhyāvartin / agne aṅgiraḥ / punar ūrjā / saha rayyeti catasro 'bhyāvartinīr hutvā samitpāṇir yajamānaloke 'vasthāya / vaiśvānarāya prati vedayāma iti dvādaśarcena sūktenopatiṣṭhate
3.7.13	yan mayā manasā vācā kṛtam enaḥ kadācana / sarvasmāt tasmān meḍito mogdhi tvaṃ hi vettha yathātathaṃ svāheti / samidham ādhāya varaṃ dadāti
3.7.14	jayaprabhṛti siddham ā dhenuvarapradānāt
3.7.15	eka evāgnau paricārī
3.7.16	athāgnyādheye / yad devā devaheḍanam / yad adīvyann ṛṇam ahaṃ babhūva / āyuṣ ṭe viśvato dadhad iti / pūrṇāhutīḥ
3.7.17	hutvāgnihotram ārapsyamāno daśahotrā / hutvā darśapūrṇamāsāv ārapsyamānaś caturhotrā / hutvā cāturmāsyāny ārapsyamānaḥ pañcahotrā / hutvā paśubandhe ṣaḍḍhotrā / hutvā some saptahotrā
3.7.18	vijñāyate ca / karmādiṣv etair juhuyāt / pūto devalokān samaśnuta iti hi brāhmaṇam / iti hi brāhmaṇam
3.8.1	athātaś cāndrāyaṇasya kalpaṃ vyākhyāsyāmaḥ
3.8.2	śuklacaturdaśīm upavaset
3.8.3	keśaśmaśrulomanakhāni vāpayitvāpi vā śmaśrūṇy evāhataṃ vāso vasānaḥ satyaṃ bruvann āvasatham abhyupeyāt
3.8.4	tasminn asya sakṛtpraṇīto 'gnir araṇyor nirmanthyo vā
3.8.5	brahmacārī suhṛt praiṣāyopakalpī syāt
3.8.6	haviṣyaṃ ca vratopāyanīyam
3.8.7	agnim upasamādhāya saṃparistīryāgnimukhāt kṛtvā pakvāj juhoti
3.8.8	agnaye yā tithiḥ syān nakṣatrāya sadaivatāya / atrāha gor amanvateti cāndramasīṃ pañcamīṃ dyāvāpṛthivībhyāṃ ṣaṣṭhīm ahorātrābhyāṃ saptamīṃ raudrīm aṣṭamīṃ saurīṃ navamīṃ vāruṇīṃ daśamīm aindrīmekādaśīṃ vaiśvadevīṃ dvādaśīm iti
3.8.9	athāparāḥ samāmananti digbhyaś ca sadaivatābhya uror antarikṣāya sadaivatāya
3.8.10	navo navo bhavati jāyamāna iti sauviṣṭakṛtīṃ hutvāthaitaddhavirucchiṣṭaṃ kaṃse vā camase vā vyuddhṛtya haviṣyair vyañjanair upasicya pañcadaśa piṇḍān prakṛtisthān prāśnāti
3.8.11	prāṇāya tveti prathamam / apānāya tveti dvitīyam / vyānāya tveti tṛtīyam / udānāya tveti caturtham / samānāya tveti pañcamam / yadā catvāro dvābhyāṃ pūrvam / yadā trayo dvābhyāṃ dvābhyāṃ pūrvau / yadā dvau dvābhyāṃ pūrvaṃ tribhir uttaram / ekaṃ sarvaiḥ
3.8.12	nigrābhyā stheti / apaḥ pītvāthājyāhutīr upajuhoti / prāṇāpānavyānodānasamānā me śudhyantāṃ jyotir ahaṃ virajā vipāpmā bhūyāsaṃ svāhā / vāṅmanaḥ śiraḥpāṇi tvakcarmamāṃsaṃ pṛthivyaptejo annamayaprāṇamayamanomayavijñānamayānandamayā me śudhyantāṃ jyotir ahaṃ virajā vipāpmā bhūyāsaṃ svāheti saptabhir anuvākaiḥ
3.8.13	jayaprabhṛti siddham ā dhenuvarapradānāt
3.8.14	saurībhir ādityam upatiṣṭhate cāndramasībhiś candramasam
3.8.15	agne tvaṃ su jāgṛhīti saṃviśañ japati
3.8.16	tvam agne vratapā asīti prabuddhaḥ
3.8.17	strīśūdrair nābhibhāṣeta mūtrapurīṣe nāvekṣeta
3.8.18	amedhyaṃ dṛṣṭvā japati / abaddhaṃ mano daridraṃ cakṣuḥ sūryo jyotiṣāṃ śreṣṭho dīkṣe mā mā hāsīr iti
3.8.19	prathamāyām aparapakṣasya caturdaśa grāsān
3.8.20	evam ekāpacayenāmāvāsyāyāḥ
3.8.21	amāvāsyāyāṃ grāso na vidyate
3.8.22	atha prathamāyāṃ pūrvapakṣasyaikaḥ / dvau dvitīyāyām
3.8.23	evam ekopacayenā paurṇamāsyāḥ
3.8.24	paurṇamāsyāṃ sthālīpākasya juhoty agnaye yā tithiḥ syān nakṣatrebhyaś ca sadaivatebhyaḥ
3.8.25	purastācchroṇāyā abhijitaḥ sadaivatasya hutvā gāṃ brāhmaṇebhyo dadyāt
3.8.26	tad etac cāndrāyaṇaṃ pipīlikāmadhyam / viparītaṃ yavamadhyam
3.8.27	ato 'nyatarac caritvā sarvebhyaḥ pātakebhyaḥ pāpakṛcchuddho bhavati
3.8.28	kāmāya kāmāyaitad āhāryam ity ācakṣate
3.8.29	yaṃ kāmaṃ kāmayate tam etenāpnoti
3.8.30	etena vā ṛṣaya ātmānaṃ śodhayitvā purā karmāṇy asādhayan / tad etad dhanyaṃ puṇyaṃ putryaṃ pautryaṃ paśavyam āyuṣyaṃ svargyaṃ yaśasyaṃ sārvakāmikam
3.8.31	nakṣatrāṇāṃ dyutiṃ sūryācandramasor eva sāyujyaṃ salokatām āpnoti ya u cainad adhīte / ya u cainad adhīte
3.9.1	athāto 'naśnatpārāyaṇavidhiṃ vyākhyāsyāmaḥ
3.9.2	śucivāsāḥ syāc cīravāsā vā
3.9.3	haviṣyam annam icched apaḥ phalāni vā
3.9.4	grāmāt prācīṃ vodīcīṃ vā diśam upaniṣkramya gomayena gocarmamātraṃ caturaśraṃ sthaṇḍilam upalipya prokṣya lakṣaṇam ullikhya adbhir abhyukṣya agnim upasamādhāya saṃparistīryaitābhyo devatābhyo juhuyāt / agnaye svāhā / prajāpataye svāhā / somāya svāhā viśvebhyo devebhyaḥ svayaṃbhuva ṛgbhyo yajurbhyaḥ sāmabhyo 'tharvabhyaḥ śraddhāyai prajñāyai medhāyai śriyai hriyai savitre sāvitryai sadasaspataye 'numataye ca
3.9.5	hutvā vedādim ārabheta saṃtatam adhīyīta
3.9.6	nāntarā vyāharen na cāntarā viramet
3.9.7	athāntarā vyāhared athāntarā viramet triḥ prāṇān āyamya vṛttāntād evārabheta
3.9.8	apratibhāyāṃ yāvatā kālena na veda tāvantaṃ kālaṃ tad adhīyīta sa yadā jānīyād ṛkto yajuṣṭaḥ sāmata iti
3.9.9	tadbrāhmaṇaṃ tacchāndasaṃ taddaivatam adhīyīta
3.9.10	dvādaśa vedasaṃhitā adhīyīta / yad anenānadhyāye 'dhīyīta yad guravaḥ kopitā yāny akāryāṇi bhavanti tābhiḥ punīte / śuddham asya pūtaṃ brahma bhavati
3.9.11	ata ūrdhvaṃ saṃcayaḥ
3.9.12	aparā dvādaśa vedasaṃhitā adhītya tābhir uśanaso lokam avāpnoti
3.9.13	aparā dvādaśa vedasaṃhitā adhītya tābhir bṛhaspater lokam avāpnoti
3.9.14	aparā dvādaśa vedasaṃhitā adhītya tābhiḥ prajāpater lokam avāpnoti
3.9.15	anaśnan saṃhitāsahasram adhīyīta / brahmabhūto virajo brahma bhavati
3.9.16	saṃvatsaraṃ bhaikṣaṃ prayuñjāno divyaṃ cakṣur labhate
3.9.17	ṣaṇ māsān yāvakabhakṣaś caturo māsān udakasaktubhakṣo dvau māsau phalabhakṣo māsam abbhakṣo dvādaśarātraṃ vāprāśnan kṣipram antardhīyate jñātīn punāti saptāvarān sapta pūrvān ātmānaṃ pañcadaśaṃ paṅktiṃ ca punāti
3.9.18	tām etāṃ devaniśrayaṇīty ācakṣate
3.9.19	etayā vai devā devatvam agacchann ṛṣaya ṛṣitvam
3.9.20	tasya ha vā etasya yajñasya trividha evārambhakālaḥ prātaḥsavane mādhyaṃdine savane brāhme vāpararātre
3.9.21	taṃ vā etaṃ prajāpatiḥ saptarṣibhyaḥ provāca saptarṣayo mahājajñave mahājajñur brāhmaṇebhyaḥ / brāhmaṇebhyaḥ
3.10.1	ukto varṇadharmaś cāśramadharmaś ca
3.10.2	atha khalv ayaṃ puruṣo yāpyena karmaṇā mithyā vā caraty ayājyaṃ vā yājayaty apratigrāhyasya vā pratigṛhṇāty anāśyānnasya vānnam aśnāty acaraṇīyena vā carati
3.10.3	tatra prāyaścittaṃ kuryān na kuryād iti mīmāṃsante
3.10.4	nahi karma kṣīyata iti
3.10.5	kuryād ity eva
3.10.6	punastomeneṣṭvā punaḥ savanam āyāntīti vijñāyate
3.10.7	athāpy udāharanti / sarvaṃ pāpmānaṃ tarati tarati brahmahatyāṃ yo 'śvamedhena yajata iti
3.10.8	agniṣṭutā vābhiśasyamāno yajeteti ca
3.10.9	tasya niṣkrayaṇāni japas tapo homa upavāso dānam
3.10.10	upaniṣado vedādayo vedāntāḥ sarvacchandaḥsu saṃhitā madhūny aghamarṣaṇam atharvaśiro rudrāḥ puruṣasūktaṃ rājanarauhiṇe sāmanī bṛhadrathaṃtare puruṣagatir mahānāmnyo mahāvairājaṃ mahādivākīrtyaṃ jyeṣṭhasāmnām anyatamaṃ bahiṣpavamānaḥ kūśmāṇḍyaḥ pāvamānyaḥ sāvitrī ceti pāvanāni
3.10.11	upasannyāyena payovratatā śākabhakṣatā phalabhakṣatā mūlabhakṣatā prasṛtiyāvako hiraṇyaprāśanaṃ ghṛtaprāśanaṃ somapānam iti medhyāni
3.10.12	sarve śiloccayāḥ sarvāḥ sravantyaḥ saritaḥ puṇyā hradās tīrthāny ṛṣiniketanāni goṣṭhakṣetrapariṣkandā iti deśāḥ
3.10.13	ahiṃsā satyam astainyaṃ savaneṣūdakopasparśanaṃ guruśuśrūṣā brahmacaryam adhaḥśayanam ekavastratānāśaka iti tapāṃsi
3.10.14	hiraṇyaṃ gaur vāso 'śvo bhūmis tilā ghṛtam annam iti deyāni
3.10.15	saṃvatsaraḥ ṣaṇmāsāś catvāras trayo dvāv ekaś caturviṃśatyaho dvādaśāhaḥ ṣaḍahas tryaho 'horātra ekāha iti kālāḥ
3.10.16	etāny anādeśe kriyeran
3.10.17	enaḥsu guruṣu gurūṇi laghuṣu laghūni
3.10.18	kṛcchrātikṛcchrau cāndrāyaṇam iti sarvaprāyaścittiḥ / sarvaprāyaścittiḥ
4.1.1	prāyaścittāni vakṣyāmo nānārthāni pṛthakpṛthak / teṣu teṣu ca doṣeṣu garīyāṃsi laghūni ca
4.1.2	yady atra hi bhaved yuktaṃ taddhi tatraiva nirdiśet / bhūyo bhūyo garīyaḥsu laghuṣv alpīyasas tathā
4.1.3	vidhinā śāstradṛṣṭena prāṇāyāmān samācaret / yad upasthakṛtaṃ pāpaṃ padbhyāṃ vā yat kṛtaṃ bhavet / bāhubhyāṃ manasā vācā śrotratvagghrāṇacakṣuṣā
4.1.4	api vā cakṣuḥśrotratvagghrāṇamanovyatikrameṣu tribhiḥ prāṇāyāmaiḥ śudhyati
4.1.5	śūdrānnastrīgamanabhojaneṣu kevaleṣu pṛthakpṛthak saptāhaṃ sapta sapta prāṇāyāmān dhārayet
4.1.6	abhakṣyābhojyāpeyānādyaprāśaneṣu tathāpaṇyavikrayeṣu madhumāṃsaghṛtatailakṣāralavaṇāvarānnavarjeṣu yac cānyad apy evaṃ yuktaṃ dvādaśāhaṃ dvādaśa dvādaśa prāṇāyāmān dhārayet
4.1.7	pātakapatanīyopapātakavarjeṣu yac cānyad apy evaṃ yuktam ardhamāsaṃ dvādaśa dvādaśa prāṇāyāmān dhārayet
4.1.8	pātakapatanīyavarjeṣu yac cānyad apy evaṃ yuktaṃ dvādaśa dvādaśāhān dvādaśa dvādaśa prāṇāyāmān dhārayet
4.1.9	pātakavarjeṣu yac cānyad apy evaṃ yuktaṃ dvādaśārdhamāsān dvādaśa dvādaśa prāṇāyāmān dhārayet
4.1.10	atha pātakeṣu saṃvatsaraṃ dvādaśa dvādaśa prāṇāyāmān dhārayet
4.1.11	dadyād guṇavate kanyāṃ nagnikāṃ brahmacāriṇe / api vā guṇahīnāya noparundhyād rajasvalām
4.1.12	trīṇi varṣāṇy ṛtumatīṃ yaḥ kanyāṃ na prayacchati / sa tulyaṃ bhrūṇahatyāyai doṣam ṛcchaty asaṃśayam
4.1.13	na yācate ced evaṃ syād yācate cet pṛthakpṛthak / ekaikasminn ṛtau doṣaṃ pātakaṃ manur abravīt
4.1.14	trīṇi varṣāṇy ṛtumatī kāṅkṣeta pitṛśāsanam / tataś caturthe varṣe tu vindeta sadṛśaṃ patim / avidyamāne sadṛśe guṇahīnam api śrayet
4.1.15	balāc cet prahṛtā kanyā mantrair yadi na saṃskṛtā / anyasmai vidhivad deyā yathā kanyā tathaiva sā
4.1.16	nisṛṣṭāyāṃ hute vāpi yasyai bhartā mriyeta saḥ / sā ced akṣatayoniḥ syād gatapratyāgatā satī / paunarbhavena vidhinā punaḥsaṃskāram arhati
4.1.17	trīṇi varṣāṇy ṛtumatīṃ yo bhāryāṃ nādhigacchati / sa tulyaṃ bhrūṇahatyāyai doṣam ṛcchaty asaṃśayam
4.1.18	ṛtusnātāṃ tu yo bhāryāṃ saṃnidhau nopagacchati / pitaras tasya taṃ māsaṃ tasmin rajasi śerate
4.1.19	ṛtau nopaiti yo bhāryām anṛtau yaś ca gacchati / tulyam āhus tayor doṣam ayonau yaś ca siñcati
4.1.20	bhartuḥ pratiniveśena yā bhāryā skandayed ṛtum / tāṃ grāmamadhye vikhyāpya bhrūṇaghnīṃ nirdhamed gṛhāt
