#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
1.18.8	uttareṇāhavanīyaṃ praṇītāḥ sādayati ko vo yunakti sa vo yunaktv iti
1.18.9	darbhair apidhāya pavitre ādāya pātrāṇi saṃmṛśati saṃsīdantāṃ daivīr viśaḥ pātrāṇi devayajyāyā iti
1.18.10	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ā dade vānaspatyāsīty agnihotrahavaṇīm ādatte
1.18.11	veṣāya tveti śūrpam
1.18.12	urvantarikṣam anvihīty abhipravrajyāhavanīye niṣṭapati pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya iti
1.19.1	yajamānam āmantrayate yajamāna havir nirvapsyāmīti
1.19.2	oṃ nirvapeti yajamānaḥ pratyāha
1.19.3	yadi yajamānaḥ pravased agne havir nirvapsyāmīti brūyāt
1.19.4	apareṇa gārhapatyaṃ prāgīṣaṃ śakaṭam avasthāpya tasmin puroḍāśīyān ādhāya dakṣiṇāṃ yugadhuram abhimṛśati dhur asi dhurva dhurvantam iti
1.19.5	evam uttarām
1.19.6	tvaṃ devānām asi sasnitamam uttarām īṣām ālabhya japati
1.19.7	viṣṇus tvākraṃsteti uttare cakre dakṣiṇaṃ pādam atyādadhāti
1.19.8	ahrutam asi havirdhānam ity ārohati
1.19.9	mitrasya tvā cakṣuṣā prekṣa iti pariṇāhaṃ prekṣate
1.19.10	uru vātāyety apacchādyāntaḥ śakaṭa upaviśya daśahotāraṃ vyākhyāya yacchantu tvā pañceti vrīhīn yavān vāgnihotrahavaṇyāṃ muṣṭīnopya tiraḥ pavitraṃ śūrpe nirvapati devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām agnaye juṣṭaṃ nirvapāmīti
1.19.11	trīn muṣṭīn yajuṣā tūṣṇīṃ caturtham
1.19.12	nirupteṣv anvāvapati bhakṣāṇāṃ prarekāya
1.19.13	evam evottaraṃ puroḍāśaṃ nirvapaty agnīṣomābhyām iti paurṇamāsyām indrāgnibhyām iti amāvāsyāyām asaṃnayataḥ
1.19.14	atha yadi pātryāṃ nirvaped dakṣiṇataḥ sphyam avadhāya tasyāṃ sarvān śakaṭamantrān japet
1.20.1	idaṃ devānām iti niruptān abhimṛśati / idam u naḥ saheti yato 'dhi nirvapati
1.20.2	sphātyai tvā nārātyā iti havir ādāyopaniṣkrāmatīdam ahaṃ nir varuṇasya pāśād iti
1.20.3	vihāram abhivīkṣate suvar abhi vi khyeṣaṃ vaiśvānaraṃ jyotir iti
1.20.4	dṛṃhantāṃ duryā dyāvāprthivyor iti pratyavarohati
1.20.5	āharaty urv antarikṣam anvihīti
1.20.6	apareṇāhavanīyam upasādayaty adityās tvopasthe sādayāmīti
1.20.7	paridadāti agne havyaṃ rakṣasva // agnīṣomau havyaṃ rakṣethāṃ yathādevatam
1.20.8	agne havyaṃ rakṣasveti vā
1.20.9	saśūkāyām agnihotrahavaṇyāṃ tiraḥ pavitram apa ānīyodagagrābhyāṃ pavitrābhyāṃ trir utpūyābhimantrayate yathā purastāt
1.20.10	brahmāṇam āmantrayate brahman prokṣyāmīti
1.20.11	prasūto brahmaṇā haviḥ prokṣati devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām agnaye juṣṭaṃ prokṣāmi // agnīṣomābhyām iti yathādevatam / ekaikaṃ tris triḥ prokṣati
1.20.12	haviḥ prokṣann āgnim abhiprokṣati
1.20.13	haviḥ prokṣya pātrāṇi prokṣati
1.20.14	uttānāni paryāvṛtya śundhadhvaṃ daivyāya karmaṇe devayajyāyā iti triḥ kuryāt
1.20.15	prokṣaṇīnāṃ śeṣam ity āśmarathyaḥ / sarvābhiḥ prokṣed ity ālekhanaḥ
1.21.1	sāvitreṇa kṛṣṇājinam ādāyotkare trir avadhūnoty ūrdhvagrīvaṃ bahir viśasanam avadhūtaṃ rakṣo 'vadhūtā arātaya iti
1.21.2	uttareṇa vihāraṃ pratīcīnagrīvam uttaralomāstṛṇāty adityās tvag asīti
1.21.3	prati tvā prthivī vettv iti pratīcīṃ bhasadaṃ pratisamasyati
1.21.4	anutsṛjan kṛṣṇājinam ulūkhalam adhivartayaty adhiṣavaṇam asi vānaspatyam iti
1.21.5	anutsṛjann ulūkhalaṃ havir āvapaty agnes tanūr asi vāco visarjanaṃ devavītaye tvā gṛhṇāmīti trir yajuṣā tūṣṇīṃ caturtham
1.21.6	adrir asi vānaspatya iti musalam ādāya haviṣkṛtaṃ trir āhvayati / haviṣkṛd ehīti brāhmaṇasyādraveti rājanyasyāgahīti vaiśyasya
1.21.7	avahanty ava rakṣo divaḥ sapatnaṃ vadhyāsam iti
1.21.8	prādurbhūteṣu taṇḍuleṣūccaiḥ samāhantavā ity āgnīdhraṃ preṣyati
1.21.9	kuṭarur asi madhujihva ity āgnīdhro 'śmānam ādāya śamyāṃ vā sāvitreṇoccair dṛṣadupale samāhantīṣamā vadorjamā vadeti
1.21.10	dvir dṛṣadi sakṛdupalāyām / triḥ saṃcārayan navakṛtvaḥ saṃpādayati
1.22.1	uttarataḥ śūrpam upohati vaiṇavam aiṣīkaṃ nalamayaṃ vā varṣavṛddham asīti
1.22.2	havir udvapati prati tvā varṣavṛddhaṃ vettv iti
1.22.3	utkare parāpunāti parāputaṃ rakṣaḥ parāpūtā arātaya iti
1.22.4	apahataṃ rakṣa iti tuṣān pratihanti
1.22.5	madhyame puroḍāśakapale tuṣān opyādhastāt kṛṣṇājinasyopavapati rakṣasāṃ bhāgo 'sīti
1.22.6	apa upaspṛśya vivinakti vāyur vo vi vinaktv iti
1.22.7	pātryāṃ taṇḍulān praskandayati devo vaḥ savitā hiraṇyapāṇiḥ prati gṛhṇātv iti
1.22.8	praskannān abhimṛśati devebhyaḥ śundhadhvam iti
1.22.9	haviṣkṛtaṃ preṣyati triṣphalīkartavā iti
1.22.10	yā yajamānasya patnī sābhyudety āvahanty anyo vā
1.22.11	triḥ suphalīkṛtān karoti
1.22.12	prajñātān phalikaraṇān nidhāyotkare taṇḍulaprakṣālanaṃ ninayati triṣphalīkriyamāṇānāṃ yo nyaṅgo avaśiṣyate / rakṣasāṃ bhāgadheyam āpas tat pravahatād ita iti
1.22.13	tathaiva kṛṣṇājinam ādāyāvadhūnoti
1.23.1	vyākhyātam āstaraṇam
1.23.2	kṛṣṇājine 'bhīva grīvāḥ paścād udīcīnakumbāṃ śamyāṃ nidadhāti diva skambhanir asīti
1.23.3	śamyāyāṃ dṛṣadaṃ dhiṣaṇāsi parvatyeti / dṛṣady upalāṃ dhiṣaṇāsi pārvateyīti
1.23.4	dṛṣadi taṇḍulān adhivapati devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām agnaye juṣṭamadhi vapāmi // agniṣomābhyām iti yathādevatam / trir yajuṣā tūṣṇīṃ caturtham
1.23.5	saṃtataṃ pinaṣṭi
1.23.6	prāṇāya tveti prācīm upalāṃ prohati / apānaya tveti pratīcīm / vyānāya tveti madhyadeśe vyavaghārayati
1.23.7	dīrgham anu prasitim āyuṣe dhām iti prācīm antato 'nuprohati
1.23.8	kṛṣṇājine piṣṭāni praskandayati devo vaḥ savitā hiraṇyapāṇiḥ prati gṛhṇātv iti
1.23.9	praskannāny avekṣate 'dabdhena vaś cakṣuṣāvapaśyāmīti
1.23.10	haviṣkṛtaṃ preṣyaty asaṃvapatnī piṃṣāṇūni kurutād iti
1.24.1	patnī pinaṣṭi dāsī vā
1.24.2	dhṛṣṭir asi brahma yacchety upaveṣam ādāya gārhapatyāt pratyañcāv aṅgarau nirūhyānyataram uttarāparam avāntaradeśaṃ pratinirasyaty apāgne 'gnim āmādaṃ jahi niṣkravyādaṃ sedheti
1.24.3	ā devayajaṃ vahety anyataram avasthāpya tasmin kapālam upadadhāti dhruvam asi pṛthivīṃ dṛṃheti
1.24.4	tat savyasyāṅgulyādhinidhāya kapāle 'ṅgāram adhivartayati nirdagdhaṃ rakṣo niradagdhā arātaya iti
1.24.5	dhartram asi // dharuṇam asīti pūrvaṃpūrvaṃ kapālam upadadhāti / dharmāsīti dakṣiṇam / cita stheti uttaram / marutāṃ śardho 'sīti ṣaṣṭham / cid asi // paricid asīty avaśiṣṭe upadadhāti / tūṣṇīṃ vāṣṭau saṃpādayati
1.24.6	evam evottaraṃ kapālayogam upadadhāti
1.24.7	ekādaśa saṃpādayati dvādaśa vā aindrāgnasya
1.24.8	evam anupūrvāṇy evaiṣv ata ūrdhvaṃ karmāṇi kriyante
1.24.9	athaināny aṅgārair adhyūhati bhṛgūṇām aṅgirasāṃ tapasā tapyadhvam iti
1.24.10	atra madantīr adhiśrayati
1.24.11	niṣṭaptopavātāyāṃ pātryāṃ vācaṃyamas tiraḥ pavitraṃ piṣṭāni saṃvapati devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāmm agnaye juṣṭaṃ saṃ vapāmi // agnīṣomābhyām iti yathādevatam / trir yajuṣā tūṣṇīṃcaturtham
1.25.1	athaināni pavitrābhyām utpunāti devo vaḥ savitotpunātv iti paccho gāyatryā
1.25.2	praṇītābhir havīṃṣi saṃyauti
1.25.3	anyā vā yajuṣotpūya
1.25.4	sruveṇa praṇītābhya ādāya vedenopayamyāharati
1.25.5	sam āpo adbhir agmateti piṣṭeṣv ānayati
1.25.6	adbhyaḥ pari prajātā stha sam adbhiḥ pṛcyadhvam iti taptābhiḥ pradakṣiṇaṃ paryāplāvayati
1.25.7	janayatyai tvā saṃ yaumīti saṃyutya vibhajate yathābhāgaṃ vyāvartethām iti yataḥ punar na saṃhariṣyan bhavati
1.25.8	athābhimṛśaty agnaye tveti dakṣiṇaṃ piṇḍam agniṣomābhyāṃ tvety uttaraṃ paurṇamāsyām indrāgnibhyam ity amāvāsyāyām asaṃnayataḥ
1.25.9	idam ahaṃ senāyā abhītvaryai mukham apohāmīti vedena kapālebhyo 'ṅārān apohya makhasva śiro 'sīti dakṣiṇaṃ piṇḍam ādāya dakṣiṇe kapālayoge 'dhiśrayati gharmo 'si viśvāyur iti
1.25.10	evam evottaraṃ piṇḍam ādāyottare kapālayoge 'dhiśrayati
1.25.11	evam anupūrvāṇy evaiṣvata ūrdhvaṃ karmaṇi kriyante
1.25.12	atrājyaṃ nirvapati / aparitarāṃ vā
1.26.1	sarvāṇi kapālāny abhiprathayaty uru prathasvoru te yajñapatiḥ prathatām iti
1.26.2	atuṅgam anapūpākṛtiṃ kūrmasyeva pratikṛtim aśvaśaphamātraṃ karoti
1.26.3	pātryām apa ānīya pradakṣiṇaṃ lepenānuparimārṣṭi tvacaṃ gṛhṇīṣvety ekaikam / nātikṣārayati
1.26.4	triḥ paryagni karoty antaritaṃ rakṣo 'ntaritā arātaya iti
1.26.5	pari vājapatiḥ kavir iti vā
1.26.6	devas tvā savitā śrapayatv ity ulmukaiḥ pratitapati
1.26.7	agnis te tanuvaṃ māti dhāg iti darbhair abhijvalayati
1.26.8	avidahantaḥ śrapayateti vācaṃ visṛjate
1.26.9	saṃ brahmaṇā pṛcyasveti vedena puroḍāśe sāṅgāraṃ bhasmādhyūhati
1.26.10	athāṅguliprakṣālanaṃ pātrīnirṇejanam ity ulmukenābhitapya sphyenāntarvedi tisraḥ pracīr udīcīr vā lekhā likhitvāṃsasyandayan pratyag apavargaṃ trir ninayaty ekatāya svāhety etaiḥ pratimantram
2.1.1	devasya tvā savituḥ prasava iti sphyam ādāya tṛṇena saṃśyati śatabhṛtir asi vānaspatyo dviṣato vadhaḥ sahasrabhṛṣṭiḥ śatatejā vāyur asi tigmatejā iti
2.1.2	apareṇāhavanīyaṃ vedir bhavati yajamānamātry aparamitā vā prācī
2.1.3	yathā havīṃṣy āsannāni saṃbhaved evaṃ tiraścī
2.1.4	vedena vediṃ vividuḥ pṛthivīṃ sā paprathe pṛthivī pārthivāni / garbhaṃ bibharti bhuvaneṣv antas tato yajño jāyate viśvadānir iti purastāt stambayajuṣo vedena vediṃ triḥ saṃmārṣṭy upariṣṭād vā
2.1.5	pūrvārdhād vitṛtīyadeśād vedeḥ stambayajur harati
2.1.6	pṛthivyai varmāsīty antarvedi prāgagram vā udagagraṃ vā darbhaṃ nidhāya tasmin sphyena praharati pṛthivi devayajany oṣadhyāste mūlaṃ mā hiṃsiṣam iti
2.1.7	apahato 'raruḥ pṛthivyā iti sphyena stṛṇān pāṃsūn apādāya harati vrajaṃ gaccha gosthānam iti
2.1.8	varṣatu te dyaur iti vediṃ pratyavekṣate
2.1.9	uttarato nivapati badhāna deva savitaḥ paramasyāṃ parāvati śatena pāśair yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tam ato mā mauk // ararus te divaṃ mā skān iti
2.1.10	sa utkaro bhavati
2.1.11	tam āgnīdhro gṛhṇāty araro divaṃ mā papta iti
2.1.12	evam eva ditīyaṃ haraty evaṃ tṛtīyam
2.1.13	apahato 'raruḥ pṛthivyai devayajanyā iti dvitīyam apādatte
2.1.14	apahato 'raruḥ pṛthivyā adevayajana iti tṛtīyam
2.2.1	tūṣṇīṃ caturthaṃ hṛtvā sphyena vediṃ parigṛhṇāti
2.2.2	vasavas tvā pari gṛhṇantu gāyatreṇa chandaseti dakṣiṇataḥ
2.2.3	rudras tveti paścāt
2.2.4	ādityas tvety uttarataḥ
2.2.5	sphyena vai sarvaṇ vedur jarna jruyate
2.2.6	tataḥ saṃpreṣyatīmāṃ narāḥ kṛṇuta vedim etya vasumatīṃ rudravatīm ādityavatīm / varṣman divo nābhā pṛthivyā yathāyaṃ yajamāno na riṣyet // eta devebhyo juṣṭām adityā upasthe / imāṃ devā ajuṣanta sarve / rāyaspoṣā yajamānaṃviśantv iti
2.2.7	athāsyā uttamāṃ tvacaṃ samuddhatyotkaraṃ gamayati
2.2.8	athaināṃ khanati dvyaṅgulaṃ tryaṅgulaṃ caturaṅgulaṃ vā sītāmātrīṃ rathavartmamātrīṃ vā yāvat pārṣṇyāḥ śvetaṃ tāvatīṃ vā devasya savituḥ save karma kṛṇvanti vedhasa iti
2.2.9	mūlaṃ chinatti
2.2.10	ā pratiṣṭhāyai khanati
2.2.11	prāñcau vedyaṃsāv unnayaty abhita āhavanīyaṃ pratīcī śroṇī abhito gārhapatyam
2.2.12	madhye saṃnatāṃ prācīm udīcīṃ pravaṇāṃ purastād aṃhīyasīṃ paścāt prathīyasīṃ dakṣiṇato varṣīyasīṃ purīṣavatīṃ karoti
2.2.13	yat purīṣam atiśeta utkaraṃ tad gamayati
2.2.14	yat tṛṇaṃ mūlaṃ vātiśete sphyena tac chinatti na nakhena
2.3.1	āhāryapurīṣāṃ paśukāmasya vediṃ kuryāt khananapurīṣāṃ prajākāmasyeti vijñāyate
2.3.2	udupya nityam anyad āvaped ity ekam / akhātāyām evānyad āvaped ity aparam
2.3.3	yatra khanet tatra khananamantraṃ japet
2.3.4	adhiśriteṣu haviḥṣu paurṇamāsyāṃ vediṃ kuryāt
2.3.5	pūrvedyuḥ prāg barhiṣa āharaṇād amāvāsyāyām
2.3.6	yat prāg utttarasmāt parigrāhāt tat kṛtvopavasati
2.3.7	samānam itarat
2.3.8	brahmāṇam āmantrayate brahmann uttaraṃ parigrāhaṃ parigrahīṣyāmīti
2.3.9	prasūto brahmaṇā sphyena vediṃ parigṛhṇāti / ṛtam asīti dakṣiṇata ṛtasadanam asīti paścād ṛtaśrīr asīty uttarataḥ
2.3.10	athaināṃ sphyena pratīcīṃ yoyupyate dhā asi svadhā asīty anuvākaśeṣeṇa
2.3.11	paścārdhe vitṛtīyadeśe vedeḥ sphyaṃ tiryañcaṃ stabdhvā saṃpreṣyati prokṣaṇīr āsādayedhmābarhir upasādaya sruvaṃ ca srucaś ca saṃmṛḍḍhi patnīṃ saṃnahyājyenodehīti
2.3.12	āgnīdhra etāni karmāṇi kuryād ity ekam / adhvaryur ity aparam
2.3.13	upaninīya prokṣaṇīḥ sphyasya vartman dakṣiṇena sphyam asaṃspṛṣṭā barhir āsādayati
2.3.14	yaṃ dviṣyāt taṃ dhyāyet
2.3.15	utkare purastāt pratyañcaṃ sphyam udasyati śatabhṛṣṭir asi vānaspatyo dviṣato vadha iti
2.3.16	yaṃ dveṣṭi tasya nāma gṛhṇāti
2.3.17	hastāv avanijya sphyaṃ prakṣālayati / nāgraṃ pratimuñcati
2.3.18	vediṃ kṛṭvā nānavanijya hastau pātrāṇi parāhaṇyāt
2.3.19	uttareṇa praṇītāḥ paścāt prāgagram idhmābarhiṣī upasādayati
2.4.1	dakṣiṇam idhmam uttaraṃ barhiḥ
2.4.2	sruvaṃ ca srucaś ca prāśitraharaṇaṃ cādāya gārhapatye vāhavanīye vā niṣṭapati pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya iti
2.4.3	vedāgraiḥ prativibhajya saṃmārṣṭi / aprativibhajya vā
2.4.4	sruvam agra uttānaṃ dhārayamāṇo 'grair antarato 'bhyākāraṃ sarvato bilam abhisamāhāraṃ tan mūlair daṇḍaṃ goṣṭhaṃ mā nirmṛkṣam iti
2.4.5	juhuṃ saṃmārṣṭy uttānāṃ dhārayamāṇo 'grair antarato 'bhyākāraṃ prācīṃ madhyair bāhyataḥ pratīcīṃ mūlair daṇḍaṃ vācaṃ prāṇaṃ mā nirmṛkṣam iti
2.4.6	upabhṛtaṃ saṃmārṣṭi tiraścīṃ dhārayamāṇo 'grair antarato 'bhyākāraṃ pratīcīṃ madhyair bāhyataḥ prācīṃ mūlair daṇḍaṃ cakṣuḥ śrotraṃ mā nirmṛkṣam iti
2.4.7	yathā sruvaṃ tathā dhruvāṃ prajāṃ yoniṃ mā nirmṛkṣam iti
2.4.8	rūpaṃ varṇaṃ mā nirmṛkṣaṃ vāji tvā sapatnasāhaṃ saṃmārjmīti prāśitraharaṇam
2.4.9	na saṃmṛṣṭāni cāsaṃmṛṣṭāni ca saṃsparśayet
2.4.10	yadi saṃsparśayet punar eva niṣṭapya saṃmṛjyāt
2.4.11	saṃmṛṣṭāni niṣṭapaty agner vas tejiṣṭhena tejasā niṣṭapāmīti
2.5.1	athaitāni saṃmārjanāny adbhiḥ saṃspṛśyāgrau praharati yatarasmin niṣṭapati divaḥ śilpam avatataṃ pṛthivyāḥ kakubhi śritam / tena vayaṃ sahasravalśena sapatnaṃ nāśayam asi svāheti
2.5.2	utkare vodasyati
2.5.3	patnīm ūrdhvajñum āsināṃ saṃnahyati tiṣṭhantīṃ vā svayaṃ vā patny ātmānaṃ mauñjena yoktreṇānyatarataḥ pāśenābhyantaraṃ vāsaso bāhyato vāśāsānā saumanasam iti
2.5.4	uttareṇa nābhiṃ niṣṭarkyaṃ granthiṃ kṛtvā dakṣiṇato nābheḥ paryūhate
2.5.5	agne gṛhapata upa mā hvayaseti gārhapatyam abhimantrayate
2.5.6	devānāṃ patnīr upa ma hvayadhvam iti devapatnīr apareṇa gārhapatyam
2.5.7	devapatnyā lokam upatiṣṭhate patnī patny eṣa te loko namas te astu mā mā hiṃsīr iti
2.5.8	deśād dakṣiṇata udīcy upaviśatīndrāṇīvāvidhavā bhūyāsam aditir iva suputrā / asthūri tvā gārhapatyopaniṣade suprajās tvāyeti
2.5.9	garhapatyam abhimantrayate suprajas tvā vayam ity etayā
2.5.10	mama putrāḥ śatruhaṇo atho me duhitā virāṭ / uttāham asmi saṃjayā patyur me loka uttama iti
2.5.11	puṣā te bilaṃ viṣyatv iti sarpirdhānasya bilaṃ viṣyati
2.5.12	aditir asyac chidrapatrā ity ājyasthālīm ādāya
2.6.1	tasyāṃ pavitrāntarhitāyāṃ prabhūtam ājyaṃ nirvapati mahīnāṃ payo 'sy oṣadhīnāṃ rasas tasya te 'kṣīyamāṇasya nirvapāmi devayajyāyā iti
2.6.2	dakṣiṇāgrāv adhiśrayatīdaṃ viṣṇur vi cakrama iti
2.6.3	vilāpya vā nirvapati
2.6.4	iṣe tveti dakṣiṇārdhe gārhapatyasyādhiśrayati
2.6.5	ūrje tvety apādāya vedenopayamya patnyā upayacchati
2.6.6	tat sā nimīlyānucchvasanty avekṣate mahīnāṃ payo 'sy oṣadhīnāṃ raso 'dabdhena tvā cakṣuṣāvekṣe suprajāstvāyeti
2.6.7	tejo 'sīty uttarārdhe gārhapatyasyādhiśrayati
2.6.8	tejase tvety apādāya vedenopayamyāharati tejo 'si tejo 'nu prehīti
2.6.9	āhavanīye 'dhiśrayaty agnes te tejo mā vi naid iti
2.6.10	uttareṇa prokṣaṇīḥ sphyasya vartman sādayaty agnir jihvāsi subhūr devānāṃ dhāmnedhāmne devebhyo yajuṣeyajuṣe bhaveti
2.6.11	athainad adhvaryuś ca yajamānaś ca nimīlyānucchvasantāv avekṣata ājyam asīti pratipadya tasya te bhakṣīyety antena
2.6.12	athainad agrābhyāṃ pavitrābhyāṃ punarāhāraṃ trir utpunāti śukram asi // jyotir asi // tejo 'sīty etair mantrair
2.6.13	ājyavatībhyāṃ pavitrābhyāṃ prokṣaṇīr utpunāti devo vaḥ savitotpunātv iti paccho gāyatryā
2.7.1	niṣkāsinā sruveṇāntarvedy ājyāni gṛhṇāti vede sruco 'tyādhāya
2.7.2	caturgṛhītaṃ juhvāṃ śukraṃ tvā śukrāyāṃ dhāmnedhāmne devebhyo yajuṣeyajuṣe gṛhṇāmīty etais tribhirmantraiḥ / pañcānāṃ tvā vātānām iti caturtham
2.7.3	evam evottarair mantrair upabhṛti dhruvāyām iti gṛhṇāti
2.7.4	aṣṭagṛhītam upabhṛti caturgṛhītaṃ dhruvāyām / pañcagṛhītaṃ paśukāmasya
2.7.5	tair eva mantrair yajamāno 'numantrayate
2.7.6	api vādhvaryavair evādhvaryur gṛhṇīyāt
2.7.7	yājamānair yajamāno 'numantrayate
2.7.8	bhūyo juhvāṃ gṛhṇāty alpīya upabhṛti bhūyiṣṭhaṃ dhruvāyām
2.7.9	samaṃbilaṃ dhārayamāṇo juhvāṃ gṛhṇāti madhyadeśa upabhṛti bhūmau pratiṣṭhitāyāṃ dhruvāyām
2.7.10	nāntarvedi gṛhītasya paścāt pratiharati
2.7.11	notkara ājyaṃ kiṃcana sādayati
2.7.12	āpo devīr agrepuva iti prokṣaṇīr abhimantrya brahmāṇam āmantrayate brahman prokṣiṣyāmīti
2.7.13	prasūto brahmaṇā viṣāyedhmaṃ prokṣati kṛṣṇo 'sy ākhareṣṭho 'gnaye tvā svāheti
2.7.14	vedir asīti vedim / barhir asīti barhiḥ / ekaikaṃ tris triḥ prokṣati
2.7.15	antarvedi purogranthi barhir āsādya prokṣati / dive tvety agram / antarikṣāya tveti madhyam / pṛthivyai tveti mūlam
2.7.16	srucyagrāṇy upapāyya mūlāny upapāyayati
2.8.1	saha srucā purastāt pratyañcaṃ granthiṃ pratyukṣati poṣāya tveti
2.8.2	yat prokṣaṇīnām ucchiṣyeta tad antarvedi ninayati svadhā pitṛbhya iti
2.8.3	dakṣiṇāyai śroṇer upakramyottarasyāḥ saṃtatāṃ dhārāṃ srāvayati
2.8.4	pūṣā te granthiṃ viṣyatv iti barhir visraṃsayati
2.8.5	ūrdhvaṃ prāñcam udgūḍhaṃ pratyañcam āyacchati
2.8.6	purastāt prastaraṃ gṛhṇāti / nānumārṣṭi na pratimārṣṭi nāvadhūnoti / karṣann ivāpādatte viṣṇo stūpo 'sīti
2.8.7	tasmin pavitre apisṛjaty ayaṃ prāṇaśś cāpānaś ca yajamānam api gacchatām / yajñe hy abhūtāṃ potārau pavitraṃ havyaśodhana iti
2.8.8	tataḥ saṃpreṣyati stṛṇīta barhiḥ paridhatta vediṃ jāmiṃ mā hisīr amuyā śayānā / darbhaiḥ stṛṇīta haritaiḥ suvarṇair niṣkā ime yajamānasya bradhna iti
2.8.9	brahmaṇe prastaraṃ prayacchati prāṇāpānābhyāṃ tvā satanuṃ karomīti
2.8.10	brahmā yajamānāya yajamāne prāṇāpānau dadhāmīti
2.8.11	mayi prāṇāpānāv iti yajamānaḥ pratyāha
2.8.12	śulbaṃ stṛṇāty ūrṇām radasaṃ tvā stṝṇāmīty ā dakṣiṇāyai śroṇeḥ prapādyottarasmād aṃsāt saṃtatam
2.8.13	sarvasyāṃ vedyāṃ barhiḥ stṛṇāti bahulam anatidṛśnam ūrṇām radasaṃ tvā stṝṇāmīti tridhātu pañcadhātu vā prāg apavargaṃ pratyagapavargaṃ vā
2.8.14	agrair mūlāny ācchādayati
2.9.1	dhātaudhātau mantraṃ japati
2.9.2	atraike 'nūyājārthe ulmuke nirūhanti
2.9.3	prastaraṃ dhārayamāṇo 'pareṇāhavanīyaṃ saṃspṛṣṭān paridhīn paridadhāti / udagagraṃ madhyamaṃ gandharvo 'si viśvāvasur itīndrasya bāhur asīti dakṣiṇaṃ mitrāvaruṇau tvety uttaram
2.9.4	abhyagram āhavanīyaṃ dakṣiṇam avāgram uttaram
2.9.5	evam anupūrvāṇy evaiṣv ata ūrdhvaṃ karmāṇi kriyante
2.9.6	sūryas tvā purastāt pātv ity āhavanīyam abhimantrya madhye 'gner ūrdhve āghārasamidhāv ādadhāti
2.9.7	vītihotraṃ tvā kava iti dakṣiṇām
2.9.8	tūṣṇīm uttarām
2.9.9	barhiṣaḥ samāv anantargarbhau vidhṛtī kṛtvā madhye veder udīcīnāgre nidadhāti viśo yantre stha iti
2.9.10	vidhṛtyoḥ prastaraṃ sādayati vasūnāṃ rudrāṇām ādityānāṃ sadasi sīdeti
2.9.11	prastare juhūṃ juhur asi ghṛtācīti
2.9.12	samaṃ mūlair daṇḍaṃ karoti
