#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
1.18.1	darśapūrṇamāsau cāturmāsyān vārambhamāṇo vyāhṛtībhir havīṃṣy āsādayati saṃvatsare paryāgate ca
1.18.2	āhitāgner vratāni
1.18.3	sūryoḍho 'tithir vasatyai nāparudhyaḥ
1.18.4	yady aparudhyetāsyāgnir anugacchet
1.18.5	narbīsapakvasyāśnīyāt
1.18.6	klinnamedho nāgnāv ādadhyāt
1.18.7	nāvyantaram apo nāśnīyāt
1.18.8	svakṛta iriṇe pradare vā nāvasyen na yajeta
1.18.9	hiṃkṛtya vāgyataḥ striyaṃ saṃbhavet
1.18.10	ahute 'gnihotre nāśnīyāt
1.18.11	na naktam anyatrānnād dadyāt
1.18.12	paśunāniṣṭvā saṃvatsare na māṃsam aśnīyāt
1.18.13	ādiṣṭas tu manasāgnibhyaḥ prahiṇomīti bhakṣayati
1.19.1	punar agnyādheyasyādhānena kalpo vyākhyātaḥ
1.19.2	agniṣv āhiteṣu yo 'smin saṃvatsare bandhujyāniṃ putrajyāniṃ vābhyeti na vardhate svenāṅgena vā vyṛdhyate sa udvāsya punar ādadhīta
1.19.3	darśena pūrṇamāsena veṣṭvāgneyam aṣṭākapālaṃ vaiśvānaraṃ dvādaśakapālam agnim udvāsayiṣyan nirvapet
1.19.4	agnir mūrdhā bhuva ity āgneyasya vaiśvānaro ajījanat pṛṣṭo divīti vaiśvānarasya
1.19.5	yā te agne utsīdataḥ pavamānā yā te pāvakā yā te agne sūrye śucir yās te agne kāmadughā vibhaktīr yās te agne saṃbhṛtīr ye te agne vānaspatyā agann agnir iti saptāhutīḥ purastāt sviṣṭakṛta upajuhoti
1.19.6	siddheṣṭiḥ saṃtiṣṭhate
1.19.7	jvalato 'gnīn utsṛjati yāvad darśapūrṇamāsau
1.19.8	saṃvatsaraṃ dvādaśāhaṃ vā visṛṣṭāgnir bhavati
1.19.9	tadānīm evādbhir agnīn samabhyukṣya brahmaudanaṃ śrapayitvopavasati
1.19.10	rohiṇī punarvasū anūrādhāś ca punarādhānanakṣatrāṇi prāvṛṭcharadāv ṛtū
1.19.11	na saṃbhṛtyāḥ saṃbhārāḥ
1.19.12	saṃbhṛtyā vā
1.19.13	saṃbhāramantrā bhavantīty eke
1.19.14	yajūṃṣi na bhavantīty eke
1.19.15	agnyāyataneṣu saṃvatsarapravātān darbhān saṃstīrya bhūmir bhūmneti sarparājñībhir gārhapatyam ādadhāti madhyaṃdina itarān
1.19.16	sarvān vā madhyaṃdine
1.19.17	purāṇair darbhair āhavanīyaṃ śarāva uddhṛtya yat tvā kruddhaḥ parovapety anvāhāryapacanam ādadhāti yat te manyuparoptasyety āhavanīye
1.19.18	mano jyotir juṣatām ity āhitam upatiṣṭhate
1.19.19	punas tvādityā rudrā iti dvābhyām upasaminddhe
1.19.20	mano jyotir juṣatām ity āhutiṃ juhoti
1.19.21	sapta te agne samidhaḥ sapta jihvā ity agnihotraṃ juhoti
1.19.22	sā pūrṇāhutir bhavati
1.20.1	āgneyam aṣṭākapālaṃ pañcakapālaṃ vā nirvapati
1.20.2	prāg uttamād anūyājād upāṃśu kriyate 'gne 'gnim agnināgnir iti caturṣu prayājeṣu catasro vibhaktīr dadhāti
1.20.3	samidhāgniṃ duvasyateti budhanvaty āgneyasyājyabhāgasyehy ū ṣu bravāṇi ta itīndumatī saumyasya
1.20.4	agne tam adyādhā hy agna iti paṅktyau yājyānuvākye bhavato 'dhā hy agna ābhiṣṭe adya gīrbhir iti vā
1.20.5	punar ūrjā saha rayyety abhitaḥ puroḍāśam āhutī juhoti
1.20.6	agniṃ prati sviṣṭakṛtaṃ nirāhābhiṣ ṭe adyaibhir no arkair iti
1.20.7	triṣṭubhau saṃyājye
1.20.8	punar niṣkṛto ratho dakṣiṇā punar utsyūtaṃ vāsaḥ punar utsṛṣṭo 'naḍvān
1.20.9	agner agnāv iti dvayor anūyājayor dve vibhaktī dadhāti
1.20.10	uccair uttamam anūyājaṃ saṃpreṣyati
1.20.11	agninyaktāḥ patnīsaṃyājānām ṛcaḥ syuḥ
1.20.12	āgnivāruṇam ekādaśakapālam anunirvapet tvaṃ no agne sa tvaṃ no agna iti yājyānuvākye
1.20.13	saṃtiṣṭhate punaragnyādhānaṃ
1.20.14	yas tṛtīyam ādadhāti lekaḥ salekaḥ suleka iti sa etān homān juhuyāt
1.20.15	arthāyārthāyāhavanīyaṃ gārhapatyāt praṇayet
1.20.16	nityo dhāryo gataśriya āyuṣkāmasya vā
1.20.17	apahṛtāgner naṣṭāraṇīkasya ca brahmaudanenaiva pratipadyate pratipadyate
2.1.1	athāgnihotram
2.1.2	agnihotraṃ sāyaṃprātargṛhāṇāṃ niṣkṛtim apaśyann iti vijñāyate
2.1.3	agnihotrasya yajñakrator eka ṛtvig adhvaryuḥ
2.1.4	sāyam adhivṛkṣasūrye 'dhāstamitasūrye vā jvalantaṃ gārhapatyād āhavanīyam uddharati prātar uṣasi prāg udayād vāpi vā naktam āhavanīyaṃ dhārayet
2.1.5	sugārhapatya ud budhyasveti dvābhyāṃ gārhapatyam upasthāyoddhareti yajamānaḥ saṃpreṣyati
2.1.6	dhṛṣṭir asi brahma yacchety adhvaryur upaveṣam ādāya vācā tvā hotreti tena gārhapatyād āhavanīyam uddharati
2.1.7	ihāmehām iti yathāyony anvāhāryaṃ nidadhāti
2.1.8	bhūr bhuvaḥ suvar ity uddhṛtaṃ yajamāno 'bhimantrayate 'hnā yad ena iti sāyaṃ rātryā yad ena iti prātaḥ
2.1.9	amṛtāhutim ity āyatane pratiṣṭhāpayaty agnim agnau svāheti sāyaṃ pratyaṅmukhaḥ sūryam agnau svāheti prātaḥ prāṅmukhaḥ
2.1.10	viśvadānīm ābharanta iti svayam idhmahasto yajamāno vihāram abhyeti
2.1.11	yad agne yāni kāni ceti pañcabhiḥ pratimantram agniṣv idhmān ādadhāti
2.1.12	agne gṛhapate śundhasvety etaiḥ pañcabhiḥ paryukṣaṇaparisamūhanoparipuṣpakaraṇair agnīn alaṃkaroti purastād upariṣṭāc ca
2.1.13	darbhaiḥ prāg uttarāgram agnīn paristṛṇāti
2.2.1	uttareṇa gārhapatyam agnihotrasthālīṃ sruvam agnihotrahavaṇīṃ ca prakṣālya kūrce prayunakti pālāśīṃ samidhaṃ ca
2.2.2	iḍāsi vratabhṛd iti dakṣiṇena vihāram avasthitāṃ gām agnihotrīṃ yajamāno 'numantryeyam asīti vedim abhimṛśati
2.2.3	adhvaryuḥ pūṣāsīti vatsaṃ dakṣiṇata upasṛjya prācīm udīcīṃ vāvṛtyānyaḥ śūdrād astamita udite cāgnihotrasthālyā dogdhi dohanena ca
2.2.4	dugdhvā sthālyām ānayati
2.2.5	na saṃmṛśati
2.2.6	pūrvau dahyāj jyeṣṭhasya jyaiṣṭhineyasyety uktaṃ
2.2.7	yajamāno vidyud asīty apa upaspṛśyāpareṇāhavanīyam atikramya dakṣiṇata upaviśati patnī ca svaloke
2.2.8	sāyaṃ prātaḥ saṃdhyayor hotavyam
2.2.9	nakṣatraṃ dṛṣṭvā pradoṣe niśāyām upoṣasi purodayaṃ samayāv iṣita udite vā
2.2.10	pradoṣānto homakālaḥ sāyaṃ saṃgavāntaḥ prātaḥ
2.2.11	tam atinīya doṣā vastor namaḥ svāheti sāyaṃ caturgṛhītaṃ juhuyāt prātar vastor namaḥ svāheti prātaḥ
2.2.12	ubhayatra vyāhṛtīr japitvā varaṃ dattvā juhuyāt
2.2.13	ā prātarāhutikālāt sāyam āhutikāla ā sāyamāhutikālāt prātarāhutikāla ity āpatkalpaḥ
2.2.14	ṛtaṃ tvā satyena pariṣiñcāmīti hastena sāyaṃ pariṣiñcati satyaṃ tvarteneti prātaḥ
2.2.15	yajñasya saṃtatir asīti gārhapatyāt saṃtatām apāṃ dhārāṃ srāvayaty āhavanīyāt
2.2.16	gārhapatyaśroṇim āsādya ghṛṣṭir asīti ghṛṣṭim ādāya bhūtakṛtaḥ sthety udīco 'ṅgārān nirūhya vyantān kṛtvā sagarāḥ sthety abhimantryāgnaya ādityaṃ gṛhṇāmy ahne rātrim iti sāyaṃ homyam ādāyeḍāyāḥ padam ity aṅgāreṣv adhiśrayati
2.3.1	ādityāyāgniṃ gṛhṇāmi rātryā ahar iti prātarhomyam
2.3.2	agnis te tejo mā dhākṣīd iti darbhair abhidyotyāmṛtam asīti sruveṇa dohanasaṃkṣālanaṃ ninīya punar eva pūrvavad abhidyotyāntaritaṃ rakṣa iti triḥ paryagnikaroti
2.3.3	gharmo 'si rāyaspoṣavanir iti vartma kurvann udag udvāsayati
2.3.4	iha prajāṃ paśūn dṛṃheti vedyāṃ pratiṣṭhāpya prajāṃ me yacchety antike kṛtvā pratyūḍhaṃ janyaṃ bhayam iti gārhapatye 'ṅgārān dhṛṣṭyā pratyūhati
2.3.5	devasya tveti sruvam agnihotrahavaṇīṃ cādāya pratyuṣṭam iti niṣṭapya suparṇāṃ tvety agnihotrahavanīṃ saṃmārṣṭi
2.3.6	ariṣṭo yajamānaḥ patnī cety ubhayaṃ saṃmṛjyom unneṣyāmīti sāyaṃ yajamānam āmantrayata om unnayāmīti prātaḥ
2.3.7	yajamāno havir devānām ity upāṃśūktvom unnayety uccaiḥ pratyāha
2.3.8	unnayanaprabhṛtyā homān na caṅkramyate
2.3.9	vācaṃ yacchati
2.3.10	agnaye ca tvā pṛthivyai connayāmīti caturbhiḥ sthālyāś caturaḥ sruvān pūrṇān agnihotrahavaṇyām unnayaty uttamena dviḥ pañcāvattinaḥ
2.3.11	unnītaṃ daśahotrābhimṛśati
2.3.12	sajūr devaiḥ sāyaṃyāvabhir ity unnītaṃ sthālīṃ ca sāyaṃ saṃmṛśati sajūr devaiḥ prātar yāvabhir iti prātaḥ
2.4.1	tāṃ samidham ādāyopariṣṭāt srugdaṇḍa upasaṃgṛhya paśūn me yacchety apareṇa gārhapatyaṃ kūrce nidadhāti
2.4.2	yajamāno nama īśāpatyārcir harati
2.4.3	prāṅ haran daśahotāraṃ vyākhyāyāgnaye tvā vaiśvānarāyeti madhyadeśe nigṛhya vātāya tvety udyamyāyur me yacchety apareṇāhavanīyaṃ kūrca upasādayati
2.4.4	eṣā te agne samid iti pālāśīṃ samidham ādadhāti
2.4.5	vidyud asīty apa upaspṛśyādīptāyāṃ samidhi prāṇāyāmaṃ kṛtvā payasā ghṛtena dadhnā taṇḍulair yavāvaudanena somena vāgnir jyotir jyotir agniḥ svāheti sāyaṃ kanīyasīṃ pūrvām āhutiṃ juhuyāt sūryo jyotir jyotiḥ sūryaḥ svāheti prātaḥ
2.4.6	agnir jyotir jyotiḥ sūryaḥ svāheti sāyaṃ sūryo jyotir jyotir agniḥ svāheti prātar ity evaṃ saṃsṛṣṭahomam eke samāmananti
2.5.1	varco me yaccheti punar eva kūrce upasādayati
2.5.2	lepam ādāyottarataḥ kūrce oṣadhībhyas tvauṣadhīr jinveti lepaṃ nimṛjyāgne gṛhapateti gārhapatyaṃ dakṣiṇāvṛt pratīkṣate
2.5.3	atihāya pūrvām āhutiṃ bhūr bhuvaḥ suvar ity uttarāṃ bhūyasīṃ juhuyāt tūṣṇīṃ vā
2.5.4	bhakṣāya bhūyaḥ kuryāt
2.5.5	hutvā bhūmānaṃ viṣṇuṃ dhyāyet
2.5.6	srucam udgṛhya rudra mṛḍeti srucodīcīṃ jvālāṃ trir ativalgayati
2.5.7	iṣe tveti sāyaṃ lepam abhyavamārṣṭi
2.5.8	ūrje tvety ūrdhvaṃ prātar unmārṣṭi
2.5.9	kūrce srucaṃ nidhāya pitṛbhyas tvā pitṝñ jinveti dakṣiṇataḥ sthaṇḍile nīcā pāṇinā lepaṃ nimṛjya vṛṣṭir asīty apa upaspṛśya pūṣāsīti dvir anāmikāṅgulyāśiñjann atihāya dataḥ prāśyācamya punaḥ prāśnāti
2.5.10	āgneyaṃ haviḥ prajananam iti prācīnadaṇḍayā srucā bhakṣayati sauryaṃ haviḥ prajananam iti prātar dviś ca nirleḍhi
2.5.11	darbhaiḥ srucaṃ śodhayityādbhiḥ pūrayitvocchiṣṭabhājo jinvety uttareṇāhavanīyam apo visṛjet
2.6.1	tām agnihotrahavaṇīṃ niṣṭapya punas toyaiḥ saṃśodhya punar adbhiḥ pūrayitvā sarpebhyas tvā sarpāñ jinveti pūrvasyāṃ saṃsrāvyākṣitam asīti vedimadhye gṛhebhyas tvā gṛhāñ jinveti patny añjalau ca
2.6.2	sapta ṛṣīn prīṇīhīty uttareṇa gārhapatyam apāṃ śeṣaṃ visṛjet
2.6.3	sruveṇāgnaye gṛhapataye svāheti gārhapatye 'gnaye 'dābhāya svāhety anvāhāryapacane 'gnaye bhūr bhuvaḥ suvaḥ svāheti sabhye 'gnaye 'nnapataye svāhety āvasathye hutvā sarveṣu viṣṇave svāheti dvitīyāṃ juhoti
2.6.4	punaḥ pūrvavat pariṣiñcati
2.6.5	sruvādīn prakṣālyottareṇāpo visṛjya vedyāṃ nikṣipet
2.6.6	tejo mūrtir ātmā hṛdaye 'ntar ūrdhvaṃ jvalann agniśikhāmadhye sthitas tasyāḥ śikhāyā madhye param ātmeti śrutiḥ
2.6.7	tato homānte sarvatrātmānaṃ prokṣya gārhapatyād bhasmādāya lalāṭe hṛdaye kukṣau bāhvoḥ kaṇṭhe ca taj jvālārūpaṃ caturaṅgulaṃ dīpavad ūrdhvāgraṃ puṇḍraṃ kuryād yajamānaḥ
2.6.8	tena śubhaṃ labdhvātmayogam ante prāpnoti
2.7.1	uttarām āhutim anu yajamāna āyatanād utthāya kavātiryaṅṅ ivāhavanīyam upaprayanto adhvaram ity anuvākena sāyam upatiṣṭhate
2.7.2	tatrāgnīṣomāv imaṃ su ma iti pañcamyāgnīṣomīyayā pūrvapakṣa ubhā vām indrāgnī ity aindrāgnyā tatsthāne 'parapakṣe
2.7.3	agna āyūṃṣīti ṣaḍbhir uttarābhir upatiṣṭhat
2.7.4	agna āyūṃṣy agne pavasvety āgnipāvamānībhyāṃ saṃvatsare saṃvatsare gārhapatyam upatiṣṭhate pavamānahavirbhir vā yajeta
2.7.5	āyurdā agne 'syāyur me dehīty āhavanīyaṃ citrāvaso svasti te pāram aśīyeti rātrim upatiṣṭhate
2.7.6	indhānās tvā śataṃ himā ity upasaminddhe
2.7.7	saṃ tvam agna ity anuvākaśeṣeṇāhavanīyam upatiṣṭhate
2.7.8	saṃpaśyāmi prajā aham iti gṛhān paśūṃś ca
2.7.9	ambhaḥ sthāmbho va iti goṣṭham
2.7.10	revatī ramadhvam ity antarāgnī tiṣṭhañ japati
2.7.11	saṃhitāsīty agnihotryā vatsam abhimṛśaty agnihotrīṃ vā
2.7.12	apa tvāgne dive diva iti tisṛbhir gāyatrībhir agne tvaṃ na iti dvipadābhir gārhapatyam upatiṣṭhate
2.8.1	ūrjā vaḥ paśyāmīti gṛhān paśūṃś ca
2.8.2	tat savitur vareṇyam iti sāvitryāhavanīyaṃ somānaṃ svaraṇam iti ca
2.8.3	kadā cana starīr asīti rātrim
2.8.4	pari tvāgne puraṃ vayam iti gārhapatyam agne gṛhapata iti ca tām āśiṣam āśāse tantave jyotiṣmatīm ity ajātaputro 'muṣmai jyotiṣmatīm iti jātaputro 'muṣmā amuṣmā iti yāvanto 'sya putrā jātā bhavanti jyotiṣmatīm ity antato vadati
2.8.5	bhuvanam asi sahasrapoṣapuṣīti punar eva vatsam ālabhate 'gnihotrīṃ vā
2.8.6	mahi trīṇām avo 'stv iti māhitreṇa tṛcenāhavanīśam upatiṣṭhate
2.8.7	dūraṃ pravasataḥ svastikāmas tam etena tṛcena paśyet
2.8.8	svasti punar āgacchec chaddhikāmaś canaṃ japed anyatrāpi yajñāt
2.8.9	api vā bhūr bhuvaḥ suvaḥ suprajāḥ prajayā bhūyāsam iti sāyam upatiṣṭheta
2.8.10	api vā divas parīti vātsapreṇa sāyaṃ prātar upatiṣṭhate
2.9.1	payasā mumukṣoḥ śrīkāmasya vā juhuyād ājyena tejaskāmasya dadhnndriyakāmasya yavāgvā grāmakāmasyaudanenānnādyakāmasya taṇḍulair ojaskāmasya pāpmānaṃ hantukāmasya vā piṣṭena vidyākāmasya somena brahmavarcasakāmasya
2.9.2	dadhnas taṇḍulānāṃ somasya nādhiśrayaṇapratiṣecane
2.9.3	pratiṣecakāla ājyasya darbhataruṇau pratyasyet
2.9.4	parvaṇy eva rājanyasyāgnihotraṃ bhavati
2.9.5	aharahar nityaṃ brāhmaṇebhyo 'nnaṃ dīyate
2.9.6	tad etad antarāle 'syāgnihotraṃ bhavati
2.9.7	nityam agnir upastheyaḥ
2.9.8	yaḥ somayājī tasya sadāgnihotraṃ juhuyāt
2.9.9	ahar ahar yajamānaḥ svayam agnihotram juhuyācchiṣyo vā
2.9.10	dīdihi dīdyāsaṃ dīditā me 'asi svāhety agnīn upasaminddhe
2.9.11	apiprer agne svāṃ tanvam ayāḍ dyāvāpṛthivī ūrjam asmāsu dhehīty agnihotrasthālyāṃ barhir aṅktvāhavanīye 'nupraharati
2.9.12	sā hy agnihotrasya saṃsthitiḥ
2.9.13	na barhir anupraharet
2.9.14	asaṃsthito vā eṣa yajño yad agnihotram iti vijñāyate
2.10.1	yajamāno 'gnibhyaḥ pravatsyann agnīn samādhehīti saṃpreṣyati
2.10.2	śuciḥ svāyatane tiṣṭhan mama nāma prathamaṃ jātaveda iti jvalantam āhavanīyam upasthāya tat sakāśe vācaṃyamaḥ pravased asakāśe visṛjeta
2.10.3	adhaśśayyas tryupāyī
2.10.4	na daśamīm atipravasati
2.10.5	na parvaṇi
2.10.6	vratakāle vrataṃ carati
2.10.7	vihāram abhimukho 'gnīn upatiṣṭhata ihaiva san tatra sato vo agnaya iti ca
2.10.8	yady anupasthāya pravased etām eva vihāram abhimukho japet
2.10.9	proṣya samidho dhārayañ chadir darśe kaṃcid apy anādṛtyāgnīn pratīyāt
2.10.10	viśvadānīm ābharanta iti vihāram abhyetyāgnīnām sakāśe vācaṃ yacchati sakāśe visṛjate
2.10.11	agnīn samādhehīti saṃpreṣyati
2.10.12	mama nāma tava ca jātaveda ity āhavanīyam upatiṣṭhate
2.10.13	namo 'gnaye 'pratividdhāyeti gārhapatyam
2.10.14	tvat pitāra ity anvāhāryapacanam
2.10.15	ayam agniḥ śreṣṭhatama iti punar āhavanīyam
2.10.16	vratabhreṣe mano jyotir juṣatām ity āhutiṃ juhuyāt
2.10.17	pravatsyan proṣyāgataś ca virāṭkramair evopatiṣṭhata ity eke
2.10.18	pravatsyato 'dhvaryur agnīn na saminddha ity āhuḥ
2.10.19	kaḥ śreyāṃsaṃ viṣuptaṃ bodhayiṣyatīti
2.10.20	asamindhāno 'bhayaṃkarābhayaṃ me kuru svasti me 'stu pravatsyāmīti pravatsyann upatiṣṭhate 'bhayaṃkarābhayaṃ me 'kārṣīḥ svasti me 'stu prāvātsam iti proṣyāgataḥ
2.10.21	tūṣṇīm evāgnīn praṇamy apravased ity eke
2.10.22	gṛhā mā bibhīteti pañcabhir gṛhān abhyeti
2.10.23	pūrvasaṃjātam aparādhamasya tad ahar nivedayeyuḥ sa caitān nāpavadet
2.10.24	gṛhān aham iti saṃviśati
2.10.25	viśvā uta tvayā vayam iti patnīṃ samīkṣate
2.11.1	atha sagṛhaḥ pravatsyan yatra pañca nava daśa rātrīḥ saṃhitā vasati yatra vā navarātraṃ vāstu kutaś cit kāraṇāt punar abhyety ekām uṣitvā pravatsyan vāstoṣpatīyaṃ juhuyāt
2.10.1	yady anovāhyaṃ bhāṇḍaṃ syāt sarvamanasyādadhāti yad voḍhum aśakyaṃ syāt tad ahuta evopoddharanti
2.10.2	agniṣṭhasya dakṣiṇo yukto bhavati savyo 'yukto 'tha vāstoṣpata ity anudrutyottarayā gārhapatye juhoti
2.10.3	na hute 'bhyādadhāti
2.10.4	na hīnam anvāharanti
2.10.5	nāvakṣāṇāny asaṃprakṣāpya prayānti
2.10.6	ayaṃ te yonir ṛtviya iti pṛthag araṇīṣv agnīn samāropayate 'pi vā yā te agne yajñiyā tanūr ity ātmani hastaṃ pratāpya vā mukhāyāharata upāvaroha jātaveda ity ātmany ārūḍham araṇyor upāvarohya prāgastamayān manthet
2.10.7	api vā laukike 'gnāv upāvarohety upāvarohayata idaṃ śreya ity avasite juhoti juhoti
3.1.1	sarvebhyaḥ kāmebhyo darśapūrṇamāsau
3.1.2	tān yugapat kāmayeta
3.1.3	api vā pṛthakkāmaḥ pṛthag āharet
3.1.4	darśapūrṇamāsābhyāṃ yāvaj jīvaṃ yajeta triṃśataṃ vā varṣāṇi jīrṇo vā viramed ity eke
3.1.5	tābhyāṃ paramām eva kāṣṭhāṃ gacchatīti vijñāyate
3.1.6	tau samānopadeśau
3.1.7	vacanād vyavatiṣṭhete
3.1.8	yajamānasyaiva samaste kratau śrūyamāṇaṃ kāmānāṃ kāmanaṃ brahmacaryaṃ dravyopasthāpanaṃ dakṣiṇādānam akarmakaraṇā mantrāḥ pratyag āśiṣaḥ
3.1.9	candramasūnaṃ pūrṇaṃ vā vijñāya pūrvasmin parvaṇi paurṇamāsena yakṣya ity uktvā keśaśmaśrūṇi vāpayitvopavasati
3.1.10	candramasaṃ duṣṭam aduṣṭaṃ vā vijñāya caiva darśena yakṣya ity uktvopavasati
3.1.11	adhvaryuḥ prātaragnihotraṃ hutvānugamayitvāpoddhṛtya vodita āditye dhyāyan nārāyaṇaṃ viṣṇor nu kam iti japitvā gārhapatyād āhavanīyam uddhṛtyāhavanīyāyatane 'gniṃ pratiṣṭhāpya devā gātuvida iti japitvā mamāgne varca iti samidham anvādadhāti
3.2.1	yajamāno 'gniṃ gṛhṇāmi surathaṃ vasūn rudrān imām ūrjam iti trīn āhavanīye 'nvādhīyamāne japati paurṇamāsaṃ havir iti paurṇamāsyām āmāvāsyaṃ havir ity amāvāsyāyām
3.2.2	antarāgnī paśava ity antarāgnī tiṣṭhañ japati
3.2.3	adhvaryur mama devā iti gārhapatyam anvādadhāti
3.2.4	iha prajā iha paśava iti dvau yajamāno japati
3.2.5	adhvaryur mayi devā ity anvāhāryapacanam anvādadhāti
3.2.6	ayaṃ pitṝṇām iti yajamāno japati
3.2.7	vyāhṛtībhir anvādadhātīty eke
3.2.8	ajasraṃ tvāṃ sabhāpālā ity adhvaryuḥ sabhyam anvādadhati
3.2.9	tam eva yajamāno japati
3.2.10	annam āvasathīyam ity adhvaryur āvasathyam anvādadhāti
3.2.11	tam eva yajamāno japati
3.2.12	adhvaryuṇānvāhiteṣv idam aham agnijyeṣṭhebhya ity uttarata upaviśati japati
3.2.13	payasvatīr oṣadhaya iti prāg barhiṣaḥ paurṇamāsyāṃ dampatī māṣamāṃsavarjaṃ sarpiṣā dadhnā payasā vā miśram aśnītaḥ prāg vatsebhyo 'māvāsyāyām
3.2.14	kāmaṃ suhitau syātām
3.2.15	vidyud asīty apa upaspṛśyāpareṇāhavanīyaṃ dakṣiṇātikramya payasvatīr oṣadhaya ity apa ācāmati
3.2.16	devā deveṣu parākramadhvam iti devatā upatiṣṭhate
3.2.17	agne vratapata iti pañcabhir āhavanīye samidho 'bhyādadhāti
3.2.18	samudraṃ manasā dhyāyann agne vratapate vrataṃ cariṣyāmīti pañcabhir yathāliṅgaṃ devatā upatiṣṭhamāno vratam upaiti
3.2.19	samrāḍ asīty ādityam upatiṣṭhate
3.2.20	yady astam ite vratam upeyād āhavanīyam evaitenopatiṣṭhate
3.2.21	parvaṇi yajamānaḥ svayam agnihotraṃ juhoti yavāgvām āvāsyāyāṃ saṃ nayann agnihotroccheṣaṇam ātañcanāya nidadhāti
3.2.22	satyavādyas try upāyī sāyamāśe grāmyān upavasatyāraṇyasyāśnāty apo vāśnāti na vā kiṃcana
3.2.23	yena prātar yakṣyamāṇaḥ syāt tannāśnīyāt
3.3.1	upetavratasya saṃnayato 'dhvaryuḥ saṃgava iṣe tveti bahuparṇāṃ bahuśākhām aśuṣkāgrāṃ prācīm udīcīṃ vā palāśaśākhāṃ śamīśākhāṃ vācchinatty urje tvety anumārṣṭi saṃnamayati vā
3.3.2	imāṃ prācīm ity āharati
3.3.3	vāyavaḥ stheti tayā tryavarān vatsān apākaroti
3.3.4	sadarbhayā tayety eke darbhair vā
3.3.5	devā va iti tryavarā vatsamātṛgocaram abhi prerayati
3.3.6	śuddhā apa iti preritā anumantrayate
3.3.7	dhruvā asminn iti yajamānam īkṣate
3.3.8	agrenāhavanīyaṃ pradakṣiṇaṃ śākhām āhṛtyāpareṇa gārhapatyaṃ yajamānasya paśūn pāhīty agniṣṭhe 'nasi mekhalāyāṃ vā nidadhāti
3.3.9	devasya tvety aśvaparśum asidaṃ vādāya yajñasya ghoṣad asīty abhimantrayate gārhapatyaṃ vopatiṣṭhate
3.3.10	pratyuṣṭam iti tasmin niṣṭapati
3.3.11	preyam agād ity urv antarikṣaṃ prehīti cahavanīyam abhipraiti
3.4.1	iha barhir āsada iti vediṃ pratyavekṣate
3.4.2	yatra barhir dāsyan bhavati tām diśam etya viṣṇoḥ stūpo 'sīty ekaṃ stambam utsṛjya devānāṃ pariṣūtam asīty anyaṃ pariṣauti
3.4.3	paśūnāṃ tvā bhāgam utsṛjāmīti pariṣūtasyaikāṃ darbhanāḍīm utsṛjyedaṃ devānām iti pariṣūtam abhimṛśyedaṃ paśūnām ity utsṛṣṭam abhimṛśya devasya tveti pariṣūtam abhigṛhya devabhyas tvety ūrdhvam unmṛjya deva barhir ity asidaṃ nidhāya yā jātā ity abhimantryācchettā ta ity ācchindand saṃnakhaṃ muṣṭiṃ dāti
