#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
1.15.15	ūrjaṃ dhatsveti puroḍāśyān abhimṛśati
1.15.16	payo mayi dhehīty ātmānaṃ pratyabhimṛśati
1.15.17	apahataṃ rakṣa iti tatas tṛṇaṃ loṣṭaṃ vā nirasyāpa upaspṛśya
1.15.18	daśahotāraṃ vyākhyāya
1.15.19	yacchantāṃ pañca gopīthāya vo nārātaya iti muṣṭiṃ pūrayitvā
1.15.20	srucy opya
1.15.21	devasya tveti pavitrāntarhite caturo muṣṭīn nirvapati trir yajuṣā tūṣṇīṃ caturtham
1.15.22	nirupyānvāvapati
1.15.23	etenaiva kalpena yathādevatam uttaraṃ puroḍāśaṃ nirvapati
1.15.24	pātryāṃ vā nirvapati dakṣiṇataḥ sphyam upakṛṣya sarvāñ śakaṭamantrān uktvā
1.15.25	idaṃ devānām iti niruptān abhimṛśatīdam u naḥ saheti yato 'dhi nirvapati
1.15.26	sphātyai tveti niruptān eva
1.15.27	idam ahaṃ nir varuṇasya pāśād iti puroḍāśyān ādāya pariṇaha upaniḥsarpati
1.15.28	suvar abhivikhyeṣam iti
1.16.1	sarvaṃ yajñam anuvīkṣate
1.16.2	vaiśvānaraṃ jyotir ity āhavanīyaṃ parekṣate
1.16.3	dṛṃhantāṃ duryā iti pratyavarohati
1.16.4	svāhā dyāvāpṛthivībhyām iti skannān anumantrayata urv antarikṣam anvihīti gacchati
1.16.5	adityās tvopasthe sādayāmīty apareṇāhavanīyam apareṇa vā gārhapatyam upasādayati
1.16.6	yatarasminn agnau śrapayati
1.16.7	agne havyaṃ rakṣasveti yathādevataṃ paridadāti
1.16.8	saśūkāyāṃ sruci prokṣaṇīḥ saṃskṛtya yathā purastāt
1.16.9	brahman prokṣiṣyāmīty āmantrayate
1.16.10	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām agnaye vo juṣṭaṃ prokṣāmy amuṣmā amuṣmā iti yathādevataṃ triḥ prokṣati
1.16.11	nāgnim abhiprokṣet
1.16.12	pātrāṇi prokṣati yathā purastāt
1.16.13	vātasya dhrājir asīti kṛṣṇājinam ādatte devasya tveti vā
1.16.14	avadhūtaṃ rakṣa ity ūrdhvagrīvaṃ bahirviśasanam utkare trir avadhūnoti
1.16.15	adityās tvag asīty apareṇotkaraṃ pratīcīnagrīvam uttaralomāstṛṇāti
1.16.16	prati tvā pṛthivī vettv iti purastāt pratīcīṃ bhasadam upasamasyati
1.16.17	adhiṣavaṇam asīty anutsṛjan kṛṣṇājinam ulūkhalam adhivartayati
1.16.18	agnes tanūr asīty anutsṛjann ulūkhale havir āvapati trir yajuṣā tūṣṇīṃ caturtham
1.16.19	adrir asi vānaspatya iti
1.17.1	musalam ādatte
1.17.2	ūrdhvasūr asi vānaspata iti vāvarakṣo divaḥ sapatnaṃ vadhyāsam iti trir avahanty apahatā yātudhānā apahato 'ghaśaṃsa iti vā
1.17.3	haviṣkṛd ehīti trir avaghnan haviṣkṛtam āhvayati
1.17.4	anavaghnan vā
1.17.5	ādraveti rājanyasyāgahīti vaiśyasya
1.17.6	prādurbhūteṣu taṇḍuleṣūccaiḥ samājahīti saṃpreṣyati
1.17.7	adrir asi ślokakṛd ity āgnīdhro 'śmānam ādatte
1.17.8	kuṭarur asi madhujihva iti vā kukkuṭo 'si madhujihva iti vā
1.17.9	iṣam āvadorjam āvadeti tena dṛṣadupale samāhanti
1.17.10	dvir dṛṣadi sakṛd upalāyām
1.17.11	triḥ saṃcārayan navakṛtvaḥ saṃpadayati
1.17.12	śamyayā vā tūṣṇīṃ śamyām ādatte
1.17.13	varṣavṛddham asīti purastād uttarato vā śūrpam upohati
1.17.14	varṣadvṛddhāḥ stheti puroḍāśyān abhimṛśati
1.17.15	prati tvā varṣavṛddhaṃ vettv ity udvapati
1.17.16	parāpūtaṃ rakṣa ity utkare trir niṣpunāti
1.17.17	parādhmātā amitrā iti śūrpāt tuṣān pradhvaṃsayati
1.17.18	puroḍāśakapālaṃ tuṣaiḥ pūrayitvā rakṣasāṃ bhāgo 'sīty uttarāparam avāntaradeśam adhastāt kṛṣṇājinasyopavapati
1.17.19	nānvīkṣate
1.17.20	avabāḍhaṃ rakṣa ity avabādhate
1.17.21	apa upaspṛśya
1.17.22	abhyukṣya kapālaṃ nidadhāti
1.17.23	vāyur va iti vivinakti
1.17.24	devo va iti pātryāṃ taṇḍulān praskandayati
1.18.1	triṣphalī kartava iti saṃpreṣyaty atra vācaṃ visṛjate
1.18.2	yajamānasya patny avahanti yo vā kaścana taddāsyapatnī syāt sāpi katipayakṛtvo 'vahatyānyasmai prayacchet so 'ta ūrdhvam avahanti
1.18.3	devebhyaḥ śundhadhvaṃ devebhyaḥ śumbhadhvaṃ devebhyaḥ śudhyadhvam iti patnī triṣphalī karoti suphalīkṛtān
1.18.4	nidadhāti phalīkaraṇān
1.18.5	prakṣālya taṇḍulān
1.18.6	triṣphalīkriyamāṇānāṃ yo nyaṅgo avaśiṣyate / rakṣasāṃ bhāgadheyam āpas tat pravahatād itaḥ svāhety antarvedi prakṣālanaṃ ninayati
1.18.7	vyākhyātaḥ kṛṣṇājinakalpaḥ
1.18.8	divaḥ skambhanir asīti kṛṣṇājina udīcīnakumbāṃ śamyāṃ nidadhāti
1.18.9	dhiṣaṇāsi parvatyeti tasyāṃ dṛṣadam adhivartayati
1.18.10	paścārdhenābhinidadhāti
1.18.11	dhiṣaṇāsi pārvateyīti dṛṣady upalām
1.18.12	aṃśavaḥ stha madhumanta iti taṇḍulān avekṣate
1.18.13	devasya tveti dṛṣadi taṇḍulān adhivapati
1.18.14	trir yajuṣā tūṣṇīṃ caturtham
1.18.15	prāṇāya tvāpānāya tvā vyānāya tveti pinaṣṭi
1.18.16	api vā prāṇāya tveti prācīṃ prohaty apānāya tveti pratīcīṃ vyānāya tveti madhyadeśe vyavadhārayati
1.18.17	dīrghām anv iti prācīm antataḥ
1.18.18	yathāsukham ata ūrdhvaṃ saṃtataṃ pinaṣṭi
1.18.19	devo va iti kṛṣṇājine piṣṭāni praskandayati
1.18.20	adabdhena vaś cakṣuṣāvekṣa ity avekṣate
1.18.21	avyavakirantī piṃṣāṇūni kurutād iti saṃpreṣyati
1.18.22	patnī pinaṣṭi dāsī vā
1.18.23	saitat sarvaṃ karoti
1.18.24	atra madantīr adhiśrayati
1.19.1	āhavanīye gārhapatye vā havīṃṣi śrapyante paścād agneḥ
1.19.2	yathoktam upaveṣam ādatte
1.19.3	abhihataṃ rakṣo rakṣasaḥ pāṇiṃ dahāhir asi budhniya iti vā tena pratyañcāv aṅgārau nirvartayati
1.19.4	apāgna ity anyataram uttarāparam avāntaradeśaṃ nirasyāpa upaspṛśya
1.19.5	ā devayajaṃ vahety avaśiṣṭam avasthāpya
1.19.6	dhruvam asīti tasmin kapālam upadadhāti
1.19.7	nirdagdham iti tasminn aṅgāram adhivartayati
1.19.8	dhartram asīti tasmāt pūrvam
1.19.9	aṣṭākapālasya dve madhyamād dakṣiṇe trīṇy uttarāṇi
1.19.10	tayor dharmāsīti dakṣiṇapūrvam marutāṃ śardha iti dakṣiṇāparam
1.19.11	yantram asy āśā dṛṃha rayiṃ dṛṃha poṣaṃ dṛṃha sajātān asmai yajamānasya paryūhety uttarāparam
1.19.12	viśvābhyas tvāśābhyo 'cchidraṃ sajātavanasyāyā upadadhāmīty uttarapūrvam
1.19.13	cid asīty avaśiṣṭam uttarataḥ
1.19.14	ekādaśakapālasya yathāṣṭākapālasyaivaṃ trīṇy upadadhāti
1.19.15	teṣāṃ varṣiṣṭhaṃ madhyamaṃ dve madhyamāt pūrve
1.19.16	tayoś cid asīti pūrvam
1.19.17	yathoktam avāntaradeśeṣu
1.19.18	citaḥ sthety avaśiṣṭāny uttarataḥ
1.19.19	dvādaśakapālasya yathaikādaśakapālasyaivam
1.19.20	bhṛgūṇām aṅgirasāṃ tapasā tapyadhvam iti vedena kapāleṣv aṅgārān adhyūhati
1.19.21	pātrīṃ niṣṭapyopavātāyām
1.19.22	devasya tveti tiraḥpavitraṃ kṛṣṇājināt piṣṭāni saṃvapati
1.19.23	trir yajuṣā tūṣṇīṃ caturtham
1.19.24	saṃvapan vācaṃ yacchaty abhivāsayan visṛjate
1.19.25	haryos tvā vārābhyām utpunāmīty udagagrābhyāṃ pavitrābhyāṃ piṣṭāni trir utpunāti
1.19.26	devo va iti vā
1.19.27	sruveṇa praṇītānām ādāya vedenopayamya sam āpa iti piṣṭeṣv ānayati
1.19.28	yadi praṇītā na vidyeran yā eva kāścāpo yajuṣotpūya tābhiḥ saṃnayed ity āpadarthavādaḥ
1.19.29	adbhyaḥ pari prajātāḥ stheti taptā ānayati
1.19.30	sam adbhiḥ pṛcyadhvam iti pradakṣiṇam anupariplāvayati
1.19.31	janayatyai tvā saṃyaumīti saṃyauti janayīte tveti vā
1.19.32	makhasya śiro 'sīti piṇḍaṃ karoti
1.19.33	yathābhāgaṃ vyāvartethām iti vibhajati
1.20.1	devo vāṃ savitā vibhajatu bhago vāṃ savitā vibhajatu pūṣā vāṃ savitā vibhajatu vāyur vāṃ savitā vibhajatu janayatyai tvā vibhajāmīti vā
1.20.2	samau piṇḍau kṛtvedam agnaya ity āgneyam abhimṛśatīdam amuṣmā iti yathādevatam uttaram
1.20.3	idam ahaṃ senāyā abhītvaryai mukham apohāmīti vedena dakṣiṇasmāt kapālayogād aṅgārān apohyottarasmād apohati
1.20.4	evam anupūrvāṇy eṣāṃ karmāṇi kriyante
1.20.5	samānajātīyenaikaikam anusameti kṛtsnam ekaikam apavarjayati
1.20.6	saṃyuktāni tv ekāpavargāṇi yathāvadānapradāne
1.20.7	udvapanaṃ niṣpavanaṃ ca sarvatra pradhānasaṃnipāte kriyante
1.20.8	makhasya śiro 'sīti dakṣiṇaṃ piṇḍam ādāya gharmo 'si viśvāyur iti dakṣiṇe kapālayoge 'dhiśrayati
1.20.9	gharma gharme śrayasveti vā
1.20.10	evam uttaram
1.20.11	uru prathasveti prathayati
1.20.12	sarvāṇi kapālāny abhiprathayati
1.20.13	pātryām apa ānīya tvacaṃ gṛhṇīṣveti pradakṣiṇam anatikṣārayaṃl lepenānuparimārṣṭi
1.20.14	antaritaṃ rakṣa ity ulmukena triḥ paryagni karoti
1.20.15	pari vājapatir iti vā
1.20.16	devas tvā savitā śrapayatv iti darbhair abhijvalayati
1.20.17	agnis te tanuvaṃ māti dhāg ity ulmukaiḥ paritapati
1.20.18	saṃ brahmaṇā pṛcyasveti vedena sāṅgāraṃ bhasmābhyūhati
1.20.19	brahma gṛhṇīṣveti vā
1.20.20	avidahantaḥ śrapayateti saṃpreṣyaty atra vācaṃ visṛjate
1.20.21	aṅguliprakṣālanaṃ pātrīnirṇejanaṃ colmukenābhipratapya
1.20.22	apareṇāhavanīyam apareṇa vā gārhapatyaṃ sphyenodīcīs tisro rekhāḥ kṛtvaikatāya svāheti paścātpaścād asaṃspandayaṃs trir ninayati
1.20.23	ninīya vābhitapati
1.20.24	apareṇāhavanīyaṃ yajamānamātrīṃ vediṃ karoti
1.20.25	yāvadarthāṃ tiraścīm
1.21.1	vedena vediṃ vividuḥ pṛthivīṃ sā paprathe pṛthivī pārthivāni / garbhaṃ vibharti bhuvaneṣv antas tato yajño jāyate viśvadānir iti purastāt stambayajuṣo vedena vediṃ triḥ saṃmārṣṭi
1.21.2	pūrvārdhād veder vitṛtīyadeśe stambayajur harati
1.21.3	devasya tveti sphyam ādāya
1.21.4	indrasya bāhur asīty abhimantrayate
1.21.5	sahasrabhṛṣṭiḥ śatatejā iti tasya darbheṇāgraṃ saṃśyati
1.21.6	pṛthivyai varmāsīti prāgagram udagagraṃ vā darbhaṃ nidadhāti
1.21.7	pṛthivi devayajanīti tasmin sphyena praharati
1.21.8	apahato 'raruḥ pṛthivyā iti sphyena satṛṇān pāṃsūn apādatte 'pāraruṃ vadhyāsam iti vā
1.21.9	vrajaṃ gaccha gosthānam iti harati
1.21.10	varṣatu te dyaur iti vediṃ pratyavekṣate varṣatu te parjanya iti yajamānam
1.21.11	namo dive namaḥ pṛthivyā ity uttarata uttānau hastau kṛtvāgnīdhra upaviśati
1.21.12	prakrame veder badhāneti tasmā upanivapati
1.21.13	sa utkaro bhavati
1.21.14	avabāḍho durasyur ity āgnīdhra utkaram abhigṛhṇāty añjalinā
1.21.15	parigṛhyāste
1.21.16	evaṃ dvitīyaṃ haraty evaṃ tṛtīyam
1.21.17	mā vaḥ śivā oṣadhayo mūlaṃ hiṃsiṣam iti dvitīyaṃ praharati
1.21.18	apahato 'raruḥ pṛthivyai devayajanyā iti dvitīyam apādatte
1.21.19	avabāḍhā devayajanyā yātudhānā iti dvitīyam abhigṛhṇāti
1.21.20	drapsas te divaṃ mā skān iti tṛtīyaṃ praharati
1.21.21	apahato 'raruḥ pṛthivyā adevayajana iti tṛtīyam apādatte
1.21.22	avabāḍho 'ghaśaṃsa iti tṛtīyam abhigṛhṇāti
1.21.23	tūṣṇīṃ caturtham
1.21.24	sarvaṃ darbhaṃ harati
1.21.25	ararus te divaṃ mā skān iti caturtham abhigṛhṇāti
1.21.26	sphyena vediṃ parigṛhṇāti
1.21.27	vasavas tvā parigṛhṇantv iti dakṣiṇataḥ prācīṃ lekhāṃ likhati
1.21.28	rudrās tveti paścād udīcīm
1.21.29	ādityās tvety uttarataḥ prācīm
1.21.30	prāñcau vedyaṃsāv unnayaty abhita āhavanīyaṃ pratīcī śroṇī abhi gārhapatyaṃ madhye saṃnatā bhavati
1.22.1	imāṃ narāḥ kṛṇuta vedim etya vasumatīṃ rudravatīm ādityavatīṃ varṣman divo nābhā pṛthivyā yathāyaṃ yajamāno na riṣyādeta devebhyo juṣṭām adityā upasthe imāṃ devā ajuṣanta sarve rāyaspoṣā yajamānaṃ viśantv iti saṃpreṣyati
1.22.2	apahato 'raruḥ pṛthivyā ā devayajaṃ vaheti sphyenottamāṃ tvacam uddhatyotkare nivapati
1.22.3	devasya savituḥ sava iti khanati devasya savituḥ save karma kṛṇvanto mānuṣā mā vaḥ śivā oṣadhayo mūlaṃ hiṃsiṣam iti vā
1.22.4	dvyaṅgulāṃ tryaṅgulāṃ caturaṅgulāṃ sītāmātrīṃ rathavartmamātrīṃ yāvat pārṣṇiyai śvetaṃ tāvatīṃ vā
1.22.5	naitā mātrā atikhanati
1.22.6	dakṣiṇato barṣīyasīṃ purīṣavatīṃ prācīmudīcīṃ pravaṇāṃ karoti
1.22.7	yan mūlam atiśete sphyena tac chinatti
1.22.8	yat purīṣam atiricyata utkaraṃ tad gamayati
1.22.9	āhāryapurīṣāṃ paśukāmasya
1.22.10	yat prāk khananāt tat kṛtvā mantreṇa purīṣaṃ khātvā harati
1.22.11	atra paurṇamāsyāṃ vediṃ karoti
1.22.12	pūrvedyur amāvāsyāyām
1.22.13	purastād varhiṣa āharaṇāt
1.22.14	yat prāg uttarasmāt parigrāhāt tat pūrvedyuḥ karoti saha vottareṇa parigrāheṇa
1.22.15	brahmann uttaraṃ parigrāhaṃ parigrahīṣyāmīty āmantrya parigṛhṇāti
1.22.16	viparītam eke samāmananti mantraiḥ pūrvaṃ parigrāhaṃ yajurbhir uttaram
1.22.17	ṛtam asīti dakṣiṇata ṛtasadanam asīti paścād ṛtaśrīr asīty uttarataḥ
1.22.18	dhā asi svadhā asīti sphyena pratīcīṃ saṃmārṣṭi
1.22.19	purā krūrasyety abhimantrya
1.22.20	paścārdhe veder vitṛtīyadeśe sphyaṃ tiryañcaṃ stabdhvā prokṣaṇīr āsādayedhmābarhir upasādaya sruvaṃ ca srucaś ca saṃmṛḍḍhi patnīṃ saṃnahyājyenodehīti saṃpreṣyati
1.22.21	agnihotrahavaṇyāṃ pavitrāntarhitāyām apa ānīyodañcaṃ sphyam apakṛṣyāntarvedi dhārayan sphyasya vartmann upaninīyartasadhaḥ stheti sphyapade sādayati
1.22.22	yaṃ dviṣyāt taṃ dhyāyet
1.22.23	śatabhṛṣṭir asi vānaspatyo dviṣato vadha ity utkare sphyam udasyati
1.22.24	purastāt pratyañcaṃ sthavimata upohati
1.22.25	nānavanijya hastau pātrāṇi parāhaṇyān na vediṃ parimṛśaty āstaraṇāt
1.22.26	hastāv avanenikte sphyaṃ prakṣālayati nāgraṃ parimṛśati
1.22.27	uttareṇa praṇītā idhmābarhir upasādayati dakṣiṇam idhmam uttaraṃ barhiḥ
1.23.1	vedaprāntaiḥ sruvaṃ srucaś ca saha saṃmārṣṭi
1.23.2	prativibhajyāprativibhajya vā
1.23.3	uttānās tiraścīr vāpi vā dve uttāne upabhṛtaṃ tiraścīm
1.23.4	aniśitāḥ stha sapatnakṣayaṇīr ity abhimantrya
1.23.5	ghṛtācīr etāgnir vo hvayati devayajyāyā ity ādāya
1.23.6	pratyuṣṭam ity āhavanīye gārhapatye vā niṣṭapati
1.23.7	goṣṭhaṃ mā nirmṛkṣam iti sruvam agrair antarato 'bhyākāraṃ sarvato bilam abhi saṃmārṣṭi mūlair daṇḍam
1.23.8	vācaṃ prāṇam iti juhūṃ prācīm agrair antarato 'bhyākāraṃ pratīcīṃ madhyair bāhyato mūlair daṇḍam
1.23.9	cakṣuḥ śrotram ity upabhṛtaṃ pratīcīm agrair antarato 'bhyākāraṃ prācīṃ madhyair bāhyato mūlair daṇḍam
1.23.10	prajāṃ yonim iti dhruvāṃ yathā sruvam
1.23.11	na saṃmṛṣṭāṃ cāsaṃmṛṣṭāṃ ca saṃsṛjati
1.23.12	niṣṭapati yathā purastāt
1.23.13	annādyaṃ prajāṃ puṣṭiṃ mā nirmṛkṣaṃ vāji tvā sapatnasāhaṃ saṃmārjmīti prāśitraharaṇaṃ sarvato bilam abhi saṃmārṣṭi mūlair daṇḍam
1.23.14	divaḥ śilpam avatataṃ pṛthivyāḥ kakubhiḥ śritam / tena vayaṃ sahasravalśena sapatnaṃ nāśayāmasi svāheti saṃmārgān abhyukṣyāgnāv ādadhāti yatarasmin saṃmārṣṭi
1.23.15	āśāsānā saumanasam iti mauñjena yoktreṇānyatarataḥpāśena patnīṃ saṃnahyaty ūrdhvajñur āsīnā tiṣṭhantī vā
1.23.16	na vāso 'bhi saṃnahyet
1.23.17	pūṣā te granthiṃ grathnātv ity uttarato nābher niṣṭarkyaṃ granthiṃ kṛtvā sa te māsthād iti dakṣiṇato nābheḥ parikarṣati
1.23.18	agne gṛhapata upa mā hvayasveti
1.24.1	tiṣṭhantī gārhapatyam upatiṣṭhate
1.24.2	patni patny eṣa te loko namas te astu mā mā hiṃsīr iti tam eva deśaṃ prekṣate
1.24.3	indrāṇīvāvidhavā bhūyāsam aditir iva suputrā / asthūri tvā gārhapatyopaniṣade suprajāstvāyeti dakṣiṇataḥpaścād gārhapatyasyodīcy upaviśati
1.24.4	evaṃ saṃnaddhāvimokṣād anvāste
1.24.5	suprajasas tvā vayam ityāsīnā japati
1.24.6	mama putrāḥ śatruhaṇo 'tho me duhitā virāṭ / utāham asmi saṃjayā patyur me śloka uttama iti ca
1.24.7	pūṣā te bilaṃ viṣyatv iti sarpirdhānasya gargarasya bilaṃ viṣyati pūṣāsīti vā
1.24.8	anyasmin pātre niṣicya yāv anirvapsyan bhavati
1.24.9	idaṃ viṣṇur vicakrama iti dakṣiṇāgnāv adhiśritya
1.24.10	aditir asy anācchinnapavitrety ājyasthālīm ādāya mahīnāṃ payo 'sīti tasyāṃ pavitrāntarhitāyāṃ prabhūtam ājyaṃ nirvapati
1.24.11	iṣe tveti dakṣiṇārdhe gārhapatyasyāṅgāreṣv adhiśrayati
1.24.12	ūrje tvety upādāya vedenopayamya patnyā upaharati
1.24.13	mahīnāṃ payo 'sīti tat sā nimīlyānucchvasanty avekṣate
1.24.14	tejo 'sīti gārhapatye 'dhiśrayati
1.24.15	tejase tvety upādāya tejo 'nu prehīti harati
1.24.16	agnis te tejo mā vinaid ity āhavanīye 'dhiśrayaty agnis te tejo mā vinaid yajñe yajñaṃ saṃsādayāmi yajñe yajñaḥ pratiṣṭhita iti vā
1.24.17	agner jihvāsīty uttareṇa prokṣaṇīḥ sphyasya vartman sādayati
1.24.18	ājyam asīty ājyam avekṣate
1.24.19	upariṣṭād votpavanāt
1.24.20	śukram asi jyotir asi tejo 'sīty udagagrābhyāṃ pavitrābhyāṃ punarāhāram ājyaṃ trir utpunāti
1.24.21	devo va iti triḥ prokṣaṇīḥ
1.25.1	āpo rephatapiprītamadhvāsamaṅktāniṣadasthāyāmannahṛṇīyamānā iti vā
1.25.2	antarvedy ājyāni gṛhṇāti
1.25.3	sruveṇāniṣkāsinā
1.25.4	vedenopayamya
1.25.5	catuḥ pañca vā juhvāṃ gṛhṇāty aṣṭau daśa vopabhṛti yathā juhvām evaṃ dhruvāyām
1.25.6	bhūyo juhvām alpiṣṭham upabhṛti bhūyiṣṭhaṃ dhruvāyām
1.25.7	upabilaṃ sthālyā juhūṃ dhārayamāṇo madhyadeśa upabhṛti bhūmau pratiṣṭhitāyāṃ dhruvāyāṃ ṣoḍaśāny ājyāni gṛhṇāti
1.25.8	saptadaśāni paśukāmaḥ kurvītaikaviṃśāni pratiṣṭhākāmaḥ
1.25.9	śukraṃ tvā śukrāyām ity etair juhvāṃ gṛhṇāti pañcānāṃ tvā vātānām iti cottarair upabhṛti dhruvāyāṃ ca
1.25.10	yady alpīyāṃso mantrāḥ syus teṣām ardhair upabhṛti gṛhṇīyād ardhair itarayor yadi bhūyāṃso 'vaśiṣṭā vikalpārthāḥ
1.25.11	śukram asi jyotir asi dhāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanaṃ devavītaye tvā gṛhṇāmīti vā saṃkhyāḥ pūrayati dhāmāsīti vā sarvāsu
1.25.12	anyatrotkarād ājyāni sādayitvāpoddhṛtyājyasthālīṃ prokṣaṇīr abhimantrya brahmāṇam āmantrya
1.25.13	kṛṣṇo 'sīti viṣāyedhmaṃ triḥ prokṣati
1.25.14	vedir asīti vedam
1.25.15	barhir asīti barhiḥ
1.25.16	trir ekaikam
1.25.17	antarvedi purogranthi barhir āsādya dive tvety agrāṇi prokṣaty antarikṣāya tveti madhyāni pṛthivyai tveti mūlāni
1.25.18	srucy agrāṇy upapāyya mūlāny upapāyayati
1.25.19	poṣāya va iti sahasrucā purastāt pratyañcaṃ granthiṃ pratyukṣati
1.25.20	svadhā pitṛbhya iti prokṣaṇyavaśeṣaṃ ninayati dakṣiṇasyāḥ śroṇeḥ saṃtatam ottarasyāḥ
1.25.21	pūṣā te granthiṃ viṣyatv iti barhiṣo granthiṃ viṣyati
1.25.22	viṣṇo stūpo 'sīti purastāt prastaraṃ gṛhṇāti
1.25.23	nāvāñcaṃ nirāyacchati
1.25.24	nordhvam udyauti
1.25.25	na vidhunoti
1.25.26	na vikampayati
1.25.27	karṣann ivāpayacchati
1.25.28	yajamāne prāṇāpānau dadhāmīti prastare pavitre apisṛjya
1.25.29	prāṇāpānābhyāṃ tvā satanuṃ karomīti brahmaṇe prayacchati
1.25.30	brahmā yajamānāya
1.26.1	barhiṣā vediṃ stṛṇāti
1.26.2	tṛṇair antardhāyākṣṇayā śulbaṃ stṛṇāti
1.26.3	dakṣiṇaṃ vedyantam ity ekeṣām
1.26.4	devabarhir ūrṇāmradasaṃ tvā stṛṇāmi ity agrair mūlāny ācchādayan bahulam anatidṛśnaṃ prāgapavargaṃ vā tridhātu pañcadhātu vā
1.26.5	dhātaudhātau mantram āvartayati
1.26.6	anūyājārthe ulmuke udūhyāhavanīyaṃ kalpayitvā pratyādāya prastaraṃ paridhīnp aridadhāti
1.26.7	gandharvo 'sīty apareṇāhavanīyaṃ barhiṣy udagagraṃ madhyamam indrasya bāhur asi iti dakṣiṇārdhyaṃ saṃspṛṣṭaṃ madhyamenābhyagraṃ mitrāvaruṇau tvety uttarārdhyaṃ saṃspṛṣṭaṃ madhyamenāgram
1.26.8	sūryas tvā purastāt pātv ity āhavanīyam abhimṛśya
1.26.9	ūrdhve ādhārasamidhāv ādadhāti vītihotraṃ tvā kava iti dakṣiṇāṃ tūṣṇīm uttarāṃ samid asy āyuṣe tveti vā
1.26.10	samāv anantargarbhau darbhau barhiṣo vidhṛtī karoti
1.26.11	viśo yantre stha iti madhye veder barhiṣy udīcīnāgre nidadhāti
1.26.12	vasūnāṃ rudrāṇām iti tayoḥ prastaraṃ sādayati
1.26.13	juhūr asīti prastare juhūṃ samaṃ mūlair daṇḍam
1.26.14	dhruvāsīty uttarām dhruvām upariṣṭād vidhṛtyoḥ pratikṛṣṭatarām asaṃspṛṣṭāṃ sādayati
1.26.15	ṛṣabho 'si śākvaro vaṣaṭkārasya tvā mātrāyāṃ sādayāmīti dakṣiṇena juhūṃ sruvaṃ sādayati dhruvāṃ vottareṇarṣabho 'si śākvaro ghṛtācīnāṃ sūnuḥ priyeṇa nāmnā priye sadasi sīdeti vā
1.27.1	etā asadann ity abhimantrayate
1.27.2	viṣṇūni stha vaiṣṇavāni dhāmāni prājāpatyānīty ājyāni
1.27.3	sruveṇa gārhapatyadakṣiṇāgnyor ājyārthān ājyasyālpāḥ karoti juhvā dhruvāyā āhavanīye
1.27.4	idam ahaṃ senāyā abhītvaryai mukham apohāmīti vedena dakṣiṇasmāt puroḍāśād aṅgārān apohyottarasmād apohati
1.27.5	sūryajyotir vibhāhi mahata indriyāyety abhimantrayate syonaṃ te sadanaṃ karomi ghṛtasya dhārayā suśevaṃ kalpayāmīti pātryāmupastīryāpyāyatāṃ ghṛtayonir agnir havyānumanyatām / kham aṅkṣva tvacam aṅkṣva surūpaṃ tvā vasuvidaṃ paśūnāṃ tejasāgnaye juṣṭam abhighārayāmīty āgneyam abhighārayati tūṣṇīm uttaram
1.27.6	yas ta ātmā paśuṣu praviṣṭo devānāṃ viṣṭām anu yo vitasthe / ātmanvān soma ghṛtavān hi bhūtvā devān gaccha suvar vinda yajamānāya mahyam iti śṛtam
1.27.7	ārdraḥ prathasnur bhuvanasya gopāḥ śṛta utsnāti janitā matīnām iti puroḍāśam udvāsayaty abhindann aparyāvartayan
1.27.8	vedena bhasma parimṛjya
1.27.9	tasmin sīdāmṛte pratitiṣṭha vrīhīṇāṃ medha sumanasyamāna ity upastīrṇe pātryāṃ nidadhāti
