#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
1.2.4.2	pūrvārdhe vedyā vitṛtīyamātre prāgudīcīḥ sphyena tisro lekhā likhati
1.2.4.3	ekatāya svāhā dvitāya svāhā tritāya svāhety etair asaṃsyandayaṃl lekhāsu piṣṭalepaṃ ninayati
1.2.4.4	ayaṃ vedaḥ pṛthivīm anvavindad guhāhitāṃ nihitāṃ gahvareṣu / sa mahyaṃ lokaṃ yajamānāya vindatv achidraṃ yajñaṃ bhūriretāḥ kṛṇotu / iti vedam ādatte
1.2.4.5	vedena vediṃ vividuḥ pṛthivīṃ sā paprathe pṛthivī pārthivāya / garbhaṃ bibharti bhuvaneṣv antas tato yajñas tāyate viśvadānīm / iti vedena vediṃ prācīṃ triḥ samunmārṣṭi
1.2.4.6	uttarato gārhapatyasya devasya tvā savituḥ prasava iti sphyam ādatte
1.2.4.7	indrasya bāhur asīty oṣadhyānumārṣṭi / nāgraṃ pratyabhimṛśati
1.2.4.8	uttarato lekhānām āgnīdhraḥ prakramamātra utkare pāṇikoṣṭhaṃ kṛtvopaviśati
1.2.4.9	pṛthvyā varmāsīti lekhānte tṛṇaṃ tiryag nidadhāti
1.2.4.10	pṛthivi devayajanīti sphyena tiryak chinatti
1.2.4.11	vrajaṃ gacha gosthānam iti satṛṇān pāṃsūn apādatte
1.2.4.12	varṣatu te parjanya iti vediṃ yajamānaṃ ca prekṣate
1.2.4.13	vadhāna deva savitar iti pāṇikoṣṭhe nivapati
1.2.4.14	mā vaḥ śivā oṣadhaya iti dvitīyaṃ drapsas ta iti tṛtīyaṃ / samānam anyat tūṣṇīṃ caturtham
1.2.4.15	sphyena vediṃ parigṛhṇāti vasavas tvā parigṛhṇantv iti dakṣiṇato rudrās tveti paścād ādityās tvety uttarataḥ
1.2.4.16	apāraruṃ pṛthivyā iti khanati dvyaṅgulaṃ caturaṅgulaṃ vā
1.2.4.17	uddhatād āgnīdhras trir harati
1.2.4.18	devasya savituḥ save karma kṛṇvanto mānuṣāḥ / mā hiṃsīs tvam oṣadhīḥ śivāḥ / iti sphyena mūlāni chinatti / satṛṇān pāṃsūn harati
1.2.4.19	imāṃ naraḥ kṛṇuta vedim etad devebhyo juṣṭām adityā upasthe / imāṃ devā ajuṣanta viśve rāyaspoṣāya yajamānaṃ viśantu / iti karoti madhye saṃnatāṃ prāgudakpravaṇāṃ ślakṣṇāṃ sādhukṛtām aṃsābhyām āhavanīyaṃ parigṛhṇāti śroṇibhyāṃ gārhapatyam āhāryapurīṣāṃ paśukāmasya
1.2.4.20	sphyaṃ prakṣālayaty apratimṛśann agram
1.2.4.21	avokṣya vediṃ brahmāṇam āmantryottaraṃ parigrāhaṃ parigṛhṇāti satyasad asīti dakṣiṇata ṛtasad asīti paścād gharmasad asīty uttarataḥ
1.2.4.22	purā krūrasyeti sphyena vediṃ pratīcīm anumārṣṭi vartma kurvan
1.2.4.23	paścārdhe vedyā vitṛtīyamātre tiryañcaṃ sphyaṃ stabdhvā prokṣaṇīr āsādayedhmābarhir upasādaya srucaḥ saṃmṛḍḍhi patnīṃ saṃnahyājyenodehīti saṃśāsti
1.2.4.24	dakṣiṇena prokṣaṇīr abhyudānayaty agram upaninīya sphyam udyachati
1.2.4.25	vartmani sādayati prokṣnaṇīr abhipūrayati
1.2.4.26	dviṣato vadho 'sīti purastāt pratyaṅmukhaḥ sphyenotkaram abhihanti
1.2.4.27	abhyukṣya pratyāsādayati
1.2.4.28	uttarata āhavanīyasyedhmābarhir upasādayed dakṣiṇam idhmam uttaraṃ barhiḥ
1.2.4.29	sruvaṃ saṃmārṣṭi srucaḥ prāśitraharaṇaṃ ca
1.2.5.1	pratyuṣṭaṃ rakṣa ity āhavanīye pātrāṇi niṣṭapati
1.2.5.2	vedapralavān prativibhajyāvibhajya vābhyāhavaṃ tiraścīḥ srucaḥ saṃmārṣṭy agrair agrāṇi mūlair daṇḍān saṃmṛjyābhyukṣyāgnau pratapati
1.2.5.3	sruvo 'sy anādhṛṣṭaḥ sapatnasāha iti sruvam ādatta // āyuḥ prāṇaṃ mā nirmārjīr iti saṃmārṣṭi yathā juhūṃ prāśitraharaṇaṃ ca
1.2.5.4	juhūr asy anādhṛṣṭā sapatnasāhīti juhūm ādatte // cakṣuḥ śrotraṃ mā nirmārjīr iti prācīm antarataḥ pratīcīṃ bāhyataḥ saṃmārṣṭi
1.2.5.5	upabhṛd asy anādhṛṣṭā sapatnasāhīty upabhṛtam ādatte // vācaṃ paśūnmā nirmārjīr iti pratīcīm anatarataḥ prācīṃ bāhyataḥ
1.2.5.6	dhruvāsy anādhṛṣṭā sapatnasāhīti dhruvām ādatte // yajñaṃ prajāṃ mā nirmārjīr iti sarvataḥ prācīm
1.2.5.7	prāśitraharaṇam asy anādhṛṣṭaṃ sapatnasāham iti prāśitraharaṇam ādatte // rūpād varṇaṃ mā nirmṛkṣaṃ vāji tvā sapatnasāhaṃ saṃmārjmīti saṃmārṣṭi
1.2.5.8	divi śilpam avatataṃ pṛthivyāḥ kakubhiḥ śritam / tena sahasrakāṇḍena dviṣantaṃ tāpayāmasi / dvipantas tapyantāṃ bahu / iti saṃmārjanāny avasṛjyābhyukṣyāgnāv adhyasyati
1.2.5.9	saṃmṛṣṭā yathāsthānam uttānāḥ srucaḥ sādayati
1.2.5.10	patni patnīlokopasthānaṃ kurv iti preṣyati // patni patny eṣa te loko namas te astu mā mā hiṃsīr iti dakṣiṇataḥpaścād aparasya patnīlokam upasthāpayati
1.2.5.11	agne gṛhapata upa mā hvayasva devānāṃ patnīr upa mā hvayadhvam / aditir iva tvā saputropaniṣade yeyam indrāṇīvāvidhavā ity upaviśati jānunī prabhujya
1.2.5.12	āśāsānā saumanasaṃ prajāṃ puṣṭimatho bhagam / agner anuvratā bhūtvā saṃnahye sukṛtāya kam / ity antarato vastrasya yoktreṇa patnīṃ saṃnahyāpa upaspṛśya vedopayāmād abdhena tvā cakṣuṣāvekṣa iti patny ājyam avekṣate
1.2.5.13	tejo 'sīty ājyaṃ gārhapatye 'dhiśrayati
1.2.5.14	tejo 'si tejo 'nuprehi vāyuṣ ṭvāntarikṣāt pātu sūryo diva ity āhavanīyaṃ prati harati
1.2.5.15	agniṣ ṭe tejo mā vinaid ity āhavanīye 'dhiśrayati
1.2.5.16	idaṃ viṣṇur vicakrama ity etayottarataḥ prokṣaṇīnāṃ sādayati vedaṃ ca
1.2.5.17	tejo 'sīty ājyaṃ yajamāno 'vekṣata utpūtam anutpūtaṃ vā
1.2.5.18	devas tvā savitotpunātv ity etayā paccha ājyam utpunāti // devo vaḥ saviteti prokṣaṇīḥ
1.2.5.19	dhāmāsīti sruveṇājyāni gṛhṇāti catur juhvām aṣṭau kṛtva upabhṛti kanīyaḥ pañca kṛtvo dhruvāyāṃ bhūyiṣṭham
1.2.5.20	ājyasthālīṃ sruvaṃ vedaṃ ca gārhapatyānte nidadhāti
1.2.5.21	darbhamuṣṭim upādāyārdhaṃ veder dakṣiṇataḥ prakṣipya devīr āpa iti prokṣaṇīr udīrayati
1.2.5.22	prokṣaṇīr apādāya vedyāṃ padāni lobhayanti
1.2.5.23	utkare lobhanāni pravidhyāpa upaspṛśya viṣāyedhmam apādāya paridhīn brahmāṇam āmantrya prokṣati kṛṣṇo 'sy ākhareṣṭha itīdhmaṃ vedir asi barhiṣe tveti vediṃ barhir asi vedyai tveti barhiḥ
1.2.5.24	prokṣya paścārdhe vedyā vitṛtīyamātre barhiḥ sādayati
1.2.5.25	purastādgranthiṃ nidadhāti
1.2.5.26	agrāṇi prokṣaṇīṣūpapāyayati
1.2.5.27	svāhā pitṛbhyo gharmapāvabhya iti mūladeśe barhiṣaḥ pradakṣiṇaṃ prokṣaṇīr ninayati
1.2.5.28	uduhya srucam ādāya pavitre dakṣiṇataḥ parikramya pūṣā te granthiṃ viṣyatv iti barhiṣo granthiṃ viṣyati
1.2.6.1	viṣṇoḥ stupo 'sīti prastaram apādatta
1.2.6.2	yajamāne prāṇāpānau dadhāmīti pavitre prastare vimṛjati
1.2.6.3	agreṇāhavanīyaṃ paryāhṛtya prastaraṃ brahmaṇe prayachati yajamānāya vā
1.2.6.4	puṣṭir asi poṣāya tvā rayimantaṃ tvā puṣṭimantaṃ gṛhṇāmīti mukhataḥ prastaraṃ gṛhṇāti
1.2.6.5	nonmṛjyān nāvamṛjyān na vidhūnuyād yad upatiṣṭhet tad upasaṃgṛhṇīyāt
1.2.6.6	visraṃsya śulbaṃ dakṣiṇato ye darbhā udīraṇasamaye prakṣiptās teṣāṃ darbhāṇām upasaṃyamya vediṃ dakṣiṇārdhe stṛṇāti
1.2.6.7	uru prathasveti vediṃ stṛṇāty aparamaparam ayugdhātu bahulam anārokam
1.2.6.8	apareṇa vediṃ parikramya prastaraṃ dhārayan paridhīn paridadhāti gandharvo 'sīti madhyamam indrasya bāhur asīti dakṣiṇaṃ mitrāvaruṇau tvety uttaram
1.2.6.9	avyatyādadhat saṃdadhāty abhihitatamaṃ dakṣiṇaṃ paridhisaṃdhiṃ karoti
1.2.6.10	idhmadārv ādāya nityahotāraṃ tvety āghārasamidham ādadhāti varṣiṣṭhe adhi nāka iti dvitīyām
1.2.6.11	sūryas tvā raśmibhir ity ādityaṃ purastāt paridadhāti
1.2.6.12	viśvajanasya vidhṛtī stha iti tṛṇe tiraścī sādayati caturaṅgulamātram antarā
1.2.6.13	vasūnāṃ rudrāṇām iti vidhṛtyor upari prastaraṃ sādayati
1.2.6.14	dyaur asi janmaneti juhūṃ prastare sādayati
1.2.6.15	na riktam avasṛjati / samaṃ mūlair daṇḍaṃ karoti
1.2.6.16	antarikṣam asi janmanety adhastād vidhṛtyor upabhṛtaṃ pṛthivy asi janmanety upariṣṭād vidhṛtyor dhruvāmasaṃsaktāḥ sruco 'nūcīḥ sādayaty abhihitatamāṃ juhūṃ karoti
1.2.6.17	idam ahaṃ senāyā abhītvaryā mukham apohāmīti vedena puroḍāśayor bhasmāpohati
1.2.6.18	vedopayāma ājayasthālyāḥ sruveṇa / āpyāyatāṃ ghṛtayonir agnir havyā no manyatām / kham aṅkṣva tvacam aṅkṣva surūpaṃ tvā vasuvidaṃ paśūnāṃ tejasāgnaye tvā juṣṭam abhighārayāmīty āgneyaṃ puroḍāśam abhighārayati yathādevatam uttaram
1.2.6.19	syonaṃ te sadanaṃ kṛṇomi ghṛtasya dhārayā suśevaṃ kalpayāmīti pātryām upastṛṇāti
1.2.6.20	ārdraḥ pṛthusnur bhuvanasya gopāḥ śṛta utsnātu janitā matīnām / ity udañcam udvāsayati
1.2.6.21	vedenāpabhasmānaṃ karoty anabhighnan pāṇinā vedaśirasā ca
1.2.6.22	tasmin sīdāmṛte pratitiṣṭha vrīhīṇāṃ medhaḥ sumanasyamānaḥ / ity upastīrṇe sādayati // yavānāṃ medha iti yavānām
1.2.6.23	irā bhūtiḥ pṛthivyā raso motkramīd iti prathamopahite kapāle 'bhighārayati
1.2.6.24	tṛptir asi gāyatraṃ chandas tarpaya mā tejasā brahmavarcasena tṛptir asi traiṣṭubhaṃ chandas tarpaya mendriyeṇa vīryeṇa tṛptir asi jāgataṃ chandas tarpaya mā prajayā paśubhir ity alaṃkaroti svaktam aniṣkāṣam apṛṣantam aparyāvartayan adhastāc copānakti
1.2.6.25	yas ta ātmā paśuṣu praviṣṭo divo vābhiṣṭhām anu yo vicaṣṭe / ātmanvān soma ghṛtavān ihaihi divaṃ gacha svar vinda yajamānāya mahyam / iti dohāv alaṃkaroti
1.2.6.26	abhyudāharati havīṃṣi
1.2.6.27	ṛṣabho 'si śākvara iti dakṣiṇato juhvāḥ pūrṇasruvaṃ sādayaty agreṇa dhruvāṃ vedam uttareṇa dhruvām ājyasthālīm apareṇa srugdaṇḍān pātrīṃ dakṣiṇasyāṃ vediśroṇau sāyaṃdoham uttarasyāṃ prātardoham
1.2.6.28	vediṃ stṛṇāty anadhistṛṇann antān
1.2.6.29	paścād dhotre tridhātūpastṛṇāti dakṣiṇātūlān madhye
1.2.6.30	apa upaspṛśya dhruvā asadann ity ājyāni saṃmṛśati saṃmṛśati
1.3.1.1	hotary avasthite 'gnaye samidhyamānāyānubrūhīty uktvā hotuḥ praṇavepraṇave samidham ādadhāti
1.3.1.2	ānuyājikīṃ śiṣṭvā nedhmasyātirecayati
1.3.1.3	idhmasaṃnahanaṃ visraṃsyaikagranthiṃ saṃmārgaṃ karoti
1.3.1.4	oḍhāsu devatāsv apa upaspṛśya vedenāgniṃ trir upavājayaty agraṃ vedyāḥ saṃmṛjan
1.3.1.5	pūrṇasruvaṃ dhruvāyām avanīya tasyopahatya vedopayāma uttaraṃ paridhisaṃdhiṃ sparśayitvottarārdhe 'bhyāhitasya prācīnaṃ manasā prajāpataye svāheti jvalati juhoti
1.3.1.6	saṃpātena dhruvām āpyāyya yathāsthānaṃ sruvaṃ vedaṃ ca nidadhāti
1.3.1.7	agnīt paridhīṃś cāgniṃ ca tristriḥ saṃmṛḍḍhīti preṣyati
1.3.1.8	āgnīdhraḥ saṃmārgaṃ sphyam upasaṃyamya yathāparidhitam anulomaṃ triḥ saṃmārṣṭi
1.3.1.9	ājiṃ tvāgne sariṣyantaṃ saniṃ saniṣyantaṃ devebhyo havyaṃ vakṣyantaṃ vājinaṃ tvā vājajityāyai saṃmārjmy agne vājaṃ jayety ṛte sphyād agnim upakṣipaṃs triḥ samunmārṣṭi
1.3.1.10	apaharati
1.3.1.11	uttānau pāṇī kṛtvā juhūpabhṛtor agre sūyame me 'dya stam iti japati
1.3.1.12	juhv ehy agniṣ ṭvā hvayati devān yakṣyāvo devayajyāyā iti juhūm ādatta // upabhṛd ehi devas tvā savitā hvayati devān yakṣyāvo devayajyāyā ity upabhṛtam
1.3.1.13	samādāya srucav agnāviṣṇū vijihāthām iti dakṣiṇātikrāmati
1.3.1.14	āspṛṣṭaṃ savyaṃ pādam avasthāpayaty antarvedi dakṣiṇaṃ // viṣṇoḥ sthāmāsīti japati
1.3.1.15	dakṣiṇaṃ paridhisaṃdhiṃ sparśayitvā dakṣiṇārdhe 'bhyāhitasyordhvo adhvara iti saṃtataṃ prāñcaṃ dīrgham ṛjum ūrdhvam avichinnam āghāram āghārayati
1.3.1.16	prayājebhyaḥ śiṣṭvā bhūyiṣṭham ājyāhutīnāṃ juhoti
1.3.1.17	āghāryānuprāṇiti
1.3.1.18	pāhi māgne duścaritād ā mā sucaritādbhaja / ity asaṃsparśayan srucāv atyākrāmati
1.3.1.19	saṃ jyotiṣā jyotir iti juhvā dhruvāṃ triḥ samanakti / juhvāpyāyayati dhruvām
1.3.1.20	yathāsthānaṃ srucau sādayati
1.3.1.21	unnītaṃ rāya iti dhruvāyāḥ sruveṇonnayati // suvīrāya svāheti juhūm āpyāyayati
1.3.1.22	prāṇena prāṇaḥ saṃtata iti dhruvāyāṃ sruvaṃ nidadhāti
1.3.1.23	samidhaḥ śakalam ādāyāvatiṣṭhate
1.3.1.24	prakṛṣya dakṣiṇaṃ pādaṃ barhiṣas tṛṇaṃ saṃtatam upodyamya brahman pravarāyāśrāvayiṣyāmīty uktvo śrāvayety āśrāvayati
1.3.1.25	sphyasaṃmārgapāṇir āgnīdhraḥ paścād utkarasyordhvas tiṣṭhann astu śrauṣaḍ iti pratyāśrāvayati
1.3.1.26	pratyāśrute 'gnir devo daivyo hotā devān yakṣad vidvāṃś cikitvān manuṣvad bharatavad amuvad amuvad ity ūrdhvān yajamānasyarṣīn pravṛṇīta ekaṃ dvau trīn pañca vā // brahmaṇvad ā ca vakṣad brāhmaṇā asya yajñasya prāvitāra iti japati / hotrā viyuktas tasyopāṃśu nāma gṛhītvā mānuṣa ity uccaiḥ
1.3.1.27	śakalam agnāv adhyasyati
1.3.1.28	yady abrāhmaṇo yajeta purohitasya pravareṇa pravṛṇīyāt
1.3.1.29	juhūm upabhṛto 'greṇāvadadhyād uddharec ca
1.3.1.30	dakṣiṇena pādena dakṣiṇātikrāmati savyenodak
1.3.1.31	paridhisaṃdhī anvavahāram āsīna uttarato juhoti svāhākāravatīr vaṣaṭkāravatīr dakṣiṇataḥ prāgudaṅmukha ūrdhvas tiṣṭhan
1.3.1.32	āśrāvya na viceṣṭed ā homāt
1.3.1.33	samaṃ prativaṣaṭkāraṃ vaṣaṭkṛte vā juhoti
1.3.1.34	mandreṇa svareṇājyabhāgābhyāṃ pracarati madhyamenānuyājebhya uttamenā śaṃyoḥ
1.3.2.1	ghṛtavatī adhvarya ity ucyamāne srucāv ādāya dakṣiṇātikrāmati
1.3.2.2	abhikrāmam āśrāvaṃ pañca prayājān yajati // samidho yajeti prathamaṃ yaja yajety uttarān
1.3.2.3	tribhiḥ pracaryaupabhṛtasya juhvām ānīya samānatra juhoti
1.3.2.4	atyākramyābhighārayati dhruvāṃ dakṣiṇaṃ puroḍāśaṃ punar dhruvām upāṃśuyājāyottaraṃ puroḍāśaṃ sāyaṃdohaṃ prātardoham upabhṛtam antataḥ
1.3.2.5	sruveṇāvadyati catuḥ pañcakṛtvo jāmadagnyasyechan pañcāvattaṃ jāmadagnyam āmantrya kurvīta
1.3.2.6	ājyabhāgau yajaty āgneyam uttarārdhe saumyaṃ dakṣiṇārdhe samāvanakṣṇayā
1.3.2.7	dhrauvasyāvadāya / āpyāyatāṃ dhruvā ghṛtena yajñaṃ yajñaṃ prati devayadbhyaḥ / sūryāyā ūdhar aditer upastha utso bhava yajamānasya dhenuḥ
1.3.2.7	ity avadāyāvadāyājyasthālyā dhruvāṃ pratyāpyāyayati
1.3.2.8	agnaye 'nubrūhīty anuvācayati
1.3.2.9	anuvākyāyāḥ praṇavena saṃsrutyāśrāvayati
1.3.2.10	pratyāśrute 'gniṃ yajeti preṣyati
1.3.2.11	evaṃ saumyena pracarati
1.3.2.12	upastīryāpa upaspṛśya dakṣiṇasya madhyān mā bhair mā saṃvikthā mā tvā hiṃsiṣaṃ bharatam uddharema vanuṣanty avadānāni te pratyavadāsyāmi namas te astu mā mā hiṃsīr ity abhiparigṛhṇan saṃhatābhyām aṅgulībhyām aṅguṣṭhena cāṅguṣṭhaparvamātrāṇy avadānāny avadyati madhyāt pūrvārdhād dvitīyaṃ / paścārdhāt tṛtīyaṃ yadi pañcāvadānasya
1.3.2.13	avattam abhighārya / yad avadānāni te 'vadyan vilomākārṣam ātmanaḥ / ājyena pratyanajmi tat tat ta āpyāyatāṃ punaḥ / iti puroḍāśaṃ pratyabhidhārayati
1.3.2.14	agnaye 'nubrūhīty anuvācayati
1.3.2.15	āśrāvyāgniṃ yajeti preṣyati
1.3.2.16	antarājyabhāgāvāhutīḥ prāgudīcīr apāyātayati
1.3.2.17	dhrauvasyāvadāyopāṃśuyājāv agnīṣomīyaṃ paurṇamāsyāṃ vaiṣṇavam amāvāsyāyām upāṃśu devate nirdiśati
1.3.2.18	evam uttarasyāvadāya yathādevataṃ pracarati
1.3.2.19	saṃnayata upastīrya yathāvadānaṃ samavadyati puroḍāśasya dohayoś cendrāyānubrūhīty anuvācayati mahendrāyeti vā
1.3.2.20	sāṃnāyyacarupaśupuroḍāśānāṃ pārśvena juhuyād dravāṇāṃ prasravaṇena / vyākhyātaṃ pracaraṇam
1.3.2.21	ṛṣabhaṃ vājinaṃ vayaṃ pūrṇamāsaṃ havāmahe / sa no dohatāṃ suvīraṃ rāyaspoṣaṃ sahasriṇam / pūrṇamāsāya surādhase svāheti paurṇamāsyāṃ sruveṇa juhoti / amāvāsyā subhagā suśevā dhenur iva bhūya āpyāyamānā / mā no dohatāṃ suvīraṃ rāyaspoṣaṃ sahasriṇam / amāvāsyāyai surādhase svāhety amāvāsyāyām
1.3.2.22	sviṣṭakṛte samavadyaty uttarārdhātmakṛd dvimātraṃ / dvir vā yadi pañcāvadānasya
1.3.2.23	avattaṃ dvir abhighārya nāta ūrdhvaṃ havīṃṣi pratyabhighārayati
1.3.2.24	agnaye sviṣṭakṛte 'nubrūhīty anuvācayati
1.3.2.25	āśrāvya pratyāśrute 'gniṃ sviṣṭakṛtaṃ yajeti preṣyati
1.3.2.26	asaṃsaktam uttarārdhapūrvārdhe juhoti
1.3.2.27	atyākramya yathāsthānaṃ srucau sādayati
1.3.3.1	prāśitraharaṇam uttarasya paścāt paridhisaṃdher vyuhyauṣadhīr avokṣite sādayati
1.3.3.2	tasmin prāśitram avadyati dakṣiṇasya madhyād yavamātram aṅguṣṭhenopamadhyamayā cādāyābhighārayati
1.3.3.3	niṣṭapyeḍāpātrīṃ tasyām upastīryeḍāyai dvirdvir avadyati sthavīyo daivatebhyaḥ
1.3.3.4	dakṣiṇasya bhakṣān avadyati
1.3.3.5	dakṣiṇasya dakṣiṇārdhād avadāya pūrvārdhād yajamānabhāgam aṇuṃ dīrgham ājyalepe paryasya vede nidadhāti / madhyād dvitīyam aiḍaṃ saṃbhindann avadānāni
1.3.3.6	dhrauvasyāvadāyānupūrvam itareṣām
1.3.3.7	iḍām abhighārya pratyaṅṅ āsīno hotre prayachati
1.3.3.8	antareṇa hotāram iḍāṃ cādhvaryur dakṣiṇātikrāmati
1.3.3.9	paripragṛhṇāti hotānanusṛjan hotur aṅguliparvaṇī anakty antaram agre 'tha bāhyam
1.3.3.10	hotuḥ pāṇau dvir lepenopastṛṇāti
1.3.3.11	avadānaṃ hotā randhayati / tad anyac ca lepād upastīrya lepād dvir abhighārayati
1.3.3.12	upahūyamānāyām ṛtvijo 'nvārabhante yajamānaś ca
1.3.3.13	upahūtāṃ pṛthak pāṇyor āgnīdhrāyāvadyati
1.3.3.14	saṃpreṣyati / ya uttaratas tān dakṣiṇataḥ parīteti brūyād ye vā dakṣiṇatas tān uttarataḥ parīteti
1.3.3.15	upahūtāṃ prāśnanty ṛtvijo yajamānaś ca
1.3.3.16	hotā prathamo bhakṣayate pṛthivyās tvā dātrā prāśnāmy antarikṣasya tvā dātrā prāśnāmi divas tvā dātrā prāśnāmi diśāṃ tvā dātrā prāśnāmīti prāśnāty āgnīdhraḥ
1.3.3.17	śākhāpavitraṃ visraṃsya hotāgnihotrahavaṇyām avadhāyāntarvedi nidadhāti
1.3.3.18	tatrāpohiṣṭhīyaṃ japanto mārjayante
1.3.3.19	brahmabhāgaṃ sthavīyāṃsaṃ yajamānabhāgād avadāyājyalepe paryasya vede nidadhāti
1.3.3.20	dakṣiṇaṃ [ puroḍāśaṃ ] caturantaṃ kṛtvā barhiṣi sādayati
1.3.3.21	abhimṛṣṭaṃ pātryāṃ nidadhāti
1.3.3.22	prāśitraharaṇam agreṇāhavanīyaṃ paryāhṛtya brahmaṇe prayachati
1.3.3.23	vedena bhāgau paryāhṛtya brahmaṇe prayachati yajamānāya ca
1.3.3.24	pratiparyāhṛtya yathāsthānaṃ vedaṃ nidadhāti
1.3.3.25	dakṣiṇāgnāv odanaṃ śṛtaṃ mahāntam abhighāryāpareṇa srugdaṇḍān udañcam udvāsayati / dohau pātrīṃ ca
1.3.4.1	ānuyājikīṃ samidham ādāya brahman prasthāsyāmaḥ [ iti brahmāṇam āmantrya ] samidham ādhāyāgnīt paridhīṃś cāgniṃ ca sakṛtsakṛt saṃmṛḍḍhīti preṣyati
1.3.4.2	āgnīdhraḥ saṃmārgaṃ sphyam upasaṃyamya yathāparidhitam anulomaṃ sakṛt saṃmārṣṭy ājiṃ tvāgne sasṛvāṃsaṃ saniṃ sasanivāṃsaṃ devebhyo havyam ohivāṃsaṃ vājinaṃ tvā vājajitaṃ saṃmārjmy agne vājam ajair ity agnim
1.3.4.3	yo devānām asi śreṣṭha ugras tanticaro vṛṣā / mṛḍa tvam asmabhyaṃ rudraitad astu hutaṃ tava / svāhā / iti saṃmārjaṃ visraṃsyābhyukṣyāgnāv adhyasyati
1.3.4.4	aupabhṛtaṃ juhvām ānīyāśrāvaṃ trīn anuyājān yajati // devān yajeti prathamaṃ yaja yajety uttarau / samidhaḥ pratīcaḥ
1.3.4.5	paśvārdhād uttamena prāñcāv anusaṃbhinatti
1.3.4.6	atyākramya yathāsthānaṃ srucau sādayati
1.3.4.7	yajamāno vājasya mā prasaveneti dakṣiṇenottānena pāṇinā juhūṃ saprastarām udgṛhṇāty athā sapatnān indro ma iti nīcā savyenopabhṛtaṃ nigṛhṇāty udgrābhaś ca nigrābhaś ceti vyudgṛhṇāti
1.3.4.8	athā sapatnān indrāgnī ma iti vyudūhati prācīṃ juhūṃ prastarātpratīcīm upabhṛtaṃ / bahirvedi nirasyati
1.3.4.9	abhyukṣya pratyāsādayati na juhūm prastare
1.3.4.10	juhvānakti paridhīn vasur asīti madhyamam upāvasur asīti dakṣiṇaṃ viśvāvasur asīty uttaram
1.3.4.11	madhyame sruco 'graṃ saṃdhāya srugdaṇḍe prastarasyāgrāṇy upasaṃyamyāśrāvayati
1.3.4.12	pratyāśruta iṣitā daivyāhotāro bhadravācyāya preṣito mānuṣaḥ sūktavākāya sūktā brūhīti preṣyati
1.3.4.13	prastaram apādatte
1.3.4.14	yajamāne prāṇāpānau dadhāmīti barhiṣi vidhṛtī pratyavasṛjaty āyuṣe tveti tṛṇaṃ saṃsṛjati
1.3.4.15	aptubhī rihāṇā vyantu vaya iti srukṣu prastaram anakty agrāṇi juhvāṃ madhyāny upabhṛti mūlāni dhruvāyām
1.3.4.16	tūṣṇīṃ juhvām agrāṇy aktvā vaśā pṛśnir bhūtvety anatiharan prastarasyāgrāṇy ādīpayati
1.3.4.17	āśāste 'yaṃ yajamāna ity ucyamāne saha śākhayā prastaram anupraharati
1.3.4.18	agnīd gamayeti preṣyati
1.3.4.19	prastaram āgnīdhras triḥ pāṇinā gamayati
1.3.4.20	anuprahara saṃvadasveti cāha
1.3.4.21	tato no vṛṣṭyāvateti tṛṇam agnāv adhyasyati
