#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
2.3.14	tākṣṇīnāṃ tanūdevatābhir ekahaviṣas tryahaṃ vaiṣṇavadvitīyābhir aparam ādityatṛtīyābhir aparaṃ daśamy avikṛtāgneyī
2.3.15	sarvāsūpāṃśu haviṣṭā
2.3.16	pāñcadaśyaṃ ca sāmidhenīnām
2.3.17	saptadaśādityāyām
2.3.18	caturviṃśatir dakṣiṇā
2.3.19	dvādaśa
2.3.20	ṣaḍ vā
2.3.21	aśvaḥ
2.3.22	śatamānarathavāso 'jāś ca
2.3.23	dvādaśarātraṃ svayaṃhomī syāt
2.3.24	satyavadanaṃ ca
2.3.25	atithibhyaś ca dānam
2.3.26	āhitāgnir vrate nāniṣṭvā paśunā māṃsam aśnīyān nāniṣṭvāgrayaṇena navānām oṣadhīnāṃ phalāni
2.4.1	pūrvā darśapūrṇamāsābhyām anvārambhaṇīyeṣṭiḥ
2.4.2	āgnāvaiṣṇavaḥ sarasvatyai sarasvate ca
2.4.3	agnāviṣṇū mahi tad vāṃ mahitvaṃ pātaṃ ghṛtasya guhyāni nāma / dameḍame suṣṭutir vām iyānopa vāṃ jihvā ghṛtam ācaraṇyat / agnāviṣṇū mahi dhāma priyaṃ vāṃ vītho ghṛtasya guhyā juṣāṇā / dameḍame sapta ratnā dadhānā prati vāṃ jihvā ghṛtam uccaraṇyat
2.4.4	pāvakā naḥ sarasvatīm ā juhvānāḥ
2.4.5	janīyantaḥ sa vāvṛdhe
2.4.6	pañcahaviṣam eke 'gnaye bhagine vratapataye ca
2.4.7	tvam agne vīravad yaśas tvaṃ bhago naḥ
2.4.8	tvam agne vratapā yad vo vayam
2.4.9	paurṇamāsīvikāraḥ
2.4.10	dhenuś ca dakṣiṇā
2.5.1	kāmyaṃ punar ādheyam ajānānasya
2.5.2	agneye 'gnaye ca vaiśvānarāyaodvāsyiṣyamāṇasya
2.5.3	vaiśvānaro na ūtaya ā prayātu parāvataḥ / agnir naḥ suṣṭutīr upa // pṛṣṭo divi
2.5.4	madhyāvarṣaṃ punar ādheyakālaḥ
2.5.5	punarvasū ca nakṣatram
2.5.6	yā vāṣāḍhyā uttarāmāvāsyā
2.5.7	madhyandinaś ca kālaḥ
2.5.8	pañcakapālaś cāgneyaḥ
2.5.9	sāmidhenyaś ca pañcadaśa
2.5.10	triṣu ca prayājeṣv agniśabdo vikṛtaḥ
2.5.11	tanūnapād agnim iḍo agninā barhir agniḥ
2.5.12	vārtraghnaḥ pūrva ājyabhāgaḥ
2.5.13	agniṃ stomena bodhayeti vā agnaye buddhimate
2.5.14	agna āyūṃṣīty uttaro 'gnaye pavamānāya
2.5.15	ehy ū ṣu bravāṇīti vendumate
2.5.16	agnir mūrdheti vā retasvate
2.5.17	yathācoditaṃ yajati
2.5.18	agne tam adyeti prathamātṛtīye haviṣo dvitīyācaturthyau sviṣṭakṛtaḥ
2.5.19	devaṃ barhir agner vasuvane devo narāśaṃso 'gnā vasuvane
2.5.20	agniśabdaṃ caturṣu pūrveṣu prayājeṣv anuyājayoś ca vibhaktaya ity ācakṣate
2.5.21	tāś caopāṃśu
2.5.22	uttaraś cājyabhāgaḥ
2.5.23	haviś ca
2.5.24	sarvaṃ vā saha pūrvābhyām anuyājābhyām
2.5.25	havir antaṃ vā
2.5.26	havir eva vā
2.5.27	punar utsyūto jarat saṃvyāyaḥ punaḥsaṃskṛtaḥ kadratho 'naḍvān hiraṇyaṃ vā dakṣiṇā
2.5.28	aditaye dvitīyā
2.5.29	amāvāsyāvikāraḥ
2.5.30	āgnivāruṇī vā
2.5.31	sa tvaṃ no agne 'vamas tvaṃ no agne varuṇasya vidvān iti
2.6.1	agnihotraṃ juhoti sāyaṃ ca prātaś ca
2.6.2	purā chāyānāṃ saṃsargād gārhapatyād āhavanīyam uddharati
2.6.3	prabhāntyāṃ rātryām
2.6.4	prāduṣkaraṇaṃ nityadhṛtaḥ
2.6.5	gata śriyaḥ śuśruvān brāhmaṇo grāmaṇī rājanyaḥ
2.6.6	uddhriyamāṇa uddhara pāpmano mā yad avidvān yac ca vidvāṃś cakāra / ahnā yad enaś cakṛmeha kiṃcit sarvasmān mā uddhṛtaḥ pāhi tasmāt
2.6.7	amṛtāhutim amṛtāyāṃ juhomy agniṃ pṛthivyām amṛtasya jityai / tayānantaṃ lokam ahaṃ jayāni prajāpatir yaṃ prathamo jigāya // iti
2.6.8	rātryeti prātarvikāraḥ
2.6.9	parisamuhya hoṣyan
2.6.10	ṛtaṃ tvā satyena pariṣiñcāmīti tristrir ekaikaṃ paryukṣya hutvā ca
2.6.11	satyaṃ tvā rtena pariṣiñcāmīti prātaḥ
2.6.12	yajñasya saṃtatir asi yajñasya tvā saṃtatyai nayānīti gārhapatyāt saṃtatām udadhārām āhavanīyāt
2.6.13	tantuṃ tanvann ity antarā śvāpade gate
2.7.1	prathamāstamite juhoti
2.7.2	dṛśyamāne vā nakṣatre
2.7.3	upodayaṃ vyuṣite
2.7.4	udite vā
2.7.5	purastāt tu kāle manaḥ kurvīta
2.7.6	tasyāparādhe prāyaścittam
2.7.7	unnīyābhyuditam ā tam anād āsitvā hutvā varaṃ dattvā bhūr ity anumantrayeta
2.7.8	ahutvā voduhyāhavanīyam anyaṃ praṇīya juhuyāt
2.7.9	payo yavāgūr dadhy ājyam agnihotrahavīṃṣi
2.7.10	na dadhy adhiśrayati
2.7.11	nāpaḥ pratyānayaty ājye
2.7.12	kuśataruṇe pratyasyājyasyonnayati
2.7.13	paścād anvāhāryapacanād yajamānaḥ pratyaṅtiṣṭhann ādityam upatiṣṭhate satya rtāya tvā dakṣiṇāṃ nayānīti sāyam
2.7.14	ṛtasatyāya tvā dakṣiṇāṃ nayānīty āhavanīyaṃ prātaḥ
2.7.15	uttareṇānvāhārya pacanaṃ yajamānasyasaṃcaraḥ
2.7.16	dakṣiṇataḥ paścād āhavanīyād āsanam
2.7.17	evaṃ gārhapatyāt patnyāḥ
2.7.18	vṛṣṭir asi pāpmānaṃ me vṛśca vidyāsi vidya me pāpmānam ity ācāmati
2.7.19	vācaṃ ca yacchati
2.8.1	dakṣiṇato 'gnihotrīm upasṛjanti
2.8.2	na cāntareṇasaṃcareran
2.8.3	na ca śūdreṇa dohayet
2.8.4	agnaye devebhyo dhukṣveti sāyaṃ japati
2.8.5	sūryāya devebhyo dhukṣveti prātaḥ
2.8.6	aśanāyāpipāse striyā vai striyaṃ bādhante striyā vāṃ bādhe 'gniyotryā vatsena vīreṇeti sāyaṃprātaḥ
2.8.7	anvāhāryapacanena vīreṇeti strīvatsāyām
2.8.8	subhūtakṛtaḥ subhūtaṃ naḥ kṛṇutety upaveṣeṇodīco 'ṅgārān gārhapatyān niruhya adhiśrayaty aśanāyāpipāsīyenāgnihotrasthālyā gārhapatyena vīreṇeti vikāraḥ
2.8.9	agneṣ ṭvā cakṣuṣāvekṣeti samidham ādīpyāvajyotya
2.8.10	sam āpa oṣadhīnāṃ raseneti sruveṇāpaḥ pratyānīya
2.8.11	pratitapya tūṣṇīṃ punar avajyotya
2.8.12	trir upasādam udag udvāsya
2.8.13	anucchindann iva
2.8.14	namo devebhya iti dakṣiṇato 'ṅgārān upaspṛśya
2.8.15	subhūtāya va iti supratyūḍhān pratyuhya
2.8.16	sruvaṃ ca srucaṃ ca pratitapyonnayaty aśanāyāpipāsīyena srucā sruveṇa vīreṇeti vikāraḥ
2.8.17	catuṣpañcakṛtvo vā
2.8.18	sruvesruve ca mantraḥ
2.8.19	unnīte srucaṃ saṃmṛśati
2.8.20	sajūr devebhyaḥ sāyaṃ yāvabhya iti sāyaṃ japati
2.8.21	sajūr devebhyaḥ prātar yāvabhya iti prātaḥ
2.8.22	uttareṇa gārhapatyaṃ srucam upasādya prādeśamātrīṃ pālāśīṃ samidham ādāya srucaṃ ca samayātihṛtya gārhapatyam āhavanīyasya paścād udag agreṣu kuśeṣu srucam upasādya samidham abhyādadhāty aśanāyāpipāsīyena samidhāhavanīyena vīreṇeti vikāraḥ
2.8.23	dvyaṅgulaṃ samidho 'tihṛtyābhijuhoti
2.9.1	agnir jyotir jyotir agniḥ svāheti sāyam
2.9.2	sūryo jyotir jyotiḥ sūryaḥ svāheti prātaḥ
2.9.3	dakṣiṇaṃ jānv ācyāvaṣaṭkārāsu
2.9.4	upasādyaottarām asaṃsṛjaṃs tūṣṇīṃ bhūyasīṃ pūrvasyāḥ
2.9.5	sruci bhūyiṣṭhaṃ kuryāt
2.9.6	śruco budhnenāṅgārān upaspṛśya dvir udīcīṃ srucam udyamyopasādayati
2.9.7	agan prāṇaḥ svargaṃ lokaṃ jite jayāmy abhayaṃ me 'lokatāyā aputratāyā apaśutāyā iti yajamānaḥ pūrvām āhutim anuprāṇiti
2.9.8	āgann apāna ātmānaṃ vijite vijayāmy abhayaṃ me 'lokatāyā aputratāyā apaśutāyā ity utttarām anvavāniti
2.9.9	yā yajñasya samṛddhasyāśīḥ sā me samṛdhyatām iti
2.9.10	hutayor uttarataḥ pratīcīṃ sāyaṃ dvir upamārṣṭi
2.9.11	ūrdhvāṃ dakṣiṇataḥ prātaḥ
2.9.12	pūrvam upamārjanaṃ kuśeṣu nilimpaty oṣadhīḥ prīṇāmīti manasā
2.9.13	uttaraṃ dakṣiṇataḥ pāṇim uttānaṃ nidadhāti pitṝn prīṇāmīti manasā
2.9.14	dviḥ pradeśinyā prāśyopabdimad udaṅ paryāvṛtya prāgdaṇḍayā bhakṣayitvā prāgḍaṇḍāṃ paryasya nirlihya prakṣālyācamya prāgudīcīr apa utsicya prāgudīcīm uddiśati
2.9.15	etad ekahome karma
2.9.16	sarveṣu tu juhvat pūrṇāṃ srucam uttareṇa gārhapatyaṃ nidhāya
2.10.1	iha puṣṭiṃ puṣṭipatir dadhātv iha prajāṃ janayatu prajāpatiḥ / agnaye rayimate paśumate puṣṭipataye svāhā / agnaye gṛhapataye svāhā / agnaye svāhā / tūṣṇīṃ caturthī gārhapatye
2.10.2	tat savitur vareṇyaṃ bhūr vāg bahu bahu me bhūyāt svāhā / bhargo devasya dhīmahi bhuvaḥ prāṇo bhūyān bhūyo me bhūyāt svāhā / dhiyo yo naḥ pra codayāt svarṇāma sarvaṃ sarvaṃ me bhūyāt svāhā / agnaye 'nnādāyānnapataye svāhety anvāhāryapacane caturthī
2.10.3	mahāvyāhṛtibhis tisro brahmavarcasakāmasya
2.10.4	avikṛtā caturthī
2.10.5	yāḥ srucy āpas traidhaṃ tāḥ karoty agnihotrasthālyāṃ gārhapatyasya paścād añjalau ca patnyāḥ
2.10.6	saṃ tvā sṛjāmi prajayā dhanenety añjalau
2.10.7	pratitapya srucaṃ nidadhāti
2.11.1	dakṣiṇatonyāyaṃ yājamānam
2.11.2	upaprayanto 'dhvaram ayam agniḥ sahasriṇa ubhā vām ayaṃ te yonir ayam iha asya pratnām iti ṣaṇṇāṃ triḥ prathamām uttamāṃ ca
2.11.3	āyurdā agne 'syāyur me dehi varcodā agne 'si varco me dehi tanūpā agne 'si tanvaṃ me pāhy agne yan ma ūnaṃ tanvas tan ma ā pṛṇa / indhānās tvā śataṃ himā dyumantaṃ samidhīmahi / vayasvanto vayaskṛtaṃ sahasvantaḥ sahaskṛtam / agne sapatnadambhanam adabdhāso adābhyaṃ / iti japitvā
2.11.4	citrāvaso svasti te pāram aśīyeti triḥ
2.11.5	saṃ tvam agne sūryasya varcasāgathāḥ samṛṣīṇāṃ stutena saṃ priyeṇa dhāmnā sam aham āyuṣā saṃ varcasā saṃ prajayā saṃ priyeṇa dhāmnā saṃ rāyaspoṣeṇa gmiṣīyety upaviśya
2.11.6	ambha sthāmbho vo bhakṣīya maha stha maho vo bhakṣīyorja sthorjaṃ vo bhakṣīya rāyaspoṣa stha rāyaspoṣaṃ vo bhakṣīya / ṛevatī ramadhvam asmin yonāv asmiṃl loke 'smin goṣṭhe 'smin kṣaye 'syām āśiṣy asyāṃ pratiṣṭhāyām ihaiva stheto māpagāteti gām abhyeti
2.12.1	saṃhitāsi viśvarūpy ūrjā māviśa gaupatyenety asyā lalāṭam upaspṛśya
2.12.2	upa tvāgna iti tṛcenāgne tvaṃ na iti ca dvaipadena gārhapatyam
2.12.3	iḍa ehy adita ehi sūnṛta ehīti gām abhyeti
2.12.5	somānaṃ svaraṇam iti tṛcenottarato 'nvāhārya pacanam
2.12.6	antareṇa gārhapatyāhavanīyau māhitraṃ japitvāhavanīyam upatiṣṭhate
2.12.7	tat savitur vareṇyaṃ kadā cana starīr asi pari te dūlabha iti trir etām
2.12.8	sarveṣu tu juhvan mahāvyāhṛtibhis tisras tisraḥ samidho 'bhyādadhāty āhavanīye vaikahāvī
2.12.9	daivas tantur asy anu tvā rabhe māhaṃ tvad vyavacchitsīty āhavanīyasya dakṣiṇato 'ṅgārān upaspṛśya
2.12.10	tato 'si tantur asy anu mā saṃtanuhi prajayā paśubhī rāyaspoṣeṇa suprajās tvena suvīryeṇa mānuṣas tantur asy anu mā rabhasva mā tvaṃ mad vyavacchitthā asāv iti jyeṣṭhasya putrasya nāmābhivyāhṛtya yāvanto vā bhavanti
2.12.11	ātmano 'jātaputraḥ
2.12.12	satyenāvabhṛtham abhyavaimy apsu vratam ity ācamya vācaṃ visṛjate
2.13.1	atha prātaḥ
2.13.2	bhūr bhuvaḥ svaḥ suprajāḥ prajābhir bhūyāsaṃ supoṣaḥ poṣaiḥ suvīro vīrair abhayaṃ te 'bhayaṃ no 'stu manasā tvopatiṣṭhe lokam upaimi svaś cety āhavanīyam
2.13.3	atraiva tiṣṭhann itarau
2.13.4	abhayaṃ te 'bhayaṃ no astu vācā tvopatiṣṭhe prajām upaimi paśūmś ceti gārhapatyam
2.13.5	abhayaṃ te 'bhayaṃ no astu prāṇena tvopatiṣṭhe vyānam upaimy āyuś cety anvāhāryapacanam
2.13.6	abhayaṃ vo 'bhayaṃ no astu kāmena va upatiṣṭhate vittim upaimi bhūtiṃ ceti sarvān
2.13.7	samānaṃ samitprabhṛty ā vratasya visarjanāt
2.13.8	anena vaiva sāyaṃprātaḥ
2.13.9	anupasthānaṃ vā prātaḥ
2.14.1	pravatsyann agnīn samīkṣate 'bhayaṃ vo 'bhayaṃ no astv iti
2.14.2	narya prajāṃ me pāhi mānuṣān mā bhayāt pāhīti gārhapatyam
2.14.3	atharya pituṃ me pāhi pitryān mā bhayāt pāhīty anvāhāryapacanam
2.14.4	tam uttareṇa gatvā śaṃsya paśūn me pāhi daivān mā bhayāt pāhīty āhavanīyam
2.14.5	annam annam iti trīṇi padāny abhyuddhṛtyā sakāśād vāgyamanam
2.14.6	agnyupasthānasyānarthaluptaṃ pravasañ japet
2.14.7	yājamānaṃ ca parvaṇi
2.14.8	anapetaṃ hi kāraṇam
2.14.9	saṃdhi velayor vā ācamya vācaṃ yatvā punar ācamya mahā vyāhṛtibhir visargaḥ
2.14.10	cakṣur viṣaye 'gnīnāṃ vācaṃ yacchet / proṣyāyan
2.15.1	tathā caiva samīkṣaṇam
2.15.2	āganma vṛtrahantamam asmabhyaṃ vasuvittamam / agne samrāḍ abhi dyumnam abhi saha ā yacchasva // śaṃsya paśūn me 'jugupas tān me pāhy eva daivān mā bhayād ajugupas tasmān mā pāhy evety āhavanīyam
2.15.3	tṛṇāpacayanaṃ samid ādhānaṃ ca sarveṣu
2.15.4	ayam agniḥ purīṣyo rayimān puṣṭivardhanaḥ / agne purīṣyābhi dyumnam abhi saha ā yacchasva // atharya pituṃ me 'jugupsas taṃ me pāhy eva pitryān mā bhayād ajugupas tasmān mā pāhy evety anvāhāryapacanam
2.15.5	ayam agnir gṛhapatir gārhapatyāt prajāyā vasuvittamaḥ / agne gṛhapate 'bhi dyumnam abhi saha ā yacchasva // narya prajāṃ me 'jugupas tāṃ me pāhy eva mānuṣān mā bhayād ajugupas tan mān mā pāhy eveti gārhapatyam
2.15.6	vyaveto 'gnīn pravasati
2.15.7	tena caivotsṛjyate
2.16.1	vāstoṣpatīyaṃ dhrauvye daśarātrāvarārdhe saṃprayāteṣu
2.16.2	agniṣṭhasya dakṣiṇe yukta upohya cīvaraṃ vāstoṣpate pratijānīhīty anūcya vāstoṣpate śagmayeti yajati
2.16.3	hute cānāhitaṃ tyajet
2.17.1	samārohayamāṇo gārhapatye pāṇī pratitapya prāṇān saṃmṛśaty ehi me prāṇān āroha iti
2.17.2	sakṛt sakṛn mantreṇa dvir dvis tūṣṇīm
2.17.3	ayaṃ te yonir iti vāraṇī pratitapati
2.17.4	sakṛt sakṛn mantreṇa dvir dvis tūṣṇīm
2.17.5	evam āhavanīyāt
2.17.6	nityadhṛtād anyasmin
2.17.7	anastamite ca manthanam
2.17.8	upāvaroha jātavedaḥ punas tvaṃ devebhyo havyaṃ vaha naḥ prajānan / āyuḥ prajāṃ rayim asmāsu dhehy ariṣṭo dīdihi no duroṇe // ity ātmano 'raṇyor upāvarohya manthanam
2.17.9	laukike vālaukike vā
3.1.1	saṃsthitāyāṃ paurṇamāsyām indrāyeṣṭir vimṛdhe
3.1.2	amāvāsyāvikāraḥ
3.1.3	indra kṣatraṃ mṛgo na bhīmaḥ
3.1.4	juṣṭo damūnā agne śardheti sviṣṭakṛtaḥ
3.1.5	aditaye 'māvāsyāyāṃ saṃsthitāyām
3.1.6	paurṇamāsīvikāraḥ
3.1.7	ye vaimṛdhasya te sviṣṭakṛtaḥ
3.1.8	yāvajjīvaṃ ca
3.1.9	prayoga āntāt
3.2.1	anāgate parvaṇy amāvāsye pravṛtte 'bhyuditeṣṭiḥ
3.2.2	agnaye dātra indrāya pradātre viṣṇave śipiviṣṭāyeti
3.2.3	nirupte jānaṃs tān eva vibhajet
3.2.4	agne dā dā no 'gne bṛhataḥ
3.2.5	sahasrā te śatā tū bhara
3.2.6	amāvāsyāvikāraḥ
3.2.7	dhanuś ca trīṣu dakṣiṇā
3.2.8	kāle cāmāvāsyam
3.2.9	nābhyāvṛttiḥ piṇḍapitṛyajñasyāsti
3.3.1	atīte parvaṇy amāvāsye pravṛtte 'bhyuddṛṣṭeṣṭi
3.3.2	agnaye pathikṛta indrāya vṛtraghne vaiśvānarāya
3.3.3	vetthā hi vedha ā devānām
3.3.4	vārtrahatyāya sahadānum
3.3.5	ṛtāvānaṃ vaiśvānaram ṛtasya jyotiṣas patim / ajasraṃ bhānum īmahe // nābhiṃ yajñānām
3.3.6	amāvāsyāvikāraḥ
3.3.7	daṇḍopānahaṃ dakṣiṇā
3.3.8	saṃsthitāyāṃ cāmāvāsyam
3.3.9	nābhyāvṛttiḥ piṇḍapitṛyajñasyāsti
3.4.1	agnaye 'gnimate 'gnāv agnāv abhyuddhṛte
3.4.2	pathikṛte 'ntareṇa vihāraṃ cakrīvati vṛtte niyatātipattau ca
3.4.3	vītaye mithaḥsaṃsṛṣṭeṣu
3.4.4	vivicaye grāmyeṇa
3.4.5	saṃvargāya pradāvyena
3.4.6	śucaye kravyeṇa
3.4.7	apsumate vaidyutena
3.4.8	vyādhiplāye rudrāya
3.4.9	adhvānaṃ gamiṣyan pūṣṇe pathikṛte
3.4.10	sārvakāmiky agnaye kāmāya
3.4.11	vratapataye vratyavelāṃ proṣyāvratyaṃ vā caritvā
3.4.12	vratabhṛte 'śru kṛtvā
3.4.13	gṛhadāhe kṣāmavate
3.4.14	marudbhyo yamau prajātāyām
3.5.1	agnim agniṃ havīmabhir agnināgniḥ samidhyate
3.5.2	agna ā yāhi vītaye yo agniṃ devavītaye
3.5.3	kayā no 'gne vivasas tvām agne mānuṣīḥ
3.5.4	kuvit su no mā no 'smin mahādhane
3.5.5	apsv agna urau mahān
3.5.6	kad rudrāyāśyāma te
3.5.7	vayam u tvā pathaspate pathaspathaḥ
3.5.8	agniḥ pareṣu dhāmasu kāmo bhūtasya bhavyasya / samrāḍ eko vi rājati // aśyāma tam
3.5.9	tvam agne vratabhṛc chucir agne devāṁ ihā vaha / upa yajñaṃ haviś ca naḥ // vratāni bibhrad vratapā adābhyo bhavā no dūto ajaraḥ suvīraḥ / dadhad ratnāni sumṛḍīko agne gopāya no jīvase jātavedaḥ
3.5.10	kṛṣṇā rajāṃsi patsutas tve vasūni purvaṇīka hotaḥ
3.5.11	marutas tveṣasadṛśa ā yāta yamāv iva / śubhrā hiraṇyakhādayaḥ // vātatviṣo marutaḥ śriye kam iti vā
3.6.1	jñātayo 'saṃvidānā bahudevatām iṣṭiṃ nirvaperan
3.6.2	agniḥ prathamo vasubhir no avyāt somo rudrair abhi rakṣatu tmanā / indro marudbhir ṛtuthā kṛṇotv ādityair no varuṇaḥ śarma yaṃsat // sam agnir vasubhir no 'vyāt saṃ somo rudriyābhis tanūbhiḥ / sam indro rātahavyo marudbhiḥ sam ādityair varuṇo viśvavedāḥ
3.6.3	saṃjñānam iti ca japeran
3.7.1	mitravindāyāḥ
3.7.2	pañcadaśa sāmidhenīḥ
3.7.3	agninā rayiṃ gayasphāna ity ājyabhāgau
3.7.4	agniḥ somo varuṇo mitra indro bṛhaspatiḥ savitā yaḥ sahasrī / pūṣā no gobhir avasā sarasvatī tvaṣṭā rūpāṇi samanaktu yajñaiḥ // tvaṣṭā rūpāṇi dadhatī sarasvatī pūṣā bhagaṃ savitā me dadātu / bṛhaspatir dadad indro balaṃ me mitraḥ kṣatraṃ varuṇaḥ somo agniḥ
3.7.5	nū no rāsva sahasravad uta no brahmann aviṣa iti sviṣṭakṛtaḥ
3.7.6	sahasraṃ dakṣiṇā
3.7.7	devatānupūrvyaṃ puronuvākyāvan nigameṣu
3.7.8	yājyāvad ādeśe
3.7.9	yathāsaṃpreṣitaṃ vā
3.8.1	phālgunyāṃ paurṇamāsyāṃ prayogo 'dīkṣitāyanānām
3.8.2	vasiṣṭhayajñasyāmāvāsyāyāṃ sākaṃprasthāyyasya ca
3.8.3	pañcadaśa varṣāṇi dākṣāyaṇayajñasya
3.8.4	saṃvatsaraṃ saṃvatsaraṃ vā sarveṣām
3.8.5	na prayuñjānasya nityau darśapūrṇamāsau vartete
3.8.6	dākṣāyaṇayajñasya
3.8.7	paurṇamāsāni pūrveḍyuḥ
3.8.8	agnīṣomīyo vā
3.8.9	āgneyaḥ sāṃnāyyaṃ caindraṃ paurṇamāsyām
3.8.10	aparapakṣaṃ dīkṣitavrato 'tithibhyo dadāti
3.8.11	satyavrato vā
3.8.12	abhyañjanahatāvikapalpūlitāni na vaste
3.8.13	havir ucchiṣṭāśanaḥ
3.8.14	na sauhityaṃ prāpnuyāt
3.8.15	somaṃ rājānaṃ candramasaṃ bhakṣayāmīti manasā dhyāyann aśnāti
3.8.16	āmāvāsyāni pūrvedyuḥ
3.8.17	aindrāgno vā
3.8.18	āgneyo maitrāvaruṇī ca payasyāmāvāsyāyām
3.8.19	ṛtena yā uta vāṃ vikṣu
3.8.20	purā śaṃyor vākād ūrdhvaṃ vā anāvāhya vājino yajati
3.8.21	uttame prayāje nigacchanti yathārthaṃ ca sūktavāke
3.8.22	vājino devā havir joṣayiṣyante vardhayiṣyante maho jyāyaḥ kariṣyante
3.8.23	śaṃ no bhavantu vājino vāje vāja ity ūrdhvajñur anavānaṃ yajati
3.8.24	vājinasyāgne vīhīty anuvaṣaṭkāraḥ
3.8.25	yajamāno brahmā hotādhvaryur āgnīdhraś ca samupahūya bhakṣayanti
3.8.26	prathamo jaghanyaś ca yajamānaḥ
3.8.27	yan me retaḥ pra dhāvati yad vā siktaṃ pra jāyate / rājñā somena tad vayam asmāsu dhārayāmasi // vājo 'si vājinam asi vājo mayi dhehīti bhakṣamantraḥ
3.9.1	iḍādadhasya
3.9.2	āgneya sarasvatyai ca
3.9.3	agnīṣomīyaḥ sopāṃśuyājaḥ sāṃnāyyaṃ caindraṃ paurṇamāsyām
3.9.4	vratāni ca dākṣāyaṇa yājñikāni
3.9.5	āgneyaḥ sarasvate ca
3.9.6	aindrāgno maitrāvaruṇī ca payasyāmāvāsyāyām
3.9.7	samānaṃ vājinam
3.10.1	sārvaseniyajñe
3.10.2	ubhayāni havīṃṣy ekasyām iṣṭau
3.10.3	paurṇamāsāni pūrvāṇi
3.10.4	arcantas tvāsmākam agne adhvaram ity uttarasyāgneyasya
3.10.5	nāmāvāsyāṃ yajati
3.10.6	piṇḍapitṛyajñaṃ tu karoti
3.10.7	na śaunakayajñe sākaṃ prasthāyye ca vikāro hotum asti
3.11.1	sārvaseniyajñena vasiṣṭhayajño vyākhyātaḥ
3.11.2	pūrvāṇi tv āmāvāsyāni
3.11.3	na paurṇamāsīṃ yajate
3.11.4	iti darśapūrṇamāsāyanāni
3.11.5	kāmyāni
3.11.6	pāñcadaśyaṃ ca sāmidhenīnām
3.11.7	āgneyāgnāvaiṣṇavau
3.11.8	paurṇamāsīvikāraḥ
3.11.9	sadā yajate 'nyatra parvaṇaḥ
3.11.10	munyayanam ity ācakṣate
3.11.11	āgneyaindro vaiśvadevaḥ
3.11.12	amāvāsyāvikāraḥ
3.11.13	sadā yajate 'nyatra parvaṇaḥ
3.11.14	adīkṣitaḥ kṛṣṇājinaṃ pratimuñcate
3.11.15	turāyaṇam ity ācakṣate
3.11.16	saṃvatsaraprayoge ca
3.12.1	saumī śyāmākeṣṭiḥ
3.12.2	vaiṇuyavī ca
3.12.3	aindrāgna āgnendro vā vaiśvadevo dyāvāpṛthivīyaś ca vrīhiyavānām
3.12.4	sadvad ājyabhāge
3.12.5	imaṃ yajñaṃ yā te dhāmāni divīti
3.12.6	saumyasya madhuparko dakṣiṇā
3.12.7	iyaṃ vām asya śuciṃ nu
3.12.8	ā ghā ye sukarmāṇaḥ surucaḥ
3.12.9	mahī dyaur urvī pṛthvī
3.12.10	vaiśvadeva dyāvāpṛthivīyau copāṃśu
3.12.11	virājau sviṣṭakṛtaḥ
3.12.12	vatsaḥ prathamajo dakṣiṇā
3.12.13	samānatantrā vā darśapūrṇamāsābhyām
3.12.14	darśapūrṇamāsau vā navānām
3.12.15	agnihotraṃ vā yavāgvā sāyaṃprātaḥ
3.12.16	agnihotrīṃ vā navān ādayitvā tasyai dugdhena sāyaṃprātar agnihotraṃ juhuyāt
3.12.17	gārhapatye vā sthālīpākaṃ śrapayitvāgrayaṇadevatābhyaḥ sviṣṭakṛc caturthībhyaḥ svāhākāreṇāhavanīye juhuyāt
3.13.1	phālgunyāṃ paurṇamāsyāṃ prayogaś cāturmāsyānām
3.13.2	caitryāṃ vā
3.13.3	vaiśvānarīyapārjanyeṣṭiḥ pūrvasyāṃ paurṇamāsyām
3.13.4	parjanyāya yasya vrate
3.13.5	uttarasyāṃ vaiśvadevam
3.13.6	āgneyaḥ
3.13.7	saumyasāvitrau
3.13.8	sārasvatapauṣṇau
3.13.9	marudbhyaḥ svatavadbhyaḥ
3.13.10	vaiśvadevī
3.13.11	dyāvāpṛthivīyaś ca
3.13.12	hiraṇyapāṇim ūtaya udīraya
3.13.13	pūṣantava śukraṃ te
3.13.14	iheha vaḥ pra citram
3.13.15	agnimanthanīyāś cāsanneṣu haviḥsu
2.13.16	paścād veder avasthāyāgnaye mathyamānāyeti saṃpreṣitaḥ
3.13.17	abhi tvā deva savituḥ / mahī dyauḥ / tvām agne puṣkarād iti ca tisraḥ / uta bruvantu jantava iti jātāya / ā yaṃ haste na khādinam iti hastena dhāryamāṇāya / uttare prahriyamāṇāya / agnināgniḥ samidhyate / tvam ḥy agne agninā / taṃ marjayantety agnimanthanīyāḥ
3.13.18	nava ca prayājāḥ
3.13.19	caturthottamāv antareṇa catvāraḥ
