#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
3.4.23	ahiṃkṛtā prathamā retasyā hiṃkṛtāḥ parāḥ
3.4.24	rathantaravarṇottamā avisṛṣṭahiṃkārā
3.4.25	tasyā ūrdhvaṃ prastāvāc catvāry akṣarāṇy abhiṣṭobhet
3.4.26	annam akaram iti stutvā japet
3.4.27	śyeno 'sīti prastare yajamānaṃ vācayet
3.4.28	taṃ sarvatra stutvopahvayeran
3.4.29	saṃ varcasetīkṣakān sahakāriṇaś ca prekṣamāṇo japet
3.4.30	namo gandharvāyetyādityam
3.4.31	deśenaivāntarhitaścet
3.4.32	etatsarvaṃ kuryāduttarayoḥ pavamānayoḥ
3.4.33	pravarāstu nivartante
3.4.34	cātvālāvekṣaṇaprabhṛti ca prāgghiṅkārāt
3.4.35	praveśanasaṃmārjane cāntareṇa tṛtīyasavane
3.4.36	kumbhaṃ tu tatra saṃmṛjyāt
3.4.37	uttare havirdhāne yaḥ pūrvo droṇakalaśāvṛtā
3.4.38	taṃ pūtabhṛd ity ācakṣate taṃ pūtabhṛd ity ācakṣate
4.1.1	stomayoge 'gniryunaktvityetasya sthāne vāyuryunaktu sūryo yunaktviti nānāsavanayoḥ
4.1.2	vihāraṃ dhānaṃjayyaḥ
4.1.3	agnestejasā bṛhaspatis tveti prātaḥsavana indriyasyendriyeṇa bṛhaspatis tveti mādhyaṃdine sūryasya varcaseti tṛtīyasavane
4.1.4	sarvair ekaikaṃ yathāmnāyaṃ śāṇḍilyaḥ
4.1.5	sāmne sāmne hiṃkuryuḥ
4.1.6	vṛṣako 'si svaro 'sīti yajamānavācane
4.1.7	stutvā bahiṣpavamānena prastarādubhayataścaturaṅgulaṃ paricchidya tṛṇaṃ cātvāle pravidhyedyadi stutaṃ yadi vādya suṣṭutam arvākstutaṃ yadi vātiṣṭutaṃ yat tayor anyena divamāruhememamanyena jayema lokamiti
4.1.8	tatraivodapātraṃ ninayet samudraṃ vaḥ prahiṇomi svāṃ yonim api gacchatāriṣṭās tanvā bhūyāsma mā parāseci no dhanam iti
4.1.9	bahirvedy udañco 'yuñji padāny utkrāmeyuḥ prāgdaśabhyaḥ
4.1.10	abhidakṣiṇam āvṛtyāvrajyāgnīdhrīyaṃ bahiṣpavamānarco 'dhīyīran
4.1.11	anuvyāhārṣīnmāmiti yam atiśaṅketa tasmā āgnīdhrīya āhutivarjaṃ prahared yajña śaṃ ca ta upa ca te namaś ca te satyo 'si satyasaṃskṛtastasya te ya ūnaṃ yo 'kṛtaṃ yo 'tiriktam adarśaṃ tasya prāṇenāpyāyasva svāheti
4.1.12	na vyabhicarediti dhānaṃjayyaḥ
4.1.13	ahīnabahiṣpavamānaiḥ sadasi stuvīran prathamād ahno 'nyatra
4.1.14	ādyantayoś ca satreṣu
4.1.15	prāgdhiṣṇyaviharaṇān niṣkramya tṛṇaprāsanaprabhṛti samāpayeyuḥ
4.1.16	vaidatrirātre satranyāyaṃ gautamaḥ
4.1.17	ahīnanyāyaṃ dhānaṃjayyaḥ
4.1.18	mandraṃ prātaḥsavane stuvīran
4.1.19	uttarottaryuttarayoḥ savanayoḥ
4.1.20	samena vobhayoḥ
4.1.21	etasyāṃ velāyāṃ prāśnīyuḥ
4.1.22	anusavanaṃ tu satreṣu
4.1.23	savanamukhīyān bhakṣayitvā sanneṣu nārāśaṃseṣu
4.2.1	vapāyāṃ hutāyāṃ dhiṣṇyān upatiṣṭheran
4.2.2	cātvāle tu mārjanaṃ pūrvaṃ satreṣv idam āpaḥ pravahatāvadyaṃ ca malaṃ ca yad yac cābhidudrohānṛtaṃ yac ca śepe abhīruṇam āpo mā tasmād enaso duritāt pāntu viśvato nir mā muñcāmi śapathān nir mā varuṇād uta nir mā yamasya ṣaḍviṃśāt sarvasmād eva kilbiṣāt sumitriyā na āpa oṣadhayaḥ santu durmitriyās tasmai santu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmaḥ iti
4.2.3	samrāḍ asīty āhavanīyam upasthāyodañco gatvāstāvacātvālaśāmitrān udaṅmukhās tutho nabho saṃmṛṣṭa iti
4.2.4	vibhur asīty āgnīdhrīyam upatiṣṭheran
4.2.5	tam uttareṇa saṃcaraḥ sarvatra
4.2.6	dakṣiṇenottarayoḥ savanayor yadā havirdhānam āhavanīyaṃ ca pṛṣṭhahomāya
4.2.7	pūrvasyāṃ sadaso dvāri pratyaṅmukhāstiṣṭhanto vahniriti hoturdhiṣṇyam
4.2.8	śvātra iti maitrāvaruṇasya
4.2.9	tutha uśig aṅghārir avasyur iti brāhmaṇācchaṃsiprabhṛtīnāmudañcaḥ
4.2.10	śundhyuriti mārjālīyaṃ tatraiva tiṣṭhantaḥ
4.2.11	ṛtadhāmetyaudumbarīm
4.2.12	samudra iti brahmaṇaḥ sadanam
4.2.13	uttareṇa sado gatvāntarvedi pratyaṅmukhās tiṣṭhanto 'hir iti prājahitam
4.2.14	aja iti gārhapatyam
4.2.15	sagarā iti dakṣiṇāgner āyatanam
4.2.16	kavya iti dakṣiṇaṃ vedyantam
4.2.17	tatraiva tiṣṭhantaḥ sarvāntsamanvīkṣamāṇaḥ pāta meti
4.2.18	ekaikam upasthāyaitad brūyur iti śāṇḍilyaḥ
4.2.19	bahuśabdān ekavat kurvantaḥ
4.3.1	raurikīṇi cet kuryur ādityaṃ prathamam upatiṣṭherann adhvanām iti
4.3.2	āhavanīyam upasthāya tam evāpijo 'si jāyamāna ity apijo 'si navajāta iti vāyum agnim anupraharanti tam abhipretya
4.3.3	yadā cātvālam athotkaraṃ tumulo 'sy ākrandaṃ kṛtveti
4.3.4	yadā śāmitram atha yatrovadhyaṃ nikhananty ūvadhyagoho 'si pārthiva iti
4.3.5	yadāgnīdhrīyam atha yatrācchāvāka āsīno hotary upahavam icchaty upahavyo 'si namasya ity upahavyo 'si tanūpā iti vā
4.3.6	yadā brahmaṇaḥ sadanam atha sadasyasya sadasyo 'si malimluca iti
4.3.7	yadā dakṣiṇaṃ vedyantam atha prājāpatyam asīti patnīśālām aindram asīti sado vaiṣṇavam asīti havirdhānam aindrāgnam asīty āgnīdhrīyaṃ vaiśvadevam asīti vā
4.3.8	atha tathaiva samastena
4.3.9	sarve stha somyāsaḥ sarve somaṃ pibata sarve somasya pītim ānaśadhve pāta meti samānaṃ param
4.3.10	ṛtasya dvārau stha ity aparau dvārabāhū sadasaḥ saṃmṛjya mā mā saṃtāptam iti praviśeyuḥ
4.3.11	dakṣiṇenaudumbarīṃ gatvā tasyā uttarata upaviśeyur namaḥ sakhibhya iti
4.3.12	pūrveṇa prastotāraṃ pratihartā gacchet
4.3.13	etasyāṃ velāyāṃ samupahvayeran sarve satreṣu
4.3.14	mitho 'nyatra
4.3.15	sarve yajamānam
4.3.16	dvārabāhusaṃmārjanaprabhṛty etat sarvaṃ kuryur yadā dhiṣṇyān upatiṣṭheran
4.4.1	yājamānabrahmatve ced udgātā kuryāt
4.4.2	āgnīdhrīyam upasthāya pūrveṇa parikrāmet
4.4.3	sadasānupasthāya tata evekṣamāṇaḥ pātnīśālān
4.4.4	itarathetarau
4.4.5	ṛtasya dvārau stha iti pūrvau dvārabāhū sadasaḥ saṃmṛjya dakṣiṇasya purastād udaṅmukha upaviśed iti śāṇḍilyaḥ
4.4.6	tasyaiva paścāt pratyaṅmukha iti dhānaṃjayyaḥ
4.4.7	ukte praveśanopaveśane
4.4.8	ṛtvikpathena gatvā samastopasthānaprabhṛti samānam
4.4.9	dakṣiṇārdhe tu sadasaḥ pūrvam upaveśanam
4.4.10	prastotuḥ pratyupaveśanaṃ brahmopaveśanena
4.4.11	nirastaḥ parāvasur iti dakṣiṇā tṛṇaṃ nirasyet
4.4.12	ā vasoḥ sadane sīdāmīty upaviśet
4.4.13	namaḥ sakhibhyaḥ pūrvasadbhyo namo 'parasadbhyo bhūr bhuvaḥ svar bṛhaspatibrahmāhaṃ mānuṣa om ity uktvaudumbarīṃ gatvopaviśet
4.4.14	anūpaviśeyātām itarau
4.4.15	etenānupūrvyeṇa sarvaṃ yathāsanaṃ cikīrṣet
4.4.16	glāyec ced adhyaudumbaryeva
4.4.17	sadasya evam eva dhiṣṇyān upatiṣṭhan brahmāṇam anupraviśet
4.4.18	brāhmaṇācchaṃsinaṃ vā
4.4.19	tenāsya samupahavaḥ syāt
4.4.20	bhakṣaś ca samānaḥ
4.4.21	bībhatseyātāṃ cen nānācamasau syātām
4.4.22	sarpatsu na śūnyaṃ sadaḥ kuryāt
4.4.23	tasya dadhibhakṣāntaṃ karma
4.4.24	sa nivarteta satreṣu
4.4.25	visaṃsthite savane pūrvayā dvārāntareṇa hotur dhiṣṇyaṃ maitrāvaruṇasya ca saṃcaraḥ
4.4.26	tad yathaitam iti
5.1.1	camasaṃ pratigṛhya prastotā dakṣiṇa ūrāv ādhāya dakṣiṇena pāṇinā vidhāyāsīta
5.1.2	upahūyamānāyām iḍāyām anūpadhārayed anupaghnan
5.1.3	vaṣaṭkartur anubhakṣaṃ sarvatra bhakṣayeyuḥ
5.1.4	mitha upahūyodgātā prathamaḥ
5.1.5	dakṣiṇam anu bāhuṃ daṇḍaṃ kṛtvā śyena ity avekṣyendav iti dvir alpaṃ bhakṣayed yathāsavanaṃ chandāṃsy ādiśan
5.1.6	ūrdhva iti mukhyān prāṇān abhimṛśet
5.1.7	soma rārandhīti hṛdayam
5.1.8	soma gīrbhir iti nābhim
5.1.9	evam itarau kuryātāṃ pratihartā paścāt
5.1.10	taṃ sa āpyāyayed abhimṛśyāpyāyasvety etayā gāyatryā
5.1.11	sarve vā
5.1.12	tāṃ tṛtīyasavane dvir brūyuḥ
5.1.13	saṃ te payāṃsīti mādhyaṃdine
5.1.14	gāyatryaivānusavanam āpyāyayed iti śāṇḍilyaḥ
5.1.15	dvitīyāḥ savaneṣu nārāśaṃsāḥ
5.1.16	pūrvayoś ca tṛtīyau
5.1.17	teṣām anavekṣya bhakṣaṇam
5.1.18	avamair iti prātaḥsavane aurvair iti mādhyaṃdine kāvyair iti tṛtīyasavane
5.1.19	pitṛbhir iti sarvatrānusaṃharet
5.1.20	pratyabhimarśane yathākāmī
5.1.21	prathamadvitīyau pūrvayoḥ savanayor āpyāyayet
5.1.22	prathamaṃ tṛtīyasavane
5.1.23	āvṛttiṣu tṛṇe pratigṛhya prastotā prayacched yathāprastaram
5.1.24	anāhriyamāṇayor na mantraṃ jahyāt
5.1.25	tathaiva jaṅghām upahatya yuñjyāt stomaṃ dīkṣāyai tapaso manaso vāca iti
5.1.26	nānā dhānaṃjayyo yatrānantarāṇi catvāri
5.1.27	antaḥ sarveṣāṃ prajāpatis tveti
5.1.28	prathamenālpīyaḥsu
5.1.29	tatprabhṛtīni rātrau
5.1.30	tathātiriktastotreṣu
5.1.31	sarvair ekaikaṃ yathāmnāyaṃ śāṇḍilyaḥ
5.1.32	āvṛttinyāyaḥ saṃdhau
5.1.33	upavasathye 'hani na samāmaneran
5.2.1	prastotā tu kuśāḥ kārayed yajñīyasya vṛkṣasya
5.2.2	khadirasya dīrghasattreṣv eke
5.2.3	prādeśamātrīḥ kuśapṛṣṭhās tvaktaḥ samā majjato 'ṅguṣṭhaparvapṛthumātrīḥ prajñātāgrāḥ
5.2.4	kārayitvā gandhavatībhir oṣadhībhir anulipya sarpiṣā sattreṣv eke kuśāvidhānena vasanena pariveṣṭya kṣaumaśāṇakakārpāsānāṃ kenacid upary audumbaryā vāsayet
5.2.5	tāṃ śvobhūte kuśair ūrdhvāgraiḥ pariveṣṭyaivaṃjātīyenaiva vasanena pradakṣiṇam ūrdhvadeśena pariveṣṭya spṛṣṭo 'napaśrita udgāyed iti gautamaḥ
5.2.6	dhiṣṇyo 'yaṃ bhavati na dhiṣṇyam āsādayet
5.2.7	dhṛṣṭam apaśrayateti dhānaṃjayyaḥ
5.2.8	sa eva tad urji śritaḥ prajābhya ūrjaṃ vibhajatīti hyāha
5.2.9	stoṣyamāṇānāṃ madhye vaiṣṭutaṃ vasanaṃ prāksamāsaṃ vodaksamāsaṃ voparidaśam āstīrya tatra prastotā kuśā vidadhyāt prastāvānteṣu
5.2.10	ādye 'nekaprastāvāsu
5.2.11	aprastāvāsv ādau
5.2.12	udagagraṃ prathamaṃ viṣṭāvaṃ prāksaṃsthaṃ pratyag vā
5.2.13	taṃ paścimena madhyadeśenodaksaṃsthaṃ prāgagraṃ pratyag vā
5.2.14	taṃ paścimenodagagraṃ pratyaksaṃstham
5.2.15	evaṃvidhāḥ paryāyā uttarottarāḥ
5.2.16	mithaḥ paryāyaviṣṭāvān saṃdadhyāt
5.2.17	paryāyādiṣu hiṃkāraṃ stuvīran
5.2.18	uttamāṃ prastutyaiṣeti śaṃsiṣyantaṃ brūyāt
5.2.19	stutasya stutam asīti yajamānavācanam
5.2.20	savanasaṃsthāsu praśāstroktā yathetam aparayā dvārā niṣkramya paścimenāgnīdhrīyaṃ mūtraṃ kuryuḥ
5.2.21	vācaṃ yaccheyur yāvad udakyāḥ syuḥ
5.2.22	etan mṛgatīrtham
5.2.23	tena bhūyaḥ śamyāparāsād gaccheyuḥ
5.2.24	yo bhūyo jigamiṣed āpnānena sa gacchet
5.3.1	atha dhiṣṇyān upatiṣṭheran
5.3.2	samastenottarayoḥ savanayor iti gautamaśāṇḍilyāyanau
5.3.3	sarveṇeti dhānaṃjayyaḥ
5.3.4	anupasthānaṃ śāṇḍilyaḥ
5.3.5	evam eva niṣkramya pṛthakstotrebhyaḥ samastenopatiṣṭheran yāny ūrdhvam ukthebhyaḥ
5.3.6	paryāyebhyas tu rātreḥ
5.3.7	yathāsanam upaviśya prastotā havirdhānaṃ gacchen mādhyaṃdine
5.3.8	huta ādityagrahe pratihartārbhave
5.3.9	ubhayatra sarve satreṣu
5.3.10	pavamānayor uttarayor dhiṣṇyaviharaṇe mārjālīyaṃ harantaḥ paścimena yajamānaṃ hutvā tenaiva pratihareyuḥ
5.3.11	mādhyaṃdinena stutvā sattreṣu dadhigharmasya bhakṣayeyuḥ samupahūya dadhikrāvṇa iti
5.3.12	tasyā uttamaṃ pādaṃ daśame 'hany abhyasyeyuḥ
5.3.13	pūrveṇa patnīśālām antareṇāgnīdhrīyaṃ sadaśca tīrthena dakṣiṇā nayeyuḥ
5.3.14	sarvāsāṃ devasya tveti purastājjapaḥ
5.3.15	varuṇas tveti yathādaivataṃ pratigṛhṇīyāt
5.3.16	yathājāti mṛgān
5.3.17	aprāṇac ca
5.3.18	puṃvan mithunāny anyatrājābhyaḥ
5.3.19	tena ka idam ity upariṣṭājjapaḥ
5.3.20	tatrohāpādīni padāni
5.3.21	tvā devi dakṣiṇe 'da iti ca yat tat syāt tena dātra idam āviśaitat te bhuñjatīti hiṃsīr iti ca
5.3.22	aśvarathaṃ ced dadyāt
5.3.23	pūrveṇāgnīdhrīyam avasthāpya purastājjapaṃ japitvā darbhamuṣṭināśvamukhāni saṃmṛjyād dvābhyāṃ dvābhyām aśvanāmabhyām ekaikasyāśvo 'sīty etatprabhṛtibhir udaksaṃstham iti dhānaṃjayyaḥ
5.3.24	dhuryau prathamam ity aparam
5.3.25	dakṣiṇaṃ pūrvam
5.3.26	tathā praṣṭī
5.3.27	sarvāṇy ekaikasminn udaksaṃstham iti śāṇḍilyaḥ
5.3.28	sarvāṇy ekasmiṃs tūṣṇīm itarāṇīty aparam
5.3.29	etāny evāśvāsvaśvatareṣv aśvatarīṣu ca yathārtham ūhet
5.3.30	tribhiś ced ardhāny ekasminn ardhāni dvayoḥ
5.3.31	dvaidhaṃ dvayoḥ
5.4.1	ādityānām iti rathaśira ālabhya japet
5.4.2	yad rathyaṃ syād vāyor iti carmaṇyaṃ pratigṛhṇīyān nakṣatrāṇām ity asthimayaṃ sūryasyety ayolohe hiraṇyaṃ ca
5.4.3	dakṣiṇena rathaṃ gatvā rathantaram asīti dakṣiṇaṃ cakram ālabhet
5.4.4	vāmadevyam asīty adhiṣṭhānam
5.4.5	bṛhad asīty uttaraṃ cakram
5.4.6	aṅkānyaṅkū iti cakre eva saṃmṛjyāt
5.4.7	vaiśvānara iti dakṣiṇena pādenārohet
5.4.8	tad api veditam avapannaṃ dakṣiṇaṃ cakraṃ nirvartya kham anvīkṣayet pūrvasyāntena te tvāgnaya iti
5.4.9	te metītaro brūyāt
5.4.10	āruhya japed gidaiṣa ta iti
5.4.11	tad api veditaṃ śamarathaṃ śākhāstambham ālabhyāntarā cakravartmanī etenaivānvīkṣeta
5.4.12	kṛśeti savyān abhīśūn āyacchet
5.4.13	dāseti dakṣiṇān avagṛhṇīyāt
5.4.14	avaruhya sakṛd vāruṇam uktvā yathādaivatam ādiśyopariṣṭājjapaṃ japed iti gautamaḥ
5.4.15	saṃmārjanaprabhṛty etat sarvaṃ kṛtvā vimucya nānā purastājjapopariṣṭājjapau vāruṇam aśvebhyo rathāya ceti dhānaṃjayyaḥ
5.4.16	glāyec ced yathāsanaṃ vaitat sarvaṃ japet
5.4.17	pṛṣṭhyaṃ ced dadyāt prāg vāruṇād aśvanāmāni japet
5.4.18	purastājjapād vā
5.4.19	tathā dānteṣu
5.4.20	yad rathyaṃ syāt tena tat pratigṛhṇīyāt
5.4.21	annasyeti prāg vāruṇād aveḥ
5.4.22	purastājjapād vā
5.4.23	gnās tvākṛntann iti vasanasya
5.4.24	tad udasyed atāntave
5.4.25	hiraṇyam alpīyo 'bhogād āgacched audumbaryām āśleṣayet
5.4.26	āgnīdhrīye vā juhuyāt
5.4.27	samastān vrīhiyavān ekakratau pratigṛhṇīyāt
5.4.28	tathā tilamāṣān
5.4.29	prājāpatyenānādiṣṭadevatāḥ pratigṛhṇīyāt
5.4.30	tūṣṇīm ayajñe dakṣiṇā iti dhānaṃjayyaḥ
5.4.31	bhūr bhuvaḥ svar iti gautamaḥ
5.4.32	om iti vom iti vā
6.1.1	pūrvaṃ nārāśaṃsaṃ bhakṣayitvāhavanīye prastotā pṛṣṭhahomaṃ juhuyād yat pṛṣṭhaṃ syāt tad ādiśyādaḥ pibatu somyaṃ madhv āyur dadhad yajñapatāv avihṛtam imaṃ yajñam abhisaṃvasānā hotrās tṛpyantu sumanasyamānāḥ svāheti pūrvām
6.1.2	svāhākāreṇottarām
6.1.3	dvaidhaṃ juhuyād iti dhānaṃjayyaḥ
6.1.4	adaḥ pibatu somyaṃ madhv āyur dadhad yajñapatāv avihṛtaṃ svāheti pūrvām
6.1.5	imaṃ yajñam ity uttarāṃ hotṛkapṛṣṭhebhya iti
6.1.6	revatīṣu vāravantīyam iti ṣaṣṭhe pṛṣṭhādeśaṃ gautamaḥ
6.1.7	mahāvratam iti vrate
6.1.8	revatyaś ca vāravantīyaṃ ceti dhānaṃjayyaḥ
6.1.9	yāvanti pṛṣṭhasthānāni syuḥ sarvāṇy eva prasaṃcakṣīta
6.1.10	pibatu dadhad iti ca yathārtham ūhet
6.1.11	bṛhatā rathantareṇa vā stoṣyamāṇaḥ prāk stomayogād daśa vyāhṛtīr manasā dhyāyed airam iti
6.1.12	rathantara evarcaṃ yas te goṣv iti
6.1.13	yuktvā stomam etad brūyād iti śāṇḍilya ṛcaṃ pūrvaṃ vyāhṛtibhya iti
6.1.14	itarad dhānaṃjayyaḥ
6.1.15	rathantare prastūyamāne sarvatra saṃmīlet
6.1.16	ekaikaṃ manasākṣaraṃ stobhair vācā yugapat saṃyuñjyād bhakārādibhir akārāntair akrāntaiḥ prathamasvarair uttamo dvitīyasvaraḥ prāk pratihārāc caturakṣaraṃ śiṣṭvā
6.1.17	tat sarvatra prativīkṣeta
6.1.18	stutvā varaṃ codayet
6.1.19	tasyāpṛṣṭhasya sato nivarteran dharmāḥ saha stobhair iti gautamaḥ
6.1.20	stobhā evānvīyur iti dhānaṃjayyaḥ
6.1.21	agniṣṭomasāmasaṃdhiṣāmnor evāpṛṣṭhaṃ stobhed iti śāṇḍilyaḥ
6.1.22	sarvatrāsvastotrīyaṃ na stobhed iti sthaviro gautamaḥ
6.2.1	vāmadevyena stoṣyamāṇaḥ prāk stomayogād gāvo 'śvā ajāvayo vrīhayo yavā iti manasā dhyāyet
6.2.2	brahmasāmni yaḥ kāmo yajamānasya syāt sa sidhyatv iti dhyāyannupāsīta
6.2.3	tathetara udgāyan
6.2.4	ārbhaveṇa stutvā puroḍāśād ekaikaṃ piṇḍaṃ trīṃs trīn vāparayā dvārā havirdhānaṃ prapadyādhastāt svasya camasasya kuryur yadāsannaḥ syād atra pitaro mādayadhvaṃ yathābhāgam āvṛṣāyadhvam iti
6.2.5	tam āhriyamāṇaṃ pratimantrayerann amīmadanta pitaro yathābhāgam āvṛṣāyiṣata iti
6.2.6	saumyam āhṛtam udgātāvekṣetāyur me prāṇa iti
6.2.7	punar asmāsu dadhmasīty antaḥ
6.2.8	taṃ daśame 'hany abhyasyet
6.2.9	yan me mādeḥ sthāne yan me yamam ity eke
6.2.10	pūrveṇa tv evāvekṣeta
6.2.11	tasminn aṅgulī avadhāyāṅguṣṭhānāmike ity eke 'kṣiṇī vimṛjīta yenā hy ājim iti
6.2.12	evam itarau kuryātāṃ pratihartā paścāt
6.2.13	tam uttareṇa pratihartāraṃ hareyuḥ
6.2.14	dravyepsur bhuñjītainaṃ gacchaty anyatarāṃ rogārto vāhatena vāsasā pracchādya dakṣiṇārdhaṃ sadaso gatvā
6.2.15	yajñāyajñīyasya hiṃkāraṃ prati patnīm udgātekṣeta
6.2.16	nidhanaṃ prati patnī dakṣiṇam ūrum abhiṣiñcet
6.2.17	tṛtīyāyāṃ stotrīyāyāṃ prastutāyāṃ sarvaṃ tad udakaṃ ninayet
6.2.18	uttamāyāṃ stotrīyāyāṃ bhuvad vājāyi bhuvad vājeṣv ity abhyasyen nām iti ca nidhanam anuṣṭubham uttamām akṣareṇāntata iti hyāheti
6.2.19	anabhyāsaṃ tv ācāryāḥ
6.2.20	nidhanaṃ ca yathāmnāyaṃ śāṇḍilyaḥ
6.2.21	tad yadānuśaṃsan hotāpohiṣṭhīyāṃ brūyāt tadainam anvālabherann apāvṛṇvānāḥ
6.2.22	anyasthānagatasya sato nivarteran dharmāḥ
6.3.1	yad anyad agniṣṭomasāma syāt tasya syuḥ
6.3.2	ahiṃkāre 'pi pratihāravelāyāṃ patnīm udgātāvekṣeta
6.3.3	anu brāhmaṇam ārcikān saṃnāmān sarvatra kuryur apy anyasmin sāmni
6.3.4	tṛtīyasavane sarveṣu stotreṣu samāpteṣu bhakṣayitvā stomaṃ vimuñceyur ṛtasya tveti
6.3.5	dakṣiṇaiḥ pāṇibhiḥ kuśāḥ saṃlobhayeyuḥ
6.3.6	prati yojanam eke yajamānavacanād anantaram
6.3.7	atra vā
6.3.8	yajamānaṃ vācayet tantave mā jyotiṣeti
6.3.9	asāv anu mā tanuhi jyotiṣeti yathājyeṣṭhaṃ putrān
6.3.10	janiṣyamāṇā ity ajāteṣu
6.3.11	jāteṣv ajāteṣu ca putrā ity eva satreṣu
6.3.12	vaṣaṭkṛte hāriyojanasya yathetam aparayā dvārā niṣkrāmanto japeyuḥ somehīti
6.3.13	subhūr asīty ādityam upatiṣṭheran
6.3.14	astamitaś ced gārhapatyaṃ candramasaṃ nakṣatrāṇi vā
6.3.15	āgnīdhrīye dve āhutī juhuyur apāṃ puṣpam asīti pūrvāṃ svāhākāreṇottarām
6.3.16	hāriyojanyo nāma dhānā droṇakalaśe bhavanti tāsām udgātā prathama ādadānaḥ samupahūtā bhakṣayiṣyāma iti brūyāt
6.3.17	tathetarau
6.3.18	unnetary upahavam iṣṭvā hāriyojanasya ta iti tirohnyasyety atirātre sarvatra vā yathādhītaṃ dvir upaghrāya paścād āhavanīyasyāntaḥparidhi nivapeyuḥ
6.3.19	anuprahṛteṣu bhasmānte
6.3.20	apa upaspṛśyāṣṭāv aṣṭau śakalāny āhavanīye 'nuprahareyur devakṛtasyety etatprabhṛtibhir ikārāntaiḥ
6.3.21	sakṛd eva sarvāṇy uttameneti śaucivṛkṣiḥ
6.3.22	apsuṣomā nāma camasāś cātvāladeśe 'dbhiḥ pūrṇāḥ
6.3.23	teṣu haritāni tṛṇāni prāstāni bhavanti
6.3.24	te svaṃ savaṃ camasaṃ paryupaviśyāpsu dhautasyety avamṛśya japeyuḥ
6.3.25	madhumantam iti pāṇīn upajighreran
6.3.26	śam adbhyaḥ ity udañcaṃ camasaṃ ninayeyuḥ
6.3.27	kāmety abhyātmam āvartayeyuḥ
6.3.28	ūrg ity uraḥsu pāṇīn nidadhīran
6.3.29	prāṇa someti mukhyān prāṇān abhimṛśeran
6.3.30	āgnīdhrīyaṃ gatvā dadhibhakṣaṃ bhakṣayeyur asamupahūya dadhikrāvṇaḥ iti
6.4.1	agniṣ ṭapatīty avabhṛthasāma
6.4.2	tasyāvṛd yathā prathamasya pravargyasāmnaḥ
6.4.3	sarva ṛtvijo nidhanam upeyuḥ
6.4.4	iṣṭāhotrīyam abhiṣecanīye samasyeti vā
6.4.5	aśvatrirātre nānāvabhṛthāni sāmāni
6.4.6	teṣāṃ prathamasya sanād agna ity avabhṛthasāma
6.4.7	yad vā u viśpatir iti dvitīyasya tyagnāyir iti vā
6.4.8	avabhṛtheṣṭau saṃsthitāyām avabhṛtha nicumpuṇa nicerur asi nicumpuṇāva devair devakṛtam eno 'yāsiṣam ava martyair martyakṛtaṃ pururāvṇo deva riṣas pāhīty apa upaspṛśya trir abhyukṣeran
6.4.9	ādityam upatiṣṭherann ud vayaṃ tamasas pari jyotiḥ paśyanta uttaraṃ svaḥ paśyanta uttaraṃ devaṃ devatrā sūryam aganma jyotir uttamam iti
6.4.10	astamitaś ced āhavanīyam
6.4.11	tasmin samidha ādadhyur edho 'sy edhiṣīmahīti prathamāṃ samid asi samedhiṣīmahīti dvitīyām / yad enaś cakṛmā vayaṃ yad vānyakṛtam ārimā / anayā samidhā vayaṃ tad apamṛjmahe iti tṛtīyām
6.4.12	tam evopatiṣṭheran / apo adyānvacāriṣaṃ rasena samasṛkṣmahi / payasvān agna āgamaṃ taṃ mā saṃsṛja varcaseti
6.4.13	prāg udayanīyād atirātrād apsuṣomāntam ahaḥ satreṣu
6.4.14	dadhibhakṣāntam ahīneṣu
6.4.15	yāvanty ahāni rājānaṃ bhakṣayeyus tāvat svabrāhmaṇāyocchiṣṭaṃ na dadyuḥ
6.4.16	adbhir vā prokṣya dadyuḥ
6.4.17	tad eṣa ślokaḥ / somam etat pibata yat kiṃcāśnīta brāhmaṇāḥ / mā brāhmaṇāyocchiṣṭaṃ datta mā pātsomam asomapa iti
6.4.18	etaṃ parikramaṃ sarvakratuṣu vidyāt
6.4.19	eṣa jyotiḥ
6.4.20	sarve kāmāḥ sarve kāmāḥ
7.1.1	ṣoḍaśisāmnā stoṣyamāṇo yathāsanamupaviśya havirdhānaṃ gatvā ṣoḍaśigraham avekṣetodgātā yasmādanya iti
7.1.2	evam eva prātaḥsavane
7.1.3	yadi cottarayorapi gṛhṇīyuḥ
7.1.4	aśvaḥ kṛṣṇaḥ pūrvasyāṃ sadaso dvāri pratyaṅmakhastiṣṭhediti śāṇḍilyaḥ
7.1.5	aparasyāṃ prāṅmukha iti dhānañjayyaḥ
7.1.6	kṛṣṇābhāve śyāvaḥ
7.1.7	tadabhāve yaḥ kaścāśvaḥ
7.1.8	gaurvājo 'śvābhāve
7.1.9	yo yaḥ sāmāṅgaṃ brūyātsa hiraṇyaṃ dhārayet
7.1.10	udgātā nidhanamupayatsu
7.1.11	sarve vābhimṛśeyuḥ
7.1.12	avasarpati prathamaṃ paryāyaṃ gāyecchannam
7.1.13	viṣite dvitīyaṃ madhyamena
7.1.14	astamite tṛtīyamāviḥ
7.1.15	yadopākuryuḥ stuvīrannevāhani channaṃrātrāvāviḥ
