#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
2.6.49	tūṣṇīṃ prāśitraharaṇaṃ śṛtāvadānaṃ pātrīṃ ca
2.6.50	saṃmārjanāny apāsyati
2.6.51	āhavanīye prāsanam eke
2.7.1	patnīṃ saṃnahyati pratyagdakṣiṇata upaviṣṭāṃ gārhapatyasya muñjayoktreṇa trivṛtā pariharaty adhīvāso 'dityai rāsneti
2.7.2	dakṣiṇaṃ pāśam uttare pratimucyordhvam udgūhati viṣṇor veṣya iti
2.7.3	na granthiṃ karoti
2.7.4	ūrje tvety ājyam udvāsya patnīm avekṣayaty adabdheneti
2.7.5	vedyāṃ karoty aparaṃ prokṣaṇībhyaḥ
2.7.6	āhavanīye vā kṛtvā tachrāpiṇaḥ
2.7.7	savitus tvety ājyam utpunāti
2.7.8	prokṣaṇīś ca pūrvavat
2.7.9	ājyam avekṣate tejo 'sīti
2.7.10	yajamāno vā
2.7.11	sruveṇājyagrahaṇam
2.7.12	caturjuhvāṃ dhāma nāmeti sakṛn mantraḥ
2.7.13	aṣṭā upabhṛty alpīyo 'nuyājāś cet
2.7.14	catur anyatra prativibhāgāt
2.7.15	paśvātithyādarśanāc ca
2.7.16	na kṛtsnopadeśāt
2.7.17	paśvātithyayor vacanāt
2.7.18	dhruvāyāṃ ca juhūvāt
2.7.19	idhmaṃ prokṣati visraṃsya vediṃ ca barhiḥ pratigṛhya vedyāṃ kṛtvā purastādgranthi kṛṣṇo 'sīti pratimantram
2.7.20	śeṣaṃ muleṣūpasiñcaty adityai vyundanam iti
2.7.21	pavitre nidhāya praṇītāsu barhir visraṃsya purastāt prastaragrahaṇaṃ viṣṇor iti
2.7.22	brahmaṇe pradāya saṃnahanaṃ visraṃsya dakṣiṇasyāṃ vediśroṇau nidhāyānyair avachādya vediṃ stṛṇāty ūrṇamradasam iti trivṛt
2.7.23	upapattyā vā
2.7.24	bahulam
2.7.25	adharamūlam
2.7.26	paścād apavargam
2.7.27	pravṛhan vā
2.7.28	atrodvāsanam āhavanīyaśrāpiṇaḥ
2.7.29	idhmāt samidham ādāyāhavanīyaṃ kalpayaty uparyupari prastaraṃ dhārayan
2.7.30	ulmuke udūhaty anuyājāś cet
2.8.1	paridhīn paridadhāty ārdrān ekavṛkṣīyān bāhumātrān pālāśavaikaṅkatakārṣmaryabailvān pūrvālābhepūrvālābha uttarān khādiraudumbarān vā madhyamadakṣiṇottarān gandharva iti pratimantram
2.8.2	prathamaṃ paridhiṃ samidhopaspṛśya vītihotram ity ādadhāti
2.8.3	anupaspṛśya dvitīyāṃ samid asīti
2.8.4	sūryas tveti japaty āhavanīyam īkṣamāṇas tadvacanatvāt
2.8.5	āvṛtya vediṃ barhiṣas tṛṇe tiraścī nidadhāti savitur iti
2.8.6	anye vāyuktatvāt
2.8.7	anyatrāpi tṛṇārthe
2.8.8	yūpāñjane ca sarpiḥ
2.8.9	puroḍāśapayasyādhānāsu cechan
2.8.10	tayoḥ prastaraṃ stṛṇāty ūrṇamradasam iti
2.8.11	abhinidadhāty ā tvā vasava iti
2.8.12	savyāśūnye juhūṃ pratigṛhya nidadhāti ghṛtācīti
2.8.13	evam itare uttarābhyāṃ pratimantraṃ barhiṣy upabhṛtaṃ dhurvāṃ cāvakṛṣṭe 'nupūrvam
2.8.14	puroḍāśāv abhighāryodvāsyopastīrṇe nidhāyānakti yas te prāṇaḥ paśuṣu praviṣṭo devānāṃ viṣṭhām anu yo vitastha ātmanvānt soma ghṛtavān hi bhūtvāgniṃ gacha svar yajamānāya vindeti
2.8.15	yathādevatam anyat
2.8.16	pratyanakti kapālāni yāni gharme kapālāny upacinvanti vedhasaḥ pūṣṇas tāny api vrata indravāyū vimuñcatām iti
2.8.17	tūṣṇīṃ vā
2.8.18	saṃkhyayodvāsayati
2.8.19	priyeṇa dhāmneti havīṃṣi vedyāṃ kṛtvā dhruvā asadann iti sarvāṇy ālabhate
2.8.20	pāhi mām ity ātmānam
2.8.21	atra vā vratopāyanam
3.1.1	hotṛṣadanaṃ kṛtvāpareṇa vediṃ śroṇiṃ vottareṇedhmāt samidham ādāyāgnaye samidhyamānāyānubrūhīty āha
3.1.2	hotar iti caike
3.1.3	prathamasthānena prāk sviṣṭakṛtaḥ
3.1.4	madhyameneḍāyāḥ
3.1.5	śeṣam uttamena
3.1.6	saṃtanvann iva me 'nubrūhīty āha yajamānaḥ
3.1.7	aṅguṣṭhābhyāṃ cāvabādhate pādyābhyāṃ vedam aham amum avabādha iti dveṣyam
3.1.8	abhāve dviṣantaṃ bhrātṛvyam iti vā
3.1.9	yāvatsāmidheni vededam ahaṃ tāvatithena vajreṇeti
3.1.10	pratipraṇavam ādhānam
3.1.11	samiddha iti prāg ataḥ sarvam idhmam ekavarjam anuyājāś cet
3.1.12	anuvacanānte vedenāhavanīyaṃ trir upavājya sruveṇa pūrvam āghāram āghāryāhāgnim agnīt saṃmṛḍḍhīti
3.1.13	idhmasaṃnahanair anuparidhi saṃmārṣṭy agne vājajid iti tristriḥ parikrāmam
3.1.14	tūṣṇīm upari
3.1.15	aparam āhavanīyād añjaliṃ karoti namo devebhyaḥ svadhā pitṛbhya iti dakṣiṇata uttānam
3.1.16	apa upaspṛśya suyame ma iti juhūpabhṛtāv ādāyottarāṃ juhūṃ kṛtvā dakṣiṇātikrāmaty aṅghriṇā viṣṇav iti
3.1.17	paridhīn apareṇa saṃcaro hoṣyataḥ
3.1.18	savyeneto dakṣiṇenāmutaḥ
3.1.19	vasumatīm ity avasthāya
3.2.1	ita indra iti juhoty uttarāghāram
3.2.2	āghāryāsaṃsparśayant srucāv etya juhvā dhruvāṃ samanakti saṃ jyotiṣeti
3.2.3	nidhāyedhmasaṃnahanāny ādāyośrāvayety āha
3.2.4	astu śrauṣaḍ ity agnīt
3.2.5	vedibarhir idhmaśakalam apachidyaike
3.2.6	evaṃ sarvatrāśrutapratyāśruteṣu
3.2.7	atha pravṛṇīte 'gnir devo daivyo hotā devān yakṣad vidvāṃś cikitvān manuṣvad bharatavad amuvad amuvad iti yajamānārṣeyāṇy āha parastād arvāñci trīṇi
3.2.8	yāvanto vā mantrakṛtaḥ
3.2.9	purohitārṣeyeṇa vā
3.2.10	kṣatriyavaiśyayoś ca nityam
3.2.11	manuvad iti vā sarveṣām
3.2.12	brahmaṇvad ā ca vakṣad brāhmaṇā asya yajñasya prāvitāro 'sau mānuṣa iti hotṛnām agrahaṇam
3.2.13	upāṃśu vā
3.2.14	saṃmṛṣṭā upaviśataḥ
3.2.15	agnir hoteti srugādāpanaṃ prayājeṣu saṃnidheḥ
3.2.16	ghṛtavatīm ity ukte srucāv ādāyātikramyāśrāvyāha samidho yajeti
3.2.17	pañca prayājān
3.2.18	samiddhatame
3.2.19	yaja yajeti śeṣam
3.2.20	dhruvas tiṣṭhan
3.2.21	pūrvaṃpūrvaṃ vābhikrāmam
3.2.22	upabhṛto juhvām ānayaty anavamṛśaṃś caturtham
3.2.23	evaṃ pravṛddhau
3.2.24	anuyājeṣu ca
3.2.25	uttarāṃ juhūm adhyuhya prācīm avahṛtya juhoti
3.2.26	evaṃ sarvatra
3.3.1	nābhideśe dhāraṇam
3.3.2	prayājānumantraṇam
3.3.3	eko mamaikā tasya yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma ity evaṃ mithunair yathāsaṃkhyam
3.3.4	na tasya kiṃ caneti pañcame
3.3.5	tviṣimān apacitimān yaśasvī brahmavarcasy annāda iti ca
3.3.6	āgantūnāṃ caturthapañcamābhyāṃ sthānāt
3.3.7	prathamacaturthābhyāṃ vā yathāliṅgam
3.3.8	sarvān vottamenopāyitvāt
3.3.9	etya juhvābhighāraṇaṃ dhruvāyā haviṣa upabhṛtaś ca
3.3.10	ājyabhāgābhyāṃ caraty āgneyena saumyena
3.3.11	caturavattaṃ savaṣaṭkārāsu
3.3.12	anidhāyāvadāyāvadāya dhruvām abhighārayaty āpyāyatāṃ dhruvā haviṣā ghṛtena yajñaṃ yajñaṃ prati devayadbhyaḥ sūryāyā ūdho adityā upastha urudhārā pṛthivī yajñe asminn iti
3.3.13	anubrūhīty uktvā nāpavyāhared dhotā cāśrāvaṇāt
3.3.14	āśrāvite 'gnīd ā pratyāśrāvaṇāt
3.3.15	pratyāśrāvite 'dhvaryur ā hotṛpraiṣāt
3.3.16	hotā vaṣaṭkārāt
3.3.17	some ca grahaṃ gṛhītvopākaraṇāt
3.3.18	upākṛta udgātāra ā hotṛpraiṣāt
3.3.19	hotā vaṣaṭkārāt
3.3.20	āgneyam uttarapūrvārdhe
3.3.21	dakṣiṇapūrvārdhe saumyam
3.3.22	samiddhatame vā
3.3.23	havirbhyāṃ ca
3.3.24	puroḍāśāv antareṇāgnīṣomā upāṃśv ājyasya
3.3.25	viṣṇur vāmāvāsyāyāṃ hautrāmnānāt
3.3.26	yāvad dhavir uttarārdhāt sviṣṭakṛtaḥ
3.3.27	tata eva homaḥ
3.3.28	nājyādaśeṣāt
3.3.29	asaṃsṛṣṭām āhutibhiḥ
3.3.30	nidhāya
3.4.1	saṃcaram abhyukṣya prāśitram avadyati yavamātraṃ pippalamātraṃ vā
3.4.2	anyatarata ājyam
3.4.3	ubhayato vā
3.4.4	āgneyāt
3.4.5	bhāgāṃś ca
3.4.6	adhvaryusaṃcareṇa brahmaṇe pradāya pūrveṇaike 'pa upaspṛśyeḍāṃ pañcāvattāṃ dakṣiṇato madhyāc ca yāvaddhaviḥ sviṣṭakṛdvad ājyam
3.4.7	yajamānabhāgaṃ pūrvārdhād dīrghaṃ praśīrya purastād dhruvāyāḥ karoti
3.4.8	iḍāṃ hotre pradāyāvisṛjan dakṣiṇātikrāmati
3.4.9	iḍāṃ pratigṛhya hotur aṅguliparvaṇī anakti
3.4.10	avāntareḍām ādadhāti pūrvavat
3.4.11	iḍāṃ ca
3.4.12	sarve 'nvārabhante
3.4.13	iḍopahūtety ucyamāna āgneyaṃ barhiṣadaṃ karoti bradhna pinvasvāyur me dhukṣva prajāṃ me dhukṣva paśūn me dhukṣva brahma me dhukṣva kṣatraṃ me dhukṣva viśo me dhukṣva yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tasya prajayā paśubhir āpyāyasveti taṃ caturdhā kṛtvā
3.4.14	barhiṣy ṛtvigbhya ādiśati
3.4.15	ubhau vāviśeṣāt
3.4.16	atra pitara iti yajamāno japati
3.4.17	visṛjyāmīmadanteti
3.4.18	ekaikam āharati
3.4.19	dyāvāpṛthivyor upahvāne 'gnīdhe ṣaḍavattam
3.4.20	prāśnāty upahūtā pṛthivīti
3.4.21	āśāsāne mayīdam iti yajamāno japati
3.4.22	upahūtāṃ prāśnanti yuktāḥ
3.4.23	yajamānaś ca
3.4.24	pavitrayor mārjayante 'pareṇa vediṃ sumitriyā na iti
3.4.25	yajamānasya prāṇāpānau pātam iti prastare te karoti
3.4.26	tūṣṇīṃ vā
3.4.27	atra vā brahmā prāśnāti
3.4.28	bhāgam asmai pariharati
3.4.29	yajamānabhāgaṃ cāproṣite
3.4.30	anvāhāryam abhighāryodvāsyāntarā brahmayajamānau hṛtvā vedyāṃ nidhāyālabhate prajāpater bhāgo 'sy ūrjasvān payasvān prāṇāpānau me pāhi samānavyānau me pāhy udānavyānau me pāhy ūrg asy ūrjaṃ me dhehy akṣitir asi mā me kṣeṣṭhā amutrāmuṣmiṃ loka iha ceti
3.4.31	sā dakṣiṇā
3.4.32	udag udvāsayati
3.4.33	haviś ca
3.5.1	samasyolmuke samidham ādāyāha brahman prasthāsyāmi samidham ādhāyāgnim agnīt saṃmṛḍḍhīti
3.5.2	eṣā ta iti hotānumantrayate
3.5.3	ajānati yajamānaḥ
3.5.4	saṃmārṣṭi pūrvavad aparikrāmaṃ sakṛtsakṛt sasṛvāṃsam iti
3.5.5	brahmānujñāto 'nuyājais tribhiś caraty aupabhṛtaṃ samānīya
3.5.6	atikramyāśrāvyāha devān yajeti
3.5.7	yajayajety uttarau
3.5.8	devāndevān iti vā sarvatra niyamaśabdāt
3.5.9	vikṛtidarśanāc ca
3.5.10	pratīco juhoti
3.5.11	upasatsu ca
3.5.12	dhruvaḥ
3.5.13	caturthaṃ samānīya prācīm
3.5.14	abhicarann anuyājānumantraṇam aśany amuṃ jahi hrāḍuny amuṃ jahy ulkuṣy amuṃ jahīti
3.5.15	evaṃ pravṛddhau samaṃ vibhajet
3.5.16	svasthānāntyena vopāyitvāt
3.5.17	etya juhūpabhṛtau vyūhati
3.5.18	agnīṣomayor iti juhūṃ prācīṃ dakṣiṇenottānena
3.5.19	agnīṣomau tam itītareṇetarāṃ nīcā pratīcīm
3.5.20	yathādevatam anyat
3.5.21	adhvaryur vā
3.5.22	anūjjayatv ayaṃ yajamāno vājasyainam iti pūrve
3.5.23	yam ayaṃ yajamāno dveṣṭi yaś cainaṃ dveṣṭīty uttare
3.5.24	abhyukṣya juhvā paridhīn anakti yathāpūrvaṃ vasubhya iti pratimantram
3.6.1	prathamaṃ paridhiṃ gṛhītvāśrāvyāheṣitā daivyā hotāro bhadravācyāya preṣito mānuṣaḥ sūktavākāya sūktā brūhīti
3.6.2	paśau preṣyeti
3.6.3	saṃjānāthām iti prastarādānam
3.6.4	vidhṛtī sthāne kṛtvānakty enaṃ vyantu vaya iti
3.6.5	agraṃ juhvām
3.6.6	upabhṛti madhyam
3.6.7	mūlam itarasyām
3.6.8	marutām iti nīcair hṛtvā tṛṇam ādāyānupraharati
3.6.9	hastenācarati
3.6.10	yajamānabhāgaṃ ca proṣite
3.6.11	kṣatriyavaiśyayoś ca nityam
3.6.12	ahaṃ tvad asmi mad asi tvam etan mama tvaṃ yonis tava yonir asmi mamaiva san divi deveṣv adhi putraḥ pitrye lokakṛj jātavedaḥ svāheti
3.6.13	sūktavākānte
3.6.14	agnīd āhānuprahareti
3.6.15	prāsya tṛṇaṃ cakṣuṣpā ity ātmānam ālabhate
3.6.16	saṃvadasvāgān agnīd agañ śrāvaya śrauṣaṭ svagā daivyā hotṛbhyaḥ svastir mānuṣebhyaḥ śamyor brūhīty eteṣāṃ saṃvadasvāgañ śrauṣaḍ ity agnīcheṣam itaro vyatyāsaṃ brūtaḥ
3.6.17	paridhīn anupraharati yaṃ paridhim iti prathamam itarau ca yugapad agneḥ priyam iti
3.6.18	srucau pragṛhṇāti saṃsravabhāgā iti saṃsravān juhoti
3.6.19	ghṛtācī iti dhuri nidadhāty anasi ced grahaṇam
3.6.20	sphye pātryāṃ cet
3.6.21	yajña namaś ca ta iti vedim ālabhate
3.6.22	vedaṃ hotā sruksruvam adhvaryur ājyasthālīm agnīd ādāya
3.7.1	patnīsaṃyājebhyo gārhapatyaṃ gachanti
3.7.2	adhvaryuḥ pūrvadakṣiṇena gārhapatyam etya
3.7.3	pūrveṇa
3.7.4	apareṇāntareṇa patnīm ekeṣām
3.7.5	upaviśya dakṣiṇaṃ jānv ācya
3.7.6	evaṃ sarvatropaviṣṭahomeṣu
3.7.7	upāṃśu caranti
3.7.8	caraṇaśabde sarvam
3.7.9	devatānyatra
3.7.10	yajati somaṃ tvaṣṭāraṃ devānāṃ patnīragniṃ gṛhapatimiti
3.7.11	tṛtīye 'ntardhānaṃ purastāt
3.7.12	patny anvārabhate 'dhvaryum
3.7.13	śamyvantaṃ bhavatīḍāntaṃ vā
3.7.14	śamyvante vedatṛṇam ādāyānakti prastaravat sruci sruve sthālyāṃ ca
3.7.15	agnīd āhānuprahareti
3.7.16	prāsya tṛṇādi pūrvavat
3.7.17	śamyvante sruksruvaṃ pragṛhṇāty agne 'dabdhāya iti
3.7.18	savyenāvṛtya dakṣiṇāgnau juhoty agnaya iti sarasvatyā iti ca
3.7.19	ulūkhale musale yac ca śūrpa āśiśleṣa dṛṣadi yat kapāla utpruṣo vipruṣaḥ saṃjuhomi satyāḥ santu yajamānasya kāmāḥ svāheti piṣṭalepān juhoti
3.8.1	patnī vedaṃ pramuñcati vedo 'sīti
3.8.2	yoktraṃ ca pra mā muñcāmi varuṇasya pāśād yena mābadhnāt savitā suśevaḥ ṛtasya yonau sukṛtasya loke 'riṣṭāṃ mā saha patyā dadhātv iti
3.8.3	stṛṇāty ā vedeḥ
3.8.4	dhrauvaṃ samiṣṭayajur juhoti devā gātuvida iti
3.8.5	barhiḥ sam barhir iti
3.8.6	vedyāṃ praṇītā ninayati parītya kas tveti
3.8.7	puroḍāśakapālena kaṇān apāsyaty adhaḥkṛṣṇājinaṃ rakṣasām iti
3.8.8	pūrṇapātraṃ ninayati parītya saṃtatam
3.8.9	yajamāno 'ñjalinā pratigṛhṇāti saṃ varcaseti
3.8.10	mukhaṃ vimṛṣṭe
3.8.11	viṣṇukramān kramate divi viṣṇur iti pratimantram
3.8.12	pṛthivyām itīta ūrdhvo vā
3.8.13	asmād annād iti bhāgam avekṣate
3.8.14	asyai pratiṣṭhāyā iti bhūmim
3.8.15	aganma svar iti prāk
3.8.16	saṃ jyotiṣety āhavanīyam
3.8.17	svayambhūr iti sūryam
3.8.18	varcodā iti yaṃ vā kāmaṃ kāmayate
3.8.19	sūryasyety āvartate pradakṣiṇam
3.8.20	grahagrahaṇapratigarahomeṣu ca tūṣṇīm
3.8.21	gārhapatyam upatiṣṭhate 'gne gṛhapata iti
3.8.22	śataṃ himā iti brūyād vā
3.8.23	sūryasyety āvartate pradakṣiṇam
3.8.24	gachati prāṅ uru viṣṇav iti
3.8.25	tato 'si tantur asy anu mā tanuhy asmin yajñe 'syāṃ sādhukṛtyāyām asminn anne 'smiṃ loka idaṃ me karmedaṃ vīryaṃ putro 'nusaṃtanotv iti putrasya nāma gṛhṇāti
3.8.26	ātmano 'vidyamāne
3.8.27	tantave tvā jyotiṣe tveti vā
3.8.28	āhavanīyam upatiṣṭhate tūṣṇīm
3.8.29	vrataṃ visṛjate yenopeyāt
3.8.30	saṃ yajñapatir āśiṣeti bhāgaṃ prāśnāti
3.8.31	brāhmaṇaṃ tarpayitavai brūyād yajñam evaitat tarpayatīti śruteḥ
4.1.1	aparāhṇe piṇḍapitṛyajñaś candrādarśane 'māvāsyāyām
4.1.2	dakṣiṇāgnau śrapaṇam
4.1.3	homaś ca
4.1.4	paristīrya taṃ pūrvavat pātrāsādanam ekaśaḥ
4.1.5	apareṇa gārhapatyaṃ carum apūrṇaṃ srucaṃ vā tūṣṇīṃ gṛhītvottareṇa dakṣiṇāgnim avahanti tiṣṭhan
4.1.6	sakṛt phalīkaroti
4.1.7	sārataṇḍulam apūrṇaṃ śrapayitvābhighāryodvāsya mekṣaṇena juhoty agnaya iti somāyeti ca
4.1.8	prāsya tad dakṣiṇenollikhaty apahatā ity apareṇa vā
4.1.9	ulmukaṃ parastāt karoti ye rūpāṇīti
4.1.10	udapātreṇāvanejayaty apasavyaṃ savyena voddharaṇasāmarthyād asāv avanenikṣveti yajamānasya pitṛprabhṛti trīn
4.1.11	upamūlaṃ sakṛdāchinnāni lekhāyāṃ kṛtvā yathāvaniktaṃ piṇḍān dadāty asāv etat ta iti
4.1.12	ye ca tvām anv iti caike
4.1.13	atra pitara ity uktvodaṅṅ āsta ā tamanāt
4.1.14	āvṛtyāmīmadanteti japati
4.1.15	avanejya pūrvavan nīviṃ visraṃsya namo va ity añjaliṃ karoti
4.1.16	etad va ity upāsyati sūtrāṇi pratipiṇḍam
4.1.17	ūrṇādaśā vā
4.1.18	vayasy uttare yajamānalomāni vā
4.1.19	ūrjam ity apo niṣiñcati
4.1.20	avadhāyāvajighrati yajamānaḥ
4.1.21	ulmukasakṛdāchinnāny agnau
4.1.22	ādhatteti madhyamapiṇḍaṃ patnī prāśnāti putrakāmā
4.1.23	pretebhyo dadāti
4.1.24	jīvapitṛko 'pi
4.1.25	jīvāntarhite 'pi
4.1.26	jīvapitṛkasya homāntam anārambho vā
4.1.27	na vyavete jātūkarṇyo na jīvantam atidadātīti śruteḥ
4.1.28	pūrvo vāṅgatvāt piṇḍapitṛyajñaḥ
4.1.29	prakaraṇakālaliṅgānugrahavacanānāhitāgniśrutibhyo 'naṅgam
4.1.30	aṅgaṃ vā samabhivyāhārāt
4.1.31	anāhitāgner apy eṣaḥ
4.2.1	śvo nodetety adṛṣṭe vā parṇaśākhāṃ chinatti śāmīlīṃ veṣe tvety ūrje tveti vā
4.2.2	chinadmīti vobhayoḥ sākāṅkṣatvāt
4.2.3	saṃnamayāmīti vottare
4.2.4	bahulapalāśām aśuṣkāgrāṃ prāgudīcīm anyatamāṃ vā
4.2.5	vratam upaiti
4.2.6	yathoktaṃ vā
4.2.7	mātṛbhir vatsānt saṃsṛjya vatsaṃ śākhyopaspṛśati vāyava stheti
4.2.8	upāyava stheti caike
4.2.9	devo va iti mātṝṇām ekāṃ vyākṛtya
4.2.10	aindraṃ bhavati māhendraṃ vā
4.2.11	yajamānasya paśūn ity agnyagārasyānyatarasya purastāchākhām upagūhati
4.2.12	mūlād upaveṣaṃ karoti veṣo 'sīti
4.2.13	sāṃnāyye śākhāsaṃyogāt
4.2.14	upadhānād vobhayoḥ
4.2.15	vasoḥ pavitram iti pavitramasyāṃ badhnāti kuśau
4.2.16	trivṛd vā
4.2.17	yavāgvāgnihotrahomaḥ saṃnayatas tāṃ rātrim
4.2.18	huta upasṛṣṭāṃ prabrūtād ity āha
4.2.19	prokte dyaur asīti sthālyādānam
4.2.20	mātariśvana ity adhiśrayati
4.2.21	vasoḥ pavitram iti pavitram asyāṃ karoty udag vā
4.2.22	vāgyato dohayaty aśūdreṇa
4.2.23	sthālyanvārabdhe devas tvety āsicyamāne japati
4.2.24	kām adhukṣa iti praśnaḥ
4.2.25	prokte sā viśvāyur ity āha
4.2.26	evam itare uttarābhyāṃ pratimantram
4.2.27	visṛṣṭavāguttarā ananvārabdhe
4.2.28	yāvat svam adhikārāt
4.2.29	tisro vā nityatvāt
4.2.30	ādisāmarthyāt
4.2.31	darśanāc ca
4.2.32	parikṣālanam ānayati sampṛcyadhvam ṛtāvarīr ūrmiṇā madhumattamāḥ pṛñcatīr madhunā payo mandrā dhanasya sātaya iti
4.2.33	udvāsyātanakti prāgghutaśeṣeṇendrasya tveti
4.2.34	sodakenāpidadhāty amṛnmayeṇa viṣṇo havyam iti
4.2.35	nidhāya vatsāpākaraṇaṃ pūrvavat
4.2.36	prātar āgneya aindrāgnaś ca dvādaśakapālo 'saṃnayataḥ
4.2.37	nirupyājyaṃ prātardohanam anyasmin
4.2.38	parikṣālanāntaṃ kṛtvā sāyaṃdoham āhṛtya prātardohaṃ śrapayitvābhighāryodvāsyobhāv anakti
4.2.39	śṛtasyāgre 'vadyatīti śruteḥ
4.2.40	samasya mārjanam
4.2.41	indrāgnyor iti vyūhanam
4.2.42	saha śākhayā prastarānupraharaṇam
4.2.43	paridhibhiḥ sahopaveṣaṃ juhoti juhomi tvā subhaga saubhagāya purūtamaṃ puruhūta śravasyann iti
4.2.44	paurṇamāsavad anyad asadyaḥ
4.2.45	somayājī saṃnayet
4.2.46	kāmād itaraḥ
4.2.47	triṃśataṃ varṣāṇi darśapūrṇamāsābhyāṃ yajeta
4.2.48	pañcadaśa dākṣāyaṇayajñī
4.2.49	agnihotram eva vā juhuyāt
4.3.1	karmaśabdo dravyadevatāyukto yajatiḥ
4.3.2	darśapūrṇamāsadharmā iṣṭipaśuṣu sāmarthyāt
4.3.3	darśanāc ca
4.3.4	vaiśvadevadharmāś cāturmāsyeṣu vacanapravṛttibhyām
4.3.5	somāc cāvabhṛthe sāmapratiṣedhāt
4.3.6	kaṇavat paśau na mantropadeśāt
4.3.7	viśaye laukikam ayuktatvāt
4.3.8	vidhiviśeṣaḥ karmaṇy ekadviśabdaparimāṇadravyadevatāguṇasāmānyebhyaḥ
4.3.9	niyamo dravyadevatāvirodhe dravyasya samavāyāt
4.3.10	āmikṣāyām ubhayos tan nirvṛtteḥ
4.3.11	naikacodanāt
4.3.12	dadhnaḥ saṃghātāt
4.3.13	payasas tadbhāvāt
4.3.14	paśoḥ sāṃnāyyasya tad uktam
4.3.15	prāyaścittaśruteś ca
4.3.16	payasaḥ kālānantaryadharmānugrahebhyaḥ
4.3.17	sadyastvaṃ kāśakṛtsniḥ
4.3.18	anuvādaḥ pūrvasyeti vātsyabādarī
4.3.19	sthānāpatter dravyeṣu dharmalābho 'vipratiṣiddhaḥ
4.3.20	yathārtham ūhaś codite
4.3.21	na prakṛtāv apūrvatvāt
4.3.22	vikṛtau vacanārthalopavirodhebhyo 'pravṛttiḥ
4.3.23	parārthotpattes tadabhāve 'bhāvaḥ
4.3.24	coditatvād vā bhāvaḥ
4.3.25	na vipakṣe kriyāḥ syuḥ samabhivyāhārāt
4.4.1	dākṣāyaṇayajñaḥ prajāpaśvannayaśaskāmasya
4.4.2	nāmaphalaguṇayogāt karmāntaram
4.4.3	guṇavidhānaṃ vā saṃnidhisampadvacanābhyām
4.4.4	agnīṣomīyaḥ paurṇamāsyām
4.4.5	aindrāgno 'māvāsyāyām
4.4.6	sāṃnāyyavat prātaḥ
4.4.7	amāvāsyāyāṃ payasyā maitrāvaruṇī
4.4.8	tatraiva dohanaṃ śṛte vā dadhy ānayati
4.4.9	vājinaṃ niṣicyotkare karoti
4.4.10	anājyaliptaṃ vā
4.4.11	prahṛtya tṛṇaṃ tena carati
4.4.12	vimucya vā srucau
4.4.13	barhir avasiñcan gṛhṇāti
4.4.14	tad ṛṣabheṣu reto dadhātīti śruteḥ
4.4.15	vājibhyo 'nuvācayati
4.4.16	prativaṣaṭkāraṃ hutvā vājinaśeṣeṇa diśo vyāghārayati diśa iti pratimantraṃ pradakṣiṇaṃ purastāt prathamam
4.4.17	uttamābhyāṃ madhye pūrvārdhe ca
4.4.18	svāhākāraḥ sarvatra sākāṅkṣatvāt
4.4.19	śeṣam upahvayasyety āmantrayāmantrya bhakṣaṇam upahūta iti prasūtaḥ
4.4.20	yuktanāmabhir vā
4.4.21	some ca
4.4.22	sādhāraṇeṣu vā sāmarthyāt
4.4.23	ṛtūnāṃ tvā vājināṃ vājinaṃ bhakṣayāmīti
4.4.24	vājy ahaṃ vājinasyopahūtasyopahūto bhakṣayāmīti vā
4.4.25	vāje vājī bhūyāsam iti vā
4.4.26	hotradhvaryubrahmāgnīdyajamānāḥ
4.4.27	prathamo vobhayatas tu yajamānaḥ
4.4.28	dākṣāyaṇaṃ vā dakṣiṇā
4.4.29	saṃvatsaraṃ vā yajeta
4.4.30	māṃsastryanṛtamūtrakṛtavāsāṃsi varjayet
4.5.1	upāṃśu kāmyadevatā
4.5.2	āgrayaṇe vaiśvadevaḥ
4.5.3	ekakapālāś cāvāruṇāḥ
4.5.4	prājāpatyaḥ
4.5.5	sāvitraś cāturmāsyeṣu
4.5.6	vaiśvadevī
4.5.7	vāyavyam
4.5.8	payo [ yavāgūr vā ]
4.5.9	tanūhavīṃṣi
4.5.10	dīkṣaṇīyāprāyaṇīyātithyādevatāḥ
4.5.11	devasūdevikāhavīṃṣi
4.5.12	vāyavyo 'gnau
4.5.13	maitrāvaruṇī ca
4.5.14	aindraḥ sautrāmaṇyāṃ prathamaḥ
4.5.15	vāyodhasaś ca
4.5.16	āgneyaṃ pratikāmam āhareta
4.5.17	varṣārthe prakṛtau vā brūyād vṛṣṭikāmo 'smīti
4.5.18	adhvaryuṃ brūyāt purovātaṃ ca vidyutaṃ ca manasā dhyāyeti
4.5.19	abhrāṇy agnīdham
4.5.20	stanayitnuṃ ca varṣaṃ ceti hotāram
4.5.21	sarvāṇy etānīti brahmāṇam
4.5.22	anvārambhaṇīyāgnāvaiṣṇava ekādaśakapālaḥ sarasvatyai caruḥ sarasvate dvādaśakapālo darśapūrṇamāsārambhe
4.5.23	paṣṭhauhī dakṣiṇā mithunau vā
4.5.24	indrāya vimṛdha ekādaśakapālaḥ paurṇamāsam anu
