#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
1.15.7	sphyaś ca kapālāni ceti yathāsamāmnātam aparāṇi prayujya sruvaṃ juhūm upabhṛtaṃ dhruvāṃ vedaṃ pātrīm ājyasthālīṃ prāśitraharaṇam iḍāpātraṃ praṇītāpraṇayanam iti pūrvāṇi
1.15.8	tāny uttareṇāvaśiṣṭāni
1.15.9	anvāhāryasthālīm aśmānam upaveṣaṃ prātardohapātrāṇīti
1.15.10	praṇītāpraṇayanaṃ pātrasaṃsādanāt pūrvam eke samāmananti / khādiraḥ sruvaḥ parṇamayī juhūr āśvatthy upabhṛd vaikaṅkatī dhruvā
1.15.11	eteṣāṃ vā vṛkṣāṇām ekasya srucaḥ kārayet
1.15.12	bāhumātryo 'ratnimātryo vāgrāgrās tvaktobilā haṃsamukhyaḥ
1.15.13	sphyaḥ śamyā prāśitraharaṇam iti khādirāṇi
1.15.14	vāraṇāny ahomārthāni bhavanti
1.16.1	atra pūrvavat pavitre karoti yadi na saṃnayati
1.16.2	saṃnayatas tu te vibhavataḥ
1.16.3	vānaspatyo 'si devebhyaḥ śundhasveti praṇītāpraṇayanaṃ camasam adbhiḥ parikṣālayati tūṣṇīṃ kaṃsaṃ mṛnmayaṃ ca / kaṃsena praṇayed brahmavarcasakāmasya mṛnmayena pratiṣṭhākāmasya godohanena paśukāmasya / apareṇa gārhapatyaṃ pavitrāntarhitaṃ camasaṃ nidhāya tasmin ko vo gṛhṇāti sa vo gṛhṇātu kasmai vo gṛhṇāmi tasmai vo gṛhṇāmi poṣāya va ity apa ānayati
1.16.4	apo gṛhṇan grahīṣyaṃś ca pṛthivīṃ manasā dhyāyati
1.16.5	upabilaṃ camasaṃ pūrayitvā prokṣaṇīvad utpūyābhimantrya brahmann apaḥ praṇeṣyāmi yajamāna vācaṃ yaccheti saṃpreṣyati
1.16.6	sarvatra prasava ukte karoti
1.16.7	praṇīyamānāsu vācaṃ yacchato 'dhvaryur yajamānaś cāhaviṣkṛtaḥ
1.16.8	ko vaḥ praṇayati sa vaḥ praṇayatv apo devīḥ praṇayāni yajñaṃ saṃsādayantu naḥ / iraṃmadantīr ghṛtapṛṣṭhā udākuḥ sahasrapoṣaṃ yajamāne nyañcatīr iti samaṃ prāṇair dhārayamāṇaḥ sphyenopasaṃgṛhyāviṣiñcan harati
1.16.9	pṛthivīṃ ca manasā dhyāyati
1.16.10	ko vo yunakti sa vo yunaktv ity uttareṇāhavanīyam asaṃspṛṣṭā darbheṣu sādayati
1.16.11	neṅgayanti nelayanty ā saṃsthātor darbhair abhicchādya
1.16.12	saṃviśantāṃ daivīr viśaḥ pātrāṇi devayajyāyā iti sapavitreṇa pāṇinā pātrāṇi saṃmṛśya
1.17.1	vānaspatyāsi dakṣāya tvety agnihotrahavanīm ādatte / veṣāya tveti śūrpam
1.17.2	pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya ity āhavanīye gārhapatye vā pratitapya yajamāna havir nirvapsyāmīty āmantrayate
1.17.3	pravasaty agne havir nirvapsyāmīti
1.17.4	urv antarikṣam anvihīti śakaṭāyābhipravrajati
1.17.5	apareṇa gārhapatyaṃ prāgīṣam udagīṣaṃ vā naddhayugaṃ śakaṭam avasthitaṃ bhavati vrīhimad yavamad vā
1.17.6	dhūr asīti dakṣiṇāṃ yugadhuram abhimṛśaty uttarāṃ vā
1.17.7	tvaṃ devānām asi sasnitamam ity uttarām īṣām ālabhya japati
1.17.8	viṣṇus tvākraṃsteti savye cakre dakṣiṇaṃ pādam atyādhāyāhrutam asi havirdhānam ity ārohati
1.17.9	uru vātāyeti parīṇāham apacchādya mitrasya tvā cakṣuṣā prekṣā iti puroḍāśīyān prekṣate
1.17.10	nirastaṃ rakṣo nirasto 'ghaśaṃsa iti yad anyat puroḍāśīyebhyas tan nirasyorjāya vaḥ payo mayi dhehīty abhimantrya daśahotāraṃ vyākhyāya śūrpe pavitre nidhāya tasminn agnihotrahavaṇyā havīṃṣi nirvapati tayā vā pavitravatyā
1.17.11	vrīhīn yavān vā
1.17.12	yacchantāṃ pañceti muṣṭiṃ gṛhītvā sruci muṣṭim opya devasya tvety anudrutyāgnaye juṣṭaṃ nirvapāmīti trir yajuṣā tūṣṇīṃ caturtham
1.18.1	evam uttaraṃ yathādevatam agnīṣomābhyām iti paurṇamāsyāṃ / indrāgnibhyām ity amāvāsyāyām
1.18.2	caturo muṣṭīn nirupya nirupteṣv anvopyedaṃ devānām iti niruptān abhimṛśati / idam u naḥ sahety avaśiṣṭān
1.18.3	sphātyai tvā nārātyā iti niruptān evābhimantryedam ahaṃ nir varuṇasya pāśād ity upaniṣkramya svar abhivyakhyam iti prāṅ prekṣate
1.18.4	suvar abhivikhyeṣam iti sarvaṃ vihāram anuvīkṣate / vaiśvānaraṃ jyotir ity āhavanīyaṃ svāhā dyāvāpṛthivībhyām iti skannān abhimantrya dṛṃhantāṃ duryā dyāvāpṛthivyor iti pratyavarohyorv antarikṣam anvihīti harati
1.18.5	adityās tvopasthe sādayāmīty apareṇa gārhapatyaṃ yathādevatam upasādayati
1.18.6	āhavanīyaṃ vā yady āhavanīye śrapayati
1.18.7	yadi pātryā nirvaped dakṣiṇataḥ sphyam upadhāya tasyāṃ sarvāñ chakaṭamantrāñ japet
1.19.1	saśūkāyām agnihotrahavaṇyām apa ānīya pūrvavad utpūyābhimantrya brahman prokṣiṣyāmīti brahmāṇam āmantrya devasya tvety anudrutyāgnaye vo juṣṭaṃ prokṣāmīti yathādevataṃ havis triḥ prokṣan nāgnim abhiprokṣet
1.19.2	yaṃ dviṣyāt tasyābhiprokṣet
1.19.3	uttānāni pātrāṇi paryāvartya śundhadhvaṃ daivyāya karmaṇa iti triḥ prokṣya prokṣaṇīśeṣam agreṇa gārhapatyaṃ nidhāya devasya tvā savituḥ prasava iti kṛṣṇājinam ādāyāvadhūtaṃ rakṣo 'vadhūtā arātaya ity utkare trir avadhūnoty ūrdhvagrīvaṃ bahiṣṭādviśasanam
1.19.4	adityās tvag asīty uttareṇa gārhapatyam utkaradeśe vā pratīcīnagrīvam uttaralomopastṛṇāti
1.19.5	purastāt pratīcīm bhasadam upasamasyati
1.19.6	anutsṛjan kṛṣṇājinam adhiṣavaṇam asīti tasminn ulūkhalam adhivartayati
1.19.7	anutsṛjann ulūkhalam agnes tanūr asīti tasmin havir āvapati trir yajuṣā tūṣṇīm caturtham
1.19.8	adrir asi vānaspatya iti musalam ādāya haviṣkṛd ehīti trir avahanti / anavaghnan vā haviṣkṛtaṃ hvayati
1.19.9	haviṣkṛd ehīti brāhmaṇasya haviṣkṛd āgahīti rājanyasya haviṣkṛd ādraveti vaiśyasya haviṣkṛd ādhāveti śūdrasya
1.19.10	prathamaṃ vā sarveṣām
1.19.11	ava rakṣo divaḥ sapatnaṃ vadhyāsam ity avahanti
1.20.1	uccaiḥ samāhantavā iti saṃpreṣyati
1.20.2	kuṭarur asi madhujihva ity āgnīdhro 'śmānam ādāyeṣam āvadorjam āvadeti dṛṣadupale samāhanti
1.20.3	dvir dṛṣadi sakṛd upalāyāṃ triḥ saṃcārayan navakṛtvaḥ saṃpādayati
1.20.4	sāvitreṇa vā śamyām ādāya tayā samāhanti
1.20.5	varṣavṛddham asīti purastāc chūrpam upohaty uttarato vā
1.20.6	varṣavṛddhā sthety abhimantrya prati tvā varṣavṛddhaṃ vettv ity udvapati
1.20.7	parāpūtaṃ rakṣaḥ parāpūtā arātaya ity utkare parāpunāti
1.20.8	praviddhaṃ rakṣaḥ parādhmātā amitrā iti tuṣān praskandato 'numantrayate
1.20.9	madhyame puroḍāśakapāle tuṣān opya rakṣasāṃ bhāgo 'sīty adhastāt kṛṣṇājinasyopavapaty uttaram aparam avāntaradeśam
1.20.10	hastenopavapatīti bahvṛcabrāhmaṇam
1.20.11	adbhiḥ kapālaṃ saṃsparśya prajñātaṃ nidhāyāpa upaspṛśya vāyur vo vivinaktv iti vivicya devo vaḥ savitā hiraṇyapāṇiḥ pratigṛhṇātv iti pātryāṃ taṇḍulān praskandayitvādabdhena vaś cakṣuṣāvapaśyāmi rāyaspoṣāya varcase suprajāstvāya cakṣuṣo gopīthāyāśiṣam āśāsa ity avekṣya triṣ phalīkartavā iti saṃpreṣyati
1.20.12	yā yajamānasya patnī sābhidrutyāvahanti
1.20.13	yo vā kaścid avidyamānāyām
1.21.1	devebhyaḥ śundhadhvaṃ devebhyaḥ śundhyadhvaṃ devebhyaḥ śumbhadhvam iti suphalīkṛtān karoti / tūṣṇīm vā
1.21.2	prakṣālya tuṇḍulāṃs triṣ phalīkriyamāṇānāṃ yo nyaṅgo avaśiṣyate / rakṣasāṃ bhāgadheyam āpas tat pravahatād ita ity utkare trir ninayati
1.21.3	atra kṛṣṇājinasyādānādi prāgadhivartanāt kṛtvā diva skambhanir asīti kṛṣṇājina udīcīnakumbāṃ śamyāṃ nidhāya dhiṣaṇāsi parvatyeti śamyāyāṃ dṛṣadam atyādhāya dhiṣaṇāsi pārvateyīti dṛṣady upalām atyādadhāti
1.21.4	pūrvavad anutsargaḥ
1.21.5	aṃśava stha madhumanta iti taṇḍulān abhimantrya devasya tvety anudrutyāgnaye juṣṭam adhivapāmīti yathādevataṃ dṛṣadi taṇḍulān adhivapati trir yajuṣā tūṣṇīṃ caturtham
1.21.6	prāṇāya tveti prācīm upalāṃ prohaty apānāya tveti pratīcīṃ vyānāya tveti madhyadeśe vyavadhārayati prāṇāya tvāpānāya tvā vyānāya tveti saṃtataṃ pinaṣṭi
1.21.7	dīrghām anu prasitim āyuṣe dhām iti prācīm antato 'nuprohya devo vaḥ savitā hiraṇyapāṇiḥ pratigṛhṇātv iti kṛṣṇājine piṣṭāni praskandayitvādabdhena vaś cakṣuṣāvekṣa ity avekṣyāsaṃvapantī piṃṣāṇūni kurutād iti saṃpreṣyati
1.21.8	dāsī pinaṣṭi patnī vā
1.21.9	api vā patny avahanti śūdrā pinaṣṭi
1.22.1	āhavanīye gārhapatye vā havīṃṣi śrapayati
1.22.2	dhṛṣṭir asi brahma yacchety upaveṣam ādāya rakṣasaḥ pāṇiṃ dahāhir asi budhniya ity abhimantryāpāgne 'gnim āmādaṃ jahīti gārhapatyāt pratyañcāv aṅgārau nirvartya niṣ kravyādaṃ sedheti tayor anyataram uttaram aparam avāntaradeśaṃ nirasyā devayajaṃ vaheti dakṣiṇam avasthāpya dhruvam asīti tasmin madhyamaṃ puroḍāśakapālam upadadhāti
1.22.3	nirdagdhaṃ rakṣo nirdagdhā arātaya iti kapāle 'ṅgāram atyādhāya dhartram asīti pūrvaṃ dvitīyaṃ saṃspṛṣṭam / dharuṇam asīti pūrvaṃ tṛtīyam / cid asi viśvāsu dikṣu sīdeti madhyamād dakṣiṇam / paricid asi viśvāsu dikṣu sīdeti madhyamād uttaram
1.22.4	yathāyogam itarāṇi
1.23.1	marutāṃ śardho 'sīti ṣaṣṭham / dharmāsīti saptamam / cita sthety aṣṭamam
1.23.2	evam uttaraṃ kapālayogam upadadhāti
1.23.3	api vā madhyamam upadhāya savyasya pāṇer aṅgulyābhinidhāya nirdagdhaṃ rakṣo nirdagdhā arātaya iti kapāle 'ṅgāram atyādhāya dhartram asīti tasmād aparaṃ dharuṇam asīti tasmāt pūrvaṃ yathāyogam itarāṇi
1.23.4	tasyatasyāṅgulyābhinidhānam aṅgārādhivartanaṃ ca vājasaneyinaḥ samāmananti
1.23.5	cita sthordhvācita ity ūrdhvam aṣṭābhya upadadhāti tūṣṇīṃ vā
1.23.6	bhṛgūṇām aṅgirasāṃ tapasā tapyadhvam iti vedena kapāleṣv aṅgārān adhyūhya madantīr adhiśrayati
1.24.1	prakṣālitāyāṃ pātryāṃ niṣṭaptopavātāyāṃ pavitravatyāṃ piṣṭāni saṃvapati devasya tvety anudrutyāgnaye juṣṭaṃ saṃvapāmīti yathādevataṃ trir yajuṣā tūṣṇīṃ caturtham
1.24.2	saṃvapan vācaṃ yacchati tām abhivāsayan visṛjate
1.24.3	prokṣaṇīvat piṣṭāny utpūya praṇītābhiḥ saṃyauti
1.24.4	anyā vā yajuṣotpūya yadi praṇītā nādhigacchet
1.24.5	sruveṇa praṇītābhya ādāya vedenopayamya sam āpo adbhir agmateti piṣṭeṣv ānīyādbhiḥ pari prajātā iti taptābhir anupariplāvya janayatyai tvā saṃyaumīti saṃyutya makhasya śiro 'sīti piṇḍaṃ kṛtvā yathābhāgaṃ vyāvartethām iti vibhajya samau piṇḍau kṛtvā yathādevatam abhimṛśatīdam agner ity āgneyam / idam agnīṣomayor ity agnīṣomīyam
1.24.6	idam ahaṃ senāyā abhītvaryai mukham apohāmīti vedena kapālebhyo 'ṅgārān apohya gharmo 'si viśvāyur ity āgneyaṃ puroḍāśam aṣṭāsu kapāleṣv adhiśrayati
1.24.7	evam uttaram uttareṣu
1.24.8	evam anupūrvāṇy evaiṣv ata ūrdhvaṃ karmāṇi kriyante
1.25.1	samānajātīyena karmaṇaikaikam apavarjayati
1.25.2	yāni vibhavanti sakṛttāni kriyante
1.25.3	uru prathasvoru te yajñapatiḥ prathatām iti puroḍāśaṃ prathayan sarvāṇi kapālāny abhiprathayati
1.25.4	atuṅgam anapūpākṛtiṃ kūrmasyeva pratikṛtim aśvaśaphamātraṃ karoti
1.25.5	yāvantaṃ vā manyate
1.25.6	taṃ na satrā pṛthuṃ karotīty eke
1.25.7	tvacaṃ gṛhṇīṣvety adbhiḥ ślakṣṇīkaroty anatikṣārayan
1.25.8	antaritaṃ rakṣo 'ntaritā arātaya iti sarvāṇi havīṃṣi triḥ paryagnikṛtvā devas tvā savitā śrapayatv ity ulmukaiḥ paritapati
1.25.9	agnis te tanuvaṃ mātidhāg iti darbhair abhijvalayati jvālair vā
1.25.10	avidahantaḥ śrapayateti vācaṃ visṛjate
1.25.11	āgnīdhro havīṃṣi suśṛtāni karoti
1.25.12	saṃ brahmaṇā pṛcyasveti vedena puroḍāśe sāṅgāraṃ bhasmādhyūhati
1.25.13	atra vā vācaṃ visṛjet
1.25.14	aṅguliprakṣālanaṃ pātrīnirṇejanaṃ colmukenābhitapya sphyenāntarvedi tisro lekhā likhati prācīr udīcīr vā
1.25.15	tāsv asaṃsyandayaṃs trir ninayati pratyagapavargam ekatāya svāhety etaiḥ pratimantram
1.25.16	ninīya vābhitaped abhitapet
2.1.1	devasya tvā savituḥ prasava iti sphyam ādāyendrasya bāhur asi dakṣiṇa ity abhimantrya haras te mā pratigām iti darbheṇa saṃmṛjyāpareṇāhavanīyaṃ yajamānamātrīm aparimitāṃ vā prācīṃ vediṃ karoti
2.1.2	yathāsannāni havīṃṣi saṃbhaved evaṃ tiraścīm
2.1.3	vedena vediṃ vividuḥ pṛthivīṃ sā paprathe pṛthivī pārthivāni / garbhaṃ bibharti bhuvaneṣv antas tato yajño jāyate viśvadānir iti purastāt stambayajuṣo vedena vediṃ triḥ saṃmārṣṭy upariṣṭād vā
2.1.4	pūrvārdhād veder vitṛtīyadeśāt stambayajur harati
2.1.5	pṛthivyai varmāsīti tatrodagagraṃ prāgagraṃ vā darbhaṃ nidhāya pṛthivi devayajanīti tasmin sphyena prahṛtyāpahato 'raruḥ pṛthivyā iti sphyena satṛṇān pāṃsūn apādāya vrajaṃ gaccha gosthānam iti harati / varṣatu te dyaur iti vediṃ pratyavekṣate yajamānaṃ vā
2.1.6	badhāna deva savitar ity uttarataḥ purastād vitṛtīyadeśa udagdvipade 'parimite vā veder nivapati
2.1.7	sa utkaraḥ
2.1.8	ararus te divaṃ mā skān iti nyuptam āgnīdhro 'ñjalinābhigṛhṇāti
2.1.9	evaṃ dvitīyaṃ tṛtīyaṃ ca harati
2.1.10	tūṣṇīṃ caturthaṃ haran sarvaṃ darbhaśeṣaṃ harati
2.2.1	apārarum adevayajanaṃ pṛthivyā iti dvitīye praharaṇo 'rarur dyāṃ mā paptad iti tṛtīye / apahato 'raruḥ pṛthivyai devayajanyā iti dvitīye 'pādāno 'pahato 'raruḥ pṛthivyā adevayajana iti tṛtīye
2.2.2	avabāḍhaṃ rakṣa iti dvitīye nivapana āgnīdhro 'bhigṛhṇāty avabāḍho 'ghaśaṃsa iti tṛtīye 'vabāḍhā yātudhānā iti caturthe
2.2.3	drapsas te dyāṃ mā skān iti khaniṃ pratyavekṣya sphyena vediṃ parigṛhṇāti vasavas tvā parigṛhṇantu gāyatreṇa chandaseti dakṣiṇato rudrā iti paścād ādityā ity uttarataḥ
2.2.4	apārarum adevayajanaṃ pṛthivyā adevayajano jahīti sphyenottamāṃ tvacam uddhanti
2.2.5	samuddhatasyāgnīdhra utkare trir nivapati
2.2.6	imāṃ narāḥ kṛṇuta vedim eta devebhyo juṣṭām adityā upasthe / imāṃ devā ajuṣanta viśve rāyaspoṣā yajamānaṃ viśantv iti saṃpreṣyati
2.2.7	devasya savituḥ sava iti khanati dvyaṅgulāṃ tryaṅgulāṃ caturaṅgulāṃ yāvatpārṣṇyāḥ śuklaṃ tāvatīṃ pṛthamātrīṃ rathavartamamātrīṃ sītāmātrīṃ prādeśamātrīṃ vā purīṣavatīm
2.2.8	naitā mātrā atikhanati
2.2.9	dakṣiṇato varṣīyasīṃ prākpravaṇāṃ prāgudakpravaṇāṃ vā
2.3.1	prāñcau vedyaṃsāv unnayati pratīcī śroṇī
2.3.2	purastād aṃhīyasī paścāt prathīyasī madhye saṃnatatarā bhavati
2.3.3	yan mūlam atiśete sphyena tac chinatti na nakhena
2.3.4	yat purīṣam atiśeta utkare tan nivapati
2.3.5	āhāryapurīṣāṃ paśukāmasya kuryāt
2.3.6	yat prāk khananāt tat kṛtvā yad āharet tan mantreṇa khanet
2.3.7	brahmann uttaraṃ parigrāhaṃ parigrahīṣyāmīti brahmāṇam āmantrya sphyena vediṃ parigṛhṇāty ṛtam asīti dakṣiṇataḥ / ṛtasadanam asīti paścāt / ṛtaśrīr asīty uttarataḥ
2.3.8	viparītau parigrāhāv eke samāmananti
2.3.9	dhā asi svadhā asīti pratīcīṃ vediṃ sphyena yoyupyate
2.3.10	udādāya pṛthivīṃ jīradānur iti vedim anuvīkṣate
2.3.11	paścārdhe veder vitṛtīyadeśe sphyaṃ tiryañcaṃ stabdhvā saṃpreṣyati prokṣaṇīr āsādayedhmābarhir upasādaya sruvaṃ ca srucaś ca saṃmṛḍḍhi patnīṃ saṃnahyājyenodehīti
2.3.12	api vā na saṃpraiṣaṃ brūyāt
2.3.13	prokṣaṇīr abhipūryodañcaṃ sphyam apohya dakṣiṇena sphyam asaṃspṛṣṭā upaninīya sphyasya vartman sādayaty ṛtasadha stheti dveṣyaṃ manasā dhyāyan
2.3.14	śatabhṛṣṭir asi vānaspatyo dviṣato vadha iti purastāt pratyañcam utkare sphyam udasyati dveṣyaṃ manasā dhyāyan
2.3.15	nānavanijya hastau pātrāṇi parāhanti
2.3.16	hastāv avanijya sphyaṃ prakṣālayaty agram apratimṛśan
2.3.17	uttareṇāhavanīyaṃ prāgagram idhmābarhir upasādayati dakṣiṇam idhmam uttaraṃ barhiḥ
2.4.1	patnīsaṃnahanam eke pūrvaṃ samāmananti sruksaṃmārjanam eke
2.4.2	ghṛtācīr etāgnir vo hvayati devayajyāyā iti sruca ādāya pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya ity āhavanīye gārhapatye vā pratitapyāniśitā stha sapatnakṣayaṇīr ity abhimantrya vedāgrāṇi prativibhajyāprativibhajya vā taiḥ srucaḥ saṃmārṣṭi prācīr udīcīr vottānā dhārayamāṇaḥ
2.4.3	upabhṛtam evodīcīnam ity eke
2.4.4	goṣṭhaṃ mā nirmṛkṣam iti sruvam agrair antarato 'bhyākāraṃ sarvato bilam abhisamāhāram / mūlair daṇḍam
2.4.5	vācaṃ prāṇam iti juhūm agrair antarato 'bhyākāraṃ prācīṃ madhyair bāhyataḥ pratīcīm / mūlair daṇḍam
2.4.6	cakṣuḥ śrotram ity upabhṛtam udīcīm agrair antarato 'bhyākāraṃ pratīcīṃ madhyair bāhyataḥ prācīm / mūlair daṇḍam
2.4.7	prajāṃ yonim iti yathā sruvam evaṃ dhruvām
2.4.8	rūpaṃ varṇaṃ paśūnāṃ mā nirmṛkṣaṃ vāji tvā sapatnasāhaṃ saṃmārjmīti prāśitraharaṇaṃ tūṣṇīṃ vā
2.4.9	na saṃmṛṣṭāny asaṃmṛṣṭaiḥ saṃsparśayati
2.4.10	agner vas tejiṣṭhena tejasā niṣṭapāmīti punaḥ pratitapya prokṣyāgreṇotkaraṃ darbheṣu sādayati jaghanena vā
2.4.11	sruksaṃmārjanāny adbhiḥ saṃsparśya
2.5.1	divaḥ śilpam avatataṃ pṛthivyāḥ kakubhiḥ śritaṃ tena vayaṃ sahasravalśena sapatnaṃ nāśayāmasi svāhety agnau praharati yasmin pratitapaty utkare vā nyasyati
2.5.2	āśāsānā saumanasam ity apareṇa gārhapatyam ūrdhvajñum āsīnāṃ patnīṃ saṃnahyati tiṣṭhantīṃ vā
2.5.3	vācayatīty eke
2.5.4	mauñjena dāmnānyatarataḥ pāśena yoktreṇa vābhyantaraṃ vāsasaḥ
2.5.5	na vāso 'bhisaṃnahyati / abhisaṃnahyatīty eke
2.5.6	uttareṇa nābhiṃ niṣṭarkyaṃ granthiṃ kṛtvā pradakṣiṇaṃ paryūhya dakṣiṇena nābhim avasthāpyopotthāyāgne gṛhapata upa mā hvayasveti gārhapatyam upatiṣṭhate
2.5.7	devānāṃ patnīr upa mā hvayadhvaṃ patni patny eṣa te loko namas te astu mā mā hiṃsīr iti devapatnīr upatiṣṭhate
2.5.8	tasmād deśād apakramya suprajasas tvā vayam iti dakṣiṇata udīcy upaviśati
2.5.9	indrāṇīvāvidhavā bhūyāsam aditir iva suputrā / asthūri tvā gārhapatyopaniṣade suprajāstvāyeti japati
2.5.10	yuktā me yajñam anvāsātā iti yajamānaḥ saṃpreṣyati
2.5.11	bahvājyābhyāṃ darśapūrṇamāsābhyāṃ yajata iti vijñāyate
2.6.1	pūṣā te bilaṃ viṣyatv iti sarpirdhānasya bilam apāvartya dakṣiṇāgnāv ājyaṃ vilāpyāditir asy acchidrapattrety ājyasthālīm ādāya mahīnāṃ payo 'sy oṣadhīnāṃ rasas tasya te 'kṣīyamāṇasya nirvapāmi devayajyāyā iti tasyāṃ pavitrāntarhitāyām ājyaṃ nirupyedaṃ viṣṇur vicakrama iti dakṣiṇāgnāv adhiśrityeṣe tveti dakṣiṇārdhe gārhapatyasyādhiśrityorje tvety apādāya vedenopayamya patnyā upaharati
2.6.2	tat sā nimīlya vīkṣyānucchūsanty avekṣate mahīnāṃ payo 'sīti
2.6.3	tejo 'sīty uttarārdhe gārhaptyasyādhiśrayati
2.6.4	patnyabhāve tejāadi lupyate gārhapatye 'dhiśrayaṇam
2.6.5	tejase tvety apādāya tejo 'si tejo 'nuprehīti harati / agnis te tejo mā vinaid ity āhavanīye 'dhiśrityāgner jihvāsīti sphyasya vartman sādayati
2.6.6	ājyam asi satyam asīty adhvaryur yajamānaś ca nimīlya vīkṣyānucchūsantāv ājyam avekṣete
2.6.7	athainad udagagrābhyāṃ pavitrābhyāṃ punar āhāram utpunāti
2.7.1	śukram asīti prathamaṃ jyotir asīti dvitīyaṃ tejo 'sīti tṛtīyam
2.7.2	pūrvavad ājyaliptābhyāṃ prokṣaṇīr utpūyāniṣkāsinā sruveṇa vedam upabhṛtaṃ kṛtvāntarvedy ājyāni gṛhṇāti
2.7.3	samaṃbilaṃ dhārayamāṇo juhvāṃ madhyadeśa upabhṛti bhūmau pratiṣṭhitāyāṃ dhruvāyām
2.7.4	catur juhvām aṣṭāv upabhṛti catur dhruvāyām
2.7.5	paśukāmasya vā pañcagṛhītaṃ dhruvāyāṃ yathāprakṛtītarayoḥ
2.7.6	daśagṛhītam upabhṛti pañcagṛhītam itarayor ity eke
2.7.7	bhūyo juhvām alpīya upabhṛti bhūyiṣṭhaṃ dhruvāyām
2.7.8	śukraṃ tvā śukrāyām iti tribhiḥ pañcānāṃ tvā vātānām iti ca dvābhyāṃ juhvāṃ catuḥ pañcakṛtvo vā pratimantram
2.7.9	pañcānāṃ tvā diśāṃ pañcānāṃ tvā pañcajanānāṃ pañcānāṃ tvā salilānāṃ dhartrāya gṛhṇāmi paṇcānāṃ tvā pṛṣṭhānāṃ dhartrāya gṛhṇāmi dhāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanaṃ devavītaye tvā gṛhṇāmīti caros tvā pañcabilasyeti ca pañcabhir upabhṛty aṣṭakṛtvo daśakṛtvo vā pratimantram
2.7.10	śeṣeṇa dhruvāyāṃ catuḥ pañcakṛtvo vā pratimantram
2.7.11	notkara ājyāni sādayati
2.7.12	nāntarvedi gṛhītasya pratīcīnaṃ haranti
2.8.1	pūrvavat prokṣaṇīr abhimantrya brahmāṇam āmantrya visrasyedhmaṃ kṛṣṇo 'sy ākhareṣṭha iti triḥ prokṣati / vedir asīti trir vediṃ barhir asīti trir barhiḥ / antarvedi purogranthi barhir āsādya dive tvety agraṃ prokṣaty antarikṣāya tveti madhyaṃ pṛthivyai tveti mūlam
