1.1.1	Prajapati is the year.
15.1.8	Somapa from Saumya from Prativeshya.
15.1.9	Saumya Prativeshya from Prativeshyas.
15.1.10	Prativeshya from Brihaddiva.
15.1.11	Brihaddiva from Sumna.
15.1.5	Kahoda from Kauseetika from Udala from Arunis.
15.1.6	Udala Arunis from Priyavrata from Saumati.
15.1.7	Priyavrata Saumati from Somapa.
15.1.8	Somapa from Saumya from Prativeshya.
15.1.9	Saumya Prativeshya from Prativeshyas.
15.1.10	Prativeshya from Brihaddiva.
15.1.11	Brihaddiva from Sumna.
15.1.12	Sumnyu from Udālaka.
15.1.13	Udālaka from Viśvamāna.
15.1.14	Viśvamāna from Vyāśva.
15.1.15	Vyāśva from Sākamāśva. 
15.1.16	Sākamāśvas from Devārata.
15.1.17	Devārata from Viśvāmitra.
15.1.18	Viśvāmitra from Indra.
15.1.19	Indra from Prajāpati.
15.1.20	Prajāpati from Brahma.
15.1.21	Brahma is self-existent.
15.1.22	Salutations to Brahma, salutations to Brahma.
15.1.12	Sumnyu from Udālaka.
15.1.13	Udālaka from Viśvamāna.
15.1.14	Viśvamāna from Vyāśva.
15.1.15	Vyāśva from Sākamāśva. 
15.1.16	Sākamāśvas from Devārata.
15.1.17	Devārata from Viśvāmitra.
15.1.18	Viśvāmitra from Indra.
15.1.19	Indra from Prajāpati.
15.1.20	Prajāpati from Brahma.
15.1.21	Brahma is self-existent.
15.1.22	Salutations to Brahma, salutations to Brahma.
