1.1.1	The Dharma has been taught in the Vedas.
1.10.1-4	A drop of water falling on the ground, the size of a cow-hide, becomes pure. Where filth is not seen, whether it is covered or not, there it is pure. Water sprinkled on food kept out of sight removes impurities. And also on food to be eaten in the market. The gods who are disgusted with filth do not accept the oblation of one who does not have faith.
1.9.8	The grain in the fields of the wicked, the water in wells and tanks, the milk in the cow-sheds, even though unfit to be eaten, are fit to be eaten.
1.9.9	The three gods have ordained three sacred things for Brahmanas: that which is unseen, that which is purified by water, and that which is praised by speech.
1.10.5	The gods, after deliberation, have ordained that the food of the faithful and the food of the unfaithful shall be equal. But Prajapati said to them, "It is not equal, for it is unequal. The food of the un faithful is destroyed, but the food of the faith ful is purified."
1.9.10	Water is pure, if it is on the ground, if it is for the thirst of cows, if it is not contaminated by impurities, and if it has smell, color, and taste.
1.9.11	But if the ground is swept, sprinkled, smeared, covered, or painted, then the impurity is removed according to its place, due to the specific faults.
1.9.12	But they also say:
1.10.8	One who has abandoned the conduct of his own inclination, and is guided by doubt, is called a fool, because he transgresses the law of Dharma.
1.10.9	The washing of vegetables, flowers, fruits, roots, and herbs.
1.10.10	Having removed dry grass, wood, or clods of earth, one should face either east or south during the day and night, and urinate or defecate with the head turned towards the north.
1.10.5	The gods, after deliberation, have ordained that the food of the faithful and the food of the unfaithful shall be equal. But Prajapati said to them, "It is not equal, for it is unequal. The food of the un faithful is destroyed, but the food of the faith ful is purified."
1.10.11	In urine, washing with clay and water.
1.10.12	Three times for the hand.
1.10.13	Similarly, in feces.
1.10.14	Three times in succession for the hand and the mouth.
1.10.15	In the emission of semen, like urine.
1.10.16	Having loosened the loincloth, one should touch the water.
1.10.17	One should touch wet grass, cowdung, or the ground.
1.10.6	But they also say: "Faithlessness is the greatest sin, faith is the greatest austerity. Therefore, the gods do not eat the oblation given without faith."
1.10.7	Even if one worships and gives, a fool does not go to heaven.
1.10.18	The touching of the navel is to be avoided by one engaged in ritual acts.
1.10.19	The Veda says that above the navel of a man is pure, and below it is impure.
1.10.20	For the Śūdras under the control of the Āryas, shaving is to be done every half-month or month, and the rules for sipping water are to be followed as for the Āryas.
1.10.21	A Vaiśya should live by usury.
1.10.22	But it should be only twenty-five paṇas.
1.10.8	One who has abandoned the conduct of his own inclination, and is guided by doubt, is called a fool, because he transgresses the law of Dharma.
1.10.9	The washing of vegetables, flowers, fruits, roots, and herbs.
1.10.10	Having removed dry grass, wood, or clods of earth, one should face either east or south during the day and night, and urinate or defecate with the head turned towards the north.
1.10.23	But they also say: "He who, having taken a loan at a high rate of interest, would employ it at a still higher rate, is called a usurer, and is condemned in all religions. He weighed the increase and the killing of a foetus on a balance; the killer of a foetus stood at a hundred, the usurer trembled."
1.10.11	In urine, washing with clay and water.
1.10.12	Three times for the hand.
1.10.13	Similarly, in feces.
1.10.14	Three times in succession for the hand and the mouth.
1.10.15	In the emission of semen, like urine.
1.10.16	Having loosened the loincloth, one should touch the water.
1.10.17	One should touch wet grass, cowdung, or the ground.
1.10.24	He should treat the cowherds, traders, artisans, and those of good conduct, servants, farmers, and Brahmins like Shudras.
1.10.25	But if the rites are neglected, if the person is a miser, an atheist, or a sinner, the two should be given to him.
1.10.26	Families go to ruin by neglecting sacrifices, not marrying, neglecting the Vedas, and transgressing against Brahmins.
1.10.18	The touching of the navel is to be avoided by one engaged in ritual acts.
1.10.19	The Veda says that above the navel of a man is pure, and below it is impure.
1.10.20	For the Śūdras under the control of the Āryas, shaving is to be done every half-month or month, and the rules for sipping water are to be followed as for the Āryas.
1.10.21	A Vaiśya should live by usury.
1.10.22	But it should be only twenty-five paṇas.
1.10.27	There is no transgression of the Brahmanas in the ignorant, devoid of mantras. Having abandoned the blazing fire, one does not offer oblations into ashes.
1.10.28	Families that are inferior due to mantras, such as those of cows, horses, vehicles, agriculture, and service to the king, become non-families.
1.10.29	Those families which are prosperous by means of mantras, though they have little wealth, attain the number of families and also attain great fame.
1.10.30	The Veda is for the destruction of agriculture, and agriculture is for the destruction (of the Veda). One who is capable should do both; one who is incapable should abandon agriculture.
1.10.31	The gods do not receive the one who is greedy, uncontrolled, and wailing, as he falls into the pit. The trembling, hasty, passionate speaker, the one who is thin, goes to hell.
1.10.32	Whatever one does in youth, whether good or bad, whatever one does, at whatever time, if one is virtuous in old age, that alone is true, not the others.
1.10.24	He should treat the cowherds, traders, artisans, and those of good conduct, servants, farmers, and Brahmins like Shudras.
1.10.25	But if the rites are neglected, if the person is a miser, an atheist, or a sinner, the two should be given to him.
1.10.26	Families go to ruin by neglecting sacrifices, not marrying, neglecting the Vedas, and transgressing against Brahmins.
1.10.33	One should always grieve in one's mind, reflecting on one's misdeeds. One who is ascetic and diligent is then freed from sin.
1.10.34	Those who touch the feet of others while sipping water are not considered impure, as they are equal to those who are on the ground.
1.10.27	There is no transgression of the Brahmanas in the ignorant, devoid of mantras. Having abandoned the blazing fire, one does not offer oblations into ashes.
1.10.28	Families that are inferior due to mantras, such as those of cows, horses, vehicles, agriculture, and service to the king, become non-families.
1.10.29	Those families which are prosperous by means of mantras, though they have little wealth, attain the number of families and also attain great fame.
1.10.30	The Veda is for the destruction of agriculture, and agriculture is for the destruction (of the Veda). One who is capable should do both; one who is incapable should abandon agriculture.
1.11.1	The impurity lasts for ten days in the case of Sapiṇḍas. This is said with reference to birth and death, except in the case of a priest, a person undergoing initiation, and a student.
1.11.2	Sapiṇḍa-ship lasts till the seventh generation.
1.11.3	Till the seventh month or till the appearance of teeth, there is sprinkling with water.
1.11.4	The rite of offering balls of rice and water to the departed is not prescribed after three years. Till the appearance of teeth or cremation is not done.
1.10.31	The gods do not receive the one who is greedy, uncontrolled, and wailing, as he falls into the pit. The trembling, hasty, passionate speaker, the one who is thin, goes to hell.
1.10.32	Whatever one does in youth, whether good or bad, whatever one does, at whatever time, if one is virtuous in old age, that alone is true, not the others.
1.11.5	And in the case of unmarried girls.
1.11.6	Some do it in the case of married girls.
1.11.7	Because it is for the sake of winning over the people that women are considered to be without mantras.
1.11.8	The kinsmen of women who have not been married become pure in three days, according to the same procedure as mentioned before. Those who are related by the same womb also become pure.
1.10.33	One should always grieve in one's mind, reflecting on one's misdeeds. One who is ascetic and diligent is then freed from sin.
